frame,drop_id,cx,cy,area_px,percentage,in_frame
408,1,638,63,9750,100.0,1
409,1,638,87,11056,113.39,1
410,1,637,111,11157,114.43,1
411,1,637,134,11174,114.61,1
412,1,637,159,11133,114.18,1
413,1,637,183,11181,114.68,1
414,1,637,207,11184,114.71,1
415,1,637,231,11149,114.35,1
416,1,637,255,11137,114.23,1
417,1,637,279,11120,114.05,1
418,1,636,304,11105,113.9,1
419,1,636,328,11070,113.54,1
420,1,636,352,11019,113.02,1
421,1,636,376,10855,111.33,1
422,1,636,405,11664,119.63,1
423,1,636,423,11104,113.89,1
424,1,636,437,10310,105.74,1
425,1,636,446,9698,99.47,1
426,1,635,451,9479,97.22,1
427,1,635,451,9938,101.93,1
428,1,635,451,10576,108.47,1
429,1,635,450,11051,113.34,1
430,1,635,449,10897,111.76,1
431,1,635,448,10714,109.89,1
432,1,635,447,10517,107.87,1
433,1,635,444,10014,102.71,1
434,1,634,437,11017,112.99,1
435,1,634,426,12572,128.94,1
436,1,633,416,14099,144.61,1
437,1,633,405,14768,151.47,1
438,1,634,387,13899,142.55,1
439,1,634,376,14194,145.58,1
440,1,633,365,14777,151.56,1
441,1,630,358,16021,164.32,1
442,1,629,357,18695,191.74,1
443,1,628,349,19630,201.33,1
444,1,628,341,19707,202.12,1
445,1,629,324,18009,184.71,1
446,1,626,348,15560,159.59,1
446,2,649,92,2088,21.42,1
447,1,626,348,16272,166.89,1
447,2,650,71,2022,20.74,1
448,1,625,344,16218,166.34,1
448,2,651,50,2060,21.13,1
449,1,624,341,16422,168.43,1
449,2,652,27,2180,22.36,0
450,1,623,331,15379,157.73,1
450,2,652,15,1284,13.17,0
451,1,622,332,15981,163.91,1
451,2,651,4,332,3.41,0
452,1,622,329,15754,161.58,1
453,1,618,381,12357,126.74,1
453,3,634,181,4002,41.05,1
454,1,619,382,12339,126.55,1
454,3,634,172,3736,38.32,1
455,1,618,380,11826,121.29,1
455,3,634,163,3380,34.67,1
456,1,617,377,10958,112.39,1
456,3,634,153,2978,30.54,1
457,1,616,380,11979,122.86,1
457,3,634,174,1327,13.61,1
457,4,633,129,1599,16.4,1
458,1,616,377,11526,118.22,1
458,4,633,145,2916,29.91,1
459,1,616,376,11530,118.26,1
459,4,633,141,2801,28.73,1
460,1,615,374,11083,113.67,1
460,4,632,134,2707,27.76,1
461,1,615,375,10929,112.09,1
461,4,632,128,2475,25.38,1
462,1,616,378,10865,111.44,1
462,4,632,123,2420,24.82,1
463,1,617,382,10990,112.72,1
463,4,632,119,2545,26.1,1
464,1,616,384,10921,112.01,1
464,4,632,115,2582,26.48,1
465,1,616,385,10853,111.31,1
465,4,631,110,2580,26.46,1
466,1,616,387,10793,110.7,1
466,4,630,104,2589,26.55,1
467,1,615,389,10762,110.38,1
467,4,631,100,2671,27.39,1
468,1,615,391,10541,108.11,1
468,4,631,96,2835,29.08,1
469,1,614,393,10304,105.68,1
469,4,631,91,2929,30.04,1
470,1,614,395,10303,105.67,1
470,4,631,87,2930,30.05,1
471,1,614,397,10317,105.82,1
471,4,630,82,2938,30.13,1
472,1,616,402,10733,110.08,1
472,4,630,78,2978,30.54,1
473,1,616,407,10836,111.14,1
473,4,606,77,1545,15.85,1
473,5,656,71,1456,14.93,1
474,1,616,411,10741,110.16,1
474,4,605,74,1531,15.7,1
474,5,657,65,1472,15.1,1
475,1,616,415,10688,109.62,1
475,4,603,71,1516,15.55,1
475,5,659,60,1415,14.51,1
476,1,615,417,10468,107.36,1
476,4,601,68,1505,15.44,1
476,5,660,55,1332,13.66,1
477,1,615,422,10567,108.38,1
477,4,599,66,1521,15.6,1
477,5,662,50,1340,13.74,1
478,1,615,423,10321,105.86,1
478,4,597,63,1539,15.78,1
478,5,663,45,1406,14.42,1
479,1,615,426,10208,104.7,1
479,4,595,60,1529,15.68,1
479,5,665,40,1450,14.87,1
480,1,616,429,9741,99.91,1
480,4,594,58,1533,15.72,1
480,5,667,35,1374,14.09,1
481,1,617,432,9288,95.26,1
481,4,592,55,1512,15.51,1
481,5,668,30,1338,13.72,1
482,1,617,434,8916,91.45,1
482,4,590,53,1501,15.39,1
482,5,670,26,1300,13.33,1
483,1,618,435,8805,90.31,1
483,4,588,50,1486,15.24,1
483,5,672,20,1434,14.71,0
484,1,618,435,8536,87.55,1
484,4,587,48,1508,15.47,1
484,5,673,17,1326,13.6,0
485,1,618,435,8669,88.91,1
485,4,585,46,1528,15.67,1
485,5,674,15,1168,11.98,0
486,1,618,434,8832,90.58,1
486,4,583,44,1536,15.75,1
486,5,676,12,977,10.02,0
487,1,619,432,8947,91.76,1
487,4,581,41,1518,15.57,1
487,5,678,9,787,8.07,0
488,1,619,430,9250,94.87,1
488,4,579,40,1488,15.26,1
488,5,679,8,615,6.31,0
489,1,619,427,9736,99.86,1
489,4,578,38,1495,15.33,1
489,5,680,6,472,4.84,0
490,1,618,425,10103,103.62,1
490,4,576,36,1509,15.48,1
490,5,680,4,314,3.22,0
491,1,617,423,10219,104.81,1
491,4,574,34,1530,15.69,1
492,1,617,419,10059,103.17,1
492,4,572,32,1523,15.62,1
493,1,618,414,8671,88.93,1
493,4,570,31,1506,15.45,1
494,1,618,412,8794,90.19,1
494,4,569,29,1488,15.26,1
495,1,619,410,9024,92.55,1
495,4,567,28,1484,15.22,1
496,1,619,408,9249,94.86,1
496,4,565,26,1505,15.44,1
497,1,619,408,9536,97.81,1
497,4,563,25,1535,15.74,0
498,1,618,407,9654,99.02,1
498,4,562,23,1542,15.82,0
499,1,617,408,10141,104.01,1
499,4,560,22,1523,15.62,0
500,1,617,411,10778,110.54,1
500,4,558,21,1513,15.52,0
501,1,616,413,10698,109.72,1
501,4,556,20,1515,15.54,0
502,1,616,414,10520,107.9,1
502,4,554,20,1504,15.43,0
503,1,616,416,10264,105.27,1
503,4,552,19,1462,14.99,0
504,1,617,420,10258,105.21,1
504,4,551,19,1438,14.75,0
505,1,617,423,10182,104.43,1
505,4,549,18,1427,14.64,0
506,1,617,426,9886,101.39,1
506,4,547,17,1430,14.67,0
507,1,617,428,9553,97.98,1
507,4,545,17,1408,14.44,0
508,1,616,430,9285,95.23,1
508,4,544,17,1363,13.98,0
509,1,616,432,9179,94.14,1
509,4,542,17,1354,13.89,0
510,1,615,433,8994,92.25,1
510,4,540,16,1354,13.89,0
511,1,615,434,8735,89.59,1
511,4,538,16,1365,14.0,0
512,1,615,435,8587,88.07,1
512,4,536,16,1356,13.91,0
513,1,615,435,8623,88.44,1
513,4,535,16,1341,13.75,0
514,1,615,435,8788,90.13,1
514,4,533,16,1318,13.52,0
515,1,615,433,9034,92.66,1
515,4,531,16,1335,13.69,0
516,1,615,431,9355,95.95,1
516,4,529,16,1350,13.85,0
517,1,614,428,9606,98.52,1
517,4,527,16,1367,14.02,0
518,1,614,426,9869,101.22,1
518,4,526,16,1354,13.89,0
519,1,614,423,10024,102.81,1
519,4,524,16,1362,13.97,0
520,1,614,421,10216,104.78,1
520,4,522,16,1362,13.97,0
521,1,613,416,9034,92.66,1
521,4,520,17,1405,14.41,0
522,1,613,413,8954,91.84,1
522,4,519,17,1440,14.77,0
523,1,613,413,9040,92.72,1
523,4,517,17,1448,14.85,0
524,1,613,412,9161,93.96,1
524,4,515,18,1425,14.62,0
525,1,613,412,9187,94.23,1
525,4,513,18,1457,14.94,0
526,1,613,412,8978,92.08,1
526,4,511,19,1484,15.22,0
527,1,613,412,8862,90.89,1
527,4,509,19,1551,15.91,0
528,1,613,413,8805,90.31,1
528,4,508,20,1542,15.82,0
529,1,613,415,8933,91.62,1
529,4,506,21,1552,15.92,0
530,1,612,418,9088,93.21,1
530,4,504,22,1543,15.83,0
531,1,612,422,10029,102.86,1
531,4,502,23,1565,16.05,0
532,1,612,424,9836,100.88,1
532,4,501,24,1580,16.21,0
533,1,612,427,9734,99.84,1
533,4,499,26,1578,16.18,0
534,1,613,429,9521,97.65,1
534,4,497,27,1568,16.08,1
535,1,613,431,9269,95.07,1
535,4,495,29,1539,15.78,1
536,1,614,433,8999,92.3,1
536,4,493,30,1535,15.74,1
537,1,614,434,8838,90.65,1
537,4,492,32,1557,15.97,1
538,1,614,435,8806,90.32,1
538,4,490,33,1582,16.23,1
539,1,614,435,8803,90.29,1
539,4,488,35,1579,16.19,1
540,1,614,434,8764,89.89,1
540,4,486,37,1550,15.9,1
541,1,615,433,9008,92.39,1
541,4,484,38,1544,15.84,1
542,1,615,431,9106,93.39,1
542,4,483,40,1535,15.74,1
543,1,615,430,9392,96.33,1
543,4,481,43,1594,16.35,1
544,1,615,427,9532,97.76,1
544,4,479,45,1611,16.52,1
545,1,615,425,9870,101.23,1
545,4,477,47,1589,16.3,1
546,1,615,423,9984,102.4,1
546,4,475,49,1575,16.15,1
547,1,616,418,8869,90.96,1
547,4,474,51,1574,16.14,1
548,1,616,415,8685,89.08,1
548,4,472,53,1596,16.37,1
549,1,617,414,8888,91.16,1
549,4,470,56,1585,16.26,1
550,1,617,413,9150,93.85,1
550,4,468,58,1584,16.25,1
551,1,616,412,9286,95.24,1
551,4,466,61,1575,16.15,1
552,1,616,412,9366,96.06,1
552,4,464,64,1557,15.97,1
553,1,616,413,9483,97.26,1
553,4,463,66,1589,16.3,1
554,1,616,414,9425,96.67,1
554,4,461,69,1595,16.36,1
555,1,616,416,9346,95.86,1
555,4,459,72,1597,16.38,1
556,1,616,418,9068,93.01,1
556,4,457,75,1555,15.95,1
557,1,615,422,9964,102.19,1
557,4,455,78,1610,16.51,1
558,1,615,425,9870,101.23,1
558,4,454,81,1591,16.32,1
559,1,615,427,9704,99.53,1
559,4,452,84,1620,16.62,1
560,1,615,429,9406,96.47,1
560,4,450,87,1606,16.47,1
561,1,615,431,9278,95.16,1
561,4,448,91,1598,16.39,1
562,1,615,433,9050,92.82,1
562,4,446,94,1604,16.45,1
563,1,615,434,8884,91.12,1
563,4,445,97,1643,16.85,1
564,1,615,434,8771,89.96,1
564,4,443,101,1628,16.7,1
565,1,615,435,8726,89.5,1
565,4,441,104,1599,16.4,1
566,1,615,434,8809,90.35,1
566,4,440,108,1612,16.53,1
567,1,614,434,8944,91.73,1
567,4,438,111,1546,15.86,1
568,1,614,432,9212,94.48,1
568,4,436,115,1586,16.27,1
569,1,614,430,9381,96.22,1
569,4,434,119,1602,16.43,1
