frame,drop_id,cx,cy,area_px,percentage
408,1,635,53,1811,100.0
409,1,634,75,2047,113.03
410,1,634,100,2055,113.47
411,1,635,124,1852,102.26
412,1,634,148,2005,110.71
413,1,634,172,2018,111.43
414,1,634,198,1868,103.15
415,1,633,223,1935,106.85
416,1,633,247,1767,97.57
417,1,633,271,1951,107.73
418,1,633,297,1915,105.74
419,1,633,323,1789,98.79
420,1,634,348,1808,99.83
421,1,634,372,1778,98.18
422,1,634,402,1300,71.78
423,1,633,422,1675,92.49
424,1,628,442,2286,126.23
425,1,630,440,1305,72.06
