frame,drop_id,cx,cy,area_px,percentage,in_frame
0,1,493,412,7046,74.75,1
0,2,773,430,2380,25.25,1
253,3,501,7,1061,11.26,0
254,3,501,17,3394,36.0,0
255,3,501,29,5808,61.61,0
256,3,501,40,8756,92.89,0
257,3,501,54,10830,114.89,0
258,3,501,77,11024,116.95,1
259,3,501,101,11036,117.07,1
260,3,501,125,11123,118.0,1
261,3,501,149,11134,118.11,1
262,3,501,173,11131,118.08,1
263,3,501,197,11096,117.71,1
264,3,501,221,11186,118.67,1
265,3,500,245,11205,118.87,1
266,3,500,270,11223,119.06,1
267,3,500,294,11248,119.32,1
268,3,500,319,11115,117.91,1
269,3,500,343,11166,118.45,1
270,3,500,366,10904,115.67,1
271,3,500,388,10320,109.48,1
272,3,500,411,10260,108.84,1
273,3,501,425,8807,93.43,1
274,3,500,435,7742,82.13,1
275,3,500,441,7278,77.21,1
276,3,499,443,7223,76.62,1
277,3,500,442,7589,80.51,1
278,3,500,441,7860,83.38,1
279,3,500,440,7999,84.86,1
280,3,500,439,8009,84.96,1
281,3,500,437,7796,82.7,1
282,3,500,434,7501,79.57,1
283,3,500,427,7905,83.86,1
284,3,500,415,9751,103.44,1
285,3,499,405,11952,126.79,1
286,3,500,391,12865,136.48,1
287,3,500,377,13747,145.83,1
288,3,500,365,14467,153.47,1
289,3,499,355,15582,165.3,1
290,3,499,344,16241,172.29,1
291,3,499,334,16708,177.25,1
292,3,499,326,16903,179.31,1
293,3,498,319,17634,187.07,1
294,3,496,348,15342,162.75,1
294,4,508,110,2404,25.5,1
295,3,496,345,15633,165.84,1
295,4,508,87,2296,24.36,1
296,3,496,342,15881,168.47,1
296,4,508,65,2293,24.33,1
297,3,496,338,16275,172.65,1
297,4,508,42,2356,24.99,1
298,3,495,335,16498,175.02,1
298,4,508,22,2087,22.14,0
299,3,494,361,13802,146.42,1
299,4,509,10,1005,10.66,0
299,5,500,167,2256,23.93,1
300,3,494,359,13358,141.71,1
300,5,500,148,1800,19.1,1
301,3,493,357,13147,139.47,1
301,5,500,138,1561,16.56,1
302,3,493,356,12976,137.65,1
302,5,500,130,1300,13.79,1
303,3,493,355,12950,137.38,1
303,5,500,121,1390,14.75,1
304,3,493,354,12765,135.42,1
304,5,500,114,1494,15.85,1
305,3,492,352,12548,133.11,1
305,5,500,107,1540,16.34,1
306,3,492,349,12269,130.15,1
306,5,500,99,1423,15.1,1
307,3,492,347,12027,127.59,1
307,5,500,92,1325,14.06,1
308,3,492,344,11708,124.2,1
308,5,500,84,1414,15.0,1
309,3,492,343,11745,124.6,1
309,5,500,77,1442,15.3,1
310,3,492,342,11787,125.04,1
310,5,500,70,1438,15.25,1
311,3,492,340,11589,122.94,1
311,5,499,63,1326,14.07,1
312,3,492,337,11433,121.29,1
312,5,500,56,1282,13.6,1
313,3,492,334,11255,119.4,1
313,5,499,49,1407,14.93,1
314,3,492,333,11119,117.95,1
314,5,499,42,1390,14.75,1
315,3,491,331,10927,115.92,1
315,5,500,36,1336,14.17,1
316,3,491,329,10714,113.66,1
316,5,499,29,1200,12.73,1
317,3,491,326,10516,111.56,1
317,5,499,21,1326,14.07,0
318,3,491,325,10306,109.33,1
318,5,499,17,1279,13.57,0
319,3,491,323,10122,107.38,1
319,5,500,14,1091,11.57,0
320,3,491,322,10207,108.28,1
320,5,502,11,854,9.06,0
321,3,490,320,10271,108.96,1
321,5,503,7,563,5.97,0
322,3,490,319,10311,109.38,1
322,5,503,5,375,3.98,0
323,3,490,318,10351,109.81,1
323,5,505,2,205,2.17,0
324,3,490,318,10306,109.33,1
325,3,490,318,10269,108.94,1
