frame,drop_id,cx,cy,area_px,percentage
258,1,501,76,9148,100.0
259,1,501,101,9553,104.43
260,1,501,124,9487,103.71
261,1,501,148,9087,99.33
262,1,501,172,9343,102.13
263,1,501,196,9001,98.39
264,1,501,221,9378,102.51
265,1,501,245,8986,98.23
266,1,501,269,9497,103.82
267,1,501,293,9063,99.07
268,1,500,318,9496,103.8
269,1,500,342,9519,104.06
270,1,500,367,9482,103.65
271,1,500,389,8664,94.71
272,1,501,410,8296,90.69
273,1,500,430,8787,96.05
274,1,500,440,8795,96.14
275,1,500,444,8176,89.37
276,1,500,447,8674,94.82
277,1,501,446,8314,90.88
278,1,500,445,8529,93.23
279,1,499,444,8517,93.1
280,1,500,443,8213,89.78
281,1,501,440,7534,82.36
282,1,499,439,7557,82.61
283,1,499,434,8666,94.73
284,1,499,422,10167,111.14
285,1,499,408,11688,127.77
286,1,499,396,12624,138.0
287,1,499,381,13572,148.36
288,1,499,370,14447,157.93
289,1,498,360,15141,165.51
290,1,499,352,16276,177.92
291,1,499,335,15771,172.4
292,1,498,330,17103,186.96
293,1,498,321,17888,195.54
294,1,498,310,18606,203.39
295,1,496,346,15243,166.63
295,2,508,86,2271,24.83
296,1,496,338,15105,165.12
296,2,508,63,2258,24.68
297,1,496,333,15558,170.07
297,2,508,40,2300,25.14
298,1,496,328,15841,173.16
298,2,508,21,1928,21.08
299,1,496,322,15971,174.58
299,2,509,9,914,9.99
300,1,494,361,12227,133.66
300,2,501,164,2952,32.27
301,1,493,359,11890,129.97
301,2,501,154,2522,27.57
302,1,493,358,11338,123.94
303,1,493,358,10862,118.74
304,1,493,357,10750,117.51
305,1,493,356,10536,115.17
306,1,493,353,10318,112.79
307,1,492,350,9953,108.8
308,1,493,354,10440,114.12
309,1,493,353,10312,112.72
310,1,493,350,10190,111.39
311,1,492,348,10003,109.35
312,1,492,345,9806,107.19
313,1,492,344,9753,106.61
314,1,492,335,9116,99.65
314,2,497,444,107,1.17
315,1,492,333,8993,98.31
316,1,491,331,8891,97.19
317,1,491,328,8688,94.97
318,1,491,326,8520,93.14
319,1,491,322,8256,90.25
320,1,491,321,8234,90.01
321,1,490,319,8298,90.71
322,1,490,318,8378,91.58
323,1,490,317,8419,92.03
324,1,490,317,8360,91.39
325,1,490,317,8262,90.31
326,1,490,318,8145,89.04
327,1,490,318,8153,89.12
328,1,490,318,8592,93.92
329,1,490,318,8116,88.72
330,1,490,318,8150,89.09
331,1,489,318,8116,88.72
332,1,489,318,8043,87.92
333,1,489,318,7980,87.23
334,1,489,318,7863,85.95
335,1,489,318,7858,85.9
336,1,489,319,7739,84.6
337,1,489,320,7660,83.73
338,1,489,321,7541,82.43
339,1,489,321,7982,87.25
340,1,489,322,7770,84.94
341,1,489,322,7911,86.48
342,1,489,323,8160,89.2
343,1,488,324,8124,88.81
344,1,488,325,8069,88.21
345,1,488,326,8062,88.13
346,1,488,327,8058,88.08
347,1,488,328,8137,88.95
348,1,488,330,8123,88.8
349,1,488,332,8037,87.86
350,1,488,333,8438,92.24
351,1,488,335,8159,89.19
352,1,487,337,8087,88.4
353,1,487,338,7923,86.61
354,1,487,340,7852,85.83
355,1,487,342,7854,85.85
356,1,487,343,7785,85.1
357,1,487,345,7723,84.42
358,1,486,347,7736,84.56
359,1,486,349,7697,84.14
360,1,486,351,7623,83.33
361,1,486,353,7631,83.42
362,1,486,355,7722,84.41
363,1,486,358,7910,86.47
364,1,486,360,8025,87.72
365,1,486,363,7960,87.01
366,1,486,366,7835,85.65
367,1,486,368,7707,84.25
368,1,486,371,7682,83.97
369,1,485,374,7677,83.92
370,1,485,377,7670,83.84
371,1,485,380,7610,83.19
372,1,485,382,7608,83.17
373,1,485,385,7632,83.43
374,1,485,388,7624,83.34
375,1,485,391,7523,82.24
376,1,485,394,7414,81.05
377,1,485,397,7412,81.02
378,1,485,401,7373,80.6
379,1,485,404,7178,78.47
380,1,485,408,7144,78.09
381,1,484,410,7123,77.86
382,1,484,413,7265,79.42
383,1,484,416,7120,77.83
384,1,484,417,7035,76.9
385,1,484,418,6817,74.52
386,1,484,421,6685,73.08
387,1,484,422,6308,68.95
388,1,484,422,6069,66.34
389,1,483,422,5974,65.3
390,1,483,421,6010,65.7
391,1,483,421,6288,68.74
392,1,483,418,6465,70.67
393,1,483,416,6594,72.08
394,1,484,413,6745,73.73
395,1,484,412,7115,77.78
396,1,484,409,7157,78.24
397,1,484,407,7348,80.32
398,1,484,404,7504,82.03
399,1,484,402,7610,83.19
400,1,485,401,7844,85.75
401,1,485,401,8137,88.95
402,1,485,400,8491,92.82
403,1,485,400,8730,95.43
404,1,486,401,9498,103.83
405,1,486,401,9658,105.57
406,1,486,399,9079,99.25
407,1,486,399,8878,97.05
408,1,487,400,8832,96.55
409,1,487,400,8555,93.52
410,1,488,403,8659,94.65
411,1,488,405,8553,93.5
412,1,489,401,7225,78.98
413,1,489,403,6954,76.02
414,1,490,405,6753,73.82
415,1,490,407,6640,72.58
416,1,491,409,6359,69.51
417,1,491,412,6186,67.62
418,1,491,416,6675,72.97
419,1,492,419,6880,75.21
420,1,492,421,6975,76.25
421,1,493,422,6925,75.7
422,1,493,424,6974,76.24
423,1,494,425,7035,76.9
424,1,494,425,7174,78.42
425,1,494,426,7391,80.79
426,1,494,420,6239,68.2
427,1,495,418,6459,70.61
428,1,495,416,6639,72.57
429,1,496,414,6700,73.24
430,1,496,417,7950,86.9
431,1,496,414,7994,87.39
432,1,496,412,7980,87.23
433,1,497,410,8047,87.96
434,1,497,410,8293,90.65
435,1,497,409,8274,90.45
436,1,497,409,8356,91.34
437,1,497,409,8432,92.17
438,1,496,409,8423,92.07
439,1,496,409,8567,93.65
440,1,496,410,8595,93.95
441,1,496,410,8580,93.79
442,1,496,411,8528,93.22
443,1,496,413,8542,93.38
444,1,496,414,8554,93.51
445,1,496,417,8710,95.21
446,1,495,417,8249,90.17
447,1,495,421,8361,91.4
448,1,494,423,8079,88.31
449,1,494,425,8099,88.53
450,1,493,426,7699,84.16
451,1,493,427,7620,83.3
452,1,492,429,7592,82.99
453,1,492,422,6103,66.71
454,1,492,429,7622,83.32
455,1,491,428,7700,84.17
456,1,491,425,7690,84.06
457,1,491,425,7829,85.58
458,1,491,423,7770,84.94
459,1,490,419,7536,82.38
460,1,490,419,7926,86.64
461,1,490,418,8202,89.66
462,1,489,416,8340,91.17
463,1,489,414,8511,93.04
464,1,489,414,8981,98.17
465,1,489,413,9118,99.67
466,1,489,412,9391,102.66
467,1,489,411,9381,102.55
468,1,489,412,9330,101.99
469,1,489,413,9306,101.73
470,1,489,414,9195,100.51
471,1,489,415,9081,99.27
472,1,489,415,8706,95.17
473,1,490,417,8590,93.9
474,1,490,418,8545,93.41
475,1,490,420,8373,91.53
476,1,490,423,8378,91.58
477,1,490,424,8113,88.69
478,1,491,424,8064,88.15
479,1,491,426,7975,87.18
480,1,491,427,8025,87.72
481,1,491,428,7835,85.65
482,1,491,429,8022,87.69
483,1,493,430,8082,88.35
484,1,492,428,7864,85.96
485,1,493,428,8083,88.36
486,1,493,426,8158,89.18
487,1,494,424,8318,90.93
488,1,494,422,8209,89.74
489,1,494,420,8521,93.15
490,1,494,420,8992,98.29
491,1,495,417,8636,94.4
492,1,495,416,8675,94.83
493,1,495,415,8778,95.96
494,1,495,414,8701,95.11
495,1,495,412,8611,94.13
496,1,496,413,8717,95.29
497,1,496,413,8808,96.28
498,1,496,412,8548,93.44
499,1,496,414,8906,97.35
500,1,496,413,8697,95.07
501,1,495,414,8577,93.76
502,1,495,416,8709,95.2
503,1,496,417,8584,93.83
504,1,495,418,8568,93.66
505,1,495,421,8525,93.19
506,1,495,422,8326,91.01
507,1,495,424,8101,88.55
508,1,495,425,8056,88.06
509,1,494,427,8109,88.64
510,1,494,428,7944,86.84
511,1,494,429,7972,87.14
512,1,494,421,6294,68.8
513,1,494,420,6052,66.16
514,1,493,427,7838,85.68
515,1,492,426,7888,86.23
516,1,492,425,8098,88.52
517,1,491,423,7762,84.85
518,1,492,421,7723,84.42
519,1,491,420,7828,85.57
520,1,491,419,8289,90.61
521,1,490,416,8433,92.18
522,1,490,416,8613,94.15
523,1,490,415,8799,96.18
524,1,490,414,9021,98.61
525,1,490,414,9186,100.42
526,1,490,413,9145,99.97
527,1,490,413,9007,98.46
528,1,490,413,9159,100.12
529,1,489,414,9021,98.61
530,1,490,415,8952,97.86
531,1,490,416,8714,95.26
532,1,490,417,8738,95.52
533,1,490,418,8431,92.16
534,1,490,421,8499,92.91
535,1,490,421,8065,88.16
536,1,490,422,7878,86.12
537,1,490,425,7952,86.93
538,1,490,426,7839,85.69
539,1,490,427,7745,84.66
540,1,491,428,7589,82.96
541,1,491,428,7579,82.85
542,1,491,428,7562,82.66
543,1,492,421,5891,64.4
544,1,492,429,7377,80.64
545,1,492,427,7532,82.33
546,1,492,424,8358,91.36
547,1,493,423,8084,88.37
548,1,493,421,8066,88.17
549,1,493,418,8011,87.57
550,1,493,417,8421,92.05
551,1,492,417,8907,97.37
552,1,493,416,8952,97.86
553,1,493,415,8908,97.38
554,1,494,412,8535,93.3
555,1,494,413,8783,96.01
556,1,495,412,8699,95.09
557,1,494,412,8676,94.84
558,1,494,415,8972,98.08
559,1,494,413,8657,94.63
560,1,493,415,8728,95.41
561,1,494,416,8591,93.91
562,1,494,418,8488,92.79
563,1,495,417,8081,88.34
564,1,495,419,8069,88.21
565,1,495,420,7822,85.51
566,1,494,422,7877,86.11
567,1,493,423,7828,85.57
568,1,494,424,7796,85.22
569,1,494,426,7578,82.84
570,1,494,427,7546,82.49
571,1,494,427,7562,82.66
572,1,494,426,7384,80.72
573,1,493,425,7518,82.18
574,1,493,424,7480,81.77
575,1,493,423,7711,84.29
576,1,494,422,7754,84.76
577,1,493,420,7610,83.19
578,1,493,419,7815,85.43
579,1,492,417,8063,88.14
580,1,492,416,8200,89.64
581,1,491,415,8404,91.87
582,1,492,415,8536,93.31
583,1,492,413,8338,91.15
584,1,491,412,8436,92.22
585,1,491,412,8501,92.93
586,1,491,411,8466,92.54
587,1,491,413,8700,95.1
588,1,491,413,8666,94.73
589,1,491,414,8473,92.62
590,1,491,414,8201,89.65
591,1,491,415,8272,90.42
592,1,491,416,8147,89.06
593,1,490,418,8071,88.23
594,1,490,419,7836,85.66
595,1,491,420,7503,82.02
596,1,491,422,7517,82.17
597,1,491,424,7656,83.69
598,1,491,424,7377,80.64
599,1,491,425,7083,77.43
600,1,490,425,6917,75.61
601,1,491,425,7040,76.96
602,1,491,425,7118,77.81
603,1,491,425,7483,81.8
604,1,491,423,7321,80.03
605,1,491,422,7426,81.18
606,1,491,420,7532,82.33
607,1,491,419,7616,83.25
608,1,492,418,7810,85.37
609,1,492,416,7914,86.51
610,1,492,415,8143,89.01
611,1,492,414,8195,89.58
612,1,492,414,8437,92.23
613,1,492,413,8574,93.73
614,1,492,412,8594,93.94
615,1,493,413,8650,94.56
616,1,493,414,8774,95.91
617,1,493,413,8583,93.82
