frame,drop_id,cx,cy,area_px,percentage,in_frame
815,1,840,81,9247,100.0,1
816,1,840,106,11210,121.23,1
817,1,840,132,11258,121.75,1
818,1,839,158,11275,121.93,1
819,1,839,183,11474,124.08,1
820,1,838,209,11507,124.44,1
821,1,838,234,11665,126.15,1
822,1,838,261,11723,126.78,1
823,1,837,287,11825,127.88,1
824,1,837,313,11963,129.37,1
825,1,837,339,12026,130.05,1
826,1,837,365,11976,129.51,1
827,1,837,390,11996,129.73,1
828,1,837,410,11160,120.69,1
829,1,837,423,9887,106.92,1
830,1,835,433,9393,101.58,1
831,1,834,438,8824,95.43,1
832,1,834,440,8816,95.34,1
833,1,834,438,9375,101.38,1
834,1,834,437,9798,105.96,1
835,1,833,435,10073,108.93,1
836,1,832,433,10090,109.12,1
837,1,831,431,10091,109.13,1
838,1,831,429,10289,111.27,1
839,1,831,425,10340,111.82,1
840,1,831,419,11498,124.34,1
841,1,832,411,12403,134.13,1
842,1,832,402,12985,140.42,1
843,1,832,393,13443,145.38,1
844,1,831,383,13919,150.52,1
845,1,833,370,13666,147.79,1
846,1,833,359,13569,146.74,1
847,1,831,357,15112,163.43,1
848,1,830,353,16122,174.35,1
849,1,830,349,16716,180.77,1
850,1,830,344,16917,182.95,1
851,1,830,338,16843,182.15,1
852,1,830,331,16540,178.87,1
852,2,932,2,209,2.26,0
853,1,828,331,17776,192.24,1
853,2,929,13,1609,17.4,0
854,1,828,331,18803,203.34,1
854,2,929,25,3055,33.04,0
855,1,827,330,19595,211.91,1
855,2,929,47,3247,35.11,1
856,1,828,357,16326,176.55,1
856,2,929,72,3306,35.75,1
856,3,826,179,2874,31.08,1
857,1,829,354,15422,166.78,1
857,2,929,96,3300,35.69,1
857,3,826,172,2609,28.21,1
858,1,829,355,15209,164.47,1
858,2,929,120,3352,36.25,1
858,3,826,166,2528,27.34,1
859,1,828,356,15256,164.98,1
859,2,928,144,3375,36.5,1
859,3,826,160,2541,27.48,1
860,1,827,355,15441,166.98,1
860,2,928,169,3432,37.11,1
860,3,826,154,2540,27.47,1
861,1,827,354,15101,163.31,1
861,2,929,193,3471,37.54,1
861,3,826,148,2595,28.06,1
862,1,827,353,14511,156.93,1
862,2,929,218,3525,38.12,1
862,3,825,142,2632,28.46,1
863,1,827,355,14408,155.81,1
863,2,929,242,3543,38.32,1
863,3,826,137,2614,28.27,1
864,1,827,356,14352,155.21,1
864,2,928,267,3531,38.19,1
864,3,825,132,2564,27.73,1
865,1,827,356,14091,152.38,1
865,2,928,292,3523,38.1,1
865,3,825,126,2467,26.68,1
866,1,827,356,13881,150.11,1
866,2,929,317,3502,37.87,1
866,3,825,120,2375,25.68,1
867,1,827,357,13687,148.02,1
867,2,929,342,3481,37.64,1
867,3,825,115,2342,25.33,1
868,1,828,358,13396,144.87,1
868,2,929,367,3411,36.89,1
868,3,825,109,2365,25.58,1
869,1,827,358,13014,140.74,1
869,2,929,392,3389,36.65,1
869,3,825,104,2401,25.97,1
870,1,827,359,12931,139.84,1
870,2,929,416,3306,35.75,1
