frame,drop_id,cx,cy,area_px,percentage
584,1,680,65,8571,100.0
585,1,681,90,9032,105.38
586,1,680,115,8883,103.64
587,1,680,140,8844,103.19
588,1,680,167,8743,102.01
589,1,680,194,8850,103.26
590,1,680,220,8748,102.07
591,1,680,246,8871,103.5
592,1,680,272,8822,102.93
593,1,680,301,8622,100.6
594,1,680,327,8588,100.2
595,1,680,356,8740,101.97
596,1,679,381,9334,108.9
597,1,679,403,8962,104.56
598,1,679,420,7613,88.82
599,1,678,431,6969,81.31
600,1,680,440,5636,65.76
601,1,680,443,5689,66.37
602,1,679,443,6220,72.57
603,1,679,441,6169,71.98
604,1,680,440,6200,72.34
605,1,678,438,6600,77.0
606,1,677,436,6684,77.98
607,1,677,432,6627,77.32
608,1,678,430,7510,87.62
609,1,677,419,8637,100.77
610,1,679,403,10090,117.72
611,1,680,390,10947,127.72
612,1,681,377,11766,137.28
613,1,681,363,13186,153.84
614,1,681,351,14513,169.33
615,1,681,341,15918,185.72
616,1,682,328,16497,192.47
617,1,683,317,16345,190.7
618,1,683,303,17728,206.84
619,1,679,336,15275,178.22
620,1,679,335,15207,177.42
621,1,679,329,15268,178.14
622,1,678,324,15568,181.64
623,1,678,319,16011,186.8
624,1,678,311,16736,195.26
625,1,678,304,16822,196.27
626,1,678,297,16940,197.64
627,1,672,361,10377,121.07
627,2,693,146,4289,50.04
628,1,671,361,9970,116.32
628,2,693,131,3464,40.42
629,1,671,360,9750,113.76
629,2,694,122,3370,39.32
630,1,671,360,9622,112.26
630,2,694,115,3128,36.5
631,1,671,359,9649,112.58
631,2,693,105,2848,33.23
632,1,671,359,9437,110.1
633,1,670,356,9165,106.93
634,1,670,352,8736,101.93
635,1,670,348,8342,97.33
636,1,669,344,7805,91.06
637,1,669,341,7215,84.18
638,1,668,339,7592,88.58
639,1,667,337,7310,85.29
640,1,667,337,7174,83.7
641,1,667,337,7285,85.0
642,1,667,335,7467,87.12
643,1,667,335,7528,87.83
644,1,667,334,7753,90.46
645,1,668,333,7885,92.0
646,1,667,332,8242,96.16
647,1,666,329,8779,102.43
648,1,665,327,8733,101.89
649,1,665,326,8792,102.58
650,1,665,325,9388,109.53
651,1,664,325,9438,110.12
652,1,664,325,9552,111.45
653,1,664,326,9626,112.31
654,1,664,328,9558,111.52
655,1,664,328,9349,109.08
656,1,664,328,9269,108.14
657,1,663,329,8537,99.6
658,1,663,329,8493,99.09
659,1,663,330,8765,102.26
660,1,662,329,7994,93.27
661,1,662,328,7497,87.47
662,1,662,327,7183,83.81
663,1,662,328,6981,81.45
664,1,662,328,6875,80.21
665,1,661,328,7018,81.88
666,1,661,330,7140,83.3
667,1,661,331,7206,84.07
668,1,661,332,7202,84.03
669,1,660,333,7326,85.47
670,1,660,335,7613,88.82
671,1,659,336,7941,92.65
672,1,658,335,8284,96.65
673,1,658,335,8603,100.37
674,1,658,336,8820,102.91
675,1,657,337,8874,103.54
676,1,658,338,9330,108.86
677,1,657,340,9385,109.5
678,1,657,342,9380,109.44
679,1,657,344,9310,108.62
680,1,657,346,9296,108.46
681,1,656,349,8566,99.94
682,1,656,351,8863,103.41
683,1,655,353,8252,96.28
684,1,655,355,8165,95.26
685,1,655,356,7860,91.7
686,1,655,358,7735,90.25
687,1,655,359,7607,88.75
688,1,655,361,7433,86.72
689,1,655,363,7365,85.93
690,1,655,365,7362,85.89
691,1,655,368,7497,87.47
692,1,654,372,7668,89.46
693,1,654,375,7803,91.04
694,1,653,378,7953,92.79
695,1,653,380,8096,94.46
696,1,652,382,8744,102.02
697,1,652,385,9026,105.31
698,1,652,386,8669,101.14
699,1,652,388,9056,105.66
700,1,651,390,9108,106.27
701,1,651,392,9008,105.1
702,1,651,395,8569,99.98
703,1,651,397,8325,97.13
704,1,650,400,8058,94.01
705,1,650,403,7807,91.09
706,1,650,405,7588,88.53
707,1,650,408,7153,83.46
708,1,650,410,6882,80.29
709,1,649,412,6874,80.2
710,1,649,413,6767,78.95
711,1,649,415,6547,76.39
712,1,649,415,6429,75.01
713,1,650,416,7000,81.67
714,1,649,415,6896,80.46
715,1,648,415,6966,81.27
716,1,648,414,6924,80.78
717,1,647,413,7363,85.91
718,1,647,411,7036,82.09
719,1,647,410,7119,83.06
720,1,647,408,7659,89.36
721,1,646,407,7841,91.48
722,1,646,405,7637,89.1
723,1,645,402,7876,91.89
724,1,645,400,8103,94.54
725,1,645,397,8308,96.93
726,1,645,396,8506,99.24
727,1,645,396,9233,107.72
728,1,645,395,9353,109.12
729,1,645,394,9429,110.01
730,1,644,393,8843,103.17
731,1,644,393,8814,102.84
732,1,644,395,9366,109.28
733,1,643,395,8767,102.29
734,1,644,396,8415,98.18
735,1,643,397,8199,95.66
736,1,644,398,8084,94.32
737,1,644,400,7887,92.02
738,1,644,401,7866,91.77
739,1,644,402,7578,88.41
740,1,644,404,7977,93.07
741,1,643,405,7522,87.76
742,1,643,407,7893,92.09
743,1,643,408,7884,91.98
744,1,643,410,7894,92.1
745,1,642,412,7802,91.03
746,1,642,413,7609,88.78
747,1,643,414,7499,87.49
748,1,643,415,7032,82.04
749,1,642,415,6881,80.28
750,1,642,416,6652,77.61
751,1,643,415,7295,85.11
752,1,643,414,7031,82.03
753,1,643,413,7536,87.92
754,1,643,412,7330,85.52
755,1,643,410,7867,91.79
756,1,643,409,7568,88.3
757,1,644,408,7668,89.46
758,1,644,406,8029,93.68
759,1,644,405,7755,90.48
760,1,644,403,7648,89.23
761,1,644,402,7638,89.11
762,1,645,401,7740,90.3
763,1,644,401,7840,91.47
764,1,645,400,8428,98.33
765,1,645,399,8146,95.04
766,1,645,399,8627,100.65
767,1,645,399,8130,94.85
768,1,645,399,8201,95.68
769,1,645,400,8673,101.19
770,1,645,400,8260,96.37
771,1,645,401,8112,94.64
772,1,645,403,7986,93.17
773,1,645,405,8185,95.5
774,1,645,406,7597,88.64
775,1,645,408,7413,86.49
776,1,644,410,7192,83.91
777,1,644,411,6869,80.14
778,1,644,412,6746,78.71
779,1,644,413,6755,78.81
780,1,644,414,6746,78.71
781,1,644,416,7270,84.82
782,1,644,415,6776,79.06
783,1,644,416,7084,82.65
784,1,643,415,6666,77.77
