frame,drop_id,cx,cy,area_px,percentage,in_frame
467,1,517,72,8954,99.99,1
468,1,516,97,11108,124.05,1
469,1,515,123,11155,124.57,1
470,1,515,148,11249,125.62,1
471,1,514,174,11288,126.06,1
472,1,514,200,11332,126.55,1
473,1,513,225,11441,127.77,1
474,1,512,251,11454,127.91,1
475,1,511,277,11551,129.0,1
476,1,511,303,11609,129.64,1
477,1,510,328,11710,130.77,1
478,1,509,354,11806,131.84,1
479,1,508,381,11873,132.59,1
480,1,508,409,12505,139.65,1
481,1,507,428,11705,130.72,1
482,1,507,440,10701,119.5,1
483,1,505,449,10152,113.37,1
484,1,505,452,9559,106.75,1
485,1,505,451,9788,109.31,1
486,1,504,450,10474,116.97,1
487,1,503,448,10743,119.97,1
488,1,503,445,10812,120.74,1
489,1,502,443,10874,121.44,1
490,1,501,440,10986,122.69,1
491,1,499,435,10710,119.6,1
492,1,497,425,12001,134.02,1
493,1,497,417,13853,154.7,1
494,1,496,404,14648,163.58,1
495,1,496,393,15920,177.79,1
496,1,496,384,16297,182.0,1
497,1,496,378,17182,191.88,1
498,1,496,368,17303,193.23,1
499,1,495,361,17618,196.75,1
500,1,494,357,18679,208.6,1
501,1,493,348,18521,206.83,1
502,1,493,342,18644,208.21,1
503,1,492,361,17083,190.78,1
503,2,489,133,1535,17.14,1
504,1,492,356,17740,198.11,1
504,2,488,117,1566,17.49,1
505,1,491,353,17837,199.2,1
505,2,487,101,1593,17.79,1
506,1,489,349,17742,198.14,1
506,2,486,86,1542,17.22,1
507,1,489,347,17946,200.41,1
507,2,486,70,1500,16.75,1
508,1,489,344,18205,203.31,1
508,2,485,54,1504,16.8,1
509,1,488,371,15085,168.46,1
509,2,484,38,1441,16.09,1
509,3,488,202,2928,32.7,1
510,1,488,370,14831,165.63,1
510,2,483,21,1474,16.46,0
510,3,487,196,2760,30.82,1
511,1,487,368,14319,159.91,1
511,2,481,11,1027,11.47,0
511,3,486,190,2591,28.94,1
512,1,486,365,14089,157.34,1
512,2,480,4,341,3.81,0
512,3,486,184,2464,27.52,1
513,1,486,363,13524,151.03,1
513,3,486,178,2187,24.42,1
514,1,485,359,12857,143.58,1
514,3,486,173,2094,23.38,1
515,1,484,355,12315,137.53,1
515,3,485,171,1938,21.64,1
516,1,484,351,11589,129.42,1
516,3,484,167,1998,22.31,1
517,1,483,347,10935,122.12,1
517,3,484,162,2220,24.79,1
518,1,483,344,10543,117.74,1
518,3,484,158,2275,25.41,1
519,1,482,342,9969,111.33,1
519,3,483,156,2304,25.73,1
520,1,482,338,9490,105.98,1
520,3,483,153,2264,25.28,1
520,4,531,5,510,5.7,0
521,1,482,336,9374,104.68,1
521,3,483,149,2162,24.14,1
521,4,530,17,1669,18.64,0
522,1,480,333,9055,101.12,1
522,3,482,145,1961,21.9,1
522,4,530,37,1956,21.84,1
523,1,480,332,9109,101.73,1
523,3,482,143,1912,21.35,1
523,4,529,61,2129,23.78,1
524,1,479,332,9418,105.18,1
524,3,481,140,1998,22.31,1
524,4,528,84,2170,24.23,1
525,1,479,331,9853,110.03,1
525,3,504,121,4657,52.01,1
526,1,479,330,10185,113.74,1
526,3,503,132,4578,51.13,1
527,1,478,329,10446,116.66,1
527,3,503,142,4707,52.57,1
528,1,477,326,10798,120.59,1
528,3,480,127,2209,24.67,1
528,5,525,179,2261,25.25,1
529,1,476,324,11547,128.95,1
529,3,480,124,2070,23.12,1
529,5,524,203,2283,25.5,1
530,1,476,321,12167,135.88,1
530,3,479,121,1968,21.98,1
530,5,523,228,2397,26.77,1
531,1,483,308,15032,167.87,1
531,3,479,118,1953,21.81,1
532,1,481,312,14819,165.49,1
532,3,478,116,1961,21.9,1
533,1,480,314,14356,160.32,1
533,3,478,114,2086,23.3,1
534,1,478,315,14061,157.03,1
534,3,477,111,2224,24.84,1
535,1,478,317,14020,156.57,1
535,3,477,109,2217,24.76,1
536,1,478,321,14371,160.49,1
536,3,477,107,2191,24.47,1
537,1,480,327,14793,165.2,1
537,3,476,105,2090,23.34,1
538,1,471,314,11997,133.98,1
538,3,476,102,1938,21.64,1
538,6,518,421,2358,26.33,1
539,1,471,314,11747,131.19,1
539,3,475,100,1931,21.56,1
539,6,518,448,2402,26.82,1
540,1,470,314,11454,127.91,1
540,3,475,99,1929,21.54,1
540,6,517,456,2139,23.89,1
541,1,470,314,11264,125.79,1
541,3,475,97,2031,22.68,1
541,6,516,454,2230,24.9,1
542,1,469,314,11054,123.45,1
542,3,474,95,2145,23.95,1
542,6,516,447,2757,30.79,1
543,1,469,314,10723,119.75,1
543,3,474,93,2147,23.98,1
543,6,515,435,3447,38.49,1
544,1,468,313,10292,114.94,1
544,3,474,92,2170,24.23,1
544,6,516,423,3289,36.73,1
545,1,467,311,9831,109.79,1
545,3,473,90,2013,22.48,1
545,6,516,420,3449,38.52,1
546,1,466,310,9678,108.08,1
546,3,473,88,1947,21.74,1
546,6,514,418,3351,37.42,1
547,1,466,310,9783,109.25,1
547,3,472,86,1854,20.7,1
547,6,513,415,3447,38.49,1
548,1,465,310,9917,110.75,1
548,3,472,85,1879,20.98,1
548,6,513,414,3487,38.94,1
549,1,465,309,9913,110.7,1
549,3,472,84,1959,21.88,1
549,6,513,412,3097,34.59,1
550,1,464,310,10131,113.14,1
550,3,471,83,2088,23.32,1
550,6,512,413,2888,32.25,1
551,1,464,310,10196,113.86,1
551,3,471,82,2104,23.5,1
551,6,512,413,2832,31.63,1
552,1,464,312,10557,117.9,1
552,3,470,81,2111,23.57,1
552,6,512,413,2777,31.01,1
553,1,463,312,10916,121.91,1
553,3,470,80,2045,22.84,1
553,6,511,413,2856,31.89,1
554,1,462,313,11253,125.67,1
554,3,470,78,1908,21.31,1
554,6,511,413,2659,29.69,1
555,1,461,313,11648,130.08,1
555,3,469,77,1889,21.1,1
555,6,512,415,2610,29.15,1
556,1,461,312,12016,134.19,1
556,3,469,76,1883,21.03,1
556,6,511,418,2477,27.66,1
557,1,460,312,12220,136.47,1
557,3,468,76,1969,21.99,1
557,6,512,422,2411,26.93,1
558,1,459,312,12344,137.85,1
558,3,468,75,2077,23.2,1
558,6,512,427,2558,28.57,1
559,1,459,312,12258,136.89,1
559,3,468,75,2155,24.07,1
559,6,512,433,2772,30.96,1
560,1,458,313,12166,135.86,1
560,3,467,74,2138,23.88,1
560,6,513,437,2831,31.62,1
561,1,458,314,11939,133.33,1
561,3,467,74,2027,22.64,1
561,6,512,440,2836,31.67,1
562,1,457,315,11888,132.76,1
562,3,466,73,1925,21.5,1
562,6,513,444,2573,28.73,1
563,1,457,317,11842,132.25,1
563,3,466,72,1887,21.07,1
563,6,513,446,2500,27.92,1
564,1,456,318,11780,131.55,1
564,3,465,72,1915,21.39,1
564,6,513,444,2489,27.8,1
565,1,456,321,11559,129.09,1
565,3,465,72,1904,21.26,1
565,6,513,442,2524,28.19,1
566,1,455,323,11366,126.93,1
566,3,465,72,2008,22.42,1
566,6,514,440,2749,30.7,1
567,1,455,325,10916,121.91,1
567,3,465,72,2019,22.55,1
567,6,514,437,2870,32.05,1
568,1,454,326,10659,119.04,1
568,3,464,72,2008,22.42,1
568,6,514,436,2973,33.2,1
569,1,453,327,10324,115.29,1
569,3,463,72,1983,22.15,1
569,6,514,435,3050,34.06,1
570,1,452,328,10253,114.5,1
570,3,463,72,1908,21.31,1
570,6,514,437,2911,32.51,1
571,1,452,329,10172,113.6,1
571,3,462,72,1864,20.82,1
571,6,515,439,2756,30.78,1
572,1,452,331,10241,114.37,1
572,3,462,73,1888,21.08,1
572,6,514,441,2620,29.26,1
573,1,451,332,10363,115.73,1
573,3,462,73,1946,21.73,1
573,6,514,443,2571,28.71,1
574,1,451,334,10453,116.73,1
574,3,461,74,2016,22.51,1
574,6,514,445,2562,28.61,1
575,1,450,335,10433,116.51,1
575,3,461,74,2047,22.86,1
575,6,514,445,2508,28.01,1
576,1,450,338,10571,118.05,1
576,3,460,74,2039,22.77,1
576,6,513,443,2672,29.84,1
577,1,449,340,10702,119.52,1
577,3,460,75,1995,22.28,1
577,6,514,440,2743,30.63,1
578,1,448,343,11024,123.11,1
578,3,460,76,1944,21.71,1
578,6,514,439,2855,31.88,1
579,1,447,345,11331,126.54,1
579,3,459,77,1913,21.36,1
579,6,513,437,2900,32.39,1
580,1,447,347,11578,129.3,1
580,3,459,77,1947,21.74,1
580,6,513,436,2985,33.34,1
581,1,460,368,14948,166.93,1
581,3,459,79,1986,22.18,1
582,1,460,369,15132,168.99,1
582,3,458,80,2069,23.11,1
583,1,459,371,15026,167.8,1
583,3,458,81,2072,23.14,1
584,1,457,371,14670,163.83,1
584,3,457,82,2083,23.26,1
585,1,457,373,14586,162.89,1
585,3,457,83,1995,22.28,1
586,1,456,375,14534,162.31,1
586,3,457,84,1974,22.04,1
587,1,456,378,14724,164.43,1
587,3,457,86,1912,21.35,1
588,1,456,380,14706,164.23,1
588,3,456,87,1952,21.8,1
589,1,457,383,14767,164.91,1
589,3,456,88,2007,22.41,1
590,1,457,386,14773,164.98,1
590,3,455,90,2061,23.02,1
591,1,457,389,14415,160.98,1
591,3,455,92,2044,22.83,1
592,1,456,392,14174,158.29,1
592,3,455,94,2054,22.94,1
593,1,456,395,13973,156.04,1
593,3,454,95,1979,22.1,1
594,1,456,398,13862,154.8,1
594,3,454,97,1977,22.08,1
595,1,454,400,13613,152.02,1
595,3,453,99,1973,22.03,1
596,1,453,403,13523,151.02,1
596,3,453,101,1947,21.74,1
597,1,453,405,13396,149.6,1
597,3,453,103,1972,22.02,1
598,1,453,409,13806,154.18,1
598,3,452,105,2039,22.77,1
599,1,453,412,13957,155.87,1
599,3,452,107,2054,22.94,1
600,1,452,416,14295,159.64,1
600,3,452,109,2058,22.98,1
600,7,380,8,737,8.23,0
601,1,451,418,14383,160.62,1
601,3,451,112,2026,22.63,1
601,7,381,21,1491,16.65,0
602,1,451,421,14559,162.59,1
602,3,451,114,1990,22.22,1
602,7,380,45,1380,15.41,1
603,1,451,423,14412,160.95,1
603,3,450,116,2023,22.59,1
603,7,380,68,1527,17.05,1
604,1,450,425,14167,158.21,1
604,3,450,119,2012,22.47,1
604,7,379,91,1513,16.9,1
605,1,449,426,13615,152.05,1
605,3,449,122,2012,22.47,1
605,7,379,113,1590,17.76,1
606,1,448,427,13558,151.41,1
606,3,449,125,2097,23.42,1
606,7,378,136,1615,18.04,1
607,1,447,428,13136,146.7,1
607,3,449,127,2086,23.3,1
607,7,377,158,1630,18.2,1
608,1,447,429,12901,144.07,1
608,3,448,130,2091,23.35,1
608,7,377,181,1687,18.84,1
609,1,447,428,12779,142.71,1
609,3,448,133,2037,22.75,1
609,7,376,204,1697,18.95,1
610,1,447,428,13051,145.75,1
610,3,448,136,2031,22.68,1
610,7,375,227,1718,19.19,1
611,1,448,428,13027,145.48,1
611,3,447,139,2009,22.44,1
611,7,374,250,1705,19.04,1
612,1,448,427,13161,146.98,1
612,3,447,142,2061,23.02,1
612,7,373,273,1711,19.11,1
613,1,448,426,13492,150.67,1
613,3,446,145,2098,23.43,1
613,7,372,296,1711,19.11,1
614,1,447,426,13985,156.18,1
614,3,446,148,2109,23.55,1
614,7,371,319,1728,19.3,1
615,1,446,424,14170,158.24,1
615,3,446,152,2141,23.91,1
615,7,371,343,1789,19.98,1
616,1,436,417,16320,182.25,1
616,3,445,155,2129,23.78,1
617,1,437,419,16061,179.36,1
617,3,445,159,2143,23.93,1
618,1,437,421,15703,175.36,1
618,3,445,162,2060,23.01,1
619,1,436,422,16190,180.8,1
619,3,444,166,2073,23.15,1
620,1,436,422,16148,180.33,1
620,3,444,170,2031,22.68,1
621,1,436,421,16448,183.68,1
621,3,443,174,2051,22.9,1
622,1,435,419,16888,188.6,1
622,3,443,177,2104,23.5,1
623,1,434,416,17031,190.19,1
623,3,443,181,2114,23.61,1
624,1,434,414,16865,188.34,1
624,3,443,186,2105,23.51,1
625,1,434,413,16750,187.06,1
625,3,442,190,2049,22.88,1
626,1,434,411,16813,187.76,1
626,3,442,194,2029,22.66,1
627,1,434,409,16907,188.81,1
627,3,442,198,2039,22.77,1
628,1,434,407,16732,186.86,1
628,3,441,202,2016,22.51,1
629,1,435,406,16558,184.91,1
629,3,441,207,2031,22.68,1
630,1,436,406,16344,182.52,1
630,3,440,211,2090,23.34,1
631,1,437,406,16053,179.27,1
631,3,440,215,2104,23.5,1
632,1,436,405,16262,181.61,1
632,3,440,220,2092,23.36,1
633,1,434,403,16988,189.71,1
633,3,439,225,2079,23.22,1
634,1,434,401,17525,195.71,1
634,3,439,230,2049,22.88,1
635,1,434,401,17616,196.73,1
635,3,438,234,2048,22.87,1
636,1,435,401,17679,197.43,1
636,3,438,238,2110,23.56,1
637,1,447,410,15447,172.51,1
637,3,438,244,2153,24.04,1
637,8,359,339,1759,19.64,1
638,1,448,412,15035,167.9,1
638,3,438,249,2126,23.74,1
638,8,358,332,1383,15.44,1
639,1,448,413,14662,163.74,1
639,3,437,254,2167,24.2,1
639,8,357,327,1462,16.33,1
640,1,448,414,14472,161.62,1
640,3,437,259,2166,24.19,1
640,8,356,321,1785,19.93,1
641,1,448,415,14118,157.66,1
641,3,436,264,2156,24.08,1
641,8,357,315,1931,21.56,1
642,1,449,417,14092,157.37,1
642,3,436,269,2139,23.89,1
642,8,356,310,1977,22.08,1
643,1,450,418,13901,155.24,1
643,3,435,275,2159,24.11,1
643,8,356,304,1862,20.79,1
644,1,451,420,13858,154.76,1
644,3,435,280,2146,23.97,1
644,8,355,299,1642,18.34,1
645,1,452,421,13766,153.73,1
645,3,434,286,2149,24.0,1
645,8,355,293,1358,15.17,1
646,1,452,422,13736,153.4,1
646,3,434,291,2199,24.56,1
646,8,354,288,1444,16.13,1
647,1,453,424,13772,153.8,1
647,3,434,297,2233,24.94,1
647,8,354,284,1733,19.35,1
648,1,453,425,13504,150.81,1
648,3,433,303,2231,24.91,1
648,8,354,279,1877,20.96,1
649,1,454,426,13482,150.56,1
649,3,433,308,2236,24.97,1
649,8,353,274,1966,21.96,1
650,1,454,427,13107,146.37,1
650,3,433,314,2206,24.64,1
650,8,353,268,1853,20.69,1
651,1,455,427,12930,144.4,1
651,3,432,320,2253,25.16,1
651,8,352,264,1697,18.95,1
652,1,455,428,12765,142.55,1
652,3,432,327,2274,25.4,1
652,8,352,259,1444,16.13,1
653,1,452,413,15239,170.18,1
653,8,351,254,1415,15.8,1
654,1,453,414,15708,175.42,1
654,8,351,250,1720,19.21,1
655,1,453,413,15529,173.42,1
655,8,350,246,1841,20.56,1
656,1,454,414,15472,172.78,1
656,8,350,241,1907,21.3,1
657,1,454,415,15158,169.28,1
657,8,350,236,1789,19.98,1
658,1,455,417,15171,169.42,1
658,8,349,232,1671,18.66,1
659,1,456,417,14889,166.27,1
659,8,349,229,1452,16.22,1
660,1,457,418,14858,165.93,1
660,8,348,224,1435,16.03,1
661,1,457,417,14917,166.59,1
661,8,348,220,1625,18.15,1
662,1,457,416,15062,168.21,1
662,8,348,217,1786,19.95,1
663,1,457,416,15137,169.04,1
663,8,347,213,1823,20.36,1
664,1,457,414,15182,169.55,1
664,8,347,209,1742,19.45,1
665,1,457,414,15381,171.77,1
665,8,347,205,1606,17.94,1
666,1,458,414,15340,171.31,1
666,8,346,202,1401,15.65,1
667,1,458,414,15520,173.32,1
667,8,345,198,1391,15.53,1
668,1,458,414,15128,168.94,1
668,8,345,194,1614,18.02,1
669,1,458,414,15050,168.07,1
669,8,345,191,1734,19.36,1
670,1,459,415,15099,168.62,1
670,8,345,188,1809,20.2,1
671,1,458,415,14998,167.49,1
671,8,344,184,1699,18.97,1
672,1,458,416,15165,169.36,1
672,8,343,181,1545,17.25,1
673,1,459,417,14958,167.04,1
673,8,343,178,1398,15.61,1
674,1,459,418,14869,166.05,1
674,8,343,175,1404,15.68,1
675,1,459,418,14559,162.59,1
675,8,342,172,1599,17.86,1
676,1,459,419,14415,160.98,1
676,8,342,169,1721,19.22,1
677,1,459,420,14379,160.58,1
677,8,342,167,1724,19.25,1
678,1,460,420,14402,160.84,1
678,8,341,163,1630,18.2,1
679,1,460,420,14466,161.55,1
679,8,341,161,1487,16.61,1
680,1,460,420,14229,158.9,1
680,8,341,158,1395,15.58,1
681,1,460,421,14017,156.54,1
681,8,340,156,1440,16.08,1
682,1,460,422,13878,154.98,1
682,8,339,153,1561,17.43,1
683,1,459,423,13839,154.55,1
683,8,339,151,1644,18.36,1
684,1,459,424,13464,150.36,1
684,8,339,149,1652,18.45,1
685,1,458,424,13178,147.17,1
685,8,339,146,1556,17.38,1
686,1,458,425,13200,147.41,1
686,8,338,144,1451,16.2,1
687,1,457,426,13037,145.59,1
687,8,337,142,1407,15.71,1
688,1,456,426,13322,148.77,1
688,8,337,139,1434,16.01,1
689,1,455,426,13555,151.38,1
689,8,336,138,1558,17.4,1
690,1,455,425,13846,154.63,1
690,8,336,136,1562,17.44,1
691,1,455,424,13972,156.03,1
691,8,335,134,1613,18.01,1
692,1,455,424,14162,158.16,1
692,8,335,133,1507,16.83,1
693,1,455,424,14154,158.07,1
693,8,334,130,1346,15.03,1
694,1,455,424,14355,160.31,1
694,8,334,129,1331,14.86,1
695,1,455,424,14237,158.99,1
695,8,333,127,1438,16.06,1
696,1,454,425,14164,158.18,1
696,8,333,127,1546,17.27,1
697,1,454,424,14315,159.86,1
697,8,332,126,1596,17.82,1
698,1,454,423,14501,161.94,1
698,8,332,124,1518,16.95,1
699,1,455,422,14617,163.24,1
699,8,332,122,1498,16.73,1
700,1,455,422,14743,164.64,1
700,8,331,121,1331,14.86,1
701,1,455,421,14790,165.17,1
701,8,331,120,1288,14.38,1
702,1,455,420,15013,167.66,1
702,8,331,119,1407,15.71,1
703,1,455,420,14887,166.25,1
703,8,330,118,1508,16.84,1
704,1,455,420,14714,164.32,1
704,8,330,118,1539,17.19,1
705,1,455,420,14408,160.9,1
705,8,330,117,1500,16.75,1
706,1,454,420,14364,160.41,1
706,8,329,115,1404,15.68,1
707,1,454,421,14215,158.75,1
707,8,329,114,1313,14.66,1
708,1,454,421,14304,159.74,1
708,8,328,114,1324,14.79,1
