frame,drop_id,cx,cy,area_px,percentage
467,1,517,70,9294,100.0
468,1,515,96,9195,98.93
469,1,514,121,8899,95.75
470,1,514,146,8899,95.75
471,1,513,172,8783,94.5
472,1,513,198,9351,100.61
473,1,512,224,8966,96.47
474,1,511,250,8886,95.61
475,1,510,276,8940,96.19
476,1,510,302,8993,96.76
477,1,509,328,8969,96.5
478,1,508,354,9030,97.16
479,1,507,381,9172,98.69
480,1,506,411,10066,108.31
481,1,506,434,10589,113.93
482,1,506,449,11618,125.01
483,1,502,454,10457,112.51
484,1,504,458,10310,110.93
485,1,502,455,9672,104.07
486,1,501,455,10754,115.71
487,1,502,453,10340,111.25
488,1,502,451,10488,112.85
489,1,503,450,10312,110.95
490,1,500,447,10249,110.28
491,1,498,444,10742,115.58
492,1,498,437,12529,134.81
493,1,497,428,13789,148.36
494,1,496,420,14902,160.34
495,1,496,410,15353,165.19
496,1,497,403,15865,170.7
497,1,496,393,15817,170.19
498,1,496,383,15311,164.74
499,1,494,374,15200,163.55
500,1,494,366,16897,181.81
501,1,493,354,15192,163.46
502,1,492,345,15686,168.78
503,1,491,340,17829,191.83
504,1,490,359,16194,174.24
504,2,489,120,1808,19.45
505,1,490,359,16545,178.02
505,2,488,102,1576,16.96
506,1,489,352,16734,180.05
506,2,487,85,1645,17.7
507,1,489,349,16804,180.8
507,2,486,69,1498,16.12
508,1,488,343,16964,182.53
508,2,486,53,1578,16.98
509,1,487,340,17021,183.14
509,2,484,38,1486,15.99
510,1,487,336,16910,181.95
510,2,483,23,1380,14.85
511,1,486,370,12173,130.98
511,2,487,192,2913,31.34
511,3,482,11,906,9.75
512,1,485,368,11699,125.88
512,2,487,183,2372,25.52
512,3,476,3,57,0.61
513,1,485,367,11012,118.49
513,2,487,176,2047,22.02
514,1,485,365,10492,112.89
514,2,486,172,1892,20.36
515,1,483,356,9904,106.56
515,2,485,171,1955,21.04
516,1,482,350,8913,95.9
516,2,485,166,1996,21.48
517,1,482,346,8418,90.57
517,2,484,160,2198,23.65
518,1,482,343,8035,86.45
518,2,485,157,2180,23.46
519,1,481,341,7708,82.94
519,2,484,155,2297,24.71
520,1,480,338,7079,76.17
520,2,483,152,1865,20.07
521,1,480,336,6945,74.73
522,1,478,333,6675,71.82
523,1,478,331,6706,72.15
524,1,477,330,6831,73.5
525,1,477,329,6996,75.27
526,1,477,329,7711,82.97
527,1,476,327,8130,87.48
528,1,476,324,8538,91.87
529,1,475,322,8825,94.95
530,1,475,321,9195,98.93
531,1,473,320,9188,98.86
532,1,474,316,9964,107.21
533,1,473,316,8924,96.02
534,1,477,314,10822,116.44
535,1,477,317,10989,118.24
536,1,471,313,9447,101.65
537,1,470,312,9712,104.5
538,1,469,312,9587,103.15
539,1,469,312,9059,97.47
540,1,468,312,8736,94.0
541,1,468,313,8488,91.33
542,1,467,313,8426,90.66
543,1,467,313,8272,89.0
544,1,466,310,7722,83.09
545,1,465,309,7502,80.72
546,1,464,308,7442,80.07
547,1,464,309,7589,81.65
548,1,463,308,7472,80.4
549,1,463,307,7520,80.91
550,1,463,308,7530,81.02
551,1,462,309,7564,81.39
552,1,462,310,7832,84.27
553,1,462,310,7961,85.66
554,1,461,311,8197,88.2
555,1,459,311,8310,89.41
556,1,459,312,8478,91.22
557,1,458,312,8577,92.29
558,1,457,312,8540,91.89
559,1,457,313,8576,92.27
560,1,456,313,8666,93.24
561,1,456,314,8531,91.79
562,1,455,315,8487,91.32
563,1,454,317,8444,90.85
564,1,454,318,8224,88.49
565,1,454,320,7872,84.7
566,1,453,322,7788,83.8
567,1,452,322,7722,83.09
568,1,452,324,7444,80.09
569,1,450,325,7293,78.47
570,1,450,326,7087,76.25
571,1,449,327,6942,74.69
572,1,448,329,7021,75.54
573,1,448,331,7049,75.84
574,1,448,332,6954,74.82
575,1,447,334,6929,74.55
576,1,447,337,7245,77.95
577,1,446,339,7430,79.94
578,1,446,341,7592,81.69
579,1,445,344,7794,83.86
580,1,445,346,8036,86.46
581,1,444,349,8025,86.35
582,1,443,351,8086,87.0
583,1,442,353,8223,88.48
584,1,441,355,8321,89.53
585,1,440,358,8286,89.15
586,1,439,360,8239,88.65
587,1,438,363,8192,88.14
588,1,438,366,8097,87.12
589,1,438,369,7976,85.82
590,1,437,372,7946,85.5
591,1,436,377,7792,83.84
592,1,436,380,7692,82.76
593,1,436,383,7685,82.69
594,1,435,386,7400,79.62
595,1,434,389,7251,78.02
596,1,434,392,7244,77.94
597,1,433,396,7106,76.46
598,1,433,403,7428,79.92
599,1,433,407,7729,83.16
600,1,432,412,8227,88.52
601,1,430,415,8123,87.4
602,1,430,422,8479,91.23
603,1,429,425,8520,91.67
604,1,429,427,8209,88.33
605,1,428,428,8273,89.01
606,1,428,428,8221,88.45
607,1,427,428,7962,85.67
608,1,427,429,7780,83.71
609,1,426,430,7812,84.05
610,1,426,431,7552,81.26
611,1,426,431,7606,81.84
612,1,426,432,7888,84.87
613,1,426,430,8154,87.73
614,1,426,429,8243,88.69
615,1,425,428,8262,88.9
616,1,426,428,8457,90.99
617,1,430,426,8064,86.77
618,1,427,424,8726,93.89
619,1,425,422,9162,98.58
620,1,424,421,9348,100.58
621,1,424,420,9453,101.71
622,1,421,420,10140,109.1
623,1,412,424,12334,132.71
624,1,424,421,10129,108.98
625,1,411,423,13146,141.45
626,1,423,421,10867,116.92
627,1,424,419,10522,113.21
