frame,drop_id,cx,cy,area_px,percentage,in_frame
440,1,521,76,11167,100.0,1
441,1,521,99,12379,110.85,1
442,1,521,124,12366,110.73,1
443,1,521,148,12320,110.32,1
444,1,521,172,12253,109.72,1
445,1,521,196,12267,109.85,1
446,1,521,220,12232,109.53,1
447,1,521,244,12256,109.75,1
448,1,521,269,12304,110.18,1
449,1,521,293,12279,109.95,1
450,1,521,318,12323,110.35,1
451,1,521,342,12377,110.83,1
452,1,521,366,12320,110.32,1
453,1,521,389,11916,106.7,1
454,1,521,411,11925,106.78,1
455,1,521,425,10706,95.87,1
456,1,521,436,9767,87.46,1
457,1,521,443,8879,79.51,1
458,1,521,446,8352,74.79,1
459,1,521,447,8530,76.38,1
460,1,522,446,8971,80.33,1
461,1,522,445,9444,84.57,1
462,1,521,445,9881,88.48,1
463,1,521,444,10043,89.93,1
464,1,522,443,9966,89.24,1
465,1,521,442,9983,89.39,1
466,1,519,441,10104,90.48,1
467,1,519,440,9851,88.21,1
468,1,520,439,9295,83.23,1
469,1,520,438,9312,83.38,1
470,1,520,433,10553,94.5,1
471,1,521,424,11729,105.03,1
472,1,520,415,12413,111.15,1
473,1,520,406,13036,116.73,1
474,1,520,398,13752,123.14,1
475,1,520,391,14527,130.08,1
476,1,519,383,14829,132.79,1
477,1,519,377,15477,138.59,1
478,1,518,370,15733,140.88,1
479,1,518,385,14602,130.75,1
479,2,518,172,1319,11.81,1
480,1,518,383,14829,132.79,1
480,2,518,152,1305,11.69,1
481,1,517,381,14930,133.69,1
481,2,518,131,1343,12.03,1
482,1,517,379,15103,135.24,1
482,2,518,111,1373,12.29,1
483,1,517,376,15043,134.7,1
483,2,518,91,1337,11.97,1
484,1,517,375,15074,134.98,1
484,2,517,71,1259,11.27,1
485,1,516,374,15036,134.64,1
485,2,517,51,1234,11.05,1
486,1,516,373,15015,134.45,1
486,2,517,31,1211,10.84,1
487,1,516,372,14900,133.42,1
487,2,516,14,1076,9.64,0
488,1,516,371,14668,131.35,1
488,2,516,5,353,3.16,0
489,1,516,396,12617,112.98,1
489,3,512,199,1811,16.22,1
490,1,516,398,12344,110.54,1
490,3,512,195,1738,15.56,1
491,1,516,400,11984,107.31,1
491,3,511,192,1671,14.96,1
492,1,516,401,11426,102.31,1
492,3,511,189,1648,14.76,1
493,1,517,442,7865,70.43,1
493,3,511,186,1685,15.09,1
493,4,512,310,3193,28.59,1
494,1,517,443,7669,68.67,1
494,3,510,183,1736,15.55,1
494,4,512,338,1502,13.45,1
494,5,511,272,1322,11.84,1
495,1,517,444,7508,67.23,1
495,3,510,180,1778,15.92,1
495,4,512,335,1129,10.11,1
495,5,511,274,1366,12.23,1
496,1,517,445,7194,64.42,1
496,3,509,177,1776,15.9,1
496,4,512,334,957,8.57,1
496,5,510,276,1407,12.6,1
497,1,517,445,6929,62.05,1
497,3,509,174,1711,15.32,1
497,4,512,333,1193,10.68,1
497,5,510,279,1423,12.74,1
498,1,517,445,6977,62.48,1
498,3,509,172,1663,14.89,1
498,4,511,307,2813,25.19,1
499,1,516,445,6905,61.83,1
499,3,508,169,1636,14.65,1
499,4,510,309,2827,25.31,1
500,1,516,445,7097,63.55,1
500,3,508,167,1662,14.88,1
500,4,510,310,2773,24.83,1
501,1,516,444,7291,65.29,1
501,3,507,164,1711,15.32,1
501,4,510,309,2589,23.18,1
502,1,517,444,7577,67.85,1
502,3,507,162,1737,15.55,1
502,4,509,307,2389,21.39,1
503,1,518,443,7609,68.14,1
503,3,507,159,1736,15.55,1
503,4,509,310,2519,22.56,1
504,1,518,442,7739,69.3,1
504,3,506,157,1694,15.17,1
504,4,509,313,2572,23.03,1
505,1,518,442,7925,70.96,1
505,3,506,155,1661,14.87,1
505,4,509,316,2524,22.6,1
506,1,518,440,8203,73.45,1
506,3,505,153,1632,14.61,1
506,4,509,316,2439,21.84,1
506,6,945,7,752,6.73,0
507,1,519,438,8339,74.67,1
507,3,505,151,1654,14.81,1
507,4,508,316,2460,22.03,1
507,6,945,19,2003,17.94,0
508,1,520,436,8482,75.95,1
508,3,504,149,1693,15.16,1
508,4,508,317,2576,23.07,1
508,6,946,39,2309,20.68,1
509,1,520,435,8806,78.85,1
509,3,504,147,1728,15.47,1
509,4,508,320,2656,23.78,1
509,6,948,62,2486,22.26,1
510,1,520,434,8779,78.61,1
510,3,504,145,1719,15.39,1
510,4,508,324,2629,23.54,1
510,6,949,85,2515,22.52,1
511,1,520,434,8888,79.59,1
511,3,503,144,1689,15.12,1
511,4,504,304,1240,11.1,1
511,6,950,108,2553,22.86,1
511,7,511,348,1183,10.59,1
512,1,521,435,8877,79.49,1
512,3,503,142,1652,14.79,1
512,4,503,305,1316,11.78,1
512,6,952,131,2664,23.85,1
512,7,511,351,1072,9.6,1
513,1,521,435,8608,77.08,1
513,3,502,140,1635,14.64,1
513,4,503,306,1435,12.85,1
513,6,953,154,2684,24.03,1
513,7,511,355,1078,9.65,1
514,1,522,435,8325,74.55,1
514,3,502,139,1661,14.87,1
514,4,502,308,1498,13.41,1
514,6,954,177,2729,24.44,1
514,7,511,358,1184,10.6,1
515,1,522,436,8139,72.88,1
515,3,501,137,1692,15.15,1
515,4,502,309,1439,12.89,1
515,6,955,201,2704,24.21,1
515,7,511,362,1255,11.24,1
516,1,522,437,8080,72.35,1
516,3,501,136,1719,15.39,1
516,4,501,310,1311,11.74,1
516,6,956,224,2724,24.39,1
516,7,512,365,1208,10.82,1
517,1,522,439,8060,72.17,1
517,3,501,135,1700,15.22,1
517,4,501,311,1259,11.27,1
517,6,957,247,2682,24.02,1
517,7,512,368,1106,9.9,1
518,1,522,440,7966,71.33,1
518,3,500,134,1659,14.86,1
518,4,500,313,1318,11.8,1
518,6,958,271,2715,24.31,1
518,7,512,372,1079,9.66,1
519,1,522,441,7905,70.79,1
519,3,500,132,1640,14.69,1
519,4,500,315,1435,12.85,1
519,6,958,294,2721,24.37,1
519,7,512,376,1159,10.38,1
520,1,521,442,7734,69.25,1
520,3,499,131,1634,14.63,1
520,4,499,316,1484,13.29,1
520,6,959,317,2703,24.2,1
520,7,512,380,1229,11.01,1
521,1,521,443,7617,68.21,1
521,3,499,131,1639,14.68,1
521,4,499,318,1421,12.72,1
521,6,960,341,2680,24.0,1
521,7,512,384,1227,10.99,1
522,1,520,443,7580,67.88,1
522,3,499,129,1683,15.07,1
522,4,498,320,1329,11.9,1
522,6,961,364,2671,23.92,1
522,7,512,387,1121,10.04,1
523,1,520,444,7486,67.03,1
523,3,498,129,1704,15.26,1
523,4,497,321,1268,11.35,1
523,6,962,387,2674,23.94,1
523,7,512,391,1082,9.69,1
524,1,520,444,7320,65.55,1
524,3,498,128,1701,15.23,1
524,4,497,323,1327,11.88,1
524,6,963,408,2383,21.34,1
524,7,512,396,1134,10.15,1
525,1,519,438,8664,77.58,1
525,3,497,127,1681,15.05,1
525,4,496,325,1430,12.81,1
525,6,965,433,2421,21.68,1
526,1,519,439,8735,78.22,1
526,3,497,127,1656,14.83,1
526,4,496,328,1467,13.14,1
526,6,964,444,1792,16.05,1
527,1,518,439,8549,76.55,1
527,3,496,126,1650,14.78,1
527,4,495,330,1426,12.77,1
527,6,963,446,1682,15.06,1
528,1,518,440,8505,76.16,1
528,3,496,126,1665,14.91,1
528,4,495,332,1326,11.87,1
528,6,965,445,1902,17.03,1
529,1,518,440,8298,74.3,1
529,3,496,125,1686,15.1,1
529,4,494,334,1270,11.37,1
529,6,967,444,1917,17.17,1
530,1,518,440,8314,74.45,1
530,3,495,125,1690,15.13,1
530,4,494,336,1340,12.0,1
530,6,968,439,2395,21.45,1
531,1,518,439,8435,75.53,1
531,3,495,124,1688,15.12,1
531,4,493,339,1431,12.81,1
531,6,969,432,2947,26.39,1
532,1,518,438,8721,78.09,1
532,3,495,124,1673,14.98,1
532,4,492,341,1466,13.13,1
532,6,969,426,3294,29.5,1
533,1,518,437,8850,79.25,1
533,3,494,124,1654,14.81,1
533,4,492,344,1420,12.72,1
533,6,969,422,3427,30.69,1
534,1,518,436,8961,80.24,1
534,3,494,124,1638,14.67,1
534,4,491,346,1329,11.9,1
534,6,969,419,3514,31.47,1
535,1,519,434,9078,81.29,1
535,3,493,124,1649,14.77,1
535,4,491,349,1307,11.7,1
535,6,969,418,3498,31.32,1
536,1,515,423,10767,96.41,1
536,3,493,124,1677,15.02,1
536,6,968,432,2712,24.28,1
536,8,970,365,368,3.3,1
537,1,514,422,10836,97.03,1
537,3,492,124,1701,15.23,1
537,6,968,436,2446,21.9,1
537,8,971,362,278,2.49,1
538,1,515,423,10680,95.63,1
538,3,492,125,1687,15.11,1
538,6,967,441,2097,18.78,1
538,8,971,360,342,3.06,1
539,1,520,439,8211,73.53,1
539,3,491,125,1672,14.97,1
539,6,965,444,1489,13.33,1
539,8,972,360,311,2.78,1
539,9,497,367,2178,19.5,1
540,1,519,439,8125,72.76,1
540,3,491,125,1643,14.71,1
540,6,962,444,1297,11.61,1
540,8,972,358,284,2.54,1
540,9,496,366,1991,17.83,1
541,1,519,439,8247,73.85,1
541,3,491,126,1654,14.81,1
541,6,964,444,1531,13.71,1
541,8,973,356,344,3.08,1
541,9,496,366,1979,17.72,1
542,1,519,439,8133,72.83,1
542,3,490,126,1665,14.91,1
542,6,965,442,2038,18.25,1
542,8,973,356,317,2.84,1
542,9,495,366,2123,19.01,1
543,1,519,439,8153,73.01,1
543,3,490,127,1688,15.12,1
543,6,965,439,2354,21.08,1
