frame,drop_id,cx,cy,area_px,percentage,in_frame
485,1,552,46,952,100.0,1
486,1,551,72,1731,181.83,1
486,2,392,2,228,23.95,0
487,1,551,101,1797,188.76,1
487,2,392,13,2397,251.79,0
488,1,551,129,1767,185.61,1
488,2,392,26,5224,548.74,0
489,1,551,158,1772,186.13,1
489,2,390,39,8363,878.47,0
490,1,551,187,1773,186.24,1
490,2,389,55,10612,1114.71,0
490,3,602,3,157,16.49,0
491,1,551,216,1788,187.82,1
491,2,388,82,10630,1116.6,1
491,3,602,17,809,84.98,0
492,1,551,244,1828,192.02,1
492,2,388,110,10676,1121.43,1
492,3,603,47,766,80.46,1
492,4,886,7,670,70.38,0
493,1,551,273,1826,191.81,1
493,2,387,137,10774,1131.72,1
493,3,603,74,789,82.88,1
493,4,888,19,2141,224.89,0
494,1,551,302,1820,191.18,1
494,2,385,164,10756,1129.83,1
494,3,603,100,818,85.92,1
494,4,890,40,2874,301.89,1
495,1,551,331,1784,187.39,1
495,2,384,191,10738,1127.94,1
495,3,603,128,823,86.45,1
495,4,893,66,2928,307.56,1
496,1,551,360,1774,186.34,1
496,2,383,219,10748,1128.99,1
496,3,603,155,834,87.61,1
496,4,895,92,3013,316.49,1
497,1,551,389,1808,189.92,1
497,2,381,246,10700,1123.95,1
497,3,603,182,861,90.44,1
497,4,898,119,3039,319.22,1
498,1,551,417,1711,179.73,1
498,2,380,274,10641,1117.75,1
498,3,603,210,875,91.91,1
498,4,900,145,3030,318.28,1
499,1,551,445,1682,176.68,1
499,2,379,301,10534,1106.51,1
499,3,603,237,843,88.55,1
499,4,903,172,2975,312.5,1
500,1,551,453,1556,163.45,1
500,2,379,329,10495,1102.42,1
500,3,604,264,852,89.5,1
500,4,906,199,2953,310.19,1
501,1,551,452,1677,176.16,1
501,2,378,356,10356,1087.82,1
501,3,604,292,867,91.07,1
501,4,908,226,2953,310.19,1
502,1,551,447,1818,190.97,1
502,2,377,383,10082,1059.03,1
502,3,604,319,850,89.29,1
502,4,911,252,2971,312.08,1
503,1,551,438,2172,228.15,1
503,2,377,412,10322,1084.24,1
503,3,604,347,844,88.66,1
503,4,913,279,3027,317.96,1
504,1,551,433,2301,241.7,1
504,2,377,430,9280,974.79,1
504,3,604,374,878,92.23,1
504,4,916,306,3112,326.89,1
504,5,555,5,410,43.07,0
505,1,551,430,2378,249.79,1
505,2,377,442,8441,886.66,1
505,3,605,402,879,92.33,1
505,4,919,334,3168,332.77,1
505,5,555,19,1523,159.98,0
506,1,551,430,2343,246.11,1
506,2,377,448,7845,824.05,1
506,3,605,428,785,82.46,1
506,4,921,361,3135,329.31,1
506,5,555,44,1706,179.2,1
507,1,566,446,2530,265.76,1
507,2,378,450,7605,798.84,1
507,3,550,375,350,36.76,1
507,4,924,388,3085,324.05,1
507,5,555,71,1704,178.99,1
508,1,551,449,1402,147.27,1
508,2,377,450,8194,860.71,1
508,3,550,371,377,39.6,1
508,4,927,415,3030,318.28,1
508,5,555,98,1751,183.93,1
508,6,605,452,726,76.26,1
509,1,552,451,1124,118.07,1
509,2,376,449,8772,921.43,1
509,3,550,367,359,37.71,1
509,4,928,441,2958,310.71,1
509,5,554,126,1792,188.24,1
509,6,605,445,1064,111.76,1
510,1,551,450,1427,149.89,1
510,2,373,449,9318,978.78,1
510,3,550,363,370,38.87,1
510,4,931,453,2576,270.59,1
510,5,554,153,1826,191.81,1
510,6,605,443,1101,115.65,1
511,1,551,446,1620,170.17,1
511,2,374,447,9243,970.9,1
511,3,550,360,360,37.82,1
511,4,933,452,2681,281.62,1
511,5,554,181,1805,189.6,1
511,6,605,444,1020,107.14,1
512,1,551,444,1690,177.52,1
512,2,371,447,9563,1004.52,1
512,3,550,356,360,37.82,1
512,4,935,451,2721,285.82,1
512,5,554,208,1803,189.39,1
512,6,606,448,730,76.68,1
513,1,551,445,1612,169.33,1
513,2,371,446,9677,1016.49,1
513,3,549,353,357,37.5,1
513,4,937,449,2689,282.46,1
513,5,554,236,1777,186.66,1
513,6,607,451,621,65.23,1
514,1,551,449,1582,166.18,1
514,2,371,445,9320,978.99,1
514,3,549,350,359,37.71,1
514,4,939,441,3187,334.77,1
514,5,554,263,1778,186.76,1
514,6,606,448,808,84.87,1
515,1,551,450,1141,119.85,1
515,2,369,443,9053,950.95,1
515,3,549,346,367,38.55,1
515,4,940,433,3712,389.92,1
515,5,553,291,1796,188.66,1
515,6,605,447,960,100.84,1
516,1,552,451,1385,145.48,1
516,2,370,442,9236,970.17,1
516,3,553,321,2003,210.4,1
516,4,941,426,4106,431.3,1
516,6,605,450,909,95.48,1
517,1,551,448,1691,177.63,1
517,2,369,437,10076,1058.4,1
517,3,553,346,1838,193.07,1
517,4,941,421,4328,454.62,1
517,6,605,452,651,68.38,1
518,1,551,447,1703,178.89,1
518,2,367,431,11269,1183.72,1
518,3,552,368,2213,232.46,1
518,4,941,418,4462,468.7,1
518,6,605,450,932,97.9,1
519,1,552,423,3477,365.23,1
519,2,367,426,11754,1234.66,1
519,3,549,334,359,37.71,1
519,4,941,416,4499,472.58,1
519,6,605,449,950,99.79,1
520,1,552,438,2610,274.16,1
520,2,367,421,12112,1272.27,1
520,3,549,331,353,37.08,1
520,4,939,434,3474,364.92,1
520,6,606,450,913,95.9,1
520,7,945,341,685,71.95,1
521,1,565,450,2726,286.34,1
521,2,368,415,12332,1295.38,1
521,3,548,329,363,38.13,1
521,4,938,438,3261,342.54,1
521,7,946,335,717,75.32,1
522,1,564,450,3436,360.92,1
522,2,368,409,12576,1321.01,1
522,3,548,326,357,37.5,1
522,4,937,442,2796,293.7,1
522,7,947,328,753,79.1,1
523,1,564,449,3643,382.67,1
523,2,369,404,12911,1356.2,1
523,3,548,323,353,37.08,1
523,4,936,449,2395,251.58,1
523,7,948,321,684,71.85,1
524,1,564,448,3249,341.28,1
524,2,369,400,13157,1382.04,1
524,3,548,321,362,38.03,1
524,4,933,450,2145,225.32,1
524,7,949,315,706,74.16,1
525,1,563,446,3083,323.84,1
525,2,370,395,13257,1392.54,1
525,3,548,318,356,37.39,1
525,4,931,451,2117,222.37,1
525,7,950,308,746,78.36,1
526,1,551,442,2244,235.71,1
526,2,370,392,13430,1410.71,1
526,3,548,316,363,38.13,1
526,4,931,448,2375,249.47,1
526,7,951,302,727,76.37,1
526,8,605,450,935,98.21,1
527,1,566,444,3350,351.89,1
527,2,371,389,13410,1408.61,1
527,3,548,314,356,37.39,1
527,4,930,444,2680,281.51,1
527,7,952,296,675,70.9,1
528,1,551,441,2533,266.07,1
528,2,371,387,13498,1417.86,1
528,3,548,312,358,37.61,1
528,4,930,441,2979,312.92,1
