frame,drop_id,cx,cy,area_px,percentage
485,1,551,43,1939,100.0
486,1,551,71,1954,100.77
487,1,552,100,2012,103.76
488,1,552,128,1945,100.31
489,1,551,157,1895,97.73
490,1,551,186,1898,97.89
491,1,551,214,1920,99.02
492,1,551,244,1965,101.34
493,1,551,272,1874,96.65
494,1,551,301,1843,95.05
495,1,551,330,1830,94.38
496,1,551,359,1807,93.19
497,1,551,389,2000,103.15
498,1,551,417,1824,94.07
499,1,552,450,2646,136.46
500,1,551,454,2026,104.49
501,1,551,454,2229,114.96
502,1,551,449,2610,134.61
503,1,551,442,2814,145.13
504,1,551,437,2955,152.4
505,1,551,434,3050,157.3
506,1,551,433,3046,157.09
507,1,551,433,3044,156.99
508,1,551,430,3281,169.21
509,1,551,454,1713,88.34
509,2,550,367,447,23.05
510,1,551,454,1925,99.28
510,2,550,363,450,23.21
511,1,551,450,2168,111.81
511,2,550,360,422,21.76
512,1,551,448,2254,116.25
512,2,550,356,411,21.2
513,1,551,449,2159,111.35
513,2,549,353,403,20.78
514,1,551,453,2082,107.37
514,2,549,350,394,20.32
515,1,551,454,1819,93.81
516,1,551,454,1897,97.83
517,1,551,452,2146,110.68
518,1,551,451,2213,114.13
519,1,551,451,2252,116.14
520,1,551,451,2364,121.92
521,1,549,453,2418,124.7
522,1,547,454,3160,162.97
523,1,549,454,3597,185.51
524,1,549,452,3135,161.68
525,1,550,449,3041,156.83
526,1,551,447,2893,149.2
527,1,551,446,3076,158.64
528,1,551,446,3259,168.08
529,1,551,448,3400,175.35
530,1,551,451,3626,187.0
531,1,551,452,3255,167.87
532,1,551,453,2790,143.89
533,1,552,454,2661,137.24
534,1,552,452,2539,130.94
535,1,552,451,2537,130.84
536,1,552,451,2598,133.99
537,1,552,452,2821,145.49
538,1,552,452,3222,166.17
539,1,552,453,3339,172.2
540,1,552,453,3267,168.49
541,1,552,453,2982,153.79
542,1,551,452,2634,135.84
543,1,552,452,2592,133.68
544,1,552,453,2694,138.94
545,1,552,453,2750,141.83
546,1,552,454,2894,149.25
547,1,551,452,2821,145.49
548,1,552,452,3024,155.96
549,1,552,450,2919,150.54
550,1,552,451,2925,150.85
551,1,551,452,2942,151.73
552,1,551,453,2893,149.2
553,1,551,454,3000,154.72
554,1,551,453,2968,153.07
555,1,551,453,2967,153.02
556,1,551,452,2737,141.16
557,1,551,452,2752,141.93
558,1,552,453,2824,145.64
559,1,552,453,2953,152.29
560,1,552,454,3011,155.29
561,1,552,454,2951,152.19
562,1,552,453,2890,149.05
563,1,553,453,2850,146.98
564,1,553,452,2838,146.36
565,1,553,453,2855,147.24
566,1,553,453,2900,149.56
567,1,552,454,2996,154.51
568,1,552,454,2992,154.31
569,1,552,453,2982,153.79
570,1,552,453,2926,150.9
571,1,552,453,2869,147.96
572,1,551,452,2787,143.73
573,1,552,453,2982,153.79
574,1,551,453,2921,150.64
575,1,552,453,3030,156.27
576,1,551,453,2885,148.79
577,1,552,453,2887,148.89
578,1,551,452,2791,143.94
579,1,552,453,2898,149.46
580,1,552,453,2935,151.37
581,1,552,453,2918,150.49
582,1,552,453,2907,149.92
583,1,552,453,2901,149.61
584,1,552,453,2869,147.96
585,1,551,452,2752,141.93
586,1,552,453,2847,146.83
587,1,551,453,2789,143.84
588,1,552,453,2924,150.8
589,1,552,453,2928,151.01
590,1,552,453,2906,149.87
591,1,552,453,2868,147.91
592,1,552,453,2868,147.91
593,1,552,453,2864,147.71
594,1,552,453,2959,152.6
595,1,552,454,2978,153.58
596,1,552,453,2960,152.66
597,1,551,453,2849,146.93
598,1,551,452,2801,144.46
599,1,551,452,2803,144.56
600,1,552,453,2913,150.23
601,1,552,453,2928,151.01
602,1,551,453,2813,145.07
603,1,552,453,2873,148.17
604,1,552,453,2871,148.07
605,1,551,453,2772,142.96
606,1,551,453,2770,142.86
607,1,552,453,2861,147.55
608,1,552,453,2911,150.13
609,1,551,453,2833,146.11
610,1,552,453,2915,150.34
611,1,552,453,2887,148.89
612,1,552,453,2867,147.86
613,1,552,453,2900,149.56
614,1,551,453,2769,142.81
615,1,551,453,2773,143.01
616,1,552,453,2911,150.13
617,1,552,453,2945,151.88
618,1,552,453,2945,151.88
619,1,551,452,2820,145.44
620,1,552,452,2899,149.51
621,1,551,453,2831,146.0
622,1,552,453,2852,147.09
623,1,552,452,2901,149.61
624,1,551,452,2814,145.13
625,1,551,453,2768,142.75
626,1,552,453,2866,147.81
627,1,552,453,2817,145.28
628,1,551,453,2778,143.27
629,1,551,453,2794,144.09
630,1,551,453,2820,145.44
631,1,551,453,2800,144.4
632,1,552,453,2905,149.82
633,1,552,453,2887,148.89
634,1,552,453,2897,149.41
635,1,552,453,2858,147.4
636,1,552,453,2895,149.3
637,1,551,453,2781,143.42
638,1,551,453,2835,146.21
639,1,552,453,2908,149.97
640,1,552,453,2917,150.44
641,1,551,452,2799,144.35
642,1,551,453,2806,144.71
643,1,552,453,2882,148.63
644,1,551,453,2850,146.98
645,1,552,453,2868,147.91
646,1,552,453,2886,148.84
647,1,551,453,2857,147.34
648,1,551,453,2828,145.85
649,1,551,453,2771,142.91
650,1,552,453,2904,149.77
651,1,551,453,2795,144.15
652,1,551,453,2802,144.51
653,1,551,453,2797,144.25
654,1,551,453,2835,146.21
655,1,551,453,2793,144.04
656,1,551,453,2774,143.06
657,1,552,453,2859,147.45
658,1,552,453,2883,148.68
659,1,552,453,2863,147.65
660,1,552,453,2887,148.89
661,1,552,453,2907,149.92
662,1,551,453,2815,145.18
663,1,551,453,2807,144.77
664,1,552,453,2808,144.82
665,1,551,453,2869,147.96
666,1,552,453,2861,147.55
667,1,551,453,2828,145.85
668,1,551,453,2868,147.91
669,1,552,453,2822,145.54
670,1,551,453,2839,146.42
671,1,551,453,2833,146.11
672,1,552,453,2864,147.71
673,1,551,453,2766,142.65
674,1,551,453,2826,145.75
675,1,552,453,2782,143.48
676,1,552,453,2812,145.02
677,1,551,453,2809,144.87
678,1,551,453,2790,143.89
679,1,551,453,2826,145.75
680,1,551,453,2829,145.9
681,1,551,453,2808,144.82
682,1,551,453,2838,146.36
683,1,551,453,2829,145.9
684,1,551,453,2820,145.44
685,1,552,453,2870,148.01
686,1,551,453,2829,145.9
687,1,551,453,2818,145.33
688,1,551,453,2793,144.04
689,1,551,453,2772,142.96
690,1,551,453,2752,141.93
691,1,551,453,2775,143.12
692,1,551,453,2773,143.01
693,1,551,453,2812,145.02
694,1,551,453,2773,143.01
695,1,551,453,2762,142.44
696,1,551,452,2741,141.36
697,1,551,452,2744,141.52
698,1,551,453,2822,145.54
699,1,551,453,2805,144.66
700,1,551,453,2808,144.82
701,1,551,453,2804,144.61
702,1,551,453,2791,143.94
703,1,551,453,2776,143.17
704,1,551,453,2792,143.99
705,1,551,453,2758,142.24
706,1,552,453,2870,148.01
707,1,551,452,2763,142.5
708,1,551,453,2789,143.84
709,1,551,452,2752,141.93
710,1,552,453,2905,149.82
711,1,552,453,2894,149.25
712,1,552,453,2897,149.41
713,1,551,453,2789,143.84
714,1,551,453,2783,143.53
715,1,552,453,2872,148.12
716,1,551,453,2835,146.21
717,1,551,453,2816,145.23
718,1,551,453,2798,144.3
719,1,551,453,2795,144.15
720,1,551,453,2774,143.06
721,1,551,453,2816,145.23
722,1,551,453,2804,144.61
723,1,551,453,2796,144.2
724,1,551,453,2773,143.01
725,1,551,453,2766,142.65
726,1,551,453,2781,143.42
727,1,551,453,2798,144.3
728,1,551,453,2791,143.94
729,1,551,453,2781,143.42
730,1,551,452,2749,141.77
731,1,551,453,2756,142.14
732,1,551,453,2815,145.18
733,1,552,453,2871,148.07
734,1,552,453,2883,148.68
735,1,551,453,2804,144.61
736,1,552,453,2900,149.56
737,1,551,453,2779,143.32
738,1,551,453,2794,144.09
739,1,551,453,2839,146.42
740,1,551,453,2818,145.33
741,1,551,453,2811,144.97
742,1,551,453,2779,143.32
743,1,552,453,2875,148.27
744,1,551,453,2784,143.58
745,1,551,453,2824,145.64
746,1,551,453,2805,144.66
747,1,551,453,2838,146.36
748,1,552,453,2861,147.55
749,1,551,453,2869,147.96
750,1,552,453,2938,151.52
751,1,552,453,2909,150.03
752,1,552,453,2897,149.41
753,1,551,453,2828,145.85
754,1,551,453,2828,145.85
755,1,552,453,2904,149.77
756,1,551,453,2804,144.61
757,1,551,453,2820,145.44
758,1,551,453,2852,147.09
759,1,551,453,2811,144.97
760,1,551,453,2873,148.17
761,1,552,453,2874,148.22
762,1,552,453,2895,149.3
763,1,551,453,2817,145.28
764,1,552,453,2890,149.05
765,1,551,453,2814,145.13
766,1,552,453,2887,148.89
767,1,551,453,2810,144.92
768,1,551,453,2828,145.85
769,1,551,453,2820,145.44
770,1,551,453,2833,146.11
771,1,551,453,2792,143.99
772,1,551,453,2779,143.32
773,1,551,453,2808,144.82
774,1,552,453,2868,147.91
775,1,551,453,2845,146.73
776,1,551,453,2853,147.14
777,1,552,453,2854,147.19
778,1,551,453,2762,142.44
779,1,551,453,2766,142.65
780,1,551,453,2833,146.11
781,1,551,453,2796,144.2
782,1,551,453,2797,144.25
783,1,552,453,2889,148.99
784,1,551,453,2785,143.63
785,1,551,453,2781,143.42
786,1,552,453,2868,147.91
787,1,552,452,2836,146.26
788,1,551,453,2799,144.35
789,1,551,453,2839,146.42
790,1,551,453,2776,143.17
791,1,552,453,2846,146.78
792,1,551,453,2801,144.46
793,1,551,453,2821,145.49
794,1,551,453,2802,144.51
795,1,551,453,2801,144.46
796,1,552,453,2869,147.96
797,1,552,453,2894,149.25
798,1,552,453,2885,148.79
799,1,551,453,2813,145.07
800,1,551,453,2781,143.42
801,1,552,453,2882,148.63
802,1,551,453,2801,144.46
803,1,552,453,2871,148.07
804,1,551,453,2828,145.85
805,1,551,453,2802,144.51
806,1,552,453,2900,149.56
807,1,551,453,2805,144.66
808,1,551,452,2768,142.75
809,1,551,453,2835,146.21
810,1,552,453,2893,149.2
811,1,551,453,2809,144.87
812,1,551,453,2829,145.9
813,1,551,453,2781,143.42
814,1,551,453,2795,144.15
815,1,551,453,2808,144.82
816,1,551,453,2828,145.85
817,1,552,453,2898,149.46
818,1,551,453,2798,144.3
819,1,552,453,2900,149.56
820,1,551,453,2796,144.2
821,1,552,453,2831,146.0
822,1,552,453,2901,149.61
823,1,552,453,2898,149.46
824,1,551,453,2785,143.63
825,1,551,453,2833,146.11
826,1,552,453,2899,149.51
827,1,552,453,2905,149.82
828,1,551,453,2794,144.09
829,1,551,453,2805,144.66
830,1,551,453,2823,145.59
831,1,551,453,2821,145.49
832,1,552,453,2877,148.38
833,1,551,453,2817,145.28
834,1,551,453,2770,142.86
835,1,551,453,2777,143.22
836,1,551,453,2770,142.86
837,1,551,453,2779,143.32
838,1,552,453,2869,147.96
839,1,551,453,2794,144.09
840,1,551,453,2778,143.27
841,1,551,453,2794,144.09
842,1,551,453,2794,144.09
843,1,551,453,2802,144.51
844,1,551,453,2805,144.66
845,1,552,452,2785,143.63
846,1,552,453,2884,148.74
847,1,552,453,2863,147.65
848,1,552,453,2874,148.22
849,1,552,453,2877,148.38
850,1,552,453,2897,149.41
851,1,551,453,2788,143.79
852,1,551,453,2821,145.49
853,1,551,453,2848,146.88
854,1,552,453,2925,150.85
855,1,551,453,2806,144.71
856,1,551,453,2819,145.38
857,1,552,453,2891,149.1
858,1,551,453,2802,144.51
859,1,552,453,2881,148.58
