frame,drop_id,cx,cy,area_px,percentage,in_frame
684,1,1099,111,16959,100.0,1
685,1,1103,134,20287,119.62,1
686,1,1104,157,20328,119.86,1
687,1,1106,181,20452,120.59,1
688,1,1107,205,20418,120.39,1
689,1,1108,229,20302,119.71,1
690,1,1109,253,20234,119.31,1
691,1,1110,277,20227,119.27,1
692,1,1111,301,20061,118.29,1
693,1,1112,325,19765,116.54,1
694,1,1112,349,19404,114.41,1
695,1,1112,371,18496,109.06,1
696,1,1110,387,16592,97.83,1
697,1,1107,400,14627,86.25,1
698,1,1100,412,12512,73.78,1
699,1,1095,420,10933,64.47,1
700,1,1088,425,9666,56.99,1
701,1,1082,427,8832,52.08,1
702,1,1083,428,8892,52.43,1
703,1,1084,426,8876,52.34,1
704,1,1089,424,9093,53.62,1
705,1,1095,422,9672,57.03,1
706,1,1104,417,10660,62.86,1
707,1,1109,412,11478,67.68,1
708,1,1114,407,12284,72.43,1
709,1,1117,402,12532,73.89,1
710,1,1122,397,13429,79.18,1
711,1,1123,394,13765,81.16,1
712,1,1123,391,14386,84.83,1
713,1,1122,388,15033,88.64,1
714,1,1123,386,15710,92.63,1
715,1,1123,385,15804,93.19,1
715,2,760,5,197,1.16,0
716,1,1124,384,16130,95.11,1
716,2,760,21,346,2.04,1
717,1,1124,383,16322,96.24,1
717,2,760,40,353,2.08,1
718,1,1125,383,16631,98.06,1
718,2,759,59,355,2.09,1
719,1,1125,382,16812,99.13,1
719,2,759,78,357,2.11,1
720,1,1125,383,16775,98.91,1
720,2,759,98,372,2.19,1
721,1,1125,382,16721,98.59,1
721,2,759,117,390,2.3,1
722,1,1125,383,16698,98.46,1
722,2,758,137,398,2.35,1
723,1,1125,384,16655,98.2,1
723,2,758,156,396,2.33,1
724,1,1125,385,16256,95.85,1
724,2,758,175,399,2.35,1
725,1,1124,387,15851,93.46,1
725,2,758,195,390,2.3,1
726,1,1124,388,15808,93.21,1
726,2,757,214,405,2.39,1
727,1,1123,390,15212,89.7,1
727,2,757,234,413,2.44,1
728,1,1123,392,15035,88.65,1
728,2,757,253,408,2.41,1
729,1,1122,393,14234,83.93,1
729,2,757,273,412,2.43,1
730,1,1123,394,14353,84.63,1
730,2,756,292,411,2.42,1
731,1,1122,396,14157,83.48,1
731,2,756,312,413,2.44,1
732,1,1122,397,13910,82.02,1
732,2,756,331,420,2.48,1
733,1,1120,398,13518,79.71,1
733,2,756,351,430,2.54,1
734,1,1120,398,13461,79.37,1
734,2,756,371,431,2.54,1
735,1,1118,399,13129,77.41,1
735,2,755,390,433,2.55,1
736,1,1118,400,12957,76.4,1
736,2,755,410,418,2.46,1
737,1,1118,400,13310,78.48,1
737,2,755,430,413,2.44,1
738,1,1118,401,13276,78.28,1
738,2,754,446,279,1.65,1
739,1,1117,400,13162,77.61,1
739,2,754,447,285,1.68,1
740,1,1117,401,13491,79.55,1
740,2,754,438,372,2.19,1
741,1,1117,400,13485,79.51,1
741,2,754,426,430,2.54,1
742,1,1116,400,13547,79.88,1
742,2,754,414,395,2.33,1
743,1,1116,400,13828,81.54,1
743,2,754,402,428,2.52,1
744,1,1116,399,14157,83.48,1
744,2,754,390,390,2.3,1
745,1,1115,399,14164,83.52,1
745,2,754,378,424,2.5,1
746,1,1115,398,14326,84.47,1
746,2,754,366,392,2.31,1
747,1,1115,397,14549,85.79,1
747,2,754,354,423,2.49,1
748,1,1115,397,14913,87.93,1
748,2,754,342,391,2.31,1
749,1,1114,397,14839,87.5,1
749,2,753,331,403,2.38,1
750,1,1115,396,15165,89.42,1
750,2,753,319,399,2.35,1
751,1,1114,396,15205,89.65,1
751,2,753,308,388,2.29,1
752,1,1113,396,15291,90.16,1
752,2,753,297,409,2.41,1
753,1,1113,395,15347,90.49,1
753,2,753,286,386,2.28,1
754,1,1114,396,15495,91.36,1
754,2,753,275,412,2.43,1
755,1,1112,395,15291,90.16,1
755,2,753,263,382,2.25,1
756,1,1113,396,15552,91.7,1
756,2,753,252,405,2.39,1
757,1,1112,395,15322,90.34,1
757,2,752,241,391,2.31,1
758,1,1111,395,15173,89.47,1
758,2,752,231,400,2.36,1
759,1,1111,396,15254,89.94,1
759,2,752,220,397,2.34,1
760,1,1112,396,15367,90.61,1
760,2,752,210,383,2.26,1
761,1,1112,396,15256,89.96,1
