frame,drop_id,cx,cy,area_px,percentage,in_frame
1148,1,342,34,301,100.0,1
1149,1,339,59,1200,398.67,1
1149,2,845,51,11620,3860.47,0
1150,1,338,85,1304,433.22,1
1150,2,847,71,13334,4429.9,0
1151,1,338,110,1380,458.47,1
1151,2,850,97,13202,4386.05,1
1152,1,337,135,1397,464.12,1
1152,2,852,123,13073,4343.19,1
1153,1,337,160,1449,481.4,1
1153,2,854,149,13201,4385.71,1
1154,1,336,185,1468,487.71,1
1154,2,857,174,13196,4384.05,1
1155,1,336,210,1495,496.68,1
1155,2,859,200,13079,4345.18,1
1156,1,335,236,1434,476.41,1
1156,2,861,226,12901,4286.05,1
1157,1,335,261,1502,499.0,1
1157,2,862,252,12972,4309.63,1
1158,1,335,286,1496,497.01,1
1158,2,865,277,12931,4296.01,1
1159,1,335,311,1471,488.7,1
1159,2,866,303,12923,4293.36,1
1160,1,335,336,1463,486.05,1
1160,2,868,328,12770,4242.52,1
1161,1,335,362,1496,497.01,1
1161,2,870,353,12806,4254.49,1
1162,1,335,387,1381,458.8,1
1162,2,871,378,12637,4198.34,1
1163,1,335,412,1446,480.4,1
1163,2,874,398,11376,3779.4,1
1164,1,334,433,1066,354.15,1
1164,2,876,415,9515,3161.13,1
1165,1,334,448,560,186.05,1
1165,2,878,428,7124,2366.78,1
1166,1,333,450,530,176.08,1
1166,2,879,438,4976,1653.16,1
1167,1,333,447,677,224.92,1
1167,2,875,445,3232,1073.75,1
1168,1,334,436,1261,418.94,1
1168,2,872,447,2702,897.67,1
1169,1,333,426,1630,541.53,1
1169,2,874,447,2961,983.72,1
1170,1,333,420,1879,624.25,1
1170,2,879,446,3263,1084.05,1
1171,1,331,414,1993,662.13,1
1171,2,884,444,3682,1223.26,1
1172,1,331,408,1919,637.54,1
1172,2,890,443,3836,1274.42,1
1173,1,330,402,1848,613.95,1
1173,2,895,441,4093,1359.8,1
1174,1,329,394,1573,522.59,1
1174,2,899,439,4014,1333.55,1
1175,1,329,385,1224,406.64,1
1175,2,899,436,4237,1407.64,1
1176,1,328,378,1252,415.95,1
1176,2,898,423,5794,1924.92,1
1177,1,327,371,1515,503.32,1
1177,2,898,411,7340,2438.54,1
1178,1,326,364,1804,599.34,1
1178,2,899,400,9098,3022.59,1
1179,1,325,357,1859,617.61,1
1179,2,901,392,10708,3557.48,1
1180,1,324,350,1618,537.54,1
1180,2,902,386,12105,4021.59,1
1181,1,323,343,1306,433.89,1
1181,2,904,381,13459,4471.43,1
1182,1,322,336,1242,412.62,1
1182,2,906,376,14790,4913.62,1
1183,1,322,330,1445,480.07,1
1183,2,908,371,15435,5127.91,1
1184,1,321,323,1822,605.32,1
1184,2,909,368,16465,5470.1,1
1185,1,320,316,1818,603.99,1
1185,2,910,366,17026,5656.48,1
1186,1,319,309,1656,550.17,1
1186,2,912,365,17664,5868.44,1
1187,1,318,304,1374,456.48,1
1187,2,913,362,18312,6083.72,1
1188,1,318,297,1243,412.96,1
1188,2,913,359,18343,6094.02,1
1189,1,317,291,1434,476.41,1
1189,2,914,352,17821,5920.6,1
1190,1,316,285,1694,562.79,1
1190,2,915,343,16852,5598.67,1
1191,1,315,278,1810,601.33,1
1191,2,916,334,16141,5362.46,1
1192,1,314,272,1696,563.46,1
1192,2,918,328,15513,5153.82,1
1193,1,314,266,1389,461.46,1
1193,2,919,323,14948,4966.11,1
1194,1,313,260,1285,426.91,1
1194,2,920,319,14345,4765.78,1
1195,1,312,254,1425,473.42,1
1195,2,922,315,13817,4590.37,1
1196,1,312,249,1684,559.47,1
1196,2,924,312,13352,4435.88,1
1197,1,311,243,1762,585.38,1
1197,2,925,310,13220,4392.03,1
1198,1,310,237,1639,544.52,1
1198,2,926,308,13239,4398.34,1
1199,1,310,232,1402,465.78,1
1199,2,928,305,12787,4248.17,1
1200,1,309,226,1315,436.88,1
1200,2,930,303,12200,4053.16,1
1201,1,308,220,1442,479.07,1
1201,2,931,300,11861,3940.53,1
1202,1,307,215,1645,546.51,1
1202,2,933,298,11766,3908.97,1
1203,1,307,210,1726,573.42,1
1203,2,933,297,11450,3803.99,1
1204,1,305,205,1605,533.22,1
1204,2,934,294,11385,3782.39,1
1205,1,305,200,1434,476.41,1
1205,2,936,290,11415,3792.36,1
1206,1,304,195,1355,450.17,1
1206,2,938,283,11187,3716.61,1
1207,1,303,190,1433,476.08,1
1207,2,940,276,11280,3747.51,1
1208,1,302,185,1565,519.93,1
1208,2,942,270,11465,3808.97,1
1209,1,301,180,1670,554.82,1
1209,2,943,267,12082,4013.95,1
1210,1,301,175,1571,521.93,1
1210,2,945,263,12266,4075.08,1
1211,1,300,171,1424,473.09,1
1211,2,946,261,12684,4213.95,1
1212,1,300,166,1355,450.17,1
1212,2,946,260,12855,4270.76,1
1213,1,299,161,1432,475.75,1
1213,2,946,257,12882,4279.73,1
1214,1,298,156,1533,509.3,1
1214,2,946,254,12749,4235.55,1
1215,1,297,152,1535,509.97,1
1215,2,946,250,12223,4060.8,1
1216,1,296,148,1491,495.35,1
1216,2,947,246,11828,3929.57,1
1217,1,296,144,1335,443.52,1
1217,2,948,240,11233,3731.89,1
1218,1,295,140,1304,433.22,1
1218,2,950,236,11111,3691.36,1
1219,1,294,136,1363,452.82,1
1219,2,952,232,11466,3809.3,1
1220,1,293,132,1445,480.07,1
1220,2,953,230,11979,3979.73,1
1221,1,293,128,1483,492.69,1
1221,2,954,227,12225,4061.46,1
1222,1,292,124,1399,464.78,1
1222,2,955,225,11934,3964.78,1
1223,1,291,120,1332,442.52,1
1223,2,956,221,11674,3878.41,1
1224,1,291,116,1250,415.28,1
1224,2,958,217,11481,3814.29,1
1225,1,290,112,1362,452.49,1
1225,2,960,213,11125,3696.01,1
1226,1,289,109,1437,477.41,1
1226,2,962,210,10820,3594.68,1
1227,1,288,105,1460,485.05,1
1227,2,963,208,10690,3551.5,1
1228,1,287,102,1380,458.47,1
1228,2,964,207,10494,3486.38,1
1229,1,287,99,1289,428.24,1
1229,2,965,207,10076,3347.51,1
1230,1,286,95,1283,426.25,1
1230,2,966,204,9797,3254.82,1
1231,1,286,92,1337,444.19,1
1231,2,967,201,9553,3173.75,1
1232,1,285,89,1430,475.08,1
1232,2,967,197,9640,3202.66,1
1233,1,284,86,1421,472.09,1
1233,2,968,193,9808,3258.47,1
1234,1,283,83,1310,435.22,1
1234,2,969,191,10182,3382.72,1
1235,1,283,80,1266,420.6,1
1235,2,971,189,10646,3536.88,1
1236,1,282,77,1236,410.63,1
1236,2,972,188,11103,3688.7,1
1237,1,281,75,1300,431.89,1
1237,2,973,187,11427,3796.35,1
1238,1,280,72,1285,426.91,1
1238,2,974,186,11549,3836.88,1
1239,1,280,70,1324,439.87,1
1239,2,975,185,11463,3808.31,1
1240,1,279,67,1228,407.97,1
1240,2,977,184,11100,3687.71,1
1241,1,278,64,1190,395.35,1
1241,2,978,181,10652,3538.87,1
1242,1,278,61,1171,389.04,1
1242,2,979,178,10382,3449.17,1
1243,1,277,60,1230,408.64,1
1243,2,982,176,10275,3413.62,1
1244,1,276,58,1281,425.58,1
1244,2,983,175,10642,3535.55,1
1245,1,276,55,1284,426.58,1
1245,2,983,174,10954,3639.2,1
1246,1,275,52,1193,396.35,1
1246,2,983,174,11365,3775.75,1
1247,1,274,51,1098,364.78,1
1247,2,984,172,11692,3884.39,1
1248,1,274,49,1120,372.09,1
1248,2,985,171,11838,3932.89,1
1249,1,273,47,1168,388.04,1
1249,2,986,169,11652,3871.1,1
1250,1,273,46,1216,403.99,1
1250,2,987,167,11537,3832.89,1
1251,1,272,44,1210,401.99,1
1251,2,989,166,11468,3809.97,1
1252,1,271,42,1136,377.41,1
1252,2,990,165,11084,3682.39,1
1253,1,270,40,1025,340.53,1
1253,2,992,164,10550,3504.98,1
1254,1,270,39,1037,344.52,1
1254,2,994,164,10035,3333.89,1
1255,1,269,38,1092,362.79,1
1255,2,995,164,9677,3214.95,1
1256,1,268,36,1110,368.77,1
1256,2,996,164,9294,3087.71,1
1257,1,268,35,1130,375.42,1
1257,2,997,163,9302,3090.37,1
1258,1,266,34,1017,337.87,1
1258,2,999,162,9254,3074.42,1
1259,1,266,32,1014,336.88,1
1259,2,1000,161,9350,3106.31,1
1260,1,265,31,984,326.91,1
1260,2,1000,160,9477,3148.5,1
1261,1,265,30,1025,340.53,1
1261,2,1001,160,9757,3241.53,1
1262,1,264,29,1083,359.8,1
1262,2,1002,160,10143,3369.77,1
1263,1,264,28,1061,352.49,1
1263,2,1003,160,10213,3393.02,1
1264,1,263,27,1038,344.85,1
1264,2,1004,161,10341,3435.55,1
1265,1,262,26,969,321.93,1
1265,2,1006,161,10159,3375.08,1
1266,1,261,26,1018,338.21,1
1266,2,1007,161,10054,3340.2,1
1267,1,261,25,1068,354.82,0
1267,2,1009,161,9931,3299.34,1
