frame,drop_id,cx,cy,area_px,percentage
1148,1,339,32,1085,100.0
1149,1,338,56,1580,145.62
1150,1,338,82,1612,148.57
1151,1,337,107,1682,155.02
1152,1,337,132,1580,145.62
1153,1,336,157,1762,162.4
1154,1,336,183,1667,153.64
1155,1,336,208,1708,157.42
1156,1,335,233,1757,161.94
1157,1,335,258,1702,156.87
1158,1,335,283,1794,165.35
1159,1,335,309,1674,154.29
1160,1,335,335,1736,160.0
1161,1,335,361,1760,162.21
1162,1,334,386,1781,164.15
1163,1,335,409,1924,177.33
1164,1,334,431,1462,134.75
1165,1,333,449,897,82.67
1166,1,331,451,975,89.86
1167,1,331,449,1018,93.82
1168,1,332,434,1746,160.92
1169,1,333,422,2202,202.95
1170,1,332,418,2289,210.97
1171,1,332,413,2239,206.36
1172,1,332,409,2284,210.51
1173,1,330,401,2093,192.9
1174,1,330,394,1767,162.86
1175,1,328,384,1408,129.77
1176,1,328,378,1518,139.91
1177,1,327,370,1702,156.87
1178,1,326,363,1875,172.81
1179,1,325,357,1911,176.13
1180,1,324,350,1703,156.96
1181,1,323,342,1485,136.87
1182,1,322,336,1547,142.58
1183,1,321,329,1601,147.56
1184,1,320,322,1777,163.78
1185,1,319,315,1767,162.86
1186,1,319,308,1496,137.88
1187,1,318,302,1307,120.46
1188,1,317,296,1271,117.14
1189,1,316,289,1406,129.59
1190,1,316,283,1608,148.2
1191,1,314,277,1626,149.86
1192,1,313,271,1464,134.93
1193,1,313,265,1258,115.94
1194,1,312,260,1168,107.65
1195,1,311,254,1266,116.68
1196,1,310,249,1435,132.26
1197,1,308,241,1526,140.65
1198,1,308,236,1498,138.06
1199,1,307,231,1259,116.04
1200,1,307,226,1293,119.17
1201,1,306,220,1349,124.33
1202,1,305,214,1543,142.21
1203,1,304,209,1589,146.45
1204,1,304,204,1492,137.51
1205,1,303,199,1295,119.35
1206,1,302,194,1205,111.06
1207,1,302,189,1295,119.35
1208,1,301,184,1410,129.95
1209,1,300,178,1461,134.65
1210,1,300,173,1454,134.01
1211,1,299,169,1249,115.12
1212,1,298,165,1222,112.63
1213,1,298,160,1361,125.44
1214,1,297,155,1501,138.34
1215,1,296,151,1535,141.47
1216,1,296,147,1461,134.65
1217,1,295,142,1294,119.26
1218,1,294,139,1234,113.73
1219,1,294,135,1274,117.42
