frame,drop_id,cx,cy,area_px,percentage,in_frame
1698,1,728,77,5990,99.99,1
1699,1,730,103,6980,116.52,1
1700,1,733,130,6915,115.43,1
1701,1,735,156,6885,114.93,1
1702,1,737,183,6873,114.73,1
1703,1,740,210,6912,115.38,1
1704,1,742,237,6919,115.5,1
1705,1,745,263,6958,116.15,1
1706,1,747,290,6981,116.53,1
1707,1,749,317,6996,116.78,1
1708,1,752,344,7030,117.35,1
1709,1,754,371,7027,117.3,1
1710,1,756,397,6903,115.23,1
1710,2,1029,9,704,11.75,0
1711,1,759,418,6004,100.23,1
1711,2,1033,23,1626,27.14,0
1712,1,761,434,4621,77.14,1
1712,2,1038,50,1625,27.13,1
1712,3,949,6,519,8.66,0
1713,1,763,443,3539,59.08,1
1713,2,1042,76,1670,27.88,1
1713,3,952,20,1629,27.19,0
1714,1,765,446,3206,53.52,1
1714,2,1046,102,1702,28.41,1
1714,3,956,44,1749,29.2,1
1715,1,768,445,3646,60.86,1
1715,2,1050,128,1740,29.05,1
1715,3,959,70,1837,30.67,1
1716,1,770,444,3901,65.12,1
1716,2,1054,154,1775,29.63,1
1716,3,963,97,1846,30.82,1
1717,1,772,443,3986,66.54,1
1717,2,1058,180,1809,30.2,1
1717,3,967,123,1871,31.23,1
1718,1,774,441,4147,69.23,1
1718,2,1062,205,1783,29.76,1
1718,3,971,149,1882,31.42,1
1719,1,776,433,5358,89.44,1
1719,2,1066,232,1763,29.43,1
1719,3,974,176,1890,31.55,1
1720,1,778,421,6540,109.17,1
1720,2,1070,257,1788,29.85,1
1720,3,978,202,1900,31.72,1
1721,1,779,410,7433,124.08,1
1721,2,1073,284,1796,29.98,1
1721,3,981,228,1920,32.05,1
1722,1,779,398,7954,132.78,1
1722,2,1077,309,1765,29.46,1
1722,3,985,255,1911,31.9,1
1723,1,780,388,8379,139.87,1
1723,2,1080,335,1713,28.6,1
1723,3,989,281,1904,31.78,1
1724,1,782,379,8809,147.05,1
1724,2,1084,361,1689,28.19,1
1724,3,993,308,1902,31.75,1
1725,1,783,368,9303,155.3,1
1725,2,1088,387,1637,27.33,1
1725,3,996,335,1913,31.93,1
1726,1,784,359,9668,161.39,1
1726,2,1087,410,1095,18.28,1
1726,3,1000,361,1895,31.63,1
1727,1,785,354,9964,166.33,1
1727,2,1084,433,246,4.11,1
1727,3,1003,388,1868,31.18,1
1728,1,787,377,8485,141.64,1
1728,3,1007,414,1761,29.4,1
1728,4,782,212,1502,25.07,1
1729,1,788,376,8720,145.56,1
1729,3,1011,434,1063,17.74,1
1729,4,782,194,1490,24.87,1
1730,1,789,376,8972,149.77,1
1730,3,1022,445,281,4.69,1
1730,4,783,177,1668,27.84,1
1731,1,791,375,9047,151.02,1
