frame,drop_id,cx,cy,area_px,percentage,in_frame
0,1,1099,415,4974,99.99,1
402,2,1045,10,1612,32.41,0
403,2,1046,22,4362,87.69,0
404,2,1048,36,7139,143.51,0
405,2,1049,52,9464,190.25,0
406,2,1052,78,9849,197.99,1
407,2,1054,105,10106,203.16,1
408,2,1056,132,10298,207.02,1
409,2,1058,158,10458,210.23,1
410,2,1059,185,10407,209.21,1
411,2,1061,213,10375,208.56,1
412,2,1063,240,10218,205.41,1
413,2,1064,267,9958,200.18,1
414,2,1066,294,9755,196.1,1
415,2,1067,321,9462,190.21,1
416,2,1069,348,9158,184.1,1
417,2,1070,375,8812,177.14,1
418,2,1072,401,8331,167.47,1
419,2,1073,419,6641,133.5,1
420,2,1070,432,4738,95.25,1
421,2,1063,441,3293,66.2,1
422,2,1049,445,2381,47.86,1
423,2,1042,446,2420,48.65,1
424,2,1045,444,2780,55.89,1
425,2,1049,443,3139,63.1,1
426,2,1054,442,3398,68.31,1
427,2,1058,441,3525,70.86,1
428,2,1065,439,3841,77.21,1
429,2,1075,436,4333,87.1,1
430,2,1086,425,6403,128.72,1
431,2,1088,415,7539,151.55,1
432,2,1089,405,8245,165.75,1
433,2,1090,395,8957,180.06,1
434,2,1092,385,9451,189.99,1
435,2,1094,378,10045,201.93,1
436,2,1095,370,10834,217.79,1
437,2,1096,363,11649,234.17,1
438,2,1097,357,12127,243.78,1
439,2,1098,352,12494,251.16,1
440,2,1099,348,12620,253.69,1
441,2,1100,368,11056,222.25,1
441,3,1099,193,1576,31.68,1
442,2,1101,365,11102,223.18,1
442,3,1100,180,1623,32.63,1
443,2,1102,363,11112,223.38,1
443,3,1101,167,1632,32.81,1
444,2,1102,361,11133,223.8,1
444,3,1102,153,1713,34.44,1
445,2,1102,361,11286,226.88,1
445,3,1103,140,1681,33.79,1
446,2,1103,361,11407,229.31,1
446,3,1104,128,1654,33.25,1
447,2,1103,361,11586,232.91,1
447,3,1105,115,1559,31.34,1
448,2,1103,361,11624,233.67,1
448,3,1106,102,1493,30.01,1
