frame,drop_id,cx,cy,area_px,percentage,in_frame
312,1,781,72,8441,100.0,1
313,1,781,96,10615,125.76,1
314,1,781,121,10647,126.13,1
315,1,781,146,10588,125.44,1
316,1,781,170,10522,124.65,1
317,1,781,195,10437,123.65,1
318,1,781,220,10425,123.5,1
319,1,781,244,10374,122.9,1
320,1,781,269,10367,122.82,1
321,1,781,294,10354,122.66,1
322,1,781,319,10376,122.92,1
323,1,781,344,10476,124.11,1
324,1,781,368,10589,125.45,1
325,1,781,393,10521,124.64,1
326,1,781,412,9784,115.91,1
327,1,781,425,8417,99.72,1
328,1,781,434,7298,86.46,1
329,1,782,439,6849,81.14,1
330,1,781,439,7244,85.82,1
331,1,781,438,7751,91.83,1
332,1,781,436,8096,95.91,1
333,1,781,435,7976,94.49,1
334,1,781,434,7860,93.12,1
335,1,781,430,8160,96.67,1
336,1,781,421,9809,116.21,1
337,1,781,409,11343,134.38,1
338,1,781,397,12723,150.73,1
339,1,781,386,13802,163.51,1
340,1,780,375,14666,173.75,1
341,1,780,365,15112,179.03,1
342,1,780,355,15720,186.23,1
343,1,779,345,16291,193.0,1
344,1,779,336,16767,198.64,1
345,1,779,327,17038,201.85,1
346,1,779,320,17280,204.72,1
347,1,779,313,17748,210.26,1
348,1,778,308,18561,219.89,1
349,1,777,336,15461,183.17,1
349,2,780,155,3001,35.55,1
350,1,777,330,15062,178.44,1
350,2,779,144,2963,35.1,1
351,1,777,322,14269,169.04,1
351,2,779,132,2925,34.65,1
352,1,777,313,13275,157.27,1
352,2,779,120,2953,34.98,1
353,1,776,305,12288,145.58,1
353,2,779,108,3001,35.55,1
354,1,776,297,11642,137.92,1
354,2,778,96,3003,35.58,1
355,1,775,289,10937,129.57,1
355,2,778,85,3006,35.61,1
356,1,775,282,10204,120.89,1
356,2,778,73,2988,35.4,1
357,1,775,274,9455,112.01,1
357,2,778,61,2904,34.4,1
358,1,774,269,9107,107.89,1
358,2,777,50,2875,34.06,1
359,1,774,264,8922,105.7,1
359,2,777,39,2867,33.97,1
360,1,773,257,8205,97.2,1
360,2,777,28,2852,33.79,0
361,1,773,250,8659,102.58,1
361,2,776,21,2361,27.97,0
362,1,773,243,8699,103.06,1
362,2,776,15,1747,20.7,0
363,1,773,234,8941,105.92,1
363,2,776,10,1097,13.0,0
364,1,772,226,9873,116.96,1
364,2,776,4,446,5.28,0
365,1,771,220,10466,123.99,1
366,1,771,215,10890,129.01,1
367,1,772,211,11406,135.13,1
368,1,772,206,11859,140.49,1
369,1,771,199,11896,140.93,1
370,1,770,191,11574,137.12,1
371,1,770,184,11570,137.07,1
372,1,770,177,11606,137.5,1
373,1,770,169,11461,135.78,1
374,1,770,163,11129,131.84,1
375,1,769,157,11261,133.41,1
376,1,768,153,11248,133.25,1
377,1,768,149,11033,130.71,1
378,1,767,144,10413,123.36,1
379,1,767,139,9564,113.3,1
380,1,769,132,8819,104.48,1
381,1,769,127,8678,102.81,1
382,1,769,121,8715,103.25,1
383,1,769,115,8726,103.38,1
384,1,768,109,8804,104.3,1
385,1,766,104,9196,108.94,1
386,1,765,101,9814,116.27,1
387,1,764,97,10243,121.35,1
388,1,764,92,10530,124.75,1
389,1,764,86,10822,128.21,1
390,1,764,80,11085,131.32,0
391,1,764,75,11097,131.47,0
392,1,764,72,10834,128.35,0
393,1,763,70,10859,128.65,0
394,1,762,67,10907,129.21,0
395,1,762,64,10743,127.27,0
396,1,762,59,10389,123.08,0
397,1,762,54,9845,116.63,0
398,1,762,48,9233,109.38,0
399,1,762,42,8574,101.58,0
400,1,763,38,8166,96.74,0
401,1,762,34,7900,93.59,0
402,1,762,32,7530,89.21,0
403,1,761,30,7055,83.58,0
404,1,761,29,6500,77.01,0
405,1,760,28,6074,71.96,0
406,1,759,29,5849,69.29,0
407,1,758,30,5597,66.31,0
408,1,757,32,5365,63.56,0
409,1,756,32,5275,62.49,0
410,1,756,33,5330,63.14,0
411,1,755,32,5452,64.59,0
412,1,754,31,5466,64.76,0
413,1,753,28,5302,62.81,0
414,1,753,25,4829,57.21,0
415,1,753,22,4142,49.07,0
416,1,753,18,3352,39.71,0
417,1,754,15,2525,29.91,0
418,1,756,12,1835,21.74,0
419,1,759,8,1317,15.6,0
420,1,760,6,932,11.04,0
421,1,763,4,631,7.48,0
422,1,763,3,429,5.08,0
423,1,763,2,303,3.59,0
424,1,758,1,224,2.65,0
425,1,756,2,289,3.42,0
426,1,752,4,471,5.58,0
427,1,750,6,637,7.55,0
428,1,749,7,787,9.32,0
429,1,748,7,950,11.25,0
430,1,747,8,1037,12.29,0
431,1,747,7,993,11.76,0
432,1,747,6,872,10.33,0
433,1,746,5,610,7.23,0
434,1,748,3,333,3.95,0
483,3,734,2,275,3.26,0
484,3,733,5,581,6.88,0
485,3,732,7,961,11.38,0
486,3,732,9,1351,16.01,0
487,3,731,11,1677,19.87,0
488,3,731,13,1941,22.99,0
489,3,731,14,2047,24.25,0
490,3,730,14,2125,25.17,0
491,3,730,15,2176,25.78,0
492,3,730,14,2182,25.85,0
493,3,731,14,2213,26.22,0
494,3,732,13,2279,27.0,0
495,3,733,12,2449,29.01,0
496,3,733,13,2760,32.7,0
497,3,733,14,3101,36.74,0
498,3,732,16,3496,41.42,0
499,3,731,17,3858,45.71,0
500,3,731,19,4269,50.57,0
501,3,730,22,4683,55.48,0
502,3,729,25,5164,61.18,0
503,3,729,28,5653,66.97,0
504,3,728,31,6093,72.18,0
505,3,728,34,6459,76.52,0
506,3,728,37,6733,79.77,0
507,3,727,39,6929,82.09,0
508,3,728,40,7103,84.15,0
509,3,728,41,7290,86.36,0
510,3,728,42,7596,89.99,0
511,3,728,43,7906,93.66,0
512,3,728,44,8251,97.75,0
513,3,728,46,8577,101.61,0
514,3,727,49,8893,105.35,0
515,3,727,54,8994,106.55,1
516,3,727,58,9117,108.01,1
517,3,726,63,9095,107.75,1
518,3,726,68,9122,108.07,1
519,3,726,72,9143,108.32,1
520,3,726,77,9211,109.12,1
521,3,725,81,9321,110.43,1
522,3,725,86,9419,111.59,1
523,3,725,91,9419,111.59,1
524,3,725,96,9449,111.94,1
525,3,724,101,9306,110.25,1
526,3,724,106,9207,109.07,1
527,3,724,111,9107,107.89,1
528,3,724,116,8981,106.4,1
529,3,723,121,8898,105.41,1
530,3,723,127,8821,104.5,1
531,3,723,132,8818,104.47,1
532,3,723,138,8924,105.72,1
533,3,723,143,9088,107.66,1
534,3,722,149,9274,109.87,1
535,3,722,155,9342,110.67,1
536,3,721,161,9335,110.59,1
537,3,721,167,9297,110.14,1
538,3,721,172,9269,109.81,1
539,3,720,178,9280,109.94,1
540,3,720,184,9275,109.88,1
541,3,720,191,9220,109.23,1
542,3,720,197,9163,108.55,1
543,3,720,203,9055,107.27,1
544,3,719,209,8945,105.97,1
545,3,719,215,8883,105.24,1
546,3,719,222,8817,104.45,1
547,3,718,228,8796,104.21,1
548,3,718,235,8814,104.42,1
549,3,718,242,8825,104.55,1
550,3,718,248,8962,106.17,1
551,3,718,255,9182,108.78,1
552,3,717,262,9335,110.59,1
553,3,717,269,9470,112.19,1
554,3,716,276,9492,112.45,1
555,3,716,284,9432,111.74,1
556,3,716,291,9359,110.88,1
557,3,716,298,9258,109.68,1
558,3,715,305,9187,108.84,1
559,3,715,312,9053,107.25,1
560,3,715,320,8950,106.03,1
561,3,715,327,8829,104.6,1
562,3,715,335,8719,103.29,1
563,3,714,343,8662,102.62,1
564,3,714,350,8664,102.64,1
565,3,714,358,8660,102.59,1
566,3,713,366,8738,103.52,1
567,3,713,374,8861,104.98,1
568,3,713,382,9014,106.79,1
569,3,713,390,9192,108.9,1
570,3,713,397,9251,109.6,1
571,3,713,407,9699,114.9,1
572,3,712,414,9432,111.74,1
573,3,712,419,8874,105.13,1
574,3,711,423,8265,97.91,1
575,3,711,426,7703,91.26,1
576,3,711,427,7352,87.1,1
577,3,711,427,7150,84.71,1
578,3,711,426,7180,85.06,1
579,3,711,424,6905,81.8,1
580,3,711,421,6990,82.81,1
581,3,710,416,7361,87.21,1
582,3,710,410,7713,91.38,1
583,3,709,405,8129,96.3,1
584,3,709,400,8628,102.22,1
585,3,709,395,9159,108.51,1
586,3,709,391,9745,115.45,1
587,3,708,388,10366,122.81,1
588,3,708,385,10988,130.17,1
589,3,708,379,11124,131.79,1
590,3,708,374,10977,130.04,1
591,3,708,368,10277,121.75,1
592,3,707,360,9404,111.41,1
593,3,707,353,8697,103.03,1
594,3,707,347,8125,96.26,1
595,3,707,342,7705,91.28,1
596,3,706,339,7252,85.91,1
597,3,706,336,6955,82.4,1
598,3,706,331,7020,83.17,1
599,3,706,327,7106,84.18,1
600,3,706,322,7415,87.85,1
601,3,705,316,7938,94.04,1
602,3,705,310,8517,100.9,1
603,3,705,304,9120,108.04,1
604,3,705,299,9666,114.51,1
605,3,705,295,10202,120.86,1
606,3,704,292,10697,126.73,1
607,3,704,290,11002,130.34,1
608,3,704,287,10887,128.98,1
609,3,704,283,10269,121.66,1
610,3,704,278,9361,110.9,1
611,3,703,272,8521,100.95,1
612,3,703,267,7958,94.28,1
613,3,703,262,7562,89.59,1
614,3,703,259,7220,85.53,1
615,3,703,257,6952,82.36,1
616,3,702,254,6840,81.03,1
617,3,702,252,7005,82.99,1
618,3,701,249,7228,85.63,1
619,3,701,245,7624,90.32,1
620,3,701,242,8215,97.32,1
621,3,701,237,8896,105.39,1
622,3,701,233,9534,112.95,1
623,3,701,229,10090,119.54,1
624,3,701,226,10515,124.57,1
