frame,drop_id,cx,cy,area_px,percentage
312,1,780,73,9451,100.0
313,1,781,96,9160,96.92
314,1,781,121,8889,94.05
315,1,781,144,8724,92.31
316,1,781,169,8536,90.32
317,1,781,194,8481,89.74
318,1,781,219,8252,87.31
319,1,781,244,8236,87.14
320,1,781,268,8179,86.54
321,1,781,293,8062,85.3
322,1,781,318,8206,86.83
323,1,781,343,8115,85.86
324,1,781,368,8195,86.71
325,1,781,392,8045,85.12
326,1,781,412,7694,81.41
327,1,782,425,6389,67.6
328,1,782,436,5198,55.0
329,1,783,441,4641,49.11
330,1,783,442,4984,52.74
331,1,783,441,5276,55.82
332,1,783,439,5419,57.34
333,1,782,438,5482,58.0
334,1,782,436,5630,59.57
335,1,782,432,6102,64.56
336,1,781,420,7909,83.68
337,1,781,409,8982,95.04
338,1,781,399,9843,104.15
339,1,781,388,10462,110.7
340,1,780,377,10925,115.6
341,1,780,365,12079,127.81
342,1,780,355,12900,136.49
343,1,779,347,12381,131.0
344,1,779,336,13615,144.06
345,1,779,326,13762,145.61
346,1,780,317,14210,150.35
347,1,779,310,14786,156.45
348,1,778,304,15875,167.97
349,1,778,299,16748,177.21
350,1,777,329,12257,129.69
350,2,779,143,2362,24.99
351,1,777,320,12300,130.14
351,2,779,132,2756,29.16
352,1,777,311,11391,120.53
352,2,779,119,2874,30.41
353,1,776,303,10670,112.9
353,2,779,107,3111,32.92
354,1,775,296,10083,106.69
354,2,779,96,3163,33.47
355,1,775,288,9433,99.81
355,2,778,85,3213,34.0
356,1,775,280,8834,93.47
356,2,778,72,3128,33.1
357,1,775,273,8329,88.13
357,2,778,61,3092,32.72
358,1,774,268,8052,85.2
358,2,778,50,3076,32.55
359,1,774,262,7973,84.36
359,2,778,40,2988,31.62
360,1,773,255,7099,75.11
360,2,777,29,2788,29.5
361,1,773,248,7436,78.68
361,2,776,21,2259,23.9
362,1,774,241,7614,80.56
362,2,776,16,1743,18.44
363,1,773,232,7616,80.58
363,2,776,10,1085,11.48
364,1,772,225,8250,87.29
365,1,772,219,9466,100.16
366,1,771,213,9314,98.55
367,1,772,209,9579,101.35
368,1,772,204,10624,112.41
369,1,771,197,10630,112.47
370,1,770,189,9778,103.46
371,1,770,182,9839,104.11
372,1,770,176,9815,103.85
373,1,770,168,9645,102.05
374,1,771,161,9306,98.47
375,1,770,156,9881,104.55
376,1,768,151,10131,107.2
377,1,767,148,9612,101.7
378,1,767,143,9035,95.6
379,1,767,137,8130,86.02
380,1,769,131,7383,78.12
381,1,769,126,7320,77.45
382,1,769,120,8052,85.2
383,1,769,114,7304,77.28
384,1,767,108,8041,85.08
385,1,766,103,8031,84.98
386,1,764,100,8725,92.32
387,1,764,96,9634,101.94
388,1,764,91,9186,97.2
389,1,764,85,9279,98.18
390,1,765,81,9951,105.29
391,1,765,75,9911,104.87
392,1,764,72,9807,103.77
393,1,764,69,9825,103.96
394,1,763,67,10021,106.03
395,1,762,64,10031,106.14
396,1,762,59,9779,103.47
397,1,762,53,9301,98.41
398,1,761,47,8708,92.14
399,1,762,42,8118,85.9
400,1,762,37,7646,80.9
401,1,762,33,7410,78.4
402,1,762,31,7066,74.76
403,1,761,29,6610,69.94
404,1,760,27,6078,64.31
405,1,759,27,5764,60.99
406,1,759,28,5556,58.79
407,1,758,30,5383,56.96
408,1,757,31,5187,54.88
409,1,756,32,5140,54.39
410,1,755,32,4868,51.51
411,1,755,32,5211,55.14
412,1,754,30,5233,55.37
413,1,753,28,5111,54.08
414,1,753,25,4638,49.07
415,1,753,21,3944,41.73
416,1,753,18,3160,33.44
417,1,755,14,2296,24.29
418,1,757,11,1685,17.83
419,1,759,7,1161,12.28
420,1,761,4,774,8.19
421,1,763,3,558,5.9
422,1,763,2,391,4.14
423,1,764,1,268,2.84
424,1,759,1,218,2.31
425,1,755,1,248,2.62
426,1,753,2,359,3.8
427,1,751,4,500,5.29
428,1,749,6,767,8.12
429,1,748,6,793,8.39
430,1,748,6,864,9.14
431,1,747,6,846,8.95
432,1,747,5,743,7.86
433,1,747,3,510,5.4
434,1,748,2,333,3.52
435,1,748,1,145,1.53
