frame,drop_id,cx,cy,area_px,percentage,in_frame
831,1,750,80,8996,99.99,1
832,1,750,105,10563,117.41,1
833,1,750,131,10624,118.09,1
834,1,750,157,10652,118.4,1
835,1,749,182,10776,119.78,1
836,1,749,208,10884,120.98,1
837,1,749,234,10945,121.66,1
838,1,748,260,11045,122.77,1
839,1,748,286,11102,123.4,1
840,1,748,312,11061,122.95,1
841,1,748,338,11121,123.61,1
842,1,748,364,11081,123.17,1
843,1,748,388,10683,118.75,1
844,1,748,411,10178,113.13,1
845,1,748,426,8717,96.89,1
846,1,748,435,7538,83.79,1
847,1,747,440,6831,75.93,1
848,1,747,441,7221,80.26,1
849,1,746,439,7527,83.67,1
850,1,745,438,7752,86.17,1
851,1,744,437,7862,87.39,1
852,1,742,435,7873,87.51,1
853,1,742,432,7763,86.29,1
854,1,742,427,8403,93.4,1
855,1,742,414,10055,111.77,1
856,1,742,401,11492,127.74,1
857,1,742,388,12612,140.19,1
857,2,758,5,401,4.46,0
858,1,742,377,13476,149.79,1
858,2,758,16,1638,18.21,0
859,1,742,367,14433,160.43,1
859,2,757,34,2307,25.64,0
860,1,741,357,15393,171.1,1
860,2,757,59,2328,25.88,1
861,1,740,347,16458,182.94,1
861,2,757,84,2368,26.32,1
862,1,739,338,17096,190.03,1
862,2,757,109,2390,26.57,1
863,1,738,332,17382,193.21,1
863,2,756,133,2435,27.07,1
864,1,741,306,20177,224.28,1
865,1,741,303,20533,228.23,1
866,1,741,298,20777,230.95,1
867,1,746,324,16432,182.65,1
867,3,712,136,3128,34.77,1
868,1,745,324,15149,168.39,1
868,3,712,121,3112,34.59,1
869,1,744,322,14304,159.0,1
869,3,710,107,3085,34.29,1
870,1,743,318,13558,150.7,1
870,3,709,92,3043,33.82,1
871,1,743,312,12916,143.57,1
871,3,708,77,3028,33.66,1
872,1,743,307,12739,141.6,1
872,3,707,62,2974,33.06,1
873,1,744,309,13664,151.88,1
873,3,707,48,2943,32.71,1
874,1,744,316,15199,168.94,1
874,3,705,33,3024,33.61,0
875,1,742,292,12072,134.19,1
875,3,704,23,2566,28.52,0
875,4,753,429,2361,26.24,1
876,1,742,285,11444,127.21,1
876,3,703,15,1798,19.99,0
876,4,753,442,1795,19.95,1
877,1,742,280,10606,117.89,1
877,3,700,8,893,9.93,0
877,4,752,444,1728,19.21,1
878,1,743,273,9806,109.0,1
878,3,699,2,192,2.13,0
878,4,752,441,1899,21.11,1
879,1,742,268,9313,103.52,1
879,4,752,429,2607,28.98,1
880,1,741,263,8622,95.84,1
880,4,751,416,3211,35.69,1
881,1,740,256,8003,88.96,1
881,4,751,407,3505,38.96,1
882,1,740,249,8019,89.13,1
882,4,750,400,3568,39.66,1
883,1,740,244,8248,91.68,1
883,4,750,389,3335,37.07,1
884,1,741,238,8081,89.82,1
884,4,750,380,3051,33.91,1
885,1,740,232,8225,91.42,1
885,4,749,369,2639,29.33,1
886,1,740,227,8810,97.93,1
886,4,749,357,2174,24.16,1
887,1,739,222,9395,104.43,1
887,4,749,348,2158,23.99,1
888,1,738,218,9931,110.39,1
888,4,748,338,2527,28.09,1
889,1,740,239,13192,146.63,1
890,1,740,231,13656,151.79,1
891,1,740,222,14445,160.56,1
892,1,740,214,14846,165.02,1
893,1,739,205,14828,164.82,1
894,1,738,198,14644,162.77,1
895,1,738,194,14245,158.34,1
896,1,737,189,13612,151.3,1
897,1,737,185,12786,142.12,1
898,1,737,180,12103,134.53,1
899,1,737,174,11578,128.69,1
900,1,736,168,11000,122.27,1
901,1,736,164,10420,115.82,1
902,1,736,161,9879,109.81,1
903,1,737,157,9565,106.32,1
904,1,737,152,9337,103.78,1
905,1,737,146,9090,101.04,1
906,1,736,139,8809,97.92,1
907,1,734,132,8597,95.56,1
908,1,733,126,9116,101.33,1
909,1,732,122,9986,111.0,1
910,1,732,119,10612,117.96,1
911,1,733,116,11004,122.31,1
912,1,733,113,11243,124.97,1
913,1,733,109,11498,127.81,1
914,1,732,106,11557,128.46,1
915,1,732,103,11178,124.25,1
916,1,732,98,10876,120.89,1
917,1,732,94,10914,121.31,1
918,1,732,90,11107,123.46,1
919,1,731,86,11148,123.91,1
920,1,731,83,11014,122.43,1
921,1,730,79,10880,120.94,1
922,1,729,74,10922,121.4,1
923,1,729,69,10906,121.22,0
924,1,729,66,10319,114.7,0
925,1,730,64,9585,106.54,0
926,1,730,62,9219,102.47,0
927,1,730,61,8958,99.57,0
928,1,729,60,8778,97.57,0
929,1,728,59,8986,99.88,0
930,1,727,58,9388,104.35,0
931,1,727,57,9811,109.05,0
932,1,727,56,10180,113.16,0
933,1,727,55,10312,114.62,0
934,1,727,55,10181,113.17,0
935,1,728,53,9965,110.77,0
936,1,728,51,9761,108.5,0
937,1,728,50,9594,106.64,0
938,1,728,48,9495,105.54,0
939,1,727,47,9426,104.77,0
940,1,727,45,9445,104.99,0
941,1,726,44,9484,105.42,0
942,1,725,42,9513,105.74,0
943,1,724,41,9255,102.87,0
944,1,723,39,8732,97.06,0
945,1,721,39,7993,88.85,0
946,1,721,40,7382,82.05,0
947,1,720,40,7148,79.45,0
948,1,719,41,7088,78.79,0
949,1,718,41,7058,78.45,0
950,1,718,41,7095,78.86,0
951,1,718,41,7200,80.03,0
952,1,720,40,7348,81.68,0
953,1,724,41,9258,102.91,0
954,1,721,38,7551,83.93,0
955,1,722,37,7780,86.48,0
956,1,723,36,8025,89.2,0
957,1,724,35,8141,90.49,0
958,1,724,34,8222,91.39,0
959,1,724,34,8314,92.41,0
960,1,724,33,8389,93.25,0
961,1,723,33,8493,94.4,0
962,1,722,33,8557,95.11,0
963,1,721,33,8532,94.84,0
964,1,720,32,8350,92.81,0
965,1,718,33,8058,89.57,0
966,1,717,34,7668,85.23,0
967,1,716,35,7290,81.03,0
968,1,715,37,7000,77.81,0
969,1,715,39,6894,76.63,0
970,1,714,41,6936,77.1,0
971,1,714,42,6974,77.52,0
972,1,714,43,7022,78.05,0
973,1,715,43,7071,78.6,0
974,1,716,42,7268,80.79,0
975,1,716,41,7646,84.99,0
976,1,715,40,8117,90.22,0
977,1,715,39,8595,95.54,0
978,1,714,39,9008,100.13,0
979,1,714,39,9357,104.01,0
980,1,714,39,9619,106.92,0
981,1,714,40,9805,108.99,0
982,1,713,41,9888,109.91,0
983,1,713,42,9832,109.29,0
984,1,713,44,9712,107.95,0
985,1,712,45,9644,107.2,0
986,1,712,47,9515,105.76,0
987,1,712,49,9324,103.64,0
988,1,711,51,9094,101.08,0
989,1,711,54,8877,98.67,0
990,1,711,56,8789,97.69,0
991,1,710,59,8790,97.7,0
992,1,710,61,8771,97.49,0
993,1,710,62,8760,97.37,0
994,1,709,63,8868,98.57,0
995,1,709,65,9020,100.26,0
996,1,709,67,9227,102.56,1
997,1,708,70,9505,105.65,1
998,1,708,73,9731,108.16,1
999,1,708,76,9845,109.43,1
1000,1,708,79,9845,109.43,1
1001,1,708,82,9756,108.44,1
1002,1,708,84,9642,107.18,1
1003,1,708,87,9531,105.94,1
1004,1,707,90,9447,105.01,1
1005,1,707,93,9427,104.79,1
1006,1,707,96,9441,104.94,1
1007,1,706,99,9507,105.67,1
1007,5,698,7,797,8.86,0
1008,1,706,103,9572,106.4,1
1008,5,698,21,1816,20.19,0
1009,1,705,99,10687,118.79,1
1010,1,705,108,9655,107.32,1
1011,1,705,113,9319,103.58,1
1012,1,704,117,9128,101.46,1
1013,1,704,121,9133,101.52,1
1014,1,702,129,9761,108.5,1
1015,1,702,139,10753,119.52,1
1016,1,701,149,11619,129.15,1
1017,1,703,136,9418,104.69,1
1017,6,693,238,2469,27.44,1
1018,1,703,140,9665,107.43,1
1018,6,693,261,2514,27.94,1
1019,1,703,144,9861,109.61,1
1019,6,693,284,2464,27.39,1
1020,1,703,148,9902,110.07,1
1020,6,692,309,2643,29.38,1
1021,1,702,152,9793,108.85,1
1021,6,692,332,2467,27.42,1
1022,1,702,156,9602,106.73,1
1022,6,692,356,2461,27.36,1
1023,1,702,161,9443,104.96,1
1023,6,691,380,2544,28.28,1
1024,1,702,165,9296,103.33,1
1024,6,690,404,2541,28.24,1
1025,1,701,170,9273,103.07,1
1025,6,691,427,2507,27.87,1
1026,1,701,174,9349,103.92,1
1026,6,691,437,1712,19.03,1
1027,1,701,179,9478,105.35,1
1027,6,691,440,1267,14.08,1
1028,1,700,184,9621,106.94,1
1028,6,690,439,1444,16.05,1
1029,1,700,189,9668,107.46,1
1029,6,691,435,1994,22.16,1
1030,1,700,194,9606,106.77,1
1030,6,690,427,3016,33.52,1
1031,1,700,198,9434,104.86,1
1031,6,689,419,3567,39.65,1
1032,1,699,203,9221,102.5,1
1032,6,688,409,3942,43.82,1
1033,1,699,208,9013,100.18,1
1033,6,689,400,3891,43.25,1
1034,1,699,213,8935,99.32,1
1034,6,689,390,3878,43.11,1
1035,1,698,218,8950,99.48,1
1035,6,688,379,3620,40.24,1
1036,1,698,224,9058,100.68,1
1036,6,688,367,3013,33.49,1
1037,1,697,229,9303,103.41,1
1037,6,688,356,2692,29.92,1
1038,1,697,235,9596,106.66,1
1038,6,688,346,1488,16.54,1
1039,1,697,241,9867,109.68,1
1039,6,688,335,1556,17.3,1
1040,1,695,261,12322,136.96,1
1041,1,696,264,12031,133.73,1
1042,1,696,266,11244,124.98,1
1043,1,696,266,10242,113.84,1
1044,1,696,269,9620,106.93,1
1045,1,695,275,9522,105.84,1
1046,1,695,280,9557,106.23,1
1047,1,695,285,9848,109.46,1
1048,1,694,288,10695,118.88,1
1049,1,693,287,11792,131.07,1
1050,1,693,287,12828,142.59,1
1051,1,692,287,13180,146.5,1
1052,1,694,318,9521,105.83,1
1052,7,686,208,3005,33.4,1
1053,1,694,325,9299,103.36,1
1053,7,686,199,2744,30.5,1
1054,1,694,331,9137,101.56,1
1054,7,685,189,1891,21.02,1
1055,1,693,338,9061,100.72,1
1055,7,685,180,1465,16.28,1
1056,1,693,345,9104,101.19,1
1056,7,685,171,1943,21.6,1
1057,1,692,352,9294,103.31,1
1057,7,685,163,2452,27.26,1
1058,1,692,359,9537,106.01,1
1058,7,684,154,2816,31.3,1
1059,1,692,366,9768,108.58,1
1059,7,685,144,2835,31.51,1
1060,1,692,373,9915,110.21,1
1060,7,684,135,2669,29.67,1
1061,1,692,380,9936,110.44,1
1061,7,684,126,2449,27.22,1
1062,1,692,387,9796,108.89,1
1062,7,684,116,1782,19.81,1
1063,1,691,394,9664,107.42,1
1063,7,683,108,1505,16.73,1
1064,1,691,401,9435,104.87,1
1064,7,683,99,1978,21.99,1
1065,1,691,405,9020,100.26,1
1065,7,683,91,2313,25.71,1
1066,1,691,410,8691,96.6,1
1066,7,683,84,2695,29.96,1
1067,1,691,414,8450,93.93,1
1067,7,684,76,2616,29.08,1
1068,1,691,418,8209,91.25,1
1068,7,683,68,2382,26.48,1
1069,1,690,421,7955,88.42,1
1069,7,683,59,2036,22.63,1
1070,1,690,423,7734,85.97,1
1070,7,685,50,1272,14.14,1
1071,1,689,425,7377,82.0,1
1071,7,684,43,1242,13.81,1
1072,1,689,425,7554,83.97,1
1072,7,683,34,1667,18.53,1
1073,1,689,424,7729,85.91,1
1073,7,684,25,2085,23.18,0
1074,1,688,423,7927,88.11,1
1074,7,683,19,1810,20.12,0
1075,1,688,420,8511,94.6,1
1075,7,683,15,1540,17.12,0
1076,1,688,416,9060,100.71,1
1076,7,683,10,1036,11.52,0
1077,1,688,413,9572,106.4,1
1077,7,684,6,575,6.39,0
1078,1,688,409,9946,110.55,1
1078,7,680,1,185,2.06,0
1079,1,687,405,10230,113.71,1
1080,1,686,401,10407,115.68,1
1081,1,685,396,10412,115.73,1
1082,1,685,391,10292,114.4,1
1083,1,685,387,10036,111.55,1
1084,1,685,382,9619,106.92,1
1085,1,684,376,9366,104.11,1
1086,1,684,371,9144,101.64,1
1087,1,684,365,8958,99.57,1
1088,1,684,359,8704,96.75,1
1089,1,683,354,8574,95.3,1
1090,1,683,349,8538,94.9,1
1091,1,682,344,8586,95.44,1
1092,1,682,340,8741,97.16,1
1093,1,682,336,8951,99.49,1
1094,1,682,332,9200,102.26,1
1095,1,681,328,9486,105.44,1
1096,1,681,323,9804,108.98,1
1097,1,681,318,10005,111.21,1
1098,1,681,314,10136,112.67,1
1099,1,680,310,10202,113.4,1
1100,1,680,305,10164,112.98,1
1101,1,679,301,10093,112.19,1
1102,1,679,298,9945,110.54,1
1103,1,679,295,9797,108.9,1
1104,1,678,291,9596,106.66,1
1105,1,678,288,9366,104.11,1
1106,1,678,285,9174,101.97,1
1107,1,678,281,9014,100.19,1
1108,1,677,277,8889,98.81,1
1109,1,677,273,8809,97.92,1
1110,1,677,269,8764,97.42,1
1111,1,676,266,8818,98.02,1
1112,1,676,263,8942,99.39,1
1113,1,676,260,9106,101.22,1
1114,1,675,257,9342,103.84,1
1115,1,675,255,9520,105.82,1
1116,1,675,252,9739,108.25,1
1117,1,674,249,9926,110.33,1
1118,1,674,246,10056,111.78,1
1119,1,674,243,10088,112.13,1
1120,1,674,240,10028,111.47,1
1121,1,673,237,9937,110.45,1
1122,1,673,235,9764,108.53,1
1123,1,672,233,9633,107.07,1
1124,1,672,231,9501,105.61,1
1125,1,672,229,9368,104.13,1
1125,8,653,4,312,3.47,0
1126,1,672,227,9199,102.25,1
1126,8,653,7,624,6.94,0
1127,1,671,225,9070,100.82,1
1127,8,652,10,972,10.8,0
1128,1,671,223,8964,99.64,1
1128,8,652,13,1336,14.85,0
1129,1,671,221,8911,99.05,1
1129,8,651,17,1694,18.83,0
1130,1,671,219,8953,99.52,1
1130,8,651,21,2011,22.35,0
1131,1,670,216,8993,99.96,1
1131,8,651,26,2237,24.87,0
1132,1,670,215,9124,101.42,1
1132,8,650,34,2203,24.49,1
1133,1,669,213,9266,103.0,1
1133,8,650,41,2180,24.23,1
1134,1,669,212,9408,104.57,1
1134,8,649,49,2174,24.16,1
1135,1,669,211,9589,106.59,1
1135,8,649,57,2183,24.26,1
1136,1,669,209,9775,108.65,1
1136,8,649,64,2190,24.34,1
1137,1,668,208,9902,110.07,1
1137,8,648,72,2216,24.63,1
1138,1,668,207,9960,110.71,1
1138,8,648,80,2208,24.54,1
1139,1,668,205,9964,110.75,1
1139,8,647,88,2206,24.52,1
1140,1,667,204,9900,110.04,1
1140,8,647,95,2206,24.52,1
1141,1,667,203,9812,109.06,1
1141,8,647,104,2211,24.58,1
1142,1,663,184,11953,132.86,1
1143,1,662,185,11689,129.93,1
1144,1,662,187,11328,125.92,1
1145,1,662,189,10883,120.97,1
1146,1,662,191,10484,116.53,1
1147,1,663,193,10082,112.07,1
1148,1,663,195,9671,107.5,1
1149,1,664,196,9361,104.05,1
1150,1,664,196,9136,101.55,1
1151,1,664,196,9172,101.95,1
1152,1,664,196,9265,102.98,1
1153,1,663,195,9383,104.3,1
1154,1,663,195,9480,105.37,1
1155,1,662,196,9795,108.88,1
1156,1,661,198,10288,114.36,1
1157,1,660,201,10821,120.28,1
1158,1,659,204,11284,125.43,1
1159,1,658,206,11621,129.17,1
1160,1,657,209,11902,132.3,1
1161,1,656,212,11974,133.1,1
1162,1,656,215,11937,132.68,1
1163,1,660,197,9424,104.75,1
1163,9,637,297,2293,25.49,1
1164,1,660,198,9359,104.03,1
1164,9,637,307,2282,25.37,1
1165,1,660,198,9297,103.34,1
1165,9,637,316,2290,25.45,1
1166,1,659,199,9216,102.44,1
1166,9,636,326,2275,25.29,1
1167,1,659,200,9199,102.25,1
1167,9,636,336,2281,25.35,1
1168,1,659,201,9192,102.17,1
1168,9,636,346,2301,25.58,1
1169,1,658,202,9203,102.3,1
1169,9,635,356,2307,25.64,1
1170,1,658,203,9235,102.65,1
1170,9,635,366,2307,25.64,1
1171,1,658,204,9330,103.71,1
1171,9,634,376,2297,25.53,1
1172,1,658,205,9441,104.94,1
1172,9,634,386,2276,25.3,1
1173,1,657,206,9592,106.62,1
1173,9,633,396,2280,25.34,1
1174,1,657,207,9672,107.51,1
1174,9,633,406,2284,25.39,1
1175,1,657,209,9759,108.48,1
1175,9,633,416,2310,25.68,1
1176,1,656,210,9849,109.48,1
1176,9,632,427,2347,26.09,1
1177,1,656,212,9912,110.18,1
1177,9,632,435,2214,24.61,1
1178,1,656,214,9940,110.49,1
1178,9,631,439,2005,22.29,1
1179,1,655,215,9890,109.93,1
1179,9,631,439,1985,22.06,1
1180,1,655,217,9819,109.14,1
1180,9,630,433,2324,25.83,1
1181,1,655,219,9768,108.58,1
1181,9,630,426,2511,27.91,1
1182,1,655,220,9601,106.72,1
1182,9,629,419,2556,28.41,1
1183,1,654,222,9501,105.61,1
1183,9,629,411,2419,26.89,1
1184,1,654,224,9370,104.15,1
1184,9,628,401,2210,24.57,1
1185,1,654,226,9319,103.58,1
1185,9,628,394,2129,23.66,1
1186,1,653,228,9307,103.45,1
1186,9,627,386,2237,24.87,1
1187,1,653,231,9311,103.5,1
1187,9,627,377,2403,26.71,1
1188,1,652,233,9333,103.74,1
1188,9,626,370,2489,27.67,1
1189,1,652,235,9396,104.44,1
1189,9,626,363,2476,27.52,1
1190,1,652,238,9452,105.06,1
1190,9,626,355,2309,25.67,1
1191,1,652,240,9527,105.9,1
1191,9,625,347,2188,24.32,1
1192,1,652,243,9646,107.22,1
1192,9,625,340,2179,24.22,1
1193,1,651,245,9716,108.0,1
1193,9,624,332,2324,25.83,1
1194,1,646,263,12224,135.88,1
1195,1,646,263,11955,132.89,1
1196,1,646,262,11582,128.74,1
1197,1,647,262,11039,122.7,1
1198,1,648,262,10606,117.89,1
1199,1,648,264,10290,114.38,1
1200,1,648,267,10068,111.91,1
1201,1,648,270,9904,110.09,1
1202,1,648,272,9749,108.36,1
1203,1,648,276,9667,107.45,1
1204,1,647,278,9672,107.51,1
1205,1,645,280,9910,110.15,1
1206,1,644,281,10423,115.86,1
1207,1,642,281,11075,123.1,1
1208,1,641,281,11599,128.93,1
1209,1,640,283,11972,133.07,1
1210,1,646,301,9617,106.9,1
1210,10,616,218,2247,24.98,1
1211,1,646,305,9680,107.6,1
1211,10,615,211,2195,24.4,1
1212,1,646,309,9749,108.36,1
1212,10,615,205,2244,24.94,1
1213,1,645,313,9859,109.59,1
1213,10,615,200,2359,26.22,1
1214,1,645,317,9959,110.7,1
1214,10,614,194,2421,26.91,1
1215,1,645,322,10027,111.45,1
1215,10,614,188,2363,26.27,1
1216,1,644,326,10041,111.61,1
1216,10,613,182,2240,24.9,1
1217,1,644,330,10119,112.48,1
1217,10,613,177,2183,24.26,1
1218,1,644,335,10057,111.79,1
1218,10,612,171,2212,24.59,1
1219,1,644,339,10029,111.48,1
1219,10,612,166,2288,25.43,1
1220,1,643,344,9913,110.19,1
1220,10,611,160,2375,26.4,1
1221,1,643,349,9822,109.18,1
1221,10,611,155,2390,26.57,1
1222,1,643,353,9711,107.94,1
1222,10,610,149,2285,25.4,1
1223,1,643,358,9606,106.77,1
1223,10,610,145,2212,24.59,1
1224,1,642,363,9481,105.39,1
1224,10,609,139,2198,24.43,1
1225,1,642,367,9466,105.22,1
1225,10,609,134,2237,24.87,1
1226,1,642,372,9428,104.8,1
1226,10,608,129,2332,25.92,1
1227,1,641,377,9442,104.95,1
1227,10,608,124,2367,26.31,1
1228,1,641,383,9488,105.46,1
1228,10,608,120,2345,26.07,1
1229,1,641,388,9601,106.72,1
1229,10,607,115,2231,24.8,1
1230,1,640,394,9712,107.95,1
1230,10,607,110,2173,24.15,1
1231,1,640,400,9907,110.12,1
1231,10,606,106,2233,24.82,1
1232,1,640,405,9938,110.47,1
1232,10,606,101,2317,25.75,1
1233,1,640,409,9789,108.81,1
1233,10,605,97,2332,25.92,1
1234,1,640,412,9569,106.36,1
1234,10,605,93,2325,25.84,1
1235,1,640,415,9357,104.01,1
1235,10,604,88,2273,25.27,1
1236,1,639,417,9077,100.89,1
1236,10,604,84,2202,24.48,1
1237,1,639,419,8796,97.77,1
1237,10,603,80,2193,24.38,1
1238,1,638,421,8465,94.09,1
1238,10,603,76,2228,24.77,1
1239,1,638,423,8062,89.61,1
1239,10,602,72,2300,25.57,1
1240,1,637,422,8192,91.06,1
1240,10,602,68,2309,25.67,1
1241,1,637,422,8134,90.41,1
1241,10,601,64,2241,24.91,1
1242,1,637,420,8409,93.47,1
1242,10,600,60,2173,24.15,1
1243,1,637,417,8769,97.47,1
1243,10,600,57,2132,23.7,1
1244,1,637,414,9070,100.82,1
1244,10,600,53,2158,23.99,1
1245,1,637,411,9426,104.77,1
1245,10,599,50,2195,24.4,1
1246,1,636,408,9737,108.23,1
1246,10,599,46,2207,24.53,1
1247,1,636,404,9899,110.03,1
1247,10,598,42,2149,23.89,1
1248,1,635,400,10040,111.6,1
1248,10,598,39,2089,23.22,1
1249,1,635,397,10145,112.77,1
1249,10,597,36,2052,22.81,1
1250,1,634,393,10231,113.72,1
1250,10,597,33,2039,22.66,1
1251,1,634,390,10355,115.1,1
1251,10,596,29,2080,23.12,0
1252,1,634,387,10362,115.18,1
1252,10,596,26,2176,24.19,0
1253,1,633,382,10269,114.14,1
1253,10,595,24,2153,23.93,0
1254,1,633,378,10111,112.39,1
1254,10,595,21,2014,22.39,0
