frame,drop_id,cx,cy,area_px,percentage
828,1,713,230,428929,99.99
832,1,713,231,425497,99.19
836,1,713,229,423622,98.75
840,1,714,227,423348,98.69
844,1,713,224,423831,98.8
848,1,714,225,425837,99.27
852,1,713,225,425457,99.18
856,1,712,224,422296,98.44
860,1,713,225,418488,97.55
864,1,714,225,415457,96.85
868,1,712,226,418127,97.47
872,1,714,227,420475,98.02
876,1,713,227,419890,97.88
880,1,714,227,423685,98.76
884,1,715,227,423459,98.71
888,1,715,228,422221,98.42
892,1,712,229,420691,98.07
896,1,713,230,421593,98.28
900,1,714,230,423474,98.71
904,1,714,230,425916,99.28
908,1,714,230,425621,99.21
912,1,714,232,423668,98.76
916,1,714,232,423239,98.66
920,1,714,232,423462,98.71
924,1,713,232,424937,99.06
928,1,714,232,425458,99.18
932,1,714,232,423564,98.74
936,1,714,232,424524,98.96
940,1,714,232,424771,99.02
944,1,713,232,426570,99.44
948,1,713,232,427910,99.75
952,1,714,231,427018,99.54
956,1,713,232,427325,99.61
960,1,714,232,425574,99.2
964,1,713,232,427692,99.7
968,1,713,232,429870,100.21
972,1,712,231,427951,99.76
976,1,713,232,427319,99.61
980,1,713,232,423160,98.64
984,1,714,233,424102,98.86
988,1,714,232,425714,99.24
992,1,713,232,426385,99.39
996,1,712,232,424980,99.07
1000,1,714,232,426412,99.4
1004,1,714,232,425490,99.18
1008,1,714,231,424611,98.98
1012,1,714,231,423506,98.72
1016,1,714,231,423116,98.63
1020,1,715,231,418926,97.65
1024,1,714,230,422038,98.38
1028,1,714,229,422517,98.49
1032,1,715,229,421754,98.31
1036,1,714,229,422246,98.43
1040,1,714,228,422039,98.38
1044,1,715,228,424477,98.95
1048,1,715,227,423486,98.72
1052,1,715,227,420698,98.07
1056,1,715,226,422261,98.43
1060,1,715,226,422271,98.43
1064,1,715,225,421443,98.24
1068,1,713,226,423374,98.69
1072,1,714,226,424165,98.88
1076,1,715,225,425393,99.16
1080,1,714,224,422552,98.5
1084,1,714,225,422785,98.55
1088,1,714,226,426060,99.32
1092,1,714,226,427952,99.76
1096,1,714,227,424672,98.99
1100,1,714,227,423535,98.73
1104,1,714,227,426211,99.35
1108,1,714,227,425279,99.14
1112,1,713,228,426728,99.47
1116,1,714,228,425587,99.21
1120,1,713,228,425612,99.21
1124,1,714,228,425648,99.22
1128,1,714,229,425460,99.18
1132,1,714,230,423871,98.81
1136,1,714,230,422565,98.5
1140,1,715,230,422259,98.43
