frame,drop_id,cx,cy,area_px,percentage,in_frame
268,1,595,98,17269,100.0,1
269,1,596,123,20596,119.26,1
270,1,597,147,20660,119.63,1
271,1,598,173,20677,119.73,1
272,1,598,198,20833,120.63,1
273,1,599,223,20738,120.08,1
274,1,600,248,20619,119.4,1
275,1,601,273,20659,119.63,1
276,1,602,299,20524,118.85,1
277,1,602,324,20577,119.15,1
278,1,603,350,20630,119.46,1
279,1,604,373,20125,116.53,1
280,1,605,389,17850,103.36,1
281,1,605,403,15178,87.89,1
282,1,603,415,12903,74.72,1
283,1,600,420,12333,71.41,1
284,1,599,420,13360,77.36,1
285,1,598,419,14232,82.41,1
286,1,599,419,14571,84.37,1
287,1,598,418,14618,84.65,1
288,1,599,417,14678,84.99,1
289,1,600,416,14607,84.58,1
290,1,602,415,14121,81.77,1
291,1,605,414,13629,78.92,1
292,1,608,413,13261,76.79,1
293,1,608,411,13392,77.55,1
294,1,608,405,14190,82.17,1
295,1,608,399,15218,88.12,1
296,1,608,393,16032,92.83,1
297,1,609,388,16781,97.17,1
298,1,609,384,17328,100.34,1
299,1,609,381,17712,102.56,1
300,1,610,378,17962,104.01,1
301,1,610,376,18303,105.98,1
302,1,611,373,18580,107.59,1
303,1,612,372,18765,108.66,1
304,1,612,370,18940,109.67,1
305,1,612,369,19246,111.45,1
306,1,613,368,19529,113.08,1
307,1,613,367,19708,114.12,1
308,1,613,367,19908,115.28,1
309,1,613,366,20109,116.44,1
310,1,614,365,20206,117.0,1
311,1,615,365,20141,116.63,1
312,1,616,364,19872,115.07,1
313,1,616,364,19705,114.1,1
314,1,617,365,19604,113.52,1
315,1,617,366,19398,112.33,1
316,1,618,367,19265,111.56,1
317,1,618,368,19103,110.62,1
318,1,619,370,19018,110.12,1
319,1,619,371,18821,108.98,1
320,1,620,373,18729,108.45,1
321,1,620,375,18565,107.5,1
322,1,621,376,18384,106.45,1
323,1,622,378,18134,105.01,1
324,1,622,380,17836,103.28,1
325,1,623,382,17567,101.72,1
326,1,623,384,17256,99.92,1
327,1,624,386,17018,98.54,1
328,1,624,388,16757,97.03,1
329,1,624,390,16512,95.61,1
330,1,625,392,16275,94.24,1
331,1,625,393,16032,92.83,1
332,1,625,394,15893,92.03,1
333,1,625,395,15764,91.28,1
334,1,626,396,15776,91.35,1
335,1,626,396,15775,91.35,1
336,1,626,396,15872,91.91,1
337,1,627,396,16004,92.67,1
338,1,627,396,16100,93.23,1
339,1,627,396,16321,94.51,1
340,1,628,395,16442,95.21,1
341,1,628,394,16649,96.41,1
342,1,628,393,16863,97.65,1
343,1,628,392,17008,98.49,1
344,1,628,391,17102,99.03,1
345,1,629,390,17297,100.16,1
346,1,629,389,17369,100.58,1
347,1,628,388,17421,100.88,1
348,1,629,386,17560,101.68,1
349,1,629,385,17561,101.69,1
350,1,629,384,17543,101.58,1
351,1,629,383,17507,101.38,1
352,1,629,382,17528,101.5,1
353,1,629,382,17527,101.49,1
354,1,629,381,17540,101.57,1
355,1,629,381,17507,101.38,1
356,1,630,380,17520,101.45,1
357,1,629,380,17595,101.88,1
358,1,629,380,17613,101.99,1
359,1,629,380,17642,102.16,1
360,1,629,380,17676,102.35,1
361,1,629,380,17690,102.43,1
362,1,629,381,17689,102.43,1
363,1,629,381,17792,103.03,1
364,1,629,382,17709,102.54,1
365,1,629,383,17660,102.26,1
366,1,629,383,17618,102.02,1
367,1,629,384,17565,101.71,1
368,1,629,385,17469,101.16,1
369,1,629,386,17400,100.76,1
370,1,628,387,17272,100.01,1
371,1,628,388,17216,99.69,1
372,1,628,388,17112,99.09,1
373,1,628,389,16952,98.16,1
374,1,627,390,16921,97.98,1
375,1,627,390,16882,97.76,1
376,1,627,391,16786,97.2,1
377,1,627,391,16722,96.83,1
378,1,626,391,16674,96.55,1
379,1,626,391,16610,96.18,1
380,1,626,391,16564,95.91,1
381,1,626,391,16576,95.98,1
382,1,626,391,16612,96.19,1
383,1,626,391,16533,95.74,1
384,1,626,390,16597,96.11,1
385,1,625,390,16664,96.49,1
386,1,625,389,16646,96.39,1
387,1,625,389,16707,96.74,1
388,1,625,388,16746,96.97,1
389,1,625,388,16874,97.71,1
390,1,625,387,16934,98.06,1
