frame,drop_id,cx,cy,area_px,percentage
268,1,596,97,15839,100.0
272,1,599,197,15358,96.96
276,1,602,298,14576,92.03
280,1,605,392,12799,80.81
284,1,603,424,8841,55.82
288,1,605,421,9850,62.19
292,1,611,417,9344,58.99
296,1,609,395,11670,73.68
300,1,610,380,12885,81.35
304,1,612,372,13824,87.28
308,1,612,369,14339,90.53
312,1,616,366,14320,90.41
316,1,617,368,13896,87.73
320,1,620,374,13503,85.25
324,1,622,381,13030,82.27
328,1,624,389,11977,75.62
332,1,626,396,11384,71.87
336,1,626,398,11437,72.21
340,1,628,396,11863,74.9
344,1,628,392,12404,78.31
348,1,628,388,12705,80.21
352,1,629,384,12828,80.99
356,1,630,382,12634,79.77
360,1,630,382,12837,81.05
364,1,629,384,12967,81.87
368,1,629,386,12811,80.88
372,1,628,390,12323,77.8
376,1,627,392,12065,76.17
380,1,626,393,11895,75.1
384,1,625,392,11850,74.82
388,1,625,390,12007,75.81
392,1,625,387,12324,77.81
396,1,624,386,12605,79.58
400,1,624,385,12840,81.07
404,1,624,386,12746,80.47
408,1,623,387,12470,78.73
412,1,623,389,12283,77.55
416,1,624,390,12077,76.25
420,1,624,391,12004,75.79
424,1,624,391,12050,76.08
428,1,625,389,12254,77.37
432,1,625,388,12590,79.49
436,1,626,387,12867,81.24
440,1,627,386,12943,81.72
444,1,627,387,12928,81.62
448,1,627,387,12748,80.48
452,1,627,389,12594,79.51
456,1,627,389,12375,78.13
460,1,627,389,12258,77.39
464,1,626,389,12484,78.82
468,1,626,388,12581,79.43
472,1,626,387,12638,79.79
476,1,625,387,12605,79.58
480,1,625,387,12676,80.03
484,1,624,387,12596,79.53
488,1,624,388,12505,78.95
492,1,624,388,12471,78.74
496,1,624,388,12409,78.34
500,1,624,388,12368,78.09
504,1,624,388,12382,78.17
508,1,624,388,12623,79.7
512,1,625,388,12579,79.42
516,1,625,387,12561,79.3
520,1,626,388,12624,79.7
524,1,626,388,12586,79.46
528,1,627,388,12525,79.08
532,1,627,388,12497,78.9
536,1,627,388,12425,78.45
540,1,627,388,12478,78.78
544,1,627,388,12548,79.22
548,1,627,388,12500,78.92
552,1,627,388,12524,79.07
556,1,626,388,12537,79.15
560,1,626,388,12521,79.05
564,1,626,388,12428,78.46
568,1,625,388,12374,78.12
572,1,625,388,12412,78.36
576,1,624,388,12389,78.22
580,1,624,388,12458,78.65
584,1,624,388,12496,78.89
588,1,624,388,12486,78.83
592,1,624,388,12427,78.46
596,1,624,388,12389,78.22
600,1,624,388,12346,77.95
604,1,624,388,12392,78.24
608,1,625,388,12266,77.44
612,1,626,388,12256,77.38
616,1,626,388,12344,77.93
620,1,626,388,12328,77.83
624,1,627,388,12341,77.92
628,1,627,388,12369,78.09
632,1,627,388,12427,78.46
636,1,627,388,12265,77.44
640,1,627,388,12219,77.15
644,1,627,389,12331,77.85
648,1,626,388,12222,77.16
652,1,626,388,12881,81.32
656,1,626,389,12325,77.81
660,1,625,389,12174,76.86
664,1,625,388,12257,77.38
668,1,625,389,12327,77.83
672,1,624,388,12289,77.59
676,1,624,388,12348,77.96
680,1,624,389,12371,78.1
684,1,624,389,12209,77.08
688,1,624,388,12253,77.36
692,1,624,388,12065,76.17
696,1,624,389,12159,76.77
700,1,625,389,12243,77.3
704,1,625,389,12083,76.29
708,1,625,389,12036,75.99
712,1,626,388,12130,76.58
716,1,626,388,12203,77.04
720,1,627,389,12031,75.96
724,1,627,388,12167,76.82
728,1,627,388,12105,76.43
732,1,627,389,12115,76.49
736,1,627,388,12121,76.53
740,1,627,389,12070,76.2
744,1,627,389,12112,76.47
748,1,626,389,12104,76.42
752,1,626,388,12096,76.37
756,1,626,388,12701,80.19
760,1,625,388,12174,76.86
764,1,625,388,12782,80.7
768,1,625,388,12268,77.45
772,1,625,388,12221,77.16
776,1,624,388,12238,77.26
780,1,624,388,12357,78.02
784,1,625,388,12215,77.12
788,1,625,388,12313,77.74
