video,sam2_ref_frame,sam2_ref_area,sam2_total_rows,sam2_max_frame,cv_ref_frame,cv_ref_area,cv_total_rows,cv_max_frame,common_frames,mean_centroid_dist_px,mean_area_diff_px,mean_area_diff_pct
0.028tx,258,9148.0,1986,2235,0,7046.0,3980,2235,0,,,
0.028tx2,408,1811.0,18,425,408,9750.0,9904,3927,18,8.38,9094,93.28
0.028tx3,79,1774.0,21,324,79,9898.0,5662,1922,21,70.65,8859,89.51
0.08cg,467,9294.0,2295,2742,467,8954.0,4604,2742,2276,13.82,4139,46.23
0.08cg2,815,9579.0,2388,3197,815,9247.0,5031,3197,115,10.53,2871,31.05
0.08cg3,584,8571.0,1980,2558,584,8336.0,7620,2558,1975,3.56,2735,32.81
0.08cg4,522,6691.0,3526,4021,522,5844.0,8410,4021,3500,12.85,2506,42.87
0.45sds,485,1939.0,2093,2571,485,952.0,10850,2571,2087,47.36,2111,221.79
0.45sds2,110,10780.0,1848,1954,110,10816.0,3658,1954,1845,31.34,1330,12.29
0.45sds3,440,11104.0,1124,1545,440,11167.0,3524,1545,1106,14.29,487,4.36
cainhcg 0.08 b,684,20338.0,1912,2595,684,16959.0,2031,2595,1912,10.39,2033,11.99
cainhcg 0.08 c,1148,1085.0,340,1488,1148,301.0,3026,3943,233,2.17,392,130.31
cainhcg 0.08 d,1698,6324.0,2879,4568,1698,5990.0,5453,4568,2871,3.76,689,11.50
cainhcg 0.08,406,10193.0,3603,3993,0,4974.0,3610,3993,0,,,
cainhg0.02 ,828,428929.0,1370,6304,831,8996.0,5662,6306,173,155.01,417319,4638.94
cainhg0.02 2,312,9451.0,138,435,312,8441.0,5487,5267,124,1.63,1313,15.55
cainhg0.08 4th,268,15839.0,2188,9016,268,17269.0,8751,9017,1513,1.62,4712,27.29
scale,203,7990.0,2529,2731,203,6561.0,5025,2731,2529,1.64,356,5.43
scale2,,,,,,,,,,,,
