 ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,14031,27.652,13.000,55.000,592.500,98.500,142.956,124.967,90.000,0.993,143.000,592.500,170,90.000,125,1.144,0.874,0.998,0.000
2,14031,28.309,13.000,56.000,593.500,123.500,142.956,124.967,90.000,0.993,143.000,593.500,195,90.000,125,1.144,0.874,0.998,0.000
3,14031,28.268,13.000,52.000,598.500,146.500,142.956,124.967,90.000,0.993,143.000,598.500,218,90.000,125,1.144,0.874,0.998,0.000
4,14031,28.423,14.000,55.000,594.500,172.500,142.956,124.967,90.000,0.993,143.000,594.500,244,90.000,125,1.144,0.874,0.998,0.000
5,14031,29.032,14.000,61.000,593.500,200.500,142.956,124.967,90.000,0.993,143.000,593.500,272,90.000,125,1.144,0.874,0.998,0.000
6,14031,29.171,15.000,62.000,594.500,225.500,142.956,124.967,90.000,0.993,143.000,594.500,297,90.000,125,1.144,0.874,0.998,0.000
7,14031,29.159,15.000,61.000,597.500,250.500,142.956,124.967,90.000,0.993,143.000,597.500,322,90.000,125,1.144,0.874,0.998,0.000
8,14031,29.144,15.000,60.000,600.500,275.500,142.956,124.967,90.000,0.993,143.000,600.500,347,90.000,125,1.144,0.874,0.998,0.000
9,14031,29.614,17.000,59.000,600.500,297.500,142.956,124.967,90.000,0.993,143.000,600.500,369,90.000,125,1.144,0.874,0.998,0.000
10,14031,29.372,16.000,58.000,601.500,324.500,142.956,124.967,90.000,0.993,143.000,601.500,396,90.000,125,1.144,0.874,0.998,0.000
11,14031,29.589,15.000,63.000,601.500,353.500,142.956,124.967,90.000,0.993,143.000,601.500,425,90.000,125,1.144,0.874,0.998,0.000
12,14031,28.854,15.000,56.000,600.500,377.500,142.956,124.967,90.000,0.993,143.000,600.500,449,90.000,125,1.144,0.874,0.998,0.000
13,117,30.953,27.379,36.000,603.000,440.000,0.000,0.000,-0.988,0.109,116.017,545.000,439,179.012,0,0.000,0.000,NaN,116.017
14,203,30.973,16.000,56.000,601.000,438.500,0.000,0.000,-0.851,0.063,202.022,500.000,437,179.149,0,0.000,0.000,NaN,202.022
15,229,29.390,17.877,60.000,604.000,436.500,0.000,0.000,0.251,0.055,228.002,490.000,437,0.251,0,0.000,0.000,NaN,228.002
16,242,27.970,20.000,51.000,602.500,438.500,0.000,0.000,0.238,0.052,241.002,482.000,439,0.238,0,0.000,0.000,NaN,241.002
17,253,30.447,23.349,49.000,604.000,442.000,0.000,0.000,-0.455,0.050,252.008,478.000,441,179.545,0,0.000,0.000,NaN,252.008
18,253,29.647,23.857,46.000,604.000,442.000,0.000,0.000,-0.455,0.050,252.008,478.000,441,179.545,0,0.000,0.000,NaN,252.008
19,248,28.633,23.000,40.000,601.500,441.000,0.000,0.000,0.000,0.051,247.000,478.000,441,0.000,0,0.000,0.000,NaN,247.000
20,230,22.916,17.415,36.000,601.500,433.500,0.000,0.000,0.250,0.055,229.002,487.000,434,0.250,0,0.000,0.000,NaN,229.002
21,229,23.901,18.355,39.000,600.000,434.500,0.000,0.000,-0.251,0.055,228.002,486.000,434,179.749,0,0.000,0.000,NaN,228.002
22,215,25.458,20.000,39.000,602.000,437.500,0.000,0.000,0.803,0.059,214.021,495.000,439,0.803,0,0.000,0.000,NaN,214.021
23,207,26.883,22.000,42.000,602.000,438.000,0.000,0.000,0.556,0.061,206.010,499.000,439,0.556,0,0.000,0.000,NaN,206.010
24,182,24.577,19.392,28.950,604.500,436.500,0.000,0.000,0.950,0.070,181.025,514.000,438,0.950,0,0.000,0.000,NaN,181.025
25,176,24.808,20.257,32.000,603.500,436.000,0.000,0.000,-0.655,0.072,175.011,516.000,435,179.345,0,0.000,0.000,NaN,175.011
26,168,26.397,21.000,37.000,605.500,438.000,0.000,0.000,0.686,0.076,167.012,522.000,439,0.686,0,0.000,0.000,NaN,167.012
27,158,26.640,19.000,35.000,604.500,437.500,0.000,0.000,0.365,0.081,157.003,526.000,438,0.365,0,0.000,0.000,NaN,157.003
28,150,23.250,11.416,41.020,603.500,433.500,0.000,0.000,1.153,0.085,149.030,529.000,435,1.153,0,0.000,0.000,NaN,149.030
29,133,27.190,21.545,33.909,606.000,439.500,0.000,0.000,0.434,0.096,132.004,540.000,440,0.434,0,0.000,0.000,NaN,132.004
30,126,23.905,17.000,34.000,608.500,435.000,0.000,0.000,0.000,0.101,125.000,546.000,435,0.000,0,0.000,0.000,NaN,125.000
31,117,26.271,21.672,37.000,606.000,437.500,0.000,0.000,0.494,0.109,116.004,548.000,438,0.494,0,0.000,0.000,NaN,116.004
32,105,25.786,21.000,31.000,613.000,437.500,0.000,0.000,-0.551,0.122,104.005,561.000,437,179.449,0,0.000,0.000,NaN,104.005
33,99,26.385,21.531,33.847,614.000,438.500,0.000,0.000,-0.585,0.130,98.005,565.000,438,179.415,0,0.000,0.000,NaN,98.005
34,97,23.113,17.000,38.000,621.000,433.000,0.000,0.000,0.000,0.132,96.000,573.000,433,0.000,0,0.000,0.000,NaN,96.000
35,91,26.286,22.000,33.000,616.000,438.000,0.000,0.000,0.000,0.141,90.000,571.000,438,0.000,0,0.000,0.000,NaN,90.000
36,86,31.186,27.000,36.000,614.500,443.000,0.000,0.000,0.000,0.150,85.000,572.000,443,0.000,0,0.000,0.000,NaN,85.000
37,80,30.521,25.506,34.000,616.500,441.500,0.000,0.000,-0.725,0.161,79.006,577.000,441,179.275,0,0.000,0.000,NaN,79.006
38,80,30.077,25.506,37.000,616.500,441.500,0.000,0.000,-0.725,0.161,79.006,577.000,441,179.275,0,0.000,0.000,NaN,79.006
39,80,30.256,25.506,38.000,616.500,441.500,0.000,0.000,-0.725,0.161,79.006,577.000,441,179.275,0,0.000,0.000,NaN,79.006
40,80,29.903,24.203,39.000,616.500,441.500,0.000,0.000,-0.725,0.161,79.006,577.000,441,179.275,0,0.000,0.000,NaN,79.006
41,80,30.602,24.506,39.000,616.500,441.500,0.000,0.000,-0.725,0.161,79.006,577.000,441,179.275,0,0.000,0.000,NaN,79.006
42,79,26.484,22.321,39.000,614.000,435.500,0.000,0.000,0.735,0.163,78.006,575.000,436,0.735,0,0.000,0.000,NaN,78.006
43,79,26.167,20.038,43.000,614.000,435.500,0.000,0.000,0.735,0.163,78.006,575.000,436,0.735,0,0.000,0.000,NaN,78.006
44,68,24.529,19.000,31.000,620.500,434.000,0.000,0.000,0.000,0.190,67.000,587.000,434,0.000,0,0.000,0.000,NaN,67.000
45,68,24.926,19.000,32.000,620.500,434.000,0.000,0.000,0.000,0.190,67.000,587.000,434,0.000,0,0.000,0.000,NaN,67.000
46,54,26.981,21.170,33.755,616.500,437.500,0.000,0.000,-1.081,0.241,53.009,590.000,437,178.919,0,0.000,0.000,NaN,53.009
47,60,26.399,23.898,32.864,619.500,436.500,0.000,0.000,0.971,0.217,59.008,590.000,437,0.971,0,0.000,0.000,NaN,59.008
48,60,26.637,22.000,31.000,619.500,436.500,0.000,0.000,0.971,0.217,59.008,590.000,437,0.971,0,0.000,0.000,NaN,59.008
49,60,26.527,20.712,30.966,619.500,436.500,0.000,0.000,0.971,0.217,59.008,590.000,437,0.971,0,0.000,0.000,NaN,59.008
50,60,26.965,22.305,30.966,619.500,436.500,0.000,0.000,0.971,0.217,59.008,590.000,437,0.971,0,0.000,0.000,NaN,59.008
51,60,26.545,22.000,31.017,619.500,436.500,0.000,0.000,0.971,0.217,59.008,590.000,437,0.971,0,0.000,0.000,NaN,59.008
52,60,26.794,21.475,31.729,619.500,436.500,0.000,0.000,0.971,0.217,59.008,590.000,437,0.971,0,0.000,0.000,NaN,59.008
53,60,26.452,20.475,31.915,619.500,436.500,0.000,0.000,0.971,0.217,59.008,590.000,437,0.971,0,0.000,0.000,NaN,59.008
54,65,26.372,22.281,35.938,622.000,438.000,0.000,0.000,-1.790,0.199,64.031,590.000,437,178.210,0,0.000,0.000,NaN,64.031
55,64,29.790,26.000,36.000,621.500,440.500,0.000,0.000,0.909,0.203,63.008,590.000,441,0.909,0,0.000,0.000,NaN,63.008
56,64,29.935,26.000,36.000,621.500,440.500,0.000,0.000,0.909,0.203,63.008,590.000,441,0.909,0,0.000,0.000,NaN,63.008
57,64,29.927,26.000,35.000,621.500,440.500,0.000,0.000,0.909,0.203,63.008,590.000,441,0.909,0,0.000,0.000,NaN,63.008
58,64,29.750,24.000,35.000,621.500,440.500,0.000,0.000,0.909,0.203,63.008,590.000,441,0.909,0,0.000,0.000,NaN,63.008
59,10130,23.530,10.000,48.000,620.000,387.500,114.061,113.079,0.000,1.000,114.000,563.000,387.500,0.000,113,1.009,0.991,1.006,0.000
60,10130,23.829,9.000,54.000,620.000,387.500,114.061,113.079,0.000,1.000,114.000,563.000,387.500,0.000,113,1.009,0.991,1.006,0.000
61,10130,23.915,11.000,52.000,621.000,391.500,114.061,113.079,0.000,1.000,114.000,564.000,391.500,0.000,113,1.009,0.991,1.006,0.000
62,77,30.329,25.974,34.000,618.000,442.000,0.000,0.000,-1.507,0.167,76.026,580.000,441,178.493,0,0.000,0.000,NaN,76.026
63,77,30.448,25.974,36.000,618.000,442.000,0.000,0.000,-1.507,0.167,76.026,580.000,441,178.493,0,0.000,0.000,NaN,76.026
64,77,30.664,26.000,35.000,618.000,442.000,0.000,0.000,-1.507,0.167,76.026,580.000,441,178.493,0,0.000,0.000,NaN,76.026
65,77,30.139,26.974,34.000,618.000,442.000,0.000,0.000,-1.507,0.167,76.026,580.000,441,178.493,0,0.000,0.000,NaN,76.026
66,77,30.334,26.974,34.000,618.000,442.000,0.000,0.000,-1.507,0.167,76.026,580.000,441,178.493,0,0.000,0.000,NaN,76.026
67,77,30.541,26.974,34.000,618.000,442.000,0.000,0.000,-1.507,0.167,76.026,580.000,441,178.493,0,0.000,0.000,NaN,76.026
68,86,30.715,25.824,34.000,622.500,442.500,0.000,0.000,-0.674,0.150,85.006,580.000,442,179.326,0,0.000,0.000,NaN,85.006
69,88,27.149,20.000,32.000,626.500,439.000,0.000,0.000,-1.317,0.146,87.023,583.000,438,178.683,0,0.000,0.000,NaN,87.023
