frame,drop_id,cx,cy,area_px,percentage,in_frame
203,1,696,62,6561,99.99,1
204,1,696,87,8359,127.39,1
205,1,697,112,8236,125.52,1
206,1,698,138,8144,124.12,1
207,1,698,164,8091,123.31,1
208,1,699,190,8131,123.92,1
209,1,700,216,8215,125.2,1
210,1,701,242,8301,126.51,1
211,1,702,268,8418,128.29,1
212,1,703,295,8579,130.75,1
212,2,764,1,160,2.44,0
213,1,704,321,8676,132.23,1
213,2,766,10,1076,16.4,0
214,1,705,347,8686,132.38,1
214,2,768,25,2032,30.97,0
215,1,706,373,8730,133.05,1
215,2,769,51,1799,27.42,1
216,1,707,398,8474,129.15,1
216,2,770,76,1888,28.77,1
217,1,707,414,6684,101.87,1
217,2,772,100,1985,30.25,1
218,1,708,426,4798,73.12,1
218,2,774,124,1940,29.57,1
219,1,709,434,3589,54.7,1
219,2,775,148,1889,28.79,1
220,1,709,437,3257,49.64,1
220,2,776,173,1899,28.94,1
221,1,710,436,3634,55.38,1
221,2,778,198,2040,31.09,1
222,1,712,435,4067,61.98,1
222,2,779,223,2120,32.31,1
223,1,713,433,4158,63.37,1
223,2,781,248,2150,32.77,1
224,1,714,433,3901,59.45,1
224,2,782,272,1953,29.76,1
225,1,714,434,3420,52.12,1
225,2,784,297,1982,30.21,1
226,1,713,430,3715,56.62,1
226,2,785,322,1874,28.56,1
227,1,714,424,4510,68.73,1
227,2,786,347,2001,30.5,1
228,1,715,420,5042,76.84,1
228,2,787,372,2078,31.67,1
229,1,714,417,5437,82.86,1
229,2,788,397,2266,34.53,1
230,1,735,418,8083,123.19,1
231,1,725,419,6907,105.27,1
232,1,712,417,5838,88.97,1
233,1,710,419,5608,85.47,1
234,1,709,421,5327,81.19,1
235,1,708,424,4908,74.8,1
236,1,707,427,4513,68.78,1
237,1,705,430,4167,63.51,1
238,1,703,431,4007,61.07,1
239,1,699,432,3772,57.49,1
240,1,697,432,3806,58.01,1
241,1,697,430,4218,64.28,1
242,1,697,430,4351,66.31,1
243,1,696,429,4416,67.3,1
244,1,698,427,4448,67.79,1
245,1,701,426,4551,69.36,1
246,1,704,425,4664,71.08,1
247,1,705,425,4714,71.84,1
248,1,704,425,4898,74.65,1
249,1,702,425,4964,75.65,1
250,1,701,425,5045,76.89,1
251,1,701,425,5040,76.81,1
252,1,701,426,4885,74.45,1
253,1,701,427,4630,70.56,1
254,1,701,429,4222,64.35,1
254,3,404,3,227,3.46,0
255,1,701,431,3953,60.25,1
255,3,403,14,1153,17.57,0
256,1,701,431,3860,58.83,1
256,3,402,35,1387,21.14,1
257,1,700,431,3689,56.22,1
257,3,402,58,1463,22.3,1
258,1,701,431,3718,56.66,1
258,3,402,82,1481,22.57,1
259,1,703,429,3987,60.76,1
259,3,401,105,1520,23.17,1
260,1,704,428,4187,63.81,1
260,3,401,129,1537,23.42,1
261,1,704,427,4383,66.8,1
261,3,400,152,1557,23.73,1
262,1,705,426,4506,68.67,1
262,3,400,176,1562,23.81,1
263,1,706,425,4740,72.24,1
263,3,400,199,1544,23.53,1
264,1,707,425,4966,75.68,1
264,3,400,223,1576,24.02,1
265,1,707,425,5072,77.3,1
265,3,399,247,1566,23.87,1
266,1,706,425,5095,77.65,1
266,3,399,271,1582,24.11,1
267,1,705,426,4934,75.2,1
267,3,399,295,1587,24.19,1
268,1,703,428,4620,70.41,1
268,3,399,319,1598,24.35,1
269,1,702,429,4392,66.94,1
269,3,399,343,1585,24.16,1
270,1,702,429,4209,64.15,1
270,3,398,367,1563,23.82,1
271,1,702,430,4062,61.91,1
271,3,398,391,1557,23.73,1
