frame,drop_id,cx,cy,area_px,percentage,in_frame
772,1,1098,69,5672,99.99,1
773,1,1100,92,6241,110.02,1
774,1,1102,115,6225,109.74,1
775,1,1103,138,6200,109.3,1
776,1,1105,161,6218,109.62,1
777,1,1106,185,6197,109.25,1
778,1,1108,208,6219,109.63,1
779,1,1109,231,6236,109.93,1
780,1,1111,255,6252,110.22,1
781,1,1112,278,6275,110.62,1
782,1,1114,302,6260,110.36,1
783,1,1115,325,6284,110.78,1
784,1,1116,349,6220,109.65,1
784,2,1114,417,551,9.71,1
785,1,1117,378,7396,130.38,1
786,1,1117,391,6939,122.33,1
787,1,1115,397,6178,108.91,1
788,1,1112,399,6025,106.21,1
789,1,1111,399,6391,112.67,1
790,1,1114,399,6704,118.18,1
791,1,1116,398,6684,117.83,1
792,1,1120,397,6584,116.07,1
793,1,1123,396,6369,112.28,1
794,1,1125,395,6406,112.93,1
795,1,1127,387,7330,129.22,1
796,1,1128,379,8125,143.23,1
797,1,1128,371,8498,149.81,1
798,1,1129,366,8954,157.85,1
799,1,1129,361,9175,161.75,1
800,1,1129,355,9409,165.87,1
801,1,1129,353,9686,170.75,1
802,1,1129,367,8678,152.98,1
802,3,1128,217,1058,18.65,1
803,1,1128,367,8683,153.07,1
803,3,1127,202,994,17.52,1
804,1,1128,367,8504,149.92,1
804,3,1127,189,1003,17.68,1
805,1,1127,368,8392,147.94,1
805,3,1127,175,1078,19.0,1
806,1,1127,370,8384,147.8,1
806,3,1127,162,1100,19.39,1
807,1,1126,372,8097,142.74,1
807,3,1126,149,1065,18.77,1
808,1,1125,375,7847,138.33,1
808,3,1126,135,1002,17.66,1
809,1,1123,392,6288,110.85,1
809,3,1126,122,984,17.35,1
809,4,1129,298,1025,18.07,1
810,1,1122,396,5905,104.1,1
810,3,1126,109,1052,18.55,1
810,4,1129,303,1008,17.77,1
811,1,1121,396,5755,101.45,1
811,3,1125,96,1079,19.02,1
811,4,1129,308,1037,18.28,1
812,1,1119,398,5664,99.85,1
812,3,1125,84,1066,18.79,1
812,4,1129,312,1073,18.92,1
813,1,1117,399,5317,93.73,1
813,3,1125,71,992,17.49,1
813,4,1129,317,1071,18.88,1
814,1,1117,399,5324,93.86,1
814,3,1124,58,971,17.12,1
814,4,1130,322,1023,18.03,1
815,1,1117,398,5559,98.0,1
815,3,1124,45,1027,18.1,1
815,4,1130,327,994,17.52,1
816,1,1117,397,6003,105.83,1
816,3,1124,33,1049,18.49,1
816,4,1130,332,1015,17.89,1
817,1,1116,395,6329,111.57,1
817,3,1124,20,1083,19.09,0
817,4,1130,337,1053,18.56,1
818,1,1118,386,7580,133.63,1
818,3,1124,11,786,13.86,0
819,1,1119,387,7614,134.23,1
819,3,1123,5,332,5.85,0
820,1,1119,387,7485,131.95,1
821,1,1121,386,7337,129.34,1
822,1,1121,386,7466,131.62,1
823,1,1121,386,7350,129.57,1
824,1,1118,395,6177,108.89,1
824,5,1138,341,965,17.01,1
825,1,1117,396,6012,105.99,1
825,5,1140,340,946,16.68,1
826,1,1117,398,5962,105.1,1
826,5,1142,338,1031,18.18,1
827,1,1117,398,5764,101.61,1
827,5,1144,337,1079,19.02,1
828,1,1117,398,5726,100.94,1
828,5,1146,335,1042,18.37,1
829,1,1117,397,5854,103.2,1
829,5,1148,334,956,16.85,1
830,1,1118,397,6036,106.41,1
830,5,1150,333,950,16.75,1
831,1,1119,396,6282,110.74,1
831,5,1152,331,1022,18.02,1
832,1,1120,395,6208,109.44,1
832,5,1153,330,1058,18.65,1
833,1,1121,394,6292,110.92,1
833,5,1155,329,1013,17.86,1
834,1,1123,394,6329,111.57,1
834,5,1157,328,959,16.91,1
835,1,1125,393,6329,111.57,1
835,5,1159,327,945,16.66,1
836,1,1125,393,6269,110.52,1
836,5,1161,327,1005,17.72,1
837,1,1124,393,6029,106.28,1
837,5,1163,326,1021,18.0,1
838,1,1125,394,6208,109.44,1
838,5,1165,326,1001,17.65,1
839,1,1124,394,6065,106.92,1
839,5,1167,325,940,16.57,1
840,1,1124,395,5998,105.74,1
840,5,1169,324,940,16.57,1
841,1,1123,396,5778,101.86,1
841,5,1171,324,978,17.24,1
842,1,1124,396,5716,100.77,1
842,5,1172,323,1016,17.91,1
843,1,1122,396,5538,97.63,1
843,5,1174,323,978,17.24,1
844,1,1122,397,5639,99.41,1
844,5,1176,323,932,16.43,1
845,1,1122,396,5725,100.93,1
845,5,1176,322,713,12.57,1
846,1,1123,396,6042,106.51,1
846,5,1180,323,970,17.1,1
847,1,1123,395,5964,105.14,1
847,5,1180,322,761,13.42,1
848,1,1122,394,5995,105.69,1
848,5,1181,322,687,12.11,1
849,1,1121,394,6120,107.89,1
849,5,1186,323,929,16.38,1
850,1,1120,395,6331,111.61,1
850,5,1188,323,920,16.22,1
851,1,1120,394,6370,112.3,1
851,5,1188,322,727,12.82,1
852,1,1120,394,6323,111.47,1
852,5,1188,323,687,12.11,1
853,1,1119,394,6190,109.12,1
853,5,1190,323,619,10.91,1
854,1,1119,395,6274,110.6,1
854,5,1192,324,649,11.44,1
855,1,1118,395,6137,108.19,1
855,5,1192,324,549,9.68,1
856,1,1118,396,6027,106.25,1
856,5,1194,325,566,9.98,1
857,1,1117,397,5921,104.38,1
857,5,1195,325,521,9.18,1
858,1,1117,398,5981,105.44,1
858,5,1198,325,562,9.91,1
859,1,1117,397,5968,105.21,1
859,5,1198,326,490,8.64,1
860,1,1118,397,6013,106.0,1
860,5,1199,327,473,8.34,1
861,1,1118,396,5995,105.69,1
861,5,1200,327,388,6.84,1
862,1,1118,396,6144,108.31,1
862,5,1202,329,397,7.0,1
863,1,1119,395,6146,108.35,1
863,5,1203,331,347,6.12,1
864,1,1120,395,6117,107.84,1
864,5,1204,331,263,4.64,1
865,1,1120,395,6164,108.66,1
865,5,1205,332,226,3.98,1
866,1,1121,394,6188,109.09,1
866,5,1205,334,189,3.33,1
867,1,1121,394,6137,108.19,1
868,1,1121,395,6151,108.44,1
869,1,1121,394,5938,104.68,1
870,1,1122,395,6008,105.91,1
871,1,1122,395,5885,103.75,1
872,1,1122,396,5890,103.83,1
873,1,1122,396,5718,100.8,1
874,1,1123,397,5832,102.81,1
875,1,1122,397,5945,104.8,1
876,1,1122,396,5895,103.92,1
877,1,1122,395,5901,104.03,1
878,1,1123,395,6054,106.73,1
879,1,1123,395,6036,106.41,1
880,1,1122,394,5997,105.72,1
881,1,1122,394,6062,106.87,1
882,1,1122,395,6138,108.21,1
883,1,1121,395,6056,106.76,1
884,1,1121,395,6072,107.04,1
885,1,1120,395,5926,104.47,1
886,1,1120,396,6062,106.87,1
887,1,1120,396,5956,105.0,1
888,1,1119,396,5820,102.6,1
889,1,1119,396,5869,103.46,1
890,1,1119,397,6050,106.65,1
891,1,1119,396,6036,106.41,1
892,1,1119,396,6119,107.87,1
893,1,1119,396,6128,108.03,1
894,1,1119,395,6172,108.81,1
895,1,1119,395,6154,108.49,1
896,1,1119,394,6005,105.86,1
897,1,1119,395,6025,106.21,1
898,1,1120,395,6140,108.24,1
899,1,1120,395,5996,105.7,1
900,1,1120,395,6020,106.13,1
901,1,1120,395,5889,103.82,1
902,1,1120,396,5999,105.76,1
903,1,1121,396,5851,103.15,1
904,1,1121,396,5867,103.43,1
905,1,1121,396,5898,103.98,1
906,1,1121,396,5990,105.6,1
907,1,1122,396,5964,105.14,1
908,1,1121,395,5894,103.9,1
909,1,1122,395,5969,105.23,1
910,1,1122,395,6153,108.47,1
911,1,1122,395,6081,107.2,1
912,1,1122,395,6001,105.79,1
913,1,1122,395,6052,106.69,1
914,1,1122,395,5984,105.49,1
915,1,1121,395,5950,104.89,1
916,1,1121,396,6005,105.86,1
917,1,1121,395,5828,102.74,1
918,1,1121,396,5894,103.9,1
919,1,1121,396,5988,105.56,1
920,1,1120,396,5892,103.87,1
921,1,1120,396,5871,103.5,1
922,1,1120,396,6008,105.91,1
923,1,1120,396,6040,106.48,1
924,1,1120,396,6095,107.45,1
925,1,1120,395,6080,107.18,1
