frame,drop_id,cx,cy,area_px,percentage
381,1,627,62,6668,100.0
382,1,627,85,6555,98.31
383,1,628,108,6376,95.62
384,1,628,131,6541,98.1
385,1,628,154,6568,98.5
386,1,629,177,6599,98.97
387,1,629,200,6693,100.37
388,1,628,224,6563,98.43
389,1,629,247,6862,102.91
390,1,629,270,6979,104.66
391,1,629,293,7035,105.5
392,1,628,317,6774,101.59
393,1,629,341,7169,107.51
394,1,629,363,6706,100.57
395,1,630,379,5981,89.7
396,1,633,387,4843,72.63
397,1,630,392,4795,71.91
398,1,630,391,5108,76.6
399,1,630,390,5529,82.92
400,1,631,392,6290,94.33
401,1,632,391,6103,91.53
402,1,629,389,5961,89.4
403,1,628,380,6572,98.56
404,1,628,371,7033,105.47
405,1,628,363,7518,112.75
406,1,627,356,7985,119.75
407,1,625,351,8754,131.28
408,1,624,347,9259,138.86
409,1,623,342,9635,144.5
410,1,622,340,9790,146.82
411,1,619,335,9524,142.83
412,1,617,329,9179,137.66
413,1,615,326,9140,137.07
414,1,614,323,9014,135.18
415,1,611,323,9238,138.54
416,1,609,320,9038,135.54
417,1,607,320,9024,135.33
418,1,605,323,9354,140.28
419,1,603,323,9369,140.51
420,1,602,323,9148,137.19
421,1,601,322,8888,133.29
422,1,600,324,8881,133.19
423,1,600,327,8819,132.26
424,1,599,330,8858,132.84
425,1,598,330,8612,129.15
426,1,598,331,8506,127.56
427,1,597,333,8342,125.1
428,1,597,335,8271,124.04
429,1,597,339,8218,123.25
430,1,596,341,7977,119.63
431,1,595,344,7789,116.81
432,1,593,347,7612,114.16
433,1,591,349,7361,110.39
434,1,589,354,7246,108.67
435,1,588,357,7159,107.36
436,1,588,361,6839,102.56
437,1,588,365,6840,102.58
438,1,587,368,6691,100.34
439,1,587,370,6583,98.73
440,1,585,371,6541,98.1
441,1,584,372,6588,98.8
442,1,583,375,6257,93.84
443,1,582,375,6357,95.34
444,1,581,375,6325,94.86
445,1,581,374,6615,99.21
446,1,581,373,6925,103.85
447,1,581,371,7177,107.63
448,1,580,369,7337,110.03
449,1,580,367,7381,110.69
450,1,580,366,7425,111.35
451,1,581,365,7194,107.89
452,1,581,364,7207,108.08
453,1,581,363,7275,109.1
454,1,582,362,7145,107.15
455,1,583,361,7291,109.34
456,1,584,360,7443,111.62
457,1,584,361,7480,112.18
458,1,585,362,7470,112.03
459,1,586,364,7278,109.15
460,1,588,366,7213,108.17
461,1,589,368,7021,105.29
462,1,591,370,6726,100.87
463,1,593,371,6533,97.98
464,1,594,372,6476,97.12
465,1,595,373,6321,94.8
466,1,596,374,6334,94.99
467,1,597,374,6260,93.88
468,1,598,374,6204,93.04
469,1,600,374,6110,91.63
470,1,601,373,6344,95.14
471,1,602,371,6562,98.41
472,1,603,370,6979,104.66
473,1,604,367,7144,107.14
474,1,605,366,7249,108.71
475,1,605,366,7318,109.75
476,1,605,366,7378,110.65
477,1,605,366,7255,108.8
478,1,605,366,7271,109.04
479,1,605,366,7198,107.95
480,1,606,365,6924,103.84
481,1,605,367,6734,100.99
