frame,drop_id,cx,cy,area_px,percentage
772,1,1099,70,5634,100.0
773,1,1101,93,5744,101.95
774,1,1102,116,5589,99.2
775,1,1104,139,5800,102.95
776,1,1105,162,5721,101.54
777,1,1107,185,5721,101.54
778,1,1108,209,5576,98.97
779,1,1110,232,5740,101.88
780,1,1111,255,5831,103.5
781,1,1113,278,5902,104.76
782,1,1115,302,5920,105.08
783,1,1116,326,5727,101.65
784,1,1117,350,5912,104.93
785,1,1118,369,5412,96.06
786,1,1123,383,4724,83.85
787,1,1120,400,7046,125.06
788,1,1119,401,6945,123.27
789,1,1119,401,7567,134.31
790,1,1125,391,4802,85.23
791,1,1127,390,4621,82.02
792,1,1124,400,7776,138.02
793,1,1128,401,7892,140.08
794,1,1128,399,7440,132.06
795,1,1129,391,8190,145.37
796,1,1129,383,9262,164.39
797,1,1130,376,9788,173.73
798,1,1130,372,10295,182.73
799,1,1130,367,10583,187.84
800,1,1130,361,10792,191.55
801,1,1130,356,10776,191.27
802,1,1129,354,11115,197.28
803,1,1129,370,9515,168.89
803,2,1128,202,989,17.55
804,1,1129,372,9670,171.64
804,2,1127,189,1046,18.57
805,1,1129,372,9535,169.24
805,2,1127,175,1128,20.02
806,1,1128,376,9768,173.38
806,2,1127,162,1163,20.64
807,1,1127,376,9376,166.42
807,2,1127,149,1097,19.47
808,1,1126,378,9055,160.72
808,2,1126,135,1059,18.8
809,1,1124,395,7277,129.16
809,2,1129,299,1117,19.83
809,3,1126,122,1017,18.05
810,1,1124,400,7108,126.16
810,2,1126,109,1065,18.9
810,3,1129,303,1020,18.1
811,1,1124,401,7136,126.66
811,2,1125,96,1085,19.26
811,3,1129,308,1064,18.89
812,1,1123,401,6773,120.22
812,2,1129,313,1120,19.88
812,3,1125,83,1054,18.71
813,1,1122,401,6285,111.55
813,2,1129,318,1137,20.18
813,3,1125,70,1004,17.82
814,1,1121,401,6203,110.1
814,2,1129,322,1094,19.42
814,3,1125,58,983,17.45
815,1,1121,401,6621,117.52
815,2,1130,327,1067,18.94
815,3,1124,45,1015,18.02
