frame,drop_id,cx,cy,area_px,percentage
30,1,855,390,4109,100.0
31,1,856,379,5509,134.07
32,1,856,369,6135,149.31
33,1,857,362,6399,155.73
34,1,857,358,6543,159.24
35,1,858,352,6687,162.74
36,1,858,348,6749,164.25
37,1,858,344,6728,163.74
38,1,859,343,6738,163.98
39,1,859,359,5269,128.23
39,2,858,254,1105,26.89
40,1,859,357,4738,115.31
40,2,857,251,1001,24.36
41,1,859,353,4492,109.32
41,2,857,250,1041,25.33
42,1,860,352,4416,107.47
42,2,856,248,990,24.09
43,1,860,324,2582,62.84
43,2,856,247,960,23.36
43,3,860,395,326,7.93
44,1,860,322,2521,61.35
44,2,855,245,1002,24.39
44,3,859,395,295,7.18
45,1,860,320,2641,64.27
45,2,855,244,1036,25.21
45,3,860,395,278,6.77
46,1,861,316,2926,71.21
46,2,854,243,979,23.83
46,3,859,395,273,6.64
47,1,861,312,3168,77.1
47,2,854,242,974,23.7
47,3,859,395,282,6.86
48,1,862,310,3166,77.05
48,2,854,240,1033,25.14
48,3,859,395,281,6.84
49,1,862,309,3079,74.93
49,2,853,239,991,24.12
49,3,859,395,281,6.84
50,1,861,308,2878,70.04
50,2,853,239,946,23.02
50,3,860,395,286,6.96
51,1,862,305,2631,64.03
51,2,852,237,978,23.8
51,3,859,395,284,6.91
52,1,862,302,2511,61.11
52,2,852,237,989,24.07
52,3,859,395,279,6.79
53,1,862,300,2526,61.47
53,2,852,236,963,23.44
53,3,859,395,286,6.96
54,1,862,298,2761,67.19
54,2,851,235,983,23.92
54,3,859,395,286,6.96
55,1,863,296,2937,71.48
55,2,851,235,1001,24.36
55,3,859,395,283,6.89
56,1,863,294,3005,73.13
56,2,851,234,969,23.58
56,3,859,395,284,6.91
57,1,863,292,2774,67.51
57,2,850,233,871,21.2
57,3,859,395,214,5.21
58,1,863,291,2835,68.99
58,2,850,233,981,23.87
58,3,859,395,280,6.81
59,1,863,289,2682,65.27
59,2,849,233,980,23.85
59,3,860,395,292,7.11
60,1,864,287,2545,61.94
60,2,849,233,935,22.75
60,3,860,395,294,7.16
61,1,864,286,2573,62.62
61,2,849,233,990,24.09
61,3,859,395,284,6.91
62,1,860,270,3709,90.27
62,2,859,395,286,6.96
63,1,860,270,3797,92.41
63,2,859,395,281,6.84
64,1,860,269,3889,94.65
64,2,860,395,287,6.98
65,1,865,281,2718,66.15
65,2,860,395,288,7.01
66,1,866,279,2627,63.93
66,2,860,395,271,6.6
67,1,865,278,2518,61.28
67,2,860,395,271,6.6
68,1,866,278,2437,59.31
68,2,860,395,280,6.81
69,1,866,277,2402,58.46
69,2,860,395,276,6.72
70,1,866,276,2470,60.11
70,2,860,395,280,6.81
71,1,866,274,2710,65.95
71,2,860,395,287,6.98
72,1,867,274,2747,66.85
72,2,860,395,292,7.11
