frame,drop_id,cx,cy,area_px,percentage
632,1,390,49,2097,100.0
633,1,390,73,1964,93.66
634,1,389,95,1977,94.28
635,1,389,120,2037,97.14
636,1,389,143,2196,104.72
637,1,388,166,2277,108.58
638,1,388,191,2278,108.63
639,1,387,214,2272,108.35
640,1,386,238,2269,108.2
641,1,386,262,2287,109.06
642,1,385,285,2195,104.67
643,1,382,314,2527,120.51
644,1,378,345,2444,116.55
645,1,377,373,2994,142.78
646,1,378,388,2480,118.26
647,1,376,393,2446,116.64
648,1,375,397,2678,127.71
649,1,376,398,2790,133.05
650,1,375,397,2848,135.81
651,1,375,395,2936,140.01
652,1,376,388,2973,141.77
653,1,376,380,3561,169.81
654,1,375,376,3704,176.63
655,1,375,374,3864,184.26
656,1,374,374,3867,184.41
657,1,374,373,4049,193.09
658,1,373,374,4087,194.9
659,1,373,374,3763,179.45
660,1,374,376,3992,190.37
661,1,374,374,4483,213.78
662,1,374,375,4468,213.07
663,1,374,376,4218,201.14
664,1,373,375,4068,193.99
665,1,373,374,3973,189.46
666,1,373,375,4052,193.23
667,1,371,374,4239,202.15
668,1,372,376,4372,208.49
669,1,372,376,4303,205.2
670,1,372,380,4043,192.8
671,1,371,382,3751,178.87
672,1,371,383,3474,165.67
673,1,371,387,3427,163.42
674,1,371,387,3400,162.14
675,1,369,377,1636,78.02
676,1,368,382,1882,89.75
677,1,370,384,2070,98.71
678,1,379,369,4851,231.33
679,1,377,380,3140,149.74
680,1,376,392,2373,113.16
681,1,376,407,3440,164.04
682,1,377,419,4425,211.02
683,1,378,431,4919,234.57
684,1,378,440,5535,263.95
685,1,376,442,6363,303.43
686,1,375,442,6494,309.68
687,1,374,441,6687,318.88
688,1,375,441,6440,307.11
689,1,375,444,6349,302.77
690,1,375,448,6082,290.03
691,1,375,450,5675,270.62
692,1,375,455,5192,247.59
693,1,375,462,4869,232.19
694,1,374,466,4527,215.88
695,1,374,468,4261,203.2
696,1,375,470,3956,188.65
697,1,377,471,3699,176.39
698,1,376,472,3658,174.44
699,1,378,475,3463,165.14
700,1,378,474,3074,146.59
701,1,377,476,3264,155.65
702,1,377,481,2978,142.01
703,1,375,483,2790,133.05
704,1,375,490,2086,99.48
705,1,374,493,2012,95.95
706,1,375,493,1984,94.61
707,1,376,495,1711,81.59
708,1,378,504,693,33.05
709,1,374,505,628,29.95
710,1,370,503,980,46.73
711,1,364,504,998,47.59
712,1,365,504,972,46.35
