frame,drop_id,cx,cy,area_px,percentage
481,1,658,74,10333,100.0
482,1,658,97,10255,99.25
483,1,659,121,10085,97.6
484,1,659,144,10428,100.92
485,1,658,168,9990,96.68
486,1,659,192,10395,100.6
487,1,659,216,10446,101.09
488,1,659,240,10507,101.68
489,1,658,264,10475,101.37
490,1,658,288,10546,102.06
491,1,658,313,10143,98.16
492,1,658,339,10607,102.65
493,1,658,358,10014,96.91
494,1,658,372,8625,83.47
495,1,660,382,7699,74.51
496,1,660,389,6981,67.56
497,1,659,392,6776,65.58
498,1,659,390,6949,67.25
499,1,659,390,7341,71.04
500,1,659,389,7592,73.47
501,1,660,388,7571,73.27
502,1,660,388,7757,75.07
503,1,660,386,7786,75.35
504,1,659,384,7291,70.56
505,1,659,383,7242,70.09
506,1,659,380,7629,73.83
507,1,659,373,8748,84.66
508,1,657,350,11161,108.01
509,1,657,340,12327,119.3
510,1,657,330,13052,126.31
511,1,657,320,13920,134.71
512,1,657,312,14701,142.27
513,1,658,303,15166,146.77
514,1,658,296,15863,153.52
515,1,658,287,16275,157.51
516,1,658,281,16992,164.44
517,1,658,276,16777,162.36
518,1,660,306,14360,138.97
518,2,646,40,1523,14.74
519,1,660,304,14235,137.76
519,2,645,13,551,5.33
520,1,660,302,14186,137.29
521,1,660,299,14640,141.68
522,1,660,297,15325,148.31
523,1,660,295,15721,152.14
524,1,659,316,19624,189.92
525,1,659,314,19597,189.65
526,1,660,366,9732,94.18
526,2,658,155,2348,22.72
526,3,653,72,1691,16.37
527,1,660,374,10105,97.79
527,2,657,133,646,6.25
528,1,659,385,11562,111.89
529,1,659,378,8596,83.19
530,1,658,391,11719,113.41
531,1,658,393,11993,116.07
532,1,658,394,12297,119.01
533,1,659,393,12025,116.37
534,1,658,394,12102,117.12
535,1,658,393,11919,115.35
536,1,658,393,12124,117.33
537,1,657,391,12036,116.48
538,1,656,391,12146,117.55
539,1,654,388,11922,115.38
540,1,652,388,12677,122.68
541,1,652,386,12828,124.15
542,1,650,386,13142,127.18
543,1,650,385,13379,129.48
544,1,650,384,13551,131.14
545,1,651,384,13524,130.88
546,1,651,383,13507,130.72
547,1,651,384,13336,129.06
548,1,652,384,13171,127.47
549,1,653,384,13242,128.15
550,1,653,385,13192,127.67
551,1,653,387,13573,131.36
552,1,653,387,13465,130.31
553,1,652,389,13312,128.83
554,1,652,390,13102,126.8
555,1,653,391,12852,124.38
556,1,653,393,12857,124.43
557,1,654,393,12712,123.02
558,1,655,391,11841,114.59
559,1,655,394,12883,124.68
560,1,656,393,12894,124.78
561,1,657,392,13228,128.02
562,1,658,391,13370,129.39
563,1,658,390,13553,131.16
564,1,659,390,13945,134.96
565,1,659,387,13309,128.8
566,1,659,386,13128,127.05
567,1,658,386,13585,131.47
568,1,656,386,13659,132.19
569,1,655,386,13607,131.68
570,1,655,385,13525,130.89
571,1,655,386,13416,129.84
572,1,656,386,13516,130.8
573,1,657,385,12723,123.13
574,1,658,388,13200,127.75
575,1,658,389,13077,126.56
576,1,659,387,12072,116.83
577,1,658,389,12061,116.72
578,1,658,391,12626,122.19
579,1,658,390,11934,115.49
580,1,657,391,11963,115.77
581,1,656,391,11972,115.86
582,1,655,392,12666,122.58
583,1,655,392,12763,123.52
584,1,654,392,12891,124.76
585,1,654,391,12909,124.93
586,1,654,391,13285,128.57
587,1,654,388,12685,122.76
588,1,654,389,13442,130.09
589,1,654,387,12802,123.89
590,1,655,388,13522,130.86
591,1,655,388,13525,130.89
592,1,655,386,12761,123.5
593,1,655,388,13211,127.85
594,1,655,386,12413,120.13
595,1,654,387,12725,123.15
596,1,654,387,12686,122.77
597,1,654,388,12624,122.17
598,1,653,388,12402,120.02
599,1,653,389,12560,121.55
600,1,654,389,12479,120.77
601,1,654,390,12832,124.18
602,1,655,391,13202,127.77
603,1,655,390,13030,126.1
604,1,655,390,12625,122.18
605,1,655,390,12834,124.2
606,1,656,391,13473,130.39
607,1,656,390,12825,124.12
608,1,656,391,13693,132.52
609,1,656,389,12863,124.48
610,1,656,390,13388,129.57
611,1,655,389,12866,124.51
612,1,655,388,12710,123.0
613,1,655,388,12602,121.96
614,1,654,388,12746,123.35
615,1,654,389,12955,125.38
616,1,654,389,12995,125.76
617,1,655,389,12696,122.87
618,1,655,388,12585,121.79
619,1,655,388,12431,120.3
620,1,655,389,12532,121.28
621,1,655,387,11857,114.75
622,1,655,387,11858,114.76
623,1,655,389,12493,120.9
624,1,655,389,12562,121.57
625,1,655,389,12770,123.58
626,1,655,390,13058,126.37
627,1,654,390,12980,125.62
628,1,654,390,13068,126.47
629,1,655,389,12578,121.73
630,1,655,389,12680,122.71
631,1,655,388,12536,121.32
632,1,655,389,12711,123.01
633,1,656,389,12381,119.82
634,1,656,389,12416,120.16
635,1,656,390,13038,126.18
636,1,656,391,12962,125.44
637,1,657,389,12303,119.07
638,1,657,391,12919,125.03
639,1,657,390,12711,123.01
640,1,657,389,12667,122.59
641,1,657,389,12721,123.11
642,1,657,388,12649,122.41
643,1,657,388,12584,121.78
644,1,656,388,12666,122.58
645,1,656,388,12955,125.38
646,1,656,388,12957,125.39
647,1,656,386,12364,119.66
648,1,656,388,13285,128.57
649,1,656,389,13387,129.56
650,1,656,389,13623,131.84
651,1,656,388,12835,124.21
652,1,656,390,13596,131.58
653,1,656,388,12733,123.23
654,1,656,389,12864,124.49
655,1,655,389,12719,123.09
656,1,655,390,12620,122.13
657,1,655,390,12437,120.36
658,1,655,391,12973,125.55
659,1,654,391,12855,124.41
660,1,654,391,12696,122.87
661,1,654,391,12704,122.95
662,1,653,390,12726,123.16
663,1,653,390,12800,123.87
