frame,drop_id,cx,cy,area_px,percentage
612,1,767,59,7276,100.0
613,1,768,83,7384,101.48
614,1,768,106,7241,99.52
615,1,769,129,7396,101.65
616,1,769,152,7383,101.47
617,1,770,176,7174,98.6
618,1,770,199,7430,102.12
619,1,771,223,7252,99.67
620,1,771,247,7484,102.86
621,1,771,271,7279,100.04
622,1,772,294,7253,99.68
623,1,772,318,7531,103.5
624,1,773,342,7394,101.62
625,1,773,358,6174,84.85
626,1,774,371,4778,65.67
627,1,774,373,1830,25.15
628,1,773,387,4076,56.02
629,1,774,387,4662,64.07
630,1,774,386,5214,71.66
631,1,774,384,5295,72.77
632,1,775,383,5302,72.87
633,1,775,382,5389,74.07
634,1,775,369,6503,89.38
635,1,774,352,8122,111.63
636,1,774,339,9190,126.31
637,1,774,326,10089,138.66
638,1,774,316,10947,150.45
639,1,775,305,11643,160.02
640,1,776,312,11111,152.71
640,2,762,138,800,11.0
641,1,776,306,11459,157.49
641,2,761,112,779,10.71
642,1,777,300,11760,161.63
642,2,761,89,850,11.68
643,1,777,294,11929,163.95
643,2,760,62,658,9.04
644,1,777,287,11930,163.96
644,2,760,36,454,6.24
645,1,777,281,11890,163.41
645,2,759,11,230,3.16
646,1,778,274,11834,162.64
647,1,778,270,11946,164.18
648,1,778,264,12010,165.06
649,1,778,256,11553,158.78
650,1,779,247,11251,154.63
651,1,779,239,10555,145.07
652,1,779,231,10062,138.29
653,1,779,223,9368,128.75
654,1,779,214,8658,118.99
655,1,780,207,8223,113.02
656,1,780,202,7989,109.8
657,1,780,195,7632,104.89
658,1,779,185,6856,94.23
659,1,779,180,6741,92.65
660,1,779,173,6472,88.95
661,1,780,167,6659,91.52
662,1,780,160,7025,96.55
663,1,780,153,7773,106.83
664,1,781,146,8207,112.8
665,1,781,139,8375,115.1
666,1,781,133,8667,119.12
667,1,780,127,9059,124.51
668,1,780,121,9306,127.9
669,1,781,115,9465,130.09
670,1,781,109,9514,130.76
671,1,781,104,9506,130.65
672,1,781,98,9338,128.34
673,1,782,92,8886,122.13
674,1,782,86,8425,115.79
675,1,782,79,7810,107.34
676,1,782,73,7334,100.8
677,1,782,67,6828,93.84
678,1,782,62,6525,89.68
679,1,782,57,6540,89.88
680,1,782,52,6466,88.87
681,1,782,47,6515,89.54
682,1,783,42,7062,97.06
683,1,783,40,6964,95.71
684,1,783,39,6621,91.0
685,1,783,39,6378,87.66
686,1,783,39,6068,83.4
687,1,783,38,5821,80.0
688,1,784,36,5537,76.1
689,1,784,34,5171,71.07
690,1,784,31,4743,65.19
691,1,783,27,4218,57.97
692,1,783,22,3623,49.79
693,1,783,17,2906,39.94
694,1,783,12,2158,29.66
695,1,782,7,1371,18.84
696,1,781,4,739,10.16
697,1,781,2,457,6.28
698,1,780,1,168,2.31
699,1,787,0,57,0.78
700,1,790,1,94,1.29
701,1,789,1,126,1.73
702,1,786,2,192,2.64
703,1,784,2,225,3.09
704,1,785,2,222,3.05
705,1,786,2,195,2.68
706,1,786,1,145,1.99
707,1,786,0,64,0.88
