frame,drop_id,cx,cy,area_px,percentage
87,1,590,57,5040,100.0
88,1,590,79,5138,101.94
89,1,590,101,4813,95.5
90,1,591,125,4591,91.09
91,1,591,148,4569,90.65
92,1,590,170,4635,91.96
93,1,591,194,4714,93.53
94,1,591,217,4792,95.08
95,1,591,240,4964,98.49
96,1,590,264,5100,101.19
97,1,591,287,5264,104.44
98,1,591,311,5476,108.65
99,1,591,334,5624,111.59
100,1,591,354,4846,96.15
101,1,591,377,5423,107.6
102,1,590,391,6050,120.04
103,1,591,392,5385,106.85
104,1,591,393,5263,104.42
105,1,591,393,5589,110.89
106,1,590,393,5724,113.57
107,1,590,393,5479,108.71
108,1,589,389,5960,118.25
109,1,589,377,7272,144.29
110,1,589,363,8657,171.77
111,1,589,349,8262,163.93
112,1,589,332,8458,167.82
113,1,588,319,8576,170.16
114,1,588,305,8883,176.25
115,1,587,291,9571,189.9
116,1,587,314,8013,158.99
116,2,585,150,1264,25.08
117,1,588,311,8060,159.92
117,2,585,127,1104,21.9
118,1,587,302,7132,141.51
118,2,585,108,1092,21.67
119,1,587,295,6502,129.01
119,2,585,88,1014,20.12
120,1,586,289,6353,126.05
120,2,585,69,1049,20.81
121,1,586,287,6727,133.47
121,2,585,50,1270,25.2
122,1,586,284,7094,140.75
122,2,585,32,1046,20.75
123,1,586,278,6850,135.91
123,2,585,13,719,14.27
124,1,586,269,6484,128.65
125,1,586,262,6071,120.46
126,1,586,257,5697,113.04
127,1,585,251,5216,103.49
128,1,585,244,4791,95.06
129,1,585,237,4444,88.17
130,1,585,232,3831,76.01
131,1,584,226,3863,76.65
132,1,584,220,3599,71.41
133,1,583,214,3692,73.25
134,1,583,207,4140,82.14
135,1,584,201,4599,91.25
136,1,583,193,4973,98.67
137,1,582,189,5491,108.95
138,1,583,186,6057,120.18
139,1,582,183,6683,132.6
140,1,582,178,6521,129.38
141,1,582,172,5814,115.36
142,1,581,166,4996,99.13
143,1,581,161,4408,87.46
144,1,580,154,3926,77.9
145,1,579,149,3458,68.61
146,1,579,146,3050,60.52
147,1,579,143,2898,57.5
148,1,578,139,2888,57.3
149,1,579,135,3085,61.21
150,1,579,131,3501,69.46
151,1,579,125,3931,78.0
152,1,579,119,4449,88.27
153,1,578,114,5053,100.26
154,1,577,110,5788,114.84
155,1,578,108,6239,123.79
156,1,577,105,6369,126.37
157,1,577,101,6002,119.09
158,1,577,98,5111,101.41
159,1,577,93,4259,84.5
160,1,576,88,3722,73.85
161,1,575,83,3377,67.0
162,1,575,81,3034,60.2
163,1,575,78,2880,57.14
164,1,575,76,2871,56.96
165,1,575,74,3019,59.9
166,1,575,71,3356,66.59
167,1,574,67,3729,73.99
168,1,574,62,4272,84.76
169,1,574,58,4895,97.12
170,1,574,56,5520,109.52
171,1,574,55,5954,118.13
172,1,573,52,6155,122.12
173,1,573,51,5645,112.0
174,1,574,49,4925,97.72
175,1,573,46,4208,83.49
176,1,572,42,3475,68.95
177,1,572,39,3083,61.17
178,1,571,37,2822,55.99
179,1,571,35,2628,52.14
180,1,570,34,2671,53.0
181,1,570,33,2626,52.1
182,1,570,32,2772,55.0
183,1,570,31,3060,60.71
184,1,570,30,3777,74.94
185,1,570,29,4190,83.13
186,1,570,28,4534,89.96
187,1,571,27,4650,92.26
188,1,571,27,4695,93.15
189,1,570,26,4541,90.1
190,1,571,25,4116,81.67
191,1,570,22,3325,65.97
192,1,569,18,2374,47.1
193,1,568,16,1921,38.12
194,1,567,14,1669,33.12
195,1,566,14,1534,30.44
196,1,566,14,1443,28.63
197,1,566,14,1393,27.64
198,1,568,14,1509,29.94
199,1,568,15,1755,34.82
200,1,568,15,2000,39.68
201,1,568,16,2155,42.76
202,1,567,15,2249,44.62
203,1,567,15,2361,46.85
204,1,566,16,2518,49.96
205,1,566,15,2360,46.83
206,1,566,13,1960,38.89
207,1,565,11,1594,31.63
208,1,565,9,1220,24.21
209,1,564,9,1053,20.89
210,1,563,8,924,18.33
211,1,562,8,860,17.06
212,1,562,8,839,16.65
213,1,563,9,923,18.31
214,1,563,9,1019,20.22
215,1,564,10,1299,25.77
216,1,563,14,2024,40.16
217,1,564,13,1831,36.33
218,1,563,13,2000,39.68
219,1,561,17,2821,55.97
220,1,560,17,2952,58.57
221,1,561,15,2491,49.42
222,1,560,17,2674,53.06
223,1,561,14,1969,39.07
224,1,560,14,1788,35.48
225,1,560,14,1654,32.82
226,1,559,14,1523,30.22
227,1,558,15,1468,29.13
228,1,558,16,1446,28.69
229,1,558,17,1658,32.9
230,1,559,18,2017,40.02
231,1,559,19,2393,47.48
232,1,558,20,2846,56.47
233,1,557,21,3194,63.37
234,1,557,23,3577,70.97
235,1,556,24,3831,76.01
236,1,556,24,3935,78.08
237,1,556,25,3920,77.78
238,1,556,26,3710,73.61
239,1,556,27,3288,65.24
240,1,556,29,3046,60.44
241,1,555,29,2819,55.93
242,1,555,30,2708,53.73
243,1,554,33,2576,51.11
244,1,554,36,2599,51.57
245,1,553,39,2764,54.84
246,1,554,42,3306,65.6
247,1,554,44,3753,74.46
248,1,554,46,4234,84.01
