frame,drop_id,cx,cy,area_px,percentage
1944,1,587,402,8582,100.0
1948,1,586,402,9140,106.5
1952,1,586,402,9014,105.03
1956,1,586,402,8963,104.44
1960,1,587,402,8951,104.3
1964,1,587,402,8886,103.54
1968,1,587,402,8908,103.8
1972,1,587,402,8889,103.58
1976,1,587,402,8858,103.22
1980,1,586,402,8861,103.25
1984,1,586,402,8809,102.65
1988,1,587,402,8794,102.47
1992,1,586,402,8799,102.53
1996,1,587,402,8784,102.35
2000,1,586,402,8841,103.02
2004,1,587,402,8743,101.88
2008,1,587,402,8837,102.97
2012,1,587,402,8784,102.35
2016,1,587,402,8817,102.74
2020,1,587,402,8783,102.34
2024,1,587,402,8778,102.28
2028,1,587,402,8734,101.77
2032,1,587,402,8733,101.76
2036,1,587,402,8796,102.49
2040,1,587,402,8795,102.48
2044,1,587,402,8789,102.41
2048,1,587,402,8765,102.13
2052,1,587,402,8778,102.28
2056,1,587,402,8803,102.58
2060,1,587,402,8750,101.96
2064,1,587,402,8761,102.09
2068,1,587,402,8776,102.26
2072,1,587,402,8746,101.91
2076,1,587,402,8818,102.75
2080,1,587,402,8753,101.99
2084,1,587,402,8769,102.18
2088,1,587,402,8754,102.0
2092,1,587,402,8714,101.54
2096,1,587,402,8757,102.04
2100,1,587,402,8848,103.1
2104,1,587,402,8795,102.48
2108,1,587,402,8750,101.96
2112,1,587,402,8798,102.52
2116,1,587,402,8758,102.05
2120,1,586,402,8760,102.07
2124,1,587,402,8779,102.3
2128,1,587,402,8750,101.96
2132,1,587,402,8810,102.66
2136,1,587,402,8788,102.4
2140,1,587,402,8780,102.31
2144,1,587,402,8758,102.05
2148,1,587,402,8763,102.11
2152,1,587,402,8737,101.81
2156,1,587,402,8747,101.92
2160,1,587,402,8770,102.19
2164,1,587,402,8749,101.95
2168,1,587,402,8760,102.07
2172,1,586,402,8772,102.21
2176,1,587,402,8780,102.31
2180,1,587,402,8733,101.76
2184,1,587,402,8795,102.48
2188,1,587,402,8728,101.7
2192,1,587,402,8751,101.97
2196,1,587,402,8752,101.98
2200,1,587,402,8801,102.55
2204,1,587,402,8709,101.48
2208,1,587,402,8748,101.93
2212,1,586,402,8756,102.03
2216,1,586,402,8768,102.17
2220,1,587,402,8733,101.76
2224,1,587,402,8814,102.7
2228,1,587,402,8732,101.75
2232,1,587,402,8792,102.45
2236,1,586,402,8759,102.06
2240,1,587,402,8731,101.74
2244,1,587,402,8785,102.37
2248,1,587,402,8783,102.34
2252,1,587,402,8824,102.82
2256,1,587,402,8778,102.28
2260,1,587,402,8845,103.06
2264,1,587,402,8785,102.37
2268,1,587,402,8756,102.03
2272,1,587,402,8827,102.85
2276,1,587,402,8808,102.63
2280,1,586,402,8793,102.46
2284,1,587,402,8771,102.2
2288,1,586,402,8844,103.05
2292,1,587,402,8789,102.41
2296,1,587,402,8768,102.17
2300,1,587,402,8796,102.49
