frame,drop_id,cx,cy,area_px,percentage
87,1,533,345,2808,100.0
88,1,532,343,3023,107.66
89,1,533,343,3102,110.47
90,1,533,343,3098,110.33
91,1,533,343,3098,110.33
92,1,533,343,3089,110.01
93,1,533,343,3089,110.01
94,1,533,343,3081,109.72
95,1,533,343,3096,110.26
96,1,533,343,3093,110.15
97,1,533,343,3092,110.11
98,1,533,343,3078,109.62
99,1,533,343,3063,109.08
100,1,532,343,3087,109.94
101,1,532,343,3072,109.4
102,1,532,343,3115,110.93
103,1,532,343,3095,110.22
104,1,532,343,3090,110.04
105,1,532,343,3124,111.25
106,1,532,343,3093,110.15
107,1,532,343,3112,110.83
108,1,532,343,3087,109.94
109,1,532,343,3084,109.83
110,1,532,343,3082,109.76
111,1,532,342,3064,109.12
112,1,532,342,3072,109.4
113,1,532,342,3059,108.94
114,1,532,342,3053,108.73
115,1,532,342,3057,108.87
116,1,532,342,3060,108.97
117,1,532,342,3064,109.12
118,1,532,342,3056,108.83
119,1,532,342,3061,109.01
120,1,532,342,3058,108.9
121,1,532,342,3062,109.05
122,1,532,342,3067,109.22
123,1,532,342,3053,108.73
124,1,532,342,3055,108.8
125,1,532,342,3062,109.05
126,1,532,342,3049,108.58
127,1,532,343,3041,108.3
128,1,532,342,3034,108.05
129,1,532,343,3037,108.16
130,1,532,343,3040,108.26
131,1,532,342,3050,108.62
132,1,532,343,3044,108.4
133,1,532,343,3040,108.26
134,1,532,343,3047,108.51
135,1,532,343,3043,108.37
136,1,532,343,3063,109.08
137,1,532,342,3069,109.29
138,1,532,342,3057,108.87
139,1,532,343,3064,109.12
140,1,532,343,3053,108.73
141,1,532,343,3065,109.15
142,1,532,343,3059,108.94
143,1,532,343,3056,108.83
144,1,531,343,3079,109.65
145,1,531,343,3084,109.83
146,1,531,343,3069,109.29
147,1,531,343,3086,109.9
148,1,531,342,3079,109.65
149,1,531,343,3099,110.36
150,1,531,342,3069,109.29
151,1,531,343,3073,109.44
152,1,531,342,3085,109.86
153,1,531,343,3086,109.9
154,1,531,342,3081,109.72
155,1,531,342,3089,110.01
156,1,531,342,3088,109.97
157,1,531,343,3093,110.15
158,1,531,342,3091,110.08
159,1,531,342,3099,110.36
160,1,531,342,3115,110.93
161,1,531,342,3096,110.26
162,1,531,342,3090,110.04
163,1,531,342,3095,110.22
164,1,531,342,3098,110.33
165,1,531,342,3103,110.51
166,1,531,342,3094,110.19
167,1,531,342,3076,109.54
168,1,531,342,3089,110.01
169,1,531,342,3079,109.65
170,1,531,342,3079,109.65
171,1,531,342,3086,109.9
172,1,531,342,3087,109.94
173,1,531,342,3096,110.26
174,1,531,342,3093,110.15
175,1,531,342,3103,110.51
176,1,531,342,3103,110.51
177,1,531,342,3115,110.93
178,1,531,342,3121,111.15
179,1,531,342,3105,110.58
180,1,531,342,3109,110.72
181,1,531,342,3110,110.75
182,1,531,343,3098,110.33
183,1,531,343,3084,109.83
184,1,531,343,3106,110.61
185,1,531,343,3113,110.86
186,1,531,343,3114,110.9
187,1,531,343,3103,110.51
188,1,531,343,3124,111.25
189,1,531,343,3117,111.0
190,1,531,343,3103,110.51
191,1,531,343,3096,110.26
192,1,531,343,3116,110.97
193,1,531,343,3132,111.54
194,1,531,343,3111,110.79
195,1,531,343,3119,111.08
196,1,531,343,3121,111.15
197,1,531,343,3102,110.47
198,1,531,343,3088,109.97
199,1,531,343,3111,110.79
200,1,531,342,3091,110.08
201,1,531,343,3101,110.43
202,1,531,342,3104,110.54
203,1,531,343,3120,111.11
204,1,531,343,3116,110.97
205,1,531,343,3111,110.79
206,1,531,343,3100,110.4
207,1,531,343,3099,110.36
208,1,531,343,3099,110.36
209,1,531,343,3111,110.79
210,1,531,343,3090,110.04
211,1,531,342,3086,109.9
212,1,531,343,3092,110.11
213,1,531,342,3105,110.58
214,1,531,343,3132,111.54
215,1,531,343,3126,111.32
216,1,531,343,3129,111.43
217,1,531,343,3129,111.43
218,1,531,343,3103,110.51
219,1,531,343,3092,110.11
220,1,531,343,3107,110.65
221,1,531,343,3124,111.25
222,1,531,343,3108,110.68
223,1,531,342,3115,110.93
224,1,531,343,3119,111.08
225,1,531,343,3120,111.11
226,1,531,343,3133,111.57
227,1,531,343,3139,111.79
