frame,drop_id,cx,cy,area_px,percentage
641,1,364,70,10123,100.0
642,1,364,94,9985,98.64
643,1,363,118,10254,101.29
644,1,363,142,10254,101.29
645,1,362,166,10298,101.73
646,1,362,191,10329,102.03
647,1,361,216,10450,103.23
648,1,361,240,10577,104.48
649,1,360,265,10683,105.53
650,1,359,289,10698,105.68
651,1,359,313,10881,107.49
652,1,358,338,10701,105.71
653,1,358,356,9517,94.01
654,1,358,372,8358,82.56
655,1,364,380,6480,64.01
656,1,360,388,6402,63.24
657,1,356,392,6610,65.3
658,1,355,390,6253,61.77
659,1,354,389,7183,70.96
660,1,353,390,8040,79.42
661,1,351,387,7705,76.11
662,1,348,384,7734,76.4
663,1,347,382,7758,76.64
664,1,347,380,7859,77.64
665,1,349,372,8817,87.1
666,1,348,363,11049,109.15
667,1,350,365,15285,150.99
668,1,351,356,16278,160.8
669,1,351,346,17499,172.86
670,1,350,324,16054,158.59
671,1,348,311,15752,155.61
672,1,348,321,18769,185.41
673,1,348,292,15970,157.76
674,1,347,279,15572,153.83
675,1,348,324,17094,168.86
675,2,343,68,1715,16.94
676,1,348,320,16953,167.47
676,2,342,43,1389,13.72
677,1,348,301,14470,142.94
678,1,348,296,14500,143.24
679,1,348,296,14997,148.15
680,1,346,312,17749,175.33
681,1,346,292,15381,151.94
682,1,344,343,11058,109.24
682,2,347,160,4335,42.82
683,1,344,342,11260,111.23
683,2,346,146,3779,37.33
684,1,344,353,13510,133.46
684,2,351,172,1817,17.95
684,3,343,101,1564,15.45
685,1,344,342,11742,115.99
685,2,351,153,464,4.58
686,1,344,342,11667,115.25
687,1,344,347,12214,120.66
688,1,344,349,12377,122.27
689,1,342,350,12050,119.04
690,1,341,347,11205,110.69
691,1,341,345,10474,103.47
692,1,340,346,10138,100.15
693,1,339,348,9782,96.63
694,1,339,349,9445,93.3
695,1,339,351,9252,91.4
696,1,340,352,9100,89.89
697,1,340,353,8990,88.81
698,1,339,356,9016,89.06
699,1,338,358,8943,88.34
700,1,338,361,8855,87.47
701,1,337,363,8777,86.7
702,1,337,364,8637,85.32
703,1,336,366,8576,84.72
704,1,336,368,8506,84.03
705,1,335,369,8561,84.57
706,1,335,370,8579,84.75
707,1,334,370,8669,85.64
708,1,334,370,8763,86.57
709,1,335,370,8801,86.94
710,1,335,369,8971,88.62
711,1,335,367,9043,89.33
712,1,335,366,9177,90.65
713,1,334,364,9199,90.87
714,1,334,363,9237,91.25
715,1,333,361,9249,91.37
716,1,333,359,9329,92.16
717,1,332,357,9252,91.4
718,1,332,356,9221,91.09
719,1,332,354,9182,90.7
720,1,332,353,9215,91.03
721,1,334,354,9607,94.9
722,1,334,354,9796,96.77
723,1,334,354,9891,97.71
724,1,334,354,10102,99.79
725,1,334,354,10146,100.23
726,1,333,355,10235,101.11
727,1,334,356,10247,101.22
728,1,334,357,10180,100.56
729,1,334,358,10127,100.04
730,1,335,359,9923,98.02
731,1,335,360,9639,95.22
732,1,336,362,9455,93.4
733,1,337,364,9224,91.12
734,1,337,365,8879,87.71
735,1,338,367,8554,84.5
736,1,338,368,8326,82.25
737,1,338,369,8081,79.83
738,1,338,371,7952,78.55
739,1,338,370,7863,77.67
740,1,338,370,7900,78.04
741,1,338,369,7952,78.55
742,1,338,368,8051,79.53
743,1,339,367,8186,80.87
744,1,339,366,8355,82.53
745,1,340,365,8604,84.99
746,1,341,363,8852,87.44
747,1,341,362,9138,90.27
748,1,341,361,9404,92.9
749,1,341,359,9633,95.16
750,1,341,358,9875,97.55
751,1,341,357,10088,99.65
752,1,341,356,10261,101.36
753,1,341,355,10363,102.37
754,1,341,355,10363,102.37
755,1,341,355,10285,101.6
756,1,342,356,10090,99.67
757,1,342,356,9874,97.54
758,1,342,357,9543,94.27
759,1,342,359,9340,92.27
760,1,342,360,9126,90.15
761,1,341,360,8727,86.21
762,1,341,362,8608,85.03
763,1,341,364,8470,83.67
764,1,340,365,8370,82.68
765,1,340,367,8305,82.04
766,1,340,368,8190,80.9
767,1,340,369,8174,80.75
768,1,339,369,8172,80.73
769,1,339,369,8172,80.73
770,1,339,369,8266,81.66
771,1,339,369,8371,82.69
772,1,339,369,8567,84.63
773,1,338,368,8728,86.22
774,1,338,366,8884,87.76
775,1,337,365,9104,89.93
776,1,337,364,9232,91.2
777,1,336,363,9427,93.12
778,1,336,361,9499,93.84
779,1,335,360,9521,94.05
780,1,335,359,9517,94.01
781,1,335,358,9502,93.87
782,1,335,358,9515,93.99
783,1,335,357,9437,93.22
784,1,335,357,9391,92.77
785,1,335,357,9443,93.28
786,1,334,357,9372,92.58
787,1,334,358,9379,92.65
788,1,334,358,9470,93.55
789,1,334,359,9424,93.09
790,1,334,360,9479,93.64
791,1,334,360,9463,93.48
792,1,335,361,9395,92.81
793,1,335,362,9288,91.75
794,1,336,364,9282,91.69
795,1,336,365,9134,90.23
796,1,336,367,8974,88.65
797,1,336,368,8763,86.57
798,1,336,369,8552,84.48
799,1,337,369,8409,83.07
800,1,337,369,8303,82.02
801,1,337,369,8278,81.77
802,1,337,369,8338,82.37
803,1,337,369,8355,82.53
804,1,338,368,8394,82.92
805,1,338,367,8454,83.51
806,1,339,365,8479,83.76
807,1,339,365,8646,85.41
808,1,339,363,8631,85.26
809,1,339,362,8884,87.76
810,1,339,361,9089,89.79
811,1,339,360,9292,91.79
812,1,339,358,9509,93.93
813,1,340,357,9692,95.74
814,1,340,356,9810,96.91
815,1,340,356,9914,97.94
816,1,340,356,10016,98.94
817,1,341,356,10058,99.36
818,1,341,357,10001,98.79
819,1,341,357,9851,97.31
820,1,341,358,9683,95.65
821,1,341,359,9443,93.28
822,1,341,360,9219,91.07
823,1,341,361,8898,87.9
824,1,341,363,8621,85.16
825,1,340,365,8586,84.82
826,1,340,366,8328,82.27
827,1,340,367,8218,81.18
828,1,340,368,8108,80.09
829,1,340,369,7987,78.9
830,1,340,369,7909,78.13
831,1,340,370,7956,78.59
832,1,340,369,7991,78.94
833,1,340,369,8123,80.24
834,1,339,368,8296,81.95
835,1,339,367,8530,84.26
836,1,339,366,8751,86.45
837,1,338,365,8952,88.43
838,1,338,364,9195,90.83
839,1,338,362,9369,92.55
840,1,337,361,9562,94.46
841,1,337,360,9690,95.72
842,1,337,360,10045,99.23
843,1,337,359,10027,99.05
844,1,337,358,9960,98.39
845,1,337,358,9932,98.11
846,1,337,358,9933,98.12
847,1,336,359,9919,97.98
848,1,336,358,9555,94.39
849,1,336,359,9467,93.52
850,1,336,359,9357,92.43
851,1,335,360,9268,91.55
852,1,335,361,9162,90.51
853,1,336,361,8959,88.5
854,1,336,362,8880,87.72
855,1,336,363,8772,86.65
856,1,336,365,8777,86.7
857,1,336,366,8718,86.12
858,1,336,367,8665,85.6
859,1,336,368,8574,84.7
860,1,336,369,8517,84.14
861,1,336,369,8501,83.98
862,1,336,370,8847,87.4
863,1,336,369,8616,85.11
864,1,336,369,8638,85.33
865,1,336,368,8729,86.23
866,1,337,367,8794,86.87
867,1,337,366,8862,87.54
868,1,337,365,8990,88.81
869,1,337,364,8976,88.67
870,1,338,363,9020,89.1
871,1,338,362,9155,90.44
872,1,338,361,9209,90.97
873,1,338,360,9293,91.8
874,1,338,359,9333,92.2
875,1,338,358,9401,92.87
876,1,338,358,9481,93.66
877,1,338,357,9516,94.0
878,1,339,357,9565,94.49
879,1,339,358,9633,95.16
880,1,339,358,9632,95.15
881,1,339,358,9621,95.04
882,1,339,361,9881,97.61
883,1,339,362,9770,96.51
884,1,339,362,9637,95.2
885,1,340,364,9493,93.78
886,1,339,366,9511,93.95
887,1,339,366,8998,88.89
888,1,340,367,8777,86.7
889,1,340,369,8949,88.4
890,1,340,370,8742,86.36
891,1,340,370,8541,84.37
892,1,340,371,8527,84.23
893,1,340,370,8388,82.86
894,1,340,369,8233,81.33
895,1,340,369,8336,82.35
896,1,339,369,8639,85.34
897,1,339,368,8775,86.68
898,1,339,367,8948,88.39
899,1,339,366,9056,89.46
900,1,339,364,9188,90.76
901,1,339,363,9373,92.59
902,1,338,362,9573,94.57
903,1,339,361,9701,95.83
904,1,338,360,9825,97.06
905,1,338,359,9926,98.05
906,1,338,358,9945,98.24
907,1,338,358,10052,99.3
908,1,338,358,10061,99.39
909,1,337,359,9944,98.23
910,1,337,359,9819,97.0
911,1,337,359,9628,95.11
912,1,337,360,9435,93.2
913,1,337,361,9375,92.61
914,1,337,362,9209,90.97
915,1,337,363,9025,89.15
916,1,337,364,8939,88.3
917,1,336,366,8818,87.11
918,1,336,367,8684,85.78
919,1,336,367,8580,84.76
920,1,336,368,8529,84.25
921,1,336,369,8482,83.79
922,1,336,369,8439,83.36
923,1,336,369,8487,83.84
924,1,336,369,8542,84.38
925,1,336,369,8606,85.01
926,1,336,368,8708,86.02
927,1,336,368,8862,87.54
928,1,336,367,8999,88.9
929,1,336,366,9104,89.93
930,1,336,365,9266,91.53
931,1,336,364,9370,92.56
932,1,336,363,9437,93.22
933,1,336,362,9495,93.8
934,1,336,361,9544,94.28
935,1,336,360,9574,94.58
936,1,337,360,9558,94.42
937,1,337,359,9546,94.3
938,1,337,359,9551,94.35
939,1,337,359,9539,94.23
940,1,337,359,9530,94.14
941,1,337,359,9444,93.29
942,1,337,360,9466,93.51
943,1,337,361,9421,93.07
944,1,338,361,9396,92.82
945,1,338,362,9364,92.5
946,1,338,363,9317,92.04
947,1,338,364,9248,91.36
948,1,338,365,9167,90.56
949,1,339,366,9047,89.37
950,1,339,367,8946,88.37
951,1,339,368,8845,87.38
952,1,339,369,8753,86.47
953,1,339,369,8697,85.91
954,1,339,369,8623,85.18
955,1,339,369,8616,85.11
956,1,339,369,8621,85.16
957,1,339,368,8676,85.71
958,1,340,368,8696,85.9
959,1,340,367,8776,86.69
960,1,340,366,8894,87.86
961,1,340,365,8931,88.22
962,1,340,364,9045,89.35
963,1,340,363,9159,90.48
964,1,339,362,9292,91.79
965,1,339,361,9413,92.99
966,1,339,360,9501,93.86
967,1,339,360,9589,94.72
968,1,339,359,9680,95.62
969,1,339,359,9751,96.33
970,1,339,359,9797,96.78
971,1,339,359,9817,96.98
972,1,339,359,9762,96.43
973,1,339,360,9676,95.58
974,1,338,361,9575,94.59
975,1,338,361,9420,93.06
976,1,338,362,9251,91.39
977,1,338,363,9107,89.96
978,1,338,364,8937,88.28
979,1,338,365,8784,86.77
980,1,337,366,8710,86.04
981,1,337,367,8565,84.61
982,1,337,368,8439,83.36
983,1,337,368,8352,82.51
984,1,337,369,8351,82.5
985,1,337,369,8334,82.33
986,1,337,369,8380,82.78
987,1,336,368,8458,83.55
988,1,336,368,8571,84.67
989,1,336,367,8685,85.79
990,1,336,366,8862,87.54
991,1,336,365,9042,89.32
992,1,336,364,9185,90.73
993,1,336,363,9308,91.95
994,1,336,362,9446,93.31
995,1,336,361,9546,94.3
996,1,336,361,9622,95.05
997,1,336,360,9668,95.51
998,1,336,360,9701,95.83
999,1,336,359,9710,95.92
1000,1,336,360,9724,96.06
1001,1,336,360,9632,95.15
1002,1,336,360,9558,94.42
1003,1,336,360,9496,93.81
1004,1,336,361,9385,92.71
1005,1,336,362,9293,91.8
1006,1,337,362,9221,91.09
1007,1,337,363,9096,89.85
1008,1,337,364,9050,89.4
1009,1,337,365,8982,88.73
1010,1,338,366,8880,87.72
1011,1,338,367,8834,87.27
1012,1,338,368,8764,86.58
1013,1,338,368,8725,86.19
1014,1,338,368,8688,85.82
1015,1,338,369,8698,85.92
1016,1,339,369,8717,86.11
1017,1,339,368,8727,86.21
1018,1,339,368,8779,86.72
1019,1,339,368,8857,87.49
1020,1,339,367,8940,88.31
1021,1,339,366,9025,89.15
1022,1,339,365,9142,90.31
1023,1,340,364,9184,90.72
1024,1,340,363,9270,91.57
1025,1,340,362,9322,92.09
1026,1,340,362,9417,93.03
1027,1,340,361,9449,93.34
1028,1,340,361,9432,93.17
1029,1,340,360,9467,93.52
1030,1,340,360,9498,93.83
1031,1,340,360,9500,93.85
1032,1,340,360,9512,93.96
1033,1,340,360,9534,94.18
1034,1,340,360,9516,94.0
1035,1,339,361,9489,93.74
1036,1,339,361,9426,93.11
1037,1,339,362,9355,92.41
1038,1,339,363,9294,91.81
1039,1,339,364,9154,90.43
1040,1,339,365,9034,89.24
1041,1,339,366,8952,88.43
1042,1,338,367,8819,87.12
1043,1,338,367,8732,86.26
1044,1,338,368,8641,85.36
1045,1,338,368,8585,84.81
1046,1,338,368,8551,84.47
1047,1,337,368,8535,84.31
1048,1,337,368,8561,84.57
1049,1,337,368,8582,84.78
1050,1,337,367,8676,85.71
1051,1,337,367,8756,86.5
1052,1,337,366,8884,87.76
1053,1,336,365,8971,88.62
1054,1,336,364,9047,89.37
1055,1,336,363,9193,90.81
1056,1,336,362,9316,92.03
1057,1,336,361,9398,92.84
1058,1,336,361,9476,93.61
1059,1,336,360,9564,94.48
1060,1,336,360,9640,95.23
1061,1,336,360,9667,95.5
1062,1,336,360,9683,95.65
1063,1,336,360,9664,95.47
1064,1,336,360,9609,94.92
1065,1,336,361,9554,94.38
1066,1,336,361,9420,93.06
1067,1,336,362,9315,92.02
1068,1,336,363,9183,90.71
1069,1,336,364,9131,90.2
1070,1,336,365,9019,89.09
1071,1,337,366,8870,87.62
1072,1,337,366,8785,86.78
1073,1,337,367,8718,86.12
1074,1,337,368,8647,85.42
1075,1,337,368,8616,85.11
1076,1,337,368,8586,84.82
1077,1,338,368,8560,84.56
1078,1,338,368,8621,85.16
1079,1,338,368,8671,85.66
1080,1,338,368,8759,86.53
1081,1,338,367,8849,87.41
1082,1,338,366,8947,88.38
1083,1,338,365,9097,89.86
1084,1,339,365,9206,90.94
1085,1,339,364,9295,91.82
1086,1,339,363,9387,92.73
1087,1,339,362,9483,93.68
1088,1,339,361,9526,94.1
1089,1,339,361,9554,94.38
1090,1,339,360,9550,94.34
1091,1,339,360,9546,94.3
1092,1,339,360,9520,94.04
1093,1,339,360,9523,94.07
1094,1,339,360,9484,93.69
1095,1,340,361,9415,93.01
1096,1,339,361,9362,92.48
1097,1,339,362,9325,92.12
1098,1,340,362,9246,91.34
1099,1,339,363,9134,90.23
1100,1,339,364,9074,89.64
1101,1,339,365,9039,89.29
1102,1,339,365,8962,88.53
1103,1,339,366,8899,87.91
1104,1,339,367,8850,87.42
1105,1,339,367,8774,86.67
1106,1,339,368,8731,86.25
1107,1,339,368,8723,86.17
1108,1,338,368,8715,86.09
1109,1,338,368,8723,86.17
1110,1,338,368,8767,86.6
1111,1,338,367,8807,87.0
1112,1,338,367,8839,87.32
1113,1,338,366,8945,88.36
1114,1,337,365,8991,88.82
1115,1,337,364,9051,89.41
1116,1,337,363,9116,90.05
1117,1,337,363,9207,90.95
1118,1,337,362,9286,91.73
1119,1,337,362,9370,92.56
1120,1,336,361,9433,93.18
1121,1,336,361,9464,93.49
1122,1,336,360,9494,93.79
1123,1,336,360,9535,94.19
1124,1,336,360,9550,94.34
1125,1,336,361,9535,94.19
1126,1,336,361,9514,93.98
1127,1,336,361,9444,93.29
1128,1,336,362,9404,92.9
1129,1,336,362,9308,91.95
1130,1,336,363,9241,91.29
1131,1,336,364,9148,90.37
1132,1,336,365,9059,89.49
1133,1,336,366,8960,88.51
1134,1,336,367,8875,87.67
1135,1,336,367,8788,86.81
1136,1,337,368,8680,85.75
1137,1,337,368,8659,85.54
1138,1,337,368,8605,85.0
1139,1,337,368,8584,84.8
1140,1,337,368,8589,84.85
1141,1,337,368,8632,85.27
1142,1,337,367,8742,86.36
1143,1,337,367,8805,86.98
1144,1,338,366,8936,88.27
1145,1,338,365,9055,89.45
1146,1,338,364,9105,89.94
1147,1,338,363,9214,91.02
1148,1,338,363,9285,91.72
1149,1,338,362,9395,92.81
1150,1,338,361,9477,93.62
1151,1,338,361,9538,94.22
1152,1,338,361,9553,94.37
1153,1,339,360,9588,94.72
1154,1,339,360,9596,94.79
1155,1,339,360,9539,94.23
1156,1,339,361,9537,94.21
1157,1,339,361,9439,93.24
1158,1,339,361,9360,92.46
1159,1,339,362,9296,91.83
1160,1,339,363,9200,90.88
1161,1,339,364,9105,89.94
1162,1,339,364,8989,88.8
1163,1,339,365,8962,88.53
1164,1,339,366,8857,87.49
1165,1,339,367,8799,86.92
1166,1,339,367,8712,86.06
1167,1,339,368,8707,86.01
1168,1,339,368,8681,85.76
1169,1,339,368,8679,85.74
1170,1,339,368,8710,86.04
1171,1,339,368,8748,86.42
1172,1,339,367,8802,86.95
1173,1,338,367,8878,87.7
1174,1,338,366,8953,88.44
1175,1,338,366,9025,89.15
1176,1,338,365,9112,90.01
1177,1,338,364,9170,90.59
1178,1,338,363,9270,91.57
1179,1,338,362,9299,91.86
1180,1,337,362,9364,92.5
1181,1,337,361,9404,92.9
1182,1,337,361,9409,92.95
1183,1,337,361,9424,93.09
1184,1,337,361,9457,93.42
1185,1,337,361,9440,93.25
1186,1,337,361,9436,93.21
1187,1,337,361,9372,92.58
1188,1,337,361,9343,92.29
