frame,drop_id,cx,cy,area_px,percentage
425,1,650,75,12886,100.0
426,1,651,98,13354,103.63
427,1,651,121,13514,104.87
428,1,651,144,13684,106.19
429,1,651,168,13886,107.76
430,1,650,191,14339,111.28
431,1,650,215,14381,111.6
432,1,650,238,14613,113.4
433,1,651,262,14633,113.56
434,1,651,286,14714,114.19
435,1,651,309,14722,114.25
436,1,651,332,14187,110.1
437,1,651,343,11149,86.52
438,1,651,353,8062,62.56
439,1,651,360,5464,42.4
440,1,652,374,4948,38.4
441,1,649,386,7708,59.82
442,1,648,386,7670,59.52
443,1,649,384,8218,63.77
444,1,649,383,8831,68.53
445,1,648,381,9118,70.76
446,1,649,380,9479,73.56
447,1,649,379,9503,73.75
448,1,649,379,9980,77.45
449,1,650,376,9427,73.16
450,1,650,367,10800,83.81
451,1,649,351,12936,100.39
452,1,649,338,14839,115.16
453,1,648,326,16166,125.45
454,1,648,316,17102,132.72
455,1,648,307,17886,138.8
456,1,648,299,19125,148.42
457,1,648,289,20434,158.58
458,1,648,280,22016,170.85
459,1,647,273,23288,180.72
460,1,647,267,24208,187.86
461,1,646,262,24884,193.11
462,1,646,256,25705,199.48
463,1,646,249,25943,201.33
464,1,646,238,25457,197.56
465,1,647,263,20973,162.76
465,2,644,40,4009,31.11
466,1,647,255,19530,151.56
466,2,645,26,3511,27.25
467,1,647,244,18329,142.24
467,2,645,18,2768,21.48
468,1,646,234,17547,136.17
468,2,644,12,1684,13.07
469,1,644,6,681,5.28
470,1,645,1,105,0.81
