frame,drop_id,cx,cy,area_px,percentage
425,1,650,75,12893,100.0
426,1,650,98,13380,103.78
427,1,651,121,13541,105.03
428,1,651,144,13744,106.6
429,1,650,168,13889,107.73
430,1,650,191,14357,111.35
431,1,650,215,14399,111.68
432,1,650,238,14611,113.33
433,1,650,262,14644,113.58
434,1,651,286,14679,113.85
435,1,651,309,14678,113.84
436,1,651,332,14187,110.04
437,1,651,343,11242,87.19
438,1,651,352,8027,62.26
439,1,651,361,5511,42.74
440,1,652,380,7960,61.74
441,1,650,385,7674,59.52
442,1,648,386,7685,59.61
443,1,649,384,8290,64.3
444,1,649,383,8887,68.93
445,1,648,382,9238,71.65
446,1,650,380,9497,73.66
447,1,649,380,9782,75.87
448,1,649,379,9963,77.27
449,1,651,376,9463,73.4
450,1,650,366,10828,83.98
451,1,649,351,13018,100.97
452,1,649,338,14878,115.4
453,1,648,326,16170,125.42
454,1,648,317,17103,132.65
455,1,648,308,17962,139.32
456,1,648,299,19173,148.71
457,1,648,289,20493,158.95
458,1,647,280,22057,171.08
459,1,647,273,23296,180.69
460,1,647,267,24232,187.95
461,1,646,263,24947,193.49
462,1,646,256,25755,199.76
463,1,646,249,25914,200.99
464,1,646,238,25495,197.74
465,1,647,263,21028,163.1
465,2,644,40,4034,31.29
466,1,647,255,19486,151.14
466,2,645,26,3532,27.39
467,1,647,244,18307,141.99
467,2,645,18,2773,21.51
468,1,646,234,17504,135.76
468,2,644,12,1705,13.22
469,1,644,6,688,5.34
470,1,644,1,116,0.9
