frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
381,falling,1,627,62,6668,100.0,sam2,,,
382,falling,1,627,85,6555,98.31,sam2,23.0,68925.629,1050.295
383,falling,1,628,108,6376,95.62,sam2,23.022,68990.746,1051.288
384,falling,1,628,131,6541,98.1,sam2,23.0,68925.629,1050.295
385,falling,1,628,154,6568,98.5,sam2,23.0,68925.629,1050.295
386,falling,1,629,177,6599,98.97,sam2,23.022,68990.746,1051.288
387,falling,1,629,200,6693,100.37,sam2,23.0,68925.629,1050.295
388,falling,1,628,224,6563,98.43,sam2,24.021,71984.801,1096.911
389,falling,1,629,247,6862,102.91,sam2,23.022,68990.746,1051.288
390,falling,1,629,270,6979,104.66,sam2,23.0,68925.629,1050.295
391,falling,1,629,293,7035,105.5,sam2,23.0,68925.629,1050.295
392,falling,1,628,317,6774,101.59,sam2,24.021,71984.801,1096.911
393,falling,1,629,341,7169,107.51,sam2,24.021,71984.801,1096.911
394,spreading,1,629,363,6706,100.57,sam2,22.0,65928.863,1004.63
395,spreading,1,630,379,5981,89.7,sam2,16.031,48041.822,732.066
396,spreading,1,633,387,4843,72.63,sam2,8.544,25604.384,390.162
397,spreading,1,630,392,4795,71.91,sam2,5.831,17474.001,266.27
398,spreading,1,630,391,5108,76.6,sam2,1.0,2996.766,45.665
399,spreading,1,630,390,5529,82.92,sam2,1.0,2996.766,45.665
400,spreading,1,631,392,6290,94.33,sam2,2.236,6700.974,102.11
401,spreading,1,632,391,6103,91.53,sam2,1.414,4238.068,64.58
402,spreading,1,629,389,5961,89.4,sam2,3.606,10804.995,164.648
403,spreading,1,628,380,6572,98.56,sam2,9.055,27136.875,413.514
404,spreading,1,628,371,7033,105.47,sam2,9.0,26970.898,410.985
405,spreading,1,628,363,7518,112.75,sam2,8.0,23974.132,365.32
406,spreading,1,627,356,7985,119.75,sam2,7.071,21190.339,322.9
407,spreading,1,625,351,8754,131.28,sam2,5.385,16138.081,245.914
408,rebounding,1,624,347,9259,138.86,sam2,4.123,12355.985,188.282
409,rebounding,1,623,342,9635,144.5,sam2,5.099,15280.571,232.847
410,rebounding,1,622,340,9790,146.82,sam2,2.236,6700.974,102.11
411,rebounding,1,619,335,9524,142.83,sam2,5.831,17474.001,266.27
412,rebounding,1,617,329,9179,137.66,sam2,6.325,18953.215,288.811
413,rebounding,1,615,326,9140,137.07,sam2,3.606,10804.995,164.648
414,rebounding,1,614,323,9014,135.18,sam2,3.162,9476.608,144.405
415,rebounding,1,611,323,9238,138.54,sam2,3.0,8990.299,136.995
416,rebounding,1,609,320,9038,135.54,sam2,3.606,10804.995,164.648
417,rebounding,1,607,320,9024,135.33,sam2,2.0,5993.533,91.33
418,rebounding,1,605,323,9354,140.28,sam2,3.606,10804.995,164.648
419,rebounding,1,603,323,9369,140.51,sam2,2.0,5993.533,91.33
420,rebounding,1,602,323,9148,137.19,sam2,1.0,2996.766,45.665
421,rebounding,1,601,322,8888,133.29,sam2,1.414,4238.068,64.58
422,rebounding,1,600,324,8881,133.19,sam2,2.236,6700.974,102.11
423,rebounding,1,600,327,8819,132.26,sam2,3.0,8990.299,136.995
424,rebounding,1,599,330,8858,132.84,sam2,3.162,9476.608,144.405
425,rebounding,1,598,330,8612,129.15,sam2,1.0,2996.766,45.665
426,rebounding,1,598,331,8506,127.56,sam2,1.0,2996.766,45.665
427,rebounding,1,597,333,8342,125.1,sam2,2.236,6700.974,102.11
428,rebounding,1,597,335,8271,124.04,sam2,2.0,5993.533,91.33
429,rebounding,1,597,339,8218,123.25,sam2,4.0,11987.066,182.66
430,rebounding,1,596,341,7977,119.63,sam2,2.236,6700.974,102.11
431,rebounding,1,595,344,7789,116.81,sam2,3.162,9476.608,144.405
432,rebounding,1,593,347,7612,114.16,sam2,3.606,10804.995,164.648
433,rebounding,1,591,349,7361,110.39,sam2,2.828,8476.136,129.16
434,rebounding,1,589,354,7246,108.67,sam2,5.385,16138.081,245.914
435,rebounding,1,588,357,7159,107.36,sam2,3.162,9476.608,144.405
436,rebounding,1,588,361,6839,102.56,sam2,4.0,11987.066,182.66
437,rebounding,1,588,365,6840,102.58,sam2,4.0,11987.066,182.66
438,rebounding,1,587,368,6691,100.34,sam2,3.162,9476.608,144.405
439,rebounding,1,587,370,6583,98.73,sam2,2.0,5993.533,91.33
440,rebounding,1,585,371,6541,98.1,sam2,2.236,6700.974,102.11
441,rebounding,1,584,372,6588,98.8,sam2,1.414,4238.068,64.58
442,rebounding,1,583,375,6257,93.84,sam2,3.162,9476.608,144.405
443,rebounding,1,582,375,6357,95.34,sam2,1.0,2996.766,45.665
444,rebounding,1,581,375,6325,94.86,sam2,1.0,2996.766,45.665
445,rebounding,1,581,374,6615,99.21,sam2,1.0,2996.766,45.665
446,rebounding,1,581,373,6925,103.85,sam2,1.0,2996.766,45.665
447,rebounding,1,581,371,7177,107.63,sam2,2.0,5993.533,91.33
448,rebounding,1,580,369,7337,110.03,sam2,2.236,6700.974,102.11
449,rebounding,1,580,367,7381,110.69,sam2,2.0,5993.533,91.33
450,rebounding,1,580,366,7425,111.35,sam2,1.0,2996.766,45.665
451,rebounding,1,581,365,7194,107.89,sam2,1.414,4238.068,64.58
452,rebounding,1,581,364,7207,108.08,sam2,1.0,2996.766,45.665
453,rebounding,1,581,363,7275,109.1,sam2,1.0,2996.766,45.665
454,rebounding,1,582,362,7145,107.15,sam2,1.414,4238.068,64.58
455,rebounding,1,583,361,7291,109.34,sam2,1.414,4238.068,64.58
456,rebounding,1,584,360,7443,111.62,sam2,1.414,4238.068,64.58
457,rebounding,1,584,361,7480,112.18,sam2,1.0,2996.766,45.665
458,rebounding,1,585,362,7470,112.03,sam2,1.414,4238.068,64.58
