frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
223,falling,1,566,82,13643,100.0,sam2,,,
224,falling,1,566,104,13498,98.94,sam2,22.0,65928.863,1004.63
225,falling,1,566,127,13604,99.71,sam2,23.0,68925.629,1050.295
226,falling,1,566,151,13644,100.01,sam2,24.0,71922.396,1095.96
227,falling,1,566,174,13574,99.49,sam2,23.0,68925.629,1050.295
228,falling,1,566,198,13636,99.95,sam2,24.0,71922.396,1095.96
229,falling,1,566,221,13582,99.55,sam2,23.0,68925.629,1050.295
230,falling,1,565,244,13574,99.49,sam2,23.022,68990.746,1051.288
231,falling,1,566,268,13493,98.9,sam2,24.021,71984.801,1096.911
232,falling,1,565,291,13578,99.52,sam2,23.022,68990.746,1051.288
233,falling,1,565,316,13699,100.41,sam2,25.0,74919.162,1141.625
234,spreading,1,565,338,13441,98.52,sam2,22.0,65928.863,1004.63
235,spreading,1,566,352,11815,86.6,sam2,14.036,42061.622,640.939
236,spreading,1,567,362,10223,74.93,sam2,10.05,30117.13,458.928
237,spreading,1,567,371,9234,67.68,sam2,9.0,26970.898,410.985
238,spreading,1,572,376,8517,62.43,sam2,7.071,21190.339,322.9
239,spreading,1,566,379,9030,66.19,sam2,6.708,20102.921,306.33
240,spreading,1,568,379,8990,65.89,sam2,2.0,5993.533,91.33
241,spreading,1,566,377,9872,72.36,sam2,2.828,8476.136,129.16
242,spreading,1,564,374,10644,78.02,sam2,3.606,10804.995,164.648
243,spreading,1,565,375,10098,74.02,sam2,1.414,4238.068,64.58
244,spreading,1,567,377,10005,73.33,sam2,2.828,8476.136,129.16
245,spreading,1,567,378,9428,69.11,sam2,1.0,2996.766,45.665
246,rebounding,1,566,378,9577,70.2,sam2,1.0,2996.766,45.665
247,rebounding,1,567,376,10143,74.35,sam2,2.236,6700.974,102.11
248,rebounding,1,566,374,10487,76.87,sam2,2.236,6700.974,102.11
249,rebounding,1,565,372,10683,78.3,sam2,2.236,6700.974,102.11
250,rebounding,1,564,368,11052,81.01,sam2,4.123,12355.985,188.282
251,rebounding,1,563,362,11808,86.55,sam2,6.083,18228.619,277.769
252,rebounding,1,562,357,12186,89.32,sam2,5.099,15280.571,232.847
253,rebounding,1,561,353,12476,91.45,sam2,4.123,12355.985,188.282
254,rebounding,1,561,350,12800,93.82,sam2,3.0,8990.299,136.995
255,rebounding,1,562,347,12842,94.13,sam2,3.162,9476.608,144.405
256,rebounding,1,562,345,13085,95.91,sam2,2.0,5993.533,91.33
257,rebounding,1,560,343,13110,96.09,sam2,2.828,8476.136,129.16
258,rebounding,1,559,342,13312,97.57,sam2,1.414,4238.068,64.58
259,rebounding,1,558,341,13503,98.97,sam2,1.414,4238.068,64.58
260,rebounding,1,557,340,13526,99.14,sam2,1.414,4238.068,64.58
261,rebounding,1,556,340,13504,98.98,sam2,1.0,2996.766,45.665
262,rebounding,1,555,341,13491,98.89,sam2,1.414,4238.068,64.58
263,rebounding,1,555,342,13391,98.15,sam2,1.0,2996.766,45.665
264,rebounding,1,554,343,13388,98.13,sam2,1.414,4238.068,64.58
265,rebounding,1,554,345,13202,96.77,sam2,2.0,5993.533,91.33
266,rebounding,1,553,346,13019,95.43,sam2,1.414,4238.068,64.58
267,rebounding,1,555,372,19501,142.94,sam2,26.077,78146.109,1190.798
268,rebounding,1,554,374,19405,142.23,sam2,2.236,6700.974,102.11
269,rebounding,1,553,376,19409,142.26,sam2,2.236,6700.974,102.11
270,rebounding,1,552,378,19324,141.64,sam2,2.236,6700.974,102.11
271,rebounding,1,551,379,18647,136.68,sam2,1.414,4238.068,64.58
272,rebounding,1,550,382,18330,134.35,sam2,3.162,9476.608,144.405
273,rebounding,1,550,385,17998,131.92,sam2,3.0,8990.299,136.995
274,rebounding,1,550,389,17403,127.56,sam2,4.0,11987.066,182.66
275,rebounding,1,551,391,16839,123.43,sam2,2.236,6700.974,102.11
276,rebounding,1,551,374,9321,68.32,sam2,17.0,50945.03,776.305
277,rebounding,1,552,376,9008,66.03,sam2,2.236,6700.974,102.11
278,rebounding,1,550,395,16473,120.74,sam2,19.105,57253.143,872.429
279,rebounding,1,551,396,16459,120.64,sam2,1.414,4238.068,64.58
280,rebounding,1,551,396,16803,123.16,sam2,0.0,0.0,0.0
281,rebounding,1,551,397,17238,126.35,sam2,1.0,2996.766,45.665
282,rebounding,1,551,397,17341,127.11,sam2,0.0,0.0,0.0
283,rebounding,1,551,397,17349,127.16,sam2,0.0,0.0,0.0
284,rebounding,1,550,397,17143,125.65,sam2,1.0,2996.766,45.665
285,rebounding,1,550,395,16906,123.92,sam2,2.0,5993.533,91.33
286,rebounding,1,549,394,17147,125.68,sam2,1.414,4238.068,64.58
287,rebounding,1,550,393,17539,128.56,sam2,1.414,4238.068,64.58
288,rebounding,1,552,391,17612,129.09,sam2,2.828,8476.136,129.16
289,rebounding,1,553,390,17766,130.22,sam2,1.414,4238.068,64.58
290,rebounding,1,555,389,17712,129.82,sam2,2.236,6700.974,102.11
291,rebounding,1,556,387,17653,129.39,sam2,2.236,6700.974,102.11
292,rebounding,1,557,386,17491,128.2,sam2,1.414,4238.068,64.58
293,rebounding,1,557,386,17496,128.24,sam2,0.0,0.0,0.0
294,rebounding,1,558,385,17628,129.21,sam2,1.414,4238.068,64.58
295,rebounding,1,559,385,17635,129.26,sam2,1.0,2996.766,45.665
296,rebounding,1,560,385,17638,129.28,sam2,1.0,2996.766,45.665
297,rebounding,1,561,385,17127,125.54,sam2,1.0,2996.766,45.665
298,rebounding,1,562,386,17075,125.16,sam2,1.414,4238.068,64.58
299,rebounding,1,563,387,17252,126.45,sam2,1.414,4238.068,64.58
300,rebounding,1,564,389,17467,128.03,sam2,2.236,6700.974,102.11
301,rebounding,1,565,390,17301,126.81,sam2,1.414,4238.068,64.58
302,rebounding,1,565,391,17066,125.09,sam2,1.0,2996.766,45.665
303,rebounding,1,565,392,16957,124.29,sam2,1.0,2996.766,45.665
304,rebounding,1,565,392,16686,122.3,sam2,0.0,0.0,0.0
305,rebounding,1,564,393,16661,122.12,sam2,1.414,4238.068,64.58
306,rebounding,1,564,393,16436,120.47,sam2,0.0,0.0,0.0
307,rebounding,1,564,394,16622,121.84,sam2,1.0,2996.766,45.665
308,rebounding,1,564,394,16484,120.82,sam2,0.0,0.0,0.0
309,rebounding,1,563,394,16523,121.11,sam2,1.0,2996.766,45.665
310,rebounding,1,562,394,16535,121.2,sam2,1.0,2996.766,45.665
311,rebounding,1,561,394,16593,121.62,sam2,1.0,2996.766,45.665
