frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
481,falling,1,658,74,10333,100.0,sam2,,,
482,falling,1,658,97,10255,99.25,sam2,23.0,68925.629,1050.295
483,falling,1,659,121,10085,97.6,sam2,24.021,71984.801,1096.911
484,falling,1,659,144,10428,100.92,sam2,23.0,68925.629,1050.295
485,falling,1,658,168,9990,96.68,sam2,24.021,71984.801,1096.911
486,falling,1,659,192,10395,100.6,sam2,24.021,71984.801,1096.911
487,falling,1,659,216,10446,101.09,sam2,24.0,71922.396,1095.96
488,falling,1,659,240,10507,101.68,sam2,24.0,71922.396,1095.96
489,falling,1,658,264,10475,101.37,sam2,24.021,71984.801,1096.911
490,falling,1,658,288,10546,102.06,sam2,24.0,71922.396,1095.96
491,falling,1,658,313,10143,98.16,sam2,25.0,74919.162,1141.625
492,spreading,1,658,339,10607,102.65,sam2,26.0,77915.929,1187.29
493,spreading,1,658,358,10014,96.91,sam2,19.0,56938.563,867.635
494,spreading,1,658,372,8625,83.47,sam2,14.0,41954.731,639.31
495,spreading,1,660,382,7699,74.51,sam2,10.198,30561.142,465.694
496,spreading,1,660,389,6981,67.56,sam2,7.0,20977.365,319.655
497,spreading,1,659,392,6776,65.58,sam2,3.162,9476.608,144.405
498,spreading,1,659,390,6949,67.25,sam2,2.0,5993.533,91.33
499,spreading,1,659,390,7341,71.04,sam2,0.0,0.0,0.0
500,spreading,1,659,389,7592,73.47,sam2,1.0,2996.766,45.665
501,spreading,1,660,388,7571,73.27,sam2,1.414,4238.068,64.58
502,spreading,1,660,388,7757,75.07,sam2,0.0,0.0,0.0
503,rebounding,1,660,386,7786,75.35,sam2,2.0,5993.533,91.33
504,rebounding,1,659,384,7291,70.56,sam2,2.236,6700.974,102.11
505,rebounding,1,659,383,7242,70.09,sam2,1.0,2996.766,45.665
506,rebounding,1,659,380,7629,73.83,sam2,3.0,8990.299,136.995
507,rebounding,1,659,373,8748,84.66,sam2,7.0,20977.365,319.655
508,rebounding,1,657,350,11161,108.01,sam2,23.087,69185.727,1054.259
509,rebounding,1,657,340,12327,119.3,sam2,10.0,29967.665,456.65
510,rebounding,1,657,330,13052,126.31,sam2,10.0,29967.665,456.65
511,rebounding,1,657,320,13920,134.71,sam2,10.0,29967.665,456.65
512,rebounding,1,657,312,14701,142.27,sam2,8.0,23974.132,365.32
513,rebounding,1,658,303,15166,146.77,sam2,9.055,27136.875,413.514
514,rebounding,1,658,296,15863,153.52,sam2,7.0,20977.365,319.655
515,rebounding,1,658,287,16275,157.51,sam2,9.0,26970.898,410.985
516,rebounding,1,658,281,16992,164.44,sam2,6.0,17980.599,273.99
517,rebounding,1,658,276,16777,162.36,sam2,5.0,14983.832,228.325
518,rebounding,1,660,306,14360,138.97,sam2,30.067,90102.558,1372.991
518,rebounding,2,646,40,1523,14.74,sam2,,,
519,rebounding,1,660,304,14235,137.76,sam2,2.0,5993.533,91.33
519,rebounding,2,645,13,551,5.33,sam2,27.019,80968.172,1233.801
520,rebounding,1,660,302,14186,137.29,sam2,2.0,5993.533,91.33
521,rebounding,1,660,299,14640,141.68,sam2,3.0,8990.299,136.995
522,rebounding,1,660,297,15325,148.31,sam2,2.0,5993.533,91.33
523,rebounding,1,660,295,15721,152.14,sam2,2.0,5993.533,91.33
524,rebounding,1,659,316,19624,189.92,sam2,21.024,63003.407,960.052
525,rebounding,1,659,314,19597,189.65,sam2,2.0,5993.533,91.33
526,rebounding,1,660,366,9732,94.18,sam2,52.01,155860.67,2375.02
526,rebounding,2,658,155,2348,22.72,sam2,142.594,61045.773,930.221
526,rebounding,3,653,72,1691,16.37,sam2,,,
527,rebounding,1,660,374,10105,97.79,sam2,8.0,23974.132,365.32
527,rebounding,2,657,133,646,6.25,sam2,22.023,65996.936,1005.668
528,rebounding,1,659,385,11562,111.89,sam2,11.045,33100.368,504.387
529,rebounding,1,659,378,8596,83.19,sam2,7.0,20977.365,319.655
530,rebounding,1,658,391,11719,113.41,sam2,13.038,39073.055,595.399
531,rebounding,1,658,393,11993,116.07,sam2,2.0,5993.533,91.33
532,rebounding,1,658,394,12297,119.01,sam2,1.0,2996.766,45.665
533,rebounding,1,659,393,12025,116.37,sam2,1.414,4238.068,64.58
534,rebounding,1,658,394,12102,117.12,sam2,1.414,4238.068,64.58
535,rebounding,1,658,393,11919,115.35,sam2,1.0,2996.766,45.665
536,rebounding,1,658,393,12124,117.33,sam2,0.0,0.0,0.0
537,rebounding,1,657,391,12036,116.48,sam2,2.236,6700.974,102.11
538,rebounding,1,656,391,12146,117.55,sam2,1.0,2996.766,45.665
539,rebounding,1,654,388,11922,115.38,sam2,3.606,10804.995,164.648
540,rebounding,1,652,388,12677,122.68,sam2,2.0,5993.533,91.33
541,rebounding,1,652,386,12828,124.15,sam2,2.0,5993.533,91.33
542,rebounding,1,650,386,13142,127.18,sam2,2.0,5993.533,91.33
543,rebounding,1,650,385,13379,129.48,sam2,1.0,2996.766,45.665
544,rebounding,1,650,384,13551,131.14,sam2,1.0,2996.766,45.665
545,rebounding,1,651,384,13524,130.88,sam2,1.0,2996.766,45.665
546,rebounding,1,651,383,13507,130.72,sam2,1.0,2996.766,45.665
547,rebounding,1,651,384,13336,129.06,sam2,1.0,2996.766,45.665
548,rebounding,1,652,384,13171,127.47,sam2,1.0,2996.766,45.665
