frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
641,falling,1,364,70,10123,100.0,sam2,,,
642,falling,1,364,94,9985,98.64,sam2,24.0,71922.396,1095.96
643,falling,1,363,118,10254,101.29,sam2,24.021,71984.801,1096.911
644,falling,1,363,142,10254,101.29,sam2,24.0,71922.396,1095.96
645,falling,1,362,166,10298,101.73,sam2,24.021,71984.801,1096.911
646,falling,1,362,191,10329,102.03,sam2,25.0,74919.162,1141.625
647,falling,1,361,216,10450,103.23,sam2,25.02,74979.074,1142.538
648,falling,1,361,240,10577,104.48,sam2,24.0,71922.396,1095.96
649,falling,1,360,265,10683,105.53,sam2,25.02,74979.074,1142.538
650,falling,1,359,289,10698,105.68,sam2,24.021,71984.801,1096.911
651,falling,1,359,313,10881,107.49,sam2,24.0,71922.396,1095.96
652,spreading,1,358,338,10701,105.71,sam2,25.02,74979.074,1142.538
653,spreading,1,358,356,9517,94.01,sam2,18.0,53941.797,821.97
654,spreading,1,358,372,8358,82.56,sam2,16.0,47948.264,730.64
655,spreading,1,364,380,6480,64.01,sam2,10.0,29967.665,456.65
656,spreading,1,360,388,6402,63.24,sam2,8.944,26803.894,408.44
657,spreading,1,356,392,6610,65.3,sam2,5.657,16952.271,258.32
658,spreading,1,355,390,6253,61.77,sam2,2.236,6700.974,102.11
659,spreading,1,354,389,7183,70.96,sam2,1.414,4238.068,64.58
660,spreading,1,353,390,8040,79.42,sam2,1.414,4238.068,64.58
661,spreading,1,351,387,7705,76.11,sam2,3.606,10804.995,164.648
662,spreading,1,348,384,7734,76.4,sam2,4.243,12714.203,193.74
663,rebounding,1,347,382,7758,76.64,sam2,2.236,6700.974,102.11
664,rebounding,1,347,380,7859,77.64,sam2,2.0,5993.533,91.33
665,rebounding,1,349,372,8817,87.1,sam2,8.246,24711.97,376.563
666,rebounding,1,348,363,11049,109.15,sam2,9.055,27136.875,413.514
667,rebounding,1,350,365,15285,150.99,sam2,2.828,8476.136,129.16
668,rebounding,1,351,356,16278,160.8,sam2,9.055,27136.875,413.514
669,rebounding,1,351,346,17499,172.86,sam2,10.0,29967.665,456.65
670,rebounding,1,350,324,16054,158.59,sam2,22.023,65996.936,1005.668
671,rebounding,1,348,311,15752,155.61,sam2,13.153,39416.309,600.629
672,rebounding,1,348,321,18769,185.41,sam2,10.0,29967.665,456.65
673,rebounding,1,348,292,15970,157.76,sam2,29.0,86906.228,1324.285
674,rebounding,1,347,279,15572,153.83,sam2,13.038,39073.055,595.399
675,rebounding,1,348,324,17094,168.86,sam2,45.011,134887.785,2055.433
675,rebounding,2,343,68,1715,16.94,sam2,,,
676,rebounding,1,348,320,16953,167.47,sam2,4.0,11987.066,182.66
676,rebounding,2,342,43,1389,13.72,sam2,25.02,74979.074,1142.538
677,rebounding,1,348,301,14470,142.94,sam2,19.0,56938.563,867.635
678,rebounding,1,348,296,14500,143.24,sam2,5.0,14983.832,228.325
679,rebounding,1,348,296,14997,148.15,sam2,0.0,0.0,0.0
680,rebounding,1,346,312,17749,175.33,sam2,16.125,48321.408,736.326
681,rebounding,1,346,292,15381,151.94,sam2,20.0,59935.33,913.3
682,rebounding,1,344,343,11058,109.24,sam2,51.039,152952.566,2330.706
682,rebounding,2,347,160,4335,42.82,sam2,117.107,58490.283,891.281
683,rebounding,1,344,342,11260,111.23,sam2,1.0,2996.766,45.665
683,rebounding,2,346,146,3779,37.33,sam2,14.036,42061.622,640.939
684,rebounding,1,344,353,13510,133.46,sam2,11.0,32964.431,502.315
684,rebounding,2,351,172,1817,17.95,sam2,26.476,79343.602,1209.045
684,rebounding,3,343,101,1564,15.45,sam2,,,
685,rebounding,1,344,342,11742,115.99,sam2,11.0,32964.431,502.315
685,rebounding,2,351,153,464,4.58,sam2,19.0,56938.563,867.635
686,rebounding,1,344,342,11667,115.25,sam2,0.0,0.0,0.0
687,rebounding,1,344,347,12214,120.66,sam2,5.0,14983.832,228.325
688,rebounding,1,344,349,12377,122.27,sam2,2.0,5993.533,91.33
689,rebounding,1,342,350,12050,119.04,sam2,2.236,6700.974,102.11
690,rebounding,1,341,347,11205,110.69,sam2,3.162,9476.608,144.405
691,rebounding,1,341,345,10474,103.47,sam2,2.0,5993.533,91.33
692,rebounding,1,340,346,10138,100.15,sam2,1.414,4238.068,64.58
693,rebounding,1,339,348,9782,96.63,sam2,2.236,6700.974,102.11
694,rebounding,1,339,349,9445,93.3,sam2,1.0,2996.766,45.665
695,rebounding,1,339,351,9252,91.4,sam2,2.0,5993.533,91.33
696,rebounding,1,340,352,9100,89.89,sam2,1.414,4238.068,64.58
697,rebounding,1,340,353,8990,88.81,sam2,1.0,2996.766,45.665
698,rebounding,1,339,356,9016,89.06,sam2,3.162,9476.608,144.405
699,rebounding,1,338,358,8943,88.34,sam2,2.236,6700.974,102.11
700,rebounding,1,338,361,8855,87.47,sam2,3.0,8990.299,136.995
701,rebounding,1,337,363,8777,86.7,sam2,2.236,6700.974,102.11
702,rebounding,1,337,364,8637,85.32,sam2,1.0,2996.766,45.665
703,rebounding,1,336,366,8576,84.72,sam2,2.236,6700.974,102.11
704,rebounding,1,336,368,8506,84.03,sam2,2.0,5993.533,91.33
705,rebounding,1,335,369,8561,84.57,sam2,1.414,4238.068,64.58
706,rebounding,1,335,370,8579,84.75,sam2,1.0,2996.766,45.665
707,rebounding,1,334,370,8669,85.64,sam2,1.0,2996.766,45.665
708,rebounding,1,334,370,8763,86.57,sam2,0.0,0.0,0.0
709,rebounding,1,335,370,8801,86.94,sam2,1.0,2996.766,45.665
710,rebounding,1,335,369,8971,88.62,sam2,1.0,2996.766,45.665
711,rebounding,1,335,367,9043,89.33,sam2,2.0,5993.533,91.33
