frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
425,falling,1,650,75,12893,100.0,sam2,,,
426,falling,1,650,98,13380,103.78,sam2,23.0,68925.629,1050.295
427,falling,1,651,121,13541,105.03,sam2,23.022,68990.746,1051.288
428,falling,1,651,144,13744,106.6,sam2,23.0,68925.629,1050.295
429,falling,1,650,168,13889,107.73,sam2,24.021,71984.801,1096.911
430,falling,1,650,191,14357,111.35,sam2,23.0,68925.629,1050.295
431,falling,1,650,215,14399,111.68,sam2,24.0,71922.396,1095.96
432,falling,1,650,238,14611,113.33,sam2,23.0,68925.629,1050.295
433,falling,1,650,262,14644,113.58,sam2,24.0,71922.396,1095.96
434,falling,1,651,286,14679,113.85,sam2,24.021,71984.801,1096.911
435,falling,1,651,309,14678,113.84,sam2,23.0,68925.629,1050.295
436,spreading,1,651,332,14187,110.04,sam2,23.0,68925.629,1050.295
437,spreading,1,651,343,11242,87.19,sam2,11.0,32964.431,502.315
438,spreading,1,651,352,8027,62.26,sam2,9.0,26970.898,410.985
439,spreading,1,651,361,5511,42.74,sam2,9.0,26970.898,410.985
440,spreading,1,652,380,7960,61.74,sam2,19.026,57017.371,868.836
441,spreading,1,650,385,7674,59.52,sam2,5.385,16138.081,245.914
442,spreading,1,648,386,7685,59.61,sam2,2.236,6700.974,102.11
443,spreading,1,649,384,8290,64.3,sam2,2.236,6700.974,102.11
444,spreading,1,649,383,8887,68.93,sam2,1.0,2996.766,45.665
445,spreading,1,648,382,9238,71.65,sam2,1.414,4238.068,64.58
446,spreading,1,650,380,9497,73.66,sam2,2.828,8476.136,129.16
447,rebounding,1,649,380,9782,75.87,sam2,1.0,2996.766,45.665
448,rebounding,1,649,379,9963,77.27,sam2,1.0,2996.766,45.665
449,rebounding,1,651,376,9463,73.4,sam2,3.606,10804.995,164.648
450,rebounding,1,650,366,10828,83.98,sam2,10.05,30117.13,458.928
451,rebounding,1,649,351,13018,100.97,sam2,15.033,45051.279,686.496
452,rebounding,1,649,338,14878,115.4,sam2,13.0,38957.964,593.645
453,rebounding,1,648,326,16170,125.42,sam2,12.042,36085.847,549.88
454,rebounding,1,648,317,17103,132.65,sam2,9.0,26970.898,410.985
455,rebounding,1,648,308,17962,139.32,sam2,9.0,26970.898,410.985
456,rebounding,1,648,299,19173,148.71,sam2,9.0,26970.898,410.985
457,rebounding,1,648,289,20493,158.95,sam2,10.0,29967.665,456.65
458,rebounding,1,647,280,22057,171.08,sam2,9.055,27136.875,413.514
459,rebounding,1,647,273,23296,180.69,sam2,7.0,20977.365,319.655
460,rebounding,1,647,267,24232,187.95,sam2,6.0,17980.599,273.99
461,rebounding,1,646,263,24947,193.49,sam2,4.123,12355.985,188.282
462,rebounding,1,646,256,25755,199.76,sam2,7.0,20977.365,319.655
463,rebounding,1,646,249,25914,200.99,sam2,7.0,20977.365,319.655
464,rebounding,1,646,238,25495,197.74,sam2,11.0,32964.431,502.315
465,rebounding,1,647,263,21028,163.1,sam2,25.02,74979.074,1142.538
465,rebounding,2,644,40,4034,31.29,sam2,,,
466,rebounding,1,647,255,19486,151.14,sam2,8.0,23974.132,365.32
466,rebounding,2,645,26,3532,27.39,sam2,14.036,42061.622,640.939
467,rebounding,1,647,244,18307,141.99,sam2,11.0,32964.431,502.315
467,rebounding,2,645,18,2773,21.51,sam2,8.0,23974.132,365.32
468,rebounding,1,646,234,17504,135.76,sam2,10.05,30117.13,458.928
468,rebounding,2,644,12,1705,13.22,sam2,6.083,18228.619,277.769
469,rebounding,1,644,6,688,5.34,sam2,228.009,683289.046,10412.024
470,rebounding,1,644,1,116,0.9,sam2,5.0,14983.832,228.325
471,rebounding,1,,,,,null,,,
472,rebounding,1,,,,,null,,,
473,rebounding,1,,,,,null,,,
474,rebounding,1,,,,,null,,,
475,rebounding,1,,,,,null,,,
476,rebounding,1,,,,,null,,,
477,rebounding,1,,,,,null,,,
478,rebounding,1,,,,,null,,,
479,rebounding,1,,,,,null,,,
480,rebounding,1,,,,,null,,,
481,rebounding,1,,,,,null,,,
482,rebounding,1,,,,,null,,,
483,rebounding,1,,,,,null,,,
484,rebounding,1,,,,,null,,,
485,rebounding,1,,,,,null,,,
486,rebounding,1,,,,,null,,,
487,rebounding,1,,,,,null,,,
488,rebounding,1,,,,,null,,,
489,rebounding,1,,,,,null,,,
490,rebounding,1,,,,,null,,,
491,rebounding,1,,,,,null,,,
492,rebounding,1,,,,,null,,,
493,rebounding,1,,,,,null,,,
494,rebounding,1,,,,,null,,,
495,rebounding,1,,,,,null,,,
496,rebounding,1,,,,,null,,,
497,rebounding,1,,,,,null,,,
498,rebounding,1,,,,,null,,,
499,rebounding,1,,,,,null,,,
500,rebounding,1,,,,,null,,,
501,rebounding,1,,,,,null,,,
502,rebounding,1,,,,,null,,,
