frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
195,1,falling,2830.5,102.599,3,135,1189.1,341.8,120.652,63.99,28.9,0.1,141.7,1156.0,406.0,28.9,63.99,1.885,0.248,0.624,0,87.867,1.3389,0.751,0.0,86.2,,,65.625,
196,2,falling,3382.0,97.748,3,135,1207.3,341.8,157.539,36.772,10.9,0.111,133.4,1208.0,272.0,10.9,36.772,4.284,0.174,0.789,0,76.112,1.1598,0.6505,0.3337,86.2,18.2,54541.15,65.625,831.1
200,3,falling,3223.0,100.253,3,138,1208.5,89.9,166.76,35.852,170.5,0.117,132.8,1205.0,165.0,170.5,35.852,4.651,0.148,0.795,0,77.322,1.1782,0.6608,1.6685,338.1,251.903,754894.04,65.625,11503.15
201,4,falling,2753.5,94.584,3,136,1208.8,86.9,138.828,35.132,169.7,0.147,115.7,1202.0,150.0,169.7,35.132,3.952,0.182,0.808,0,69.838,1.0642,0.5969,2.0022,341.1,3.015,9035.14,65.625,137.68
202,5,falling,4019.0,99.58,3,137,1222.5,220.4,191.773,39.364,0.3,0.141,140.1,1208.0,149.0,0.3,39.364,4.872,0.139,0.811,0,86.885,1.324,0.7426,2.3359,207.6,134.201,402169.41,65.625,6128.3
205,6,falling,3851.0,102.544,3,138,1221.2,173.1,180.305,39.464,176.7,0.126,146.3,1210.0,248.0,176.7,39.464,4.569,0.151,0.775,0,84.354,1.2854,0.7209,3.3369,254.9,47.318,141800.58,65.625,2160.77
207,7,falling,3752.5,104.547,3,138,1220.2,250.8,197.837,35.542,3.0,0.108,146.2,1203.0,319.0,3.0,35.542,5.566,0.122,0.8,0,83.854,1.2778,0.7167,4.0043,177.2,77.706,232868.04,65.625,3548.47
209,8,falling,3552.5,105.153,3,137,1220.0,193.6,187.763,36.569,178.5,0.121,150.1,1205.0,270.0,178.5,36.569,5.135,0.128,0.778,0,82.863,1.2627,0.7082,4.6717,234.4,57.2,171416.09,65.625,2612.05
210,9,falling,5571.0,98.04,3,136,1189.6,330.1,152.59,97.303,31.4,0.087,181.5,1148.0,410.0,31.4,97.303,1.568,0.305,0.632,0,121.85,1.8568,1.0414,5.0054,97.9,139.844,419080.52,65.625,6385.99
211,10,falling,7000.5,97.601,3,138,1150.2,332.1,189.997,141.525,39.0,0.083,204.9,1211.0,234.0,39.0,141.525,1.342,0.247,0.584,0,163.979,2.4987,1.4015,5.3391,95.9,39.451,118224.62,65.625,1801.52
212,11,falling,5066.0,102.395,3,139,1218.0,293.3,225.521,42.633,8.2,0.103,173.7,1186.0,363.0,8.2,42.633,5.29,0.127,0.783,0,98.054,1.4942,0.838,5.6728,134.7,78.117,234098.68,65.625,3567.22
213,12,falling,3843.5,103.42,3,137,1221.3,223.1,203.287,37.479,0.1,0.13,145.0,1207.0,294.0,0.1,37.479,5.424,0.118,0.797,0,87.287,1.3301,0.746,6.0065,204.9,70.278,210605.32,65.625,3209.22
215,13,falling,6017.0,97.531,3,138,1221.4,277.8,256.773,48.542,5.4,0.093,176.9,1188.0,358.0,5.4,48.542,5.29,0.116,0.79,0,111.644,1.7012,0.9542,6.6739,150.2,54.7,163923.4,65.625,2497.88
216,14,falling,4790.0,100.83,3,139,1218.2,305.0,219.774,41.47,8.2,0.17,163.9,1186.0,368.0,8.2,41.47,5.3,0.126,0.832,0,95.467,1.4547,0.8159,7.0076,123.0,27.388,82074.21,65.625,1250.65
217,15,falling,5954.5,98.447,3,138,1215.1,100.9,231.894,49.312,171.4,0.113,175.4,1208.0,197.0,171.4,49.312,4.703,0.141,0.781,0,106.935,1.6295,0.9139,7.3412,327.1,204.124,611710.59,65.625,9321.3
218,16,falling,5087.5,98.774,3,139,1217.9,292.6,212.044,45.409,6.6,0.133,164.2,1185.0,368.0,6.6,45.409,4.67,0.144,0.76,0,98.126,1.4953,0.8386,7.6749,135.4,191.72,574541.41,65.625,8754.92
220,17,falling,3330.5,95.639,3,139,1206.7,78.6,143.828,38.886,167.7,0.161,125.2,1206.0,146.0,167.7,38.886,3.699,0.205,0.834,0,74.786,1.1396,0.6392,8.3423,349.4,214.293,642185.73,65.625,9785.69
222,18,falling,2534.0,98.595,3,135,1203.9,83.2,127.791,33.585,167.6,0.148,114.8,1203.0,145.0,167.6,33.585,3.805,0.198,0.805,0,65.513,0.9983,0.5599,9.0097,344.8,5.385,16138.08,65.625,245.91
224,19,falling,11120.0,41.708,2,101,566.0,104.0,119.087,119.087,0.0,0.893,120.0,602.0,56.0,0.0,119.087,1.0,0.998,0.99,0,119.087,1.8147,1.0178,9.6771,324.0,638.239,1912653.31,65.625,29145.19
225,20,falling,12557.5,83.253,3,162,566.3,126.9,131.802,121.403,178.3,0.713,133.9,586.0,63.0,178.3,121.403,1.086,0.92,0.981,0,126.495,1.9275,1.0811,10.0108,301.1,22.902,68631.84,65.625,1045.82
227,21,falling,4914.5,101.736,3,138,1218.8,266.9,219.206,43.517,3.4,0.187,162.4,1193.0,342.0,3.4,43.517,5.037,0.13,0.817,0,97.669,1.4883,0.8347,10.6782,161.1,667.35,1999892.63,65.625,30474.55
228,22,falling,12347.5,92.347,2,163,566.3,198.0,129.47,121.97,173.4,0.748,130.0,596.0,256.0,173.4,121.97,1.061,0.938,0.983,0,125.664,1.9149,1.074,11.0119,230.0,656.128,1966261.28,65.625,29962.08
229,23,falling,10746.0,42.604,2,103,568.0,222.0,117.005,117.005,0.0,0.888,117.9,583.0,165.0,0.0,117.005,1.0,0.999,0.99,0,117.005,1.7829,1.0,11.3456,206.0,24.06,72102.6,65.625,1098.71
230,24,falling,11508.0,42.315,3,100,566.0,246.0,121.113,121.113,0.0,0.888,122.0,577.0,186.0,0.0,121.113,1.0,0.999,0.99,0,121.113,1.8455,1.0351,11.6793,182.0,24.083,72171.69,65.625,1099.76
231,25,falling,2821.0,104.297,3,138,1212.9,147.1,153.592,34.065,175.1,0.075,131.5,1202.0,216.0,175.1,34.065,4.509,0.152,0.726,0,72.333,1.1022,0.6182,12.0129,280.9,654.416,1961133.13,65.625,29883.93
232,26,falling,3582.0,103.167,3,139,1221.0,213.4,180.717,37.081,0.2,0.117,136.0,1204.0,283.0,0.2,37.081,4.874,0.14,0.807,0,81.861,1.2474,0.6996,12.3466,214.6,66.793,200162.92,65.625,3050.1
234,1,spreading,,,,,,428,,,,,,,,,,,0.0,,95,,,0.8119,13.014,0,,,65.625,
235,2,spreading,,,,,,428,,,,,,,,,,,0.0,,156,,,1.3333,13.3477,0,,,65.625,
236,3,spreading,,,,,,428,,,,,,,,,,,0.0,,205,,,1.7521,13.6814,0,,,65.625,
237,4,spreading,,,,,,428,,,,,,,,,,,0.0,,236,,,2.017,14.0151,0,,,65.625,
238,5,spreading,,,,,,428,,,,,,,,,,,0.0,,258,,,2.205,14.3488,0,,,65.625,
239,6,spreading,,,,,,428,,,,,,,,,,,0.0,,273,,,2.3332,14.6825,0,,,65.625,
240,7,spreading,,,,,,428,,,,,,,,,,,0.0,,281,,,2.4016,15.0162,0,,,65.625,
241,8,spreading,,,,,,428,,,,,,,,,,,0.0,,283,,,2.4187,15.3499,0,,,65.625,
242,9,spreading,,,,,,428,,,,,,,,,,,0.0,,279,,,2.3845,15.6836,0,,,65.625,
