frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
584,1,falling,1518.5,91.075,3,125,1198.1,85.3,93.078,26.59,172.4,0.147,83.9,1194.0,129.0,172.4,26.59,3.5,0.223,0.797,0,49.749,0.7581,0.6499,0.0,336.7,,,65.625,
585,2,falling,2614.0,105.065,3,131,1209.9,187.9,148.574,31.347,177.9,0.14,130.1,1202.0,256.0,177.9,31.347,4.74,0.151,0.733,0,68.244,1.0399,0.8915,0.3337,234.1,103.276,309495.04,65.625,4716.11
586,3,falling,2919.0,99.942,3,132,1212.3,258.1,177.689,32.567,3.8,0.148,128.2,1193.0,318.0,3.8,32.567,5.456,0.118,0.804,0,76.07,1.1592,0.9938,0.6674,163.9,70.241,210495.92,65.625,3207.56
587,4,falling,2801.5,105.499,3,133,1212.4,224.0,157.049,29.924,1.0,0.157,131.1,1204.0,157.0,1.0,29.924,5.248,0.145,0.847,0,68.553,1.0446,0.8956,1.0011,198.0,34.1,102190.18,65.625,1557.18
589,5,falling,1926.0,97.37,3,130,1201.4,105.8,112.004,28.752,170.1,0.137,102.6,1200.0,161.0,170.1,28.752,3.895,0.195,0.768,0,56.748,0.8647,0.7413,1.6685,316.2,118.711,355748.37,65.625,5420.93
591,6,falling,3507.5,94.495,3,133,1204.8,97.6,165.477,38.792,169.0,0.119,130.9,1200.0,169.0,169.0,38.792,4.266,0.163,0.774,0,80.12,1.2209,1.0467,2.3359,324.4,8.877,26602.11,65.625,405.37
603,7,falling,2780.5,95.1,3,129,1086.3,327.6,226.05,194.935,94.6,0.085,132.4,1137.0,413.0,94.6,194.935,1.16,0.069,0.541,0,209.917,3.1987,2.7423,6.3402,94.4,258.732,775359.4,65.625,11815.0
604,8,falling,3961.0,104.571,3,133,1208.7,138.4,201.965,35.929,174.9,0.151,161.5,1201.0,227.0,174.9,35.929,5.621,0.124,0.785,0,85.185,1.2981,1.1128,6.6739,283.6,225.341,675293.25,65.625,10290.18
606,9,falling,1876.0,103.49,3,133,1210.3,222.5,121.914,25.882,179.7,0.14,110.0,1198.0,278.0,179.7,25.882,4.71,0.161,0.774,0,56.172,0.856,0.7338,7.3412,199.5,84.115,252073.67,65.625,3841.12
608,10,falling,3243.5,99.28,3,133,1208.9,286.1,178.494,34.492,6.5,0.144,135.1,1201.0,214.0,6.5,34.492,5.175,0.13,0.793,0,78.464,1.1956,1.025,8.0086,135.9,63.615,190640.52,65.625,2905.0
613,11,falling,2832.5,97.027,3,128,1197.3,92.4,124.47,38.32,165.8,0.121,122.8,1202.0,155.0,165.8,38.32,3.248,0.233,0.761,0,69.062,1.0524,0.9022,9.6771,329.6,194.047,581513.64,65.625,8861.16
614,12,falling,6141.0,47.335,1,151,769.8,108.1,92.323,84.73,110.4,0.788,94.0,812.0,127.0,110.4,84.73,1.09,0.917,0.98,0,88.445,1.3477,1.1554,10.0108,313.9,427.788,1281981.33,65.625,19534.95
615,13,falling,2835.0,103.813,3,133,1207.8,174.2,151.258,33.8,177.1,0.133,132.1,1196.0,244.0,177.1,33.8,4.475,0.158,0.774,0,71.501,1.0895,0.9341,10.3445,247.8,442.96,1327446.49,65.625,20227.76
617,14,falling,2167.0,100.409,3,132,1205.8,142.4,132.547,28.862,174.0,0.128,109.0,1203.0,201.0,174.0,28.862,4.593,0.157,0.783,0,61.851,0.9425,0.808,11.0119,279.6,31.863,95485.46,65.625,1455.02
618,15,falling,3260.5,103.465,3,131,1210.3,243.1,177.261,34.594,3.2,0.158,142.5,1188.0,312.0,3.2,34.594,5.124,0.132,0.76,0,78.308,1.1933,1.023,11.3456,178.9,100.8,302075.55,65.625,4603.06
619,16,falling,2372.0,96.88,3,132,1210.3,205.6,122.778,34.631,178.4,0.138,107.1,1196.0,260.0,178.4,34.631,3.545,0.2,0.746,0,65.206,0.9936,0.8518,11.6793,216.4,37.5,112378.74,65.625,1712.44
621,17,falling,6439.5,46.26,1,149,772.3,271.2,91.767,89.247,108.0,0.824,93.9,819.0,277.0,108.0,89.247,1.028,0.974,0.983,0,90.498,1.379,1.1822,12.3466,150.8,442.885,1327223.73,65.625,20224.36
622,18,falling,2957.5,103.287,3,133,1209.1,162.0,183.634,31.909,175.4,0.135,138.6,1199.0,237.0,175.4,31.909,5.755,0.112,0.776,0,76.548,1.1664,1.0,12.6803,260.0,450.243,1349273.54,65.625,20560.36
625,1,spreading,,,,,,422,,,,,,,,,,,0.0,,98,,,1.2802,13.6814,0,,,65.625,
626,2,spreading,,,,,,422,,,,,,,,,,,0.0,,146,,,1.9073,14.0151,0,,,65.625,
627,3,spreading,,,,,,422,,,,,,,,,,,0.0,,171,,,2.2339,14.3488,0,,,65.625,
628,4,spreading,,,,,,422,,,,,,,,,,,0.0,,182,,,2.3776,14.6825,0,,,65.625,
629,5,spreading,,,,,,422,,,,,,,,,,,0.0,,185,,,2.4168,15.0162,0,,,65.625,
630,6,spreading,,,,,,422,,,,,,,,,,,0.0,,181,,,2.3645,15.3499,0,,,65.625,
631,7,spreading,,,,,,422,,,,,,,,,,,0.0,,170,,,2.2208,15.6836,0,,,65.625,
632,8,spreading,,,,,,422,,,,,,,,,,,0.0,,152,,,1.9857,16.0173,0,,,65.625,
633,9,spreading,,,,,,422,,,,,,,,,,,0.0,,135,,,1.7636,16.351,0,,,65.625,
634,10,spreading,,,,,,422,,,,,,,,,,,0.0,,123,,,1.6068,16.6846,0,,,65.625,
635,1,rebounding,1817.0,80.843,3,118,1185.8,44.9,91.72,33.915,160.5,0.183,81.3,1187.0,90.0,160.5,33.915,2.704,0.275,0.78,0,55.774,0.8499,0.7286,0.3337,377.1,,,65.625,
