frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
67,1,falling,2630.0,100.693,3,129,1197.0,326.3,133.119,38.522,13.0,0.104,138.8,1165.0,387.0,13.0,38.522,3.456,0.189,0.671,0,71.61,1.0912,0.91,0.0,72.7,,,65.625,
68,2,falling,3242.5,102.348,3,133,1211.4,261.4,169.444,33.913,5.3,0.128,148.8,1187.0,331.0,5.3,33.913,4.996,0.144,0.762,0,75.804,1.1551,0.9633,0.3337,137.6,66.478,199220.07,65.625,3035.73
80,3,falling,4311.0,100.791,3,132,1214.7,189.2,257.618,36.75,178.0,0.135,162.2,1201.0,270.0,178.0,36.75,7.01,0.083,0.798,0,97.301,1.4827,1.2364,4.338,209.8,72.275,216592.43,65.625,3300.46
83,4,falling,3361.5,98.99,3,133,1205.1,105.2,192.689,35.134,171.7,0.148,141.7,1201.0,189.0,171.7,35.134,5.484,0.115,0.794,0,82.279,1.2538,1.0455,5.3391,293.8,84.547,253366.99,65.625,3860.83
88,5,falling,3092.0,99.909,3,131,1192.4,89.1,123.309,50.222,160.3,0.097,138.2,1201.0,155.0,160.3,50.222,2.455,0.259,0.69,0,78.695,1.1992,1.0,7.0076,309.9,20.506,61451.98,65.625,936.41
90,6,falling,5719.0,97.293,3,130,1216.3,178.4,249.309,46.471,177.4,0.168,171.3,1200.0,271.0,177.4,46.471,5.365,0.117,0.834,0,107.637,1.6402,1.3678,7.6749,220.6,92.443,277029.95,65.625,4221.41
94,7,falling,2359.5,106.163,3,132,1207.5,237.2,127.194,31.442,3.6,0.126,131.2,1193.0,300.0,3.6,31.442,4.045,0.186,0.751,0,63.24,0.9637,0.8036,9.0097,161.8,59.455,178172.32,65.625,2715.01
96,8,falling,2412.0,102.484,3,131,1192.8,93.8,114.88,40.202,163.7,0.094,129.3,1200.0,155.0,163.7,40.202,2.858,0.233,0.689,0,67.959,1.0356,0.8636,9.6771,305.2,144.151,431988.33,65.625,6582.68
99,1,spreading,,,,,,399,,,,,,,,,,,0.0,,87,,,1.1055,10.6782,0,,,65.625,
100,2,spreading,,,,,,399,,,,,,,,,,,0.0,,98,,,1.2453,11.0119,0,,,65.625,
101,3,spreading,,,,,,399,,,,,,,,,,,0.0,,124,,,1.5757,11.3456,0,,,65.625,
102,4,spreading,,,,,,399,,,,,,,,,,,0.0,,151,,,1.9188,11.6793,0,,,65.625,
103,5,spreading,,,,,,399,,,,,,,,,,,0.0,,163,,,2.0713,12.0129,0,,,65.625,
104,6,spreading,,,,,,399,,,,,,,,,,,0.0,,166,,,2.1094,12.3466,0,,,65.625,
105,7,spreading,,,,,,399,,,,,,,,,,,0.0,,159,,,2.0205,12.6803,0,,,65.625,
106,8,spreading,,,,,,399,,,,,,,,,,,0.0,,148,,,1.8807,13.014,0,,,65.625,
107,9,spreading,,,,,,399,,,,,,,,,,,0.0,,132,,,1.6774,13.3477,0,,,65.625,
108,10,spreading,,,,,,399,,,,,,,,,,,0.0,,120,,,1.5249,13.6814,0,,,65.625,
109,11,spreading,,,,,,399,,,,,,,,,,,0.0,,108,,,1.3724,14.0151,0,,,65.625,
110,12,spreading,,,,,,399,,,,,,,,,,,0.0,,96,,,1.2199,14.3488,0,,,65.625,
111,13,spreading,,,,,,399,,,,,,,,,,,0.0,,90,,,1.1437,14.6825,0,,,65.625,
112,14,spreading,,,,,,399,,,,,,,,,,,0.0,,84,,,1.0674,15.0162,0,,,65.625,
113,15,spreading,,,,,,399,,,,,,,,,,,0.0,,81,,,1.0293,15.3499,0,,,65.625,
114,16,spreading,,,,,,399,,,,,,,,,,,0.0,,84,,,1.0674,15.6836,0,,,65.625,
115,17,spreading,,,,,,399,,,,,,,,,,,0.0,,84,,,1.0674,16.0173,0,,,65.625,
116,18,spreading,,,,,,399,,,,,,,,,,,0.0,,83,,,1.0547,16.351,0,,,65.625,
117,19,spreading,,,,,,399,,,,,,,,,,,0.0,,76,,,0.9658,16.6846,0,,,65.625,
118,20,spreading,,,,,,399,,,,,,,,,,,0.0,,68,,,0.8641,17.0183,0,,,65.625,
119,21,spreading,,,,,,399,,,,,,,,,,,0.0,,52,,,0.6608,17.352,0,,,65.625,
120,22,spreading,,,,,,399,,,,,,,,,,,0.0,,42,,,0.5337,17.6857,0,,,65.625,
121,23,spreading,,,,,,399,,,,,,,,,,,0.0,,43,,,0.5464,18.0194,0,,,65.625,
122,24,spreading,,,,,,399,,,,,,,,,,,0.0,,50,,,0.6354,18.3531,0,,,65.625,
123,25,spreading,,,,,,399,,,,,,,,,,,0.0,,10,,,0.1271,18.6868,0,,,65.625,
124,26,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,19.0205,0,,,65.625,
125,27,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,19.3542,0,,,65.625,
126,28,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,19.6879,0,,,65.625,
127,29,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,20.0216,0,,,65.625,
128,30,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,20.3553,0,,,65.625,
129,31,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,20.689,0,,,65.625,
130,32,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,21.0227,0,,,65.625,
131,33,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,21.3564,0,,,65.625,
132,34,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,21.69,0,,,65.625,
133,35,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,22.0237,0,,,65.625,
134,36,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,22.3574,0,,,65.625,
135,37,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,22.6911,0,,,65.625,
136,38,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,23.0248,0,,,65.625,
137,39,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,23.3585,0,,,65.625,
138,40,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,23.6922,0,,,65.625,
139,41,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,24.0259,0,,,65.625,
140,42,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,24.3596,0,,,65.625,
141,43,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,24.6933,0,,,65.625,
142,44,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,25.027,0,,,65.625,
143,45,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,25.3607,0,,,65.625,
144,46,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,25.6944,0,,,65.625,
145,47,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,26.0281,0,,,65.625,
146,48,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,26.3617,0,,,65.625,
147,49,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,26.6954,0,,,65.625,
148,50,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,27.0291,0,,,65.625,
149,51,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,27.3628,0,,,65.625,
150,52,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,27.6965,0,,,65.625,
151,53,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,28.0302,0,,,65.625,
152,54,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,28.3639,0,,,65.625,
153,55,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,28.6976,0,,,65.625,
154,56,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,29.0313,0,,,65.625,
155,57,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,29.365,0,,,65.625,
156,58,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,29.6987,0,,,65.625,
157,59,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,30.0324,0,,,65.625,
158,60,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,30.3661,0,,,65.625,
159,61,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,30.6998,0,,,65.625,
160,62,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,31.0334,0,,,65.625,
161,1,rebounding,1412.5,86.792,3,121,1179.2,34.6,85.354,28.5,155.1,0.145,79.2,1186.0,76.0,155.1,28.5,2.995,0.247,0.765,0,49.321,0.7516,0.6267,0.3337,364.4,,,65.625,
