frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
248,1,falling,5546.0,94.642,3,131,1215.7,231.5,237.347,46.539,1.7,0.136,164.1,1190.0,311.0,1.7,46.539,5.1,0.125,0.833,0,105.099,1.6015,1.4465,0.0,194.5,,,65.625,
250,2,falling,3548.0,103.537,3,132,1208.5,197.4,169.791,39.221,0.7,0.087,164.0,1191.0,118.0,0.7,39.221,4.329,0.157,0.675,0,81.605,1.2435,1.1232,0.6674,228.6,34.852,104442.79,65.625,1591.51
252,3,falling,3301.0,100.053,3,129,1210.3,229.1,178.557,35.239,1.6,0.099,140.2,1191.0,300.0,1.6,35.239,5.067,0.132,0.766,0,79.323,1.2087,1.0918,1.3348,196.9,31.751,95150.52,65.625,1449.91
254,4,falling,1750.0,95.634,3,128,1200.1,310.8,101.733,27.706,7.8,0.126,94.4,1183.0,353.0,7.8,27.706,3.672,0.215,0.797,0,53.09,0.809,0.7307,2.0022,115.2,82.334,246736.54,65.625,3759.79
259,5,falling,2683.5,100.601,3,131,1207.7,221.4,126.406,38.212,2.1,0.12,128.2,1191.0,286.0,2.1,38.212,3.308,0.214,0.73,0,69.5,1.059,0.9566,3.6706,204.6,89.722,268877.26,65.625,4097.18
261,6,falling,6268.0,93.853,3,130,1215.4,247.3,278.343,49.859,1.8,0.159,173.1,1194.0,159.0,1.8,49.859,5.583,0.103,0.817,0,117.804,1.7951,1.6214,4.338,178.7,27.02,80973.72,65.625,1233.89
262,7,falling,3622.5,97.049,3,128,1204.4,303.2,171.297,38.463,7.1,0.141,136.5,1179.0,361.0,7.1,38.463,4.454,0.157,0.803,0,81.17,1.2369,1.1172,4.6717,122.8,56.972,170731.81,65.625,2601.63
263,8,falling,5723.0,95.378,3,130,1215.2,244.4,236.506,46.847,3.4,0.137,165.3,1198.0,158.0,3.4,46.847,5.048,0.13,0.828,0,105.26,1.604,1.4488,5.0054,181.6,59.784,179157.52,65.625,2730.02
265,9,falling,3688.5,101.424,3,133,1190.1,327.8,143.923,55.04,15.5,0.09,164.0,1154.0,406.0,15.5,55.04,2.615,0.227,0.659,0,89.003,1.3562,1.225,5.6728,98.2,87.095,261003.91,65.625,3977.2
266,10,falling,3379.0,98.927,3,128,1186.4,85.8,119.717,66.732,158.5,0.106,142.3,1199.0,154.0,158.5,66.732,1.794,0.3,0.674,0,89.381,1.362,1.2302,6.0065,340.2,242.028,725302.25,65.625,11052.22
270,11,falling,6195.5,95.957,3,130,1215.6,213.7,261.841,49.117,180.0,0.119,175.0,1192.0,301.0,180.0,49.117,5.331,0.115,0.825,0,113.405,1.7281,1.5609,7.3412,212.3,131.191,393148.47,65.625,5990.83
271,12,falling,2798.0,100.672,3,130,1208.1,189.0,161.118,32.747,178.5,0.092,127.1,1194.0,251.0,178.5,32.747,4.92,0.137,0.755,0,72.637,1.1068,0.9998,7.6749,237.0,25.814,77357.22,65.625,1178.78
280,13,falling,1106.0,127.104,2,157,357.6,388.2,106.15,18.913,88.9,0.107,107.0,411.0,379.0,88.9,18.913,5.613,0.125,0.746,0,44.806,0.6828,0.6167,10.6782,37.8,873.516,2617724.66,65.625,39889.14
281,14,falling,3618.5,97.312,3,130,-892.8,-222.7,4322.211,1018.057,105.1,0.074,160.6,1127.0,415.0,105.1,1018.057,4.246,0.0,0.542,0,2097.68,31.9646,28.8718,11.0119,648.7,1391.653,4170460.04,65.625,63549.87
282,15,falling,4616.5,93.628,3,131,1214.8,228.3,183.218,47.214,1.4,0.138,143.6,1204.0,157.0,1.4,47.214,3.881,0.175,0.771,0,93.008,1.4173,1.2801,11.3456,197.7,2155.314,6458972.99,65.625,98422.45
283,16,falling,2740.0,98.456,3,132,1210.7,203.3,162.431,32.499,179.2,0.122,122.1,1198.0,264.0,179.2,32.499,4.998,0.132,0.788,0,72.655,1.1071,1.0,11.6793,222.7,25.334,75919.99,65.625,1156.88
281,1,spreading,,,,,,426,,,,,,,,,,,0.0,,215,,,2.9592,11.0119,0,,,65.625,
282,2,spreading,,,,,,426,,,,,,,,,,,0.0,,207,,,2.8491,11.3456,0,,,65.625,
283,3,spreading,,,,,,426,,,,,,,,,,,0.0,,188,,,2.5876,11.6793,0,,,65.625,
284,4,spreading,,,,,,426,,,,,,,,,,,0.0,,189,,,2.6013,12.0129,0,,,65.625,
285,5,spreading,,,,,,426,,,,,,,,,,,0.0,,191,,,2.6289,12.3466,0,,,65.625,
286,6,spreading,,,,,,426,,,,,,,,,,,0.0,,192,,,2.6426,12.6803,0,,,65.625,
287,7,spreading,,,,,,426,,,,,,,,,,,0.0,,192,,,2.6426,13.014,0,,,65.625,
288,8,spreading,,,,,,426,,,,,,,,,,,0.0,,191,,,2.6289,13.3477,0,,,65.625,
289,9,spreading,,,,,,426,,,,,,,,,,,0.0,,526,,,7.2397,13.6814,0,,,65.625,
290,10,spreading,,,,,,426,,,,,,,,,,,0.0,,542,,,7.4599,14.0151,0,,,65.625,
291,11,spreading,,,,,,426,,,,,,,,,,,0.0,,543,,,7.4737,14.3488,0,,,65.625,
292,12,spreading,,,,,,426,,,,,,,,,,,0.0,,530,,,7.2947,14.6825,0,,,65.625,
293,13,spreading,,,,,,426,,,,,,,,,,,0.0,,524,,,7.2122,15.0162,0,,,65.625,
294,14,spreading,,,,,,426,,,,,,,,,,,0.0,,517,,,7.1158,15.3499,0,,,65.625,
295,15,spreading,,,,,,426,,,,,,,,,,,0.0,,193,,,2.6564,15.6836,0,,,65.625,
296,1,rebounding,1905.5,90.994,13,158,388.2,107.8,50.611,48.488,0.3,0.788,51.5,400.0,85.0,0.3,48.488,1.044,0.947,0.97,0,49.538,0.7549,0.6818,0.3337,318.2,,,65.625,
297,2,rebounding,1818.5,83.621,9,163,388.3,89.7,50.008,46.493,82.6,0.815,50.9,412.0,83.0,82.6,46.493,1.076,0.926,0.976,0,48.218,0.7348,0.6637,0.6674,336.3,18.1,54242.3,65.625,826.55
298,3,rebounding,1985.5,69.797,11,132,388.0,73.2,53.17,47.867,86.9,0.743,54.0,415.0,72.0,86.9,47.867,1.111,0.894,0.963,0,50.449,0.7687,0.6944,1.0011,352.8,16.503,49454.82,65.625,753.6
299,4,rebounding,2165.0,70.653,11,148,387.6,57.0,53.758,51.644,10.0,0.785,55.3,380.0,83.0,10.0,51.644,1.041,0.954,0.969,0,52.691,0.8029,0.7252,1.3348,369.0,16.205,48562.41,65.625,740.0
300,5,rebounding,2075.0,87.292,3,165,386.9,40.3,56.019,47.79,4.3,0.793,57.1,387.0,68.0,4.3,47.79,1.172,0.842,0.969,0,51.741,0.7884,0.7121,1.6685,385.7,16.715,50089.95,65.625,763.28
