frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
123,falling,1196.4,291.5,37.9,,hough,1.0,1.155,0.9339,,0.0,,65.625,True
124,falling,884.0,371.0,40.6,,template,0.455,1.2368,1.0,14720.43,0.3337,322.357,65.625,False
125,falling,884.0,370.0,40.6,,template,0.4567,1.2368,1.0,45.67,0.6674,1.0,65.625,False
126,falling,1197.5,290.9,31.6,,hough,1.0,0.9624,0.7781,14764.64,1.0011,323.325,65.625,False
127,falling,1199.1,178.3,24.7,,hough,1.0,0.7517,0.6078,5142.4,1.3348,112.611,65.625,False
128,falling,1186.5,346.1,39.3,,hough,1.0,1.1988,0.9693,7684.16,1.6685,168.272,65.625,False
129,falling,1207.4,213.0,41.0,,hough,1.0,1.2501,1.0108,6152.49,2.0022,134.731,65.625,False
130,falling,884.0,371.0,40.6,,template,0.4787,1.2368,1.0,16436.33,2.3359,359.933,65.625,False
131,falling,884.0,370.0,40.6,,template,0.473,1.2368,1.0,45.67,2.6695,1.0,65.625,False
132,falling,1194.7,302.0,31.5,,hough,1.0,0.9604,0.7765,14523.95,3.0032,318.054,65.625,False
133,falling,1187.4,74.2,38.5,,hough,1.0,1.1738,0.9491,10407.83,3.3369,227.917,65.625,False
134,falling,1201.1,265.3,42.1,,hough,1.0,1.2838,1.038,8748.98,3.6706,191.59,65.625,False
135,falling,1188.7,79.2,39.0,,hough,1.0,1.1892,0.9615,8517.1,4.0043,186.513,65.625,False
136,falling,884.0,371.0,40.6,,template,0.4599,1.2368,1.0,19265.51,4.338,421.888,65.625,False
137,falling,1186.6,328.8,35.3,,hough,1.0,1.0761,0.8701,13951.96,4.6717,305.528,65.625,False
138,falling,1187.5,70.4,36.4,,hough,1.0,1.1106,0.898,11799.91,5.0054,258.402,65.625,False
139,falling,884.0,370.0,40.6,,template,0.4631,1.2368,1.0,19474.53,5.3391,426.465,65.625,False
140,falling,1191.2,337.0,42.0,,hough,1.0,1.2802,1.0351,14109.0,5.6728,308.967,65.625,False
141,falling,1189.0,328.9,31.8,,hough,1.0,0.9704,0.7846,383.29,6.0065,8.393,65.625,False
142,falling,884.0,370.0,40.6,,template,0.462,1.2368,1.0,14053.72,6.3402,307.757,65.625,False
143,falling,1273.0,136.0,74.8,,hough,1.0,2.2791,1.8428,20729.95,6.6739,453.957,65.625,False
144,falling,1202.3,230.0,38.6,,hough,1.0,1.1759,0.9508,5371.12,7.0076,117.62,65.625,False
145,falling,1190.0,340.5,41.5,,hough,1.0,1.2644,1.0224,5077.15,7.3412,111.182,65.625,False
146,falling,1191.0,85.8,36.0,,hough,1.0,1.0956,0.8859,11630.97,7.6749,254.702,65.625,False
147,falling,884.0,369.0,40.6,,template,0.469,1.2368,1.0,19073.07,8.0086,417.674,65.625,False
148,falling,1190.3,328.3,38.4,,hough,1.0,1.1698,0.9458,14110.13,8.3423,308.992,65.625,False
149,falling,1198.1,268.1,28.3,,hough,1.0,0.8624,0.6973,2772.01,8.676,60.703,65.625,False
150,falling,1191.4,91.4,45.2,,hough,1.0,1.3784,1.1145,8074.81,9.0097,176.827,65.625,False
151,falling,883.0,369.0,40.6,,template,0.4615,1.2368,1.0,18948.08,9.3434,414.937,65.625,False
152,falling,497.0,86.0,40.6,,template,0.4694,1.2368,1.0,21856.57,9.6771,478.628,65.625,False
153,falling,1205.8,167.9,47.2,,hough,1.0,1.4384,1.163,32582.72,10.0108,713.516,65.625,False
154,falling,1191.7,91.6,35.0,,hough,1.0,1.0667,0.8625,3543.23,10.3445,77.592,65.625,False
155,falling,1199.5,192.2,32.7,,hough,1.0,0.9978,0.8067,4607.69,10.6782,100.902,65.625,False
156,falling,499.0,170.0,40.6,,template,0.4888,1.2368,1.0,32004.4,11.0119,700.852,65.625,False
157,falling,1265.7,116.0,65.3,,hough,1.0,1.9914,1.6101,35098.1,11.3456,768.599,65.625,False
158,falling,1191.0,319.2,40.6,,hough,1.0,1.2368,1.0,9886.27,11.6793,216.496,65.625,False
159,falling,388.0,338.0,40.6,,template,0.5095,1.2368,1.0,36679.05,12.0129,803.22,65.625,False
160,falling,388.0,340.0,40.6,,template,0.5113,1.2368,1.0,91.33,12.3466,2.0,65.625,False
161,falling,380.0,336.0,40.6,,template,0.501,1.2368,1.0,408.44,12.6803,8.944,65.625,False
162,falling,493.0,316.0,40.6,,template,0.5008,1.2368,1.0,5240.35,13.014,114.756,65.625,False
163,spreading,,,,80,contact_width,1.0,,0.9857,,13.3477,,65.625,True
164,spreading,,,,139,contact_width,1.0,,1.7126,,13.6814,,65.625,False
165,spreading,,,,183,contact_width,1.0,,2.2547,,14.0151,,65.625,False
