frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
53,falling,1197.4,264.5,35.7,,hough,1.0,1.0889,0.9677,,0.0,,65.625,True,,,,
54,falling,1192.4,109.2,31.5,,hough,1.0,0.9607,0.8537,7095.45,0.3337,155.38,65.625,False,,,,
55,falling,392.0,333.0,36.9,,template,0.3946,1.1253,1.0,37952.18,0.6674,831.1,65.625,False,,,,
56,falling,1196.2,111.8,37.9,,hough,1.0,1.1541,1.0257,38087.66,1.0011,834.067,65.625,False,,,,
57,falling,392.0,332.0,36.9,,template,0.3872,1.1253,1.0,38075.58,1.3348,833.802,65.625,False,,,,
58,falling,392.0,332.0,36.9,,template,0.4104,1.1253,1.0,0.0,1.6685,0.0,65.625,False,,,,
59,falling,1200.9,152.0,30.9,,hough,1.0,0.9412,0.8364,37841.92,2.0022,828.685,65.625,False,,,,
60,falling,1265.5,228.0,66.2,,hough,1.0,2.0162,1.7917,4554.88,2.3359,99.745,65.625,False,,,,
61,falling,1188.3,81.7,41.6,,hough,1.0,1.2676,1.1265,7553.87,2.6695,165.419,65.625,False,,,,
62,falling,392.0,334.0,36.9,,template,0.4192,1.1253,1.0,38144.61,3.0032,835.314,65.625,False,,,,
63,falling,1157.9,360.6,47.4,,hough,1.0,1.4443,1.2835,34995.92,3.3369,766.362,65.625,False,,,,
64,falling,1189.5,85.3,35.6,,hough,1.0,1.0835,0.9629,12654.12,3.6706,277.108,65.625,False,,,,
65,falling,392.0,334.0,36.9,,template,0.4011,1.1253,1.0,38147.59,4.0043,835.379,65.625,False,,,,
66,falling,1271.6,146.0,75.3,,hough,1.0,2.2934,2.0381,41074.15,4.338,899.467,65.625,False,,,,
67,falling,1192.9,102.7,35.7,,hough,1.0,1.0887,0.9675,4101.87,4.6717,89.825,65.625,False,,,,
68,falling,392.0,336.0,36.9,,template,0.4138,1.1253,1.0,38093.21,5.0054,834.188,65.625,False,,,,
69,falling,1199.0,201.8,29.1,,hough,1.0,0.8858,0.7872,37357.74,5.3391,818.082,65.625,False,,,,
70,falling,1263.8,112.0,59.4,,hough,1.0,1.8115,1.6098,5056.89,5.6728,110.739,65.625,False,,,,
71,falling,1250.0,106.0,49.5,,hough,1.0,1.5099,1.3418,687.16,6.0065,15.048,65.625,False,,,,
72,falling,392.0,334.0,36.9,,template,0.4154,1.1253,1.0,40540.35,6.3402,887.777,65.625,False,,,,
73,falling,1193.4,112.9,33.6,,hough,1.0,1.024,0.91,37963.18,6.6739,831.341,65.625,False,,,,
74,falling,1195.8,287.4,40.1,,hough,1.0,1.222,1.086,7969.3,7.0076,174.517,65.625,False,,,,
75,falling,1190.9,95.8,39.9,,hough,1.0,1.2168,1.0813,8752.28,7.3412,191.663,65.625,False,,,,
76,falling,1167.1,349.1,58.5,,hough,1.0,1.7842,1.5856,11617.89,7.6749,254.416,65.625,False,,,,
77,falling,1190.1,321.8,37.4,,hough,1.0,1.1413,1.0142,1630.11,8.0086,35.697,65.625,False,,,,
78,falling,1194.6,297.9,39.4,,hough,1.0,1.2011,1.0674,1110.57,8.3423,24.32,65.625,False,,,,
79,falling,1188.9,95.4,38.1,,hough,1.0,1.1616,1.0323,9250.83,8.676,202.58,65.625,False,,,,
80,falling,1194.1,93.7,33.5,,hough,1.0,1.0202,0.9066,249.83,9.0097,5.471,65.625,False,,,,
81,falling,1273.0,228.0,73.9,,hough,1.0,2.2518,2.0011,7112.86,9.3434,155.762,65.625,False,,,,
82,falling,1199.3,269.6,36.9,,hough,1.0,1.1253,1.0,3864.63,9.6771,84.63,65.625,False,,,,
83,falling,1199.3,146.6,32.2,,hough,1.0,0.9807,0.8715,5616.8,10.0108,123.0,65.625,False,,,,
84,falling,392.0,335.0,36.9,,template,0.4124,1.1253,1.0,37855.93,10.3445,828.992,65.625,False,,,,
85,falling,1175.5,334.2,56.2,,hough,1.0,1.7117,1.5211,35778.56,10.6782,783.5,65.625,False,,,,
86,falling,1198.5,179.6,30.5,,hough,1.0,0.9297,0.8262,7137.51,11.0119,156.302,65.625,False,,,,
87,falling,392.0,331.0,36.9,,template,0.414,1.1253,1.0,37472.15,11.3456,820.588,65.625,False,,,,
88,falling,392.0,335.0,36.9,,template,0.4113,1.1253,1.0,182.66,11.6793,4.0,65.625,False,,,,
89,falling,1192.1,321.4,53.3,,hough,1.0,1.6229,1.4422,36541.85,12.0129,800.216,65.625,False,,,,
90,falling,392.0,332.0,36.9,,template,0.4148,1.1253,1.0,36539.78,12.3466,800.17,65.625,False,,,,
91,falling,392.0,333.0,36.9,,template,0.4251,1.1253,1.0,45.67,12.6803,1.0,65.625,False,,,,
92,spreading,,,,0,contact_width,1.0,,,,13.014,,65.625,True,,,,
93,spreading,,,,0,contact_width,1.0,,,,13.3477,,65.625,False,,,,
94,spreading,,,,0,contact_width,1.0,,,,13.6814,,65.625,False,,,,
95,spreading,,,,0,contact_width,1.0,,,,14.0151,,65.625,False,,,,
96,spreading,,,,0,contact_width,1.0,,,,14.3488,,65.625,False,,,,
97,spreading,,,,0,contact_width,1.0,,,,14.6825,,65.625,False,,,,
98,spreading,,,,0,contact_width,1.0,,,,15.0162,,65.625,False,,,,
99,spreading,,,,0,contact_width,1.0,,,,15.3499,,65.625,False,,,,
100,spreading,,,,0,contact_width,1.0,,,,15.6836,,65.625,False,,,,
101,spreading,,,,0,contact_width,1.0,,,,16.0173,,65.625,False,,,,
