frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
1142,falling,1220.7,232.8,44.1,,hough,1.0,1.344,0.735,,0.0,,65.625,True
1143,falling,1147.6,358.2,66.7,,hough,1.0,2.0323,1.1114,6628.32,0.3337,145.151,65.625,False
1144,falling,385.0,314.0,60.0,,template,0.4702,1.8286,1.0,34882.58,0.6674,763.88,65.625,False
1145,falling,385.0,316.0,60.0,,template,0.4741,1.8286,1.0,91.33,1.0011,2.0,65.625,False
1146,falling,385.0,314.0,60.0,,template,0.4788,1.8286,1.0,91.33,1.3348,2.0,65.625,False
1147,falling,385.0,314.0,60.0,,template,0.4682,1.8286,1.0,0.0,1.6685,0.0,65.625,False
1148,falling,385.0,314.0,60.0,,template,0.477,1.8286,1.0,0.0,2.0022,0.0,65.625,False
1149,falling,385.0,317.0,60.0,,template,0.471,1.8286,1.0,137.0,2.3359,3.0,65.625,False
1150,falling,1149.1,336.1,70.9,,hough,1.0,2.1598,1.1811,34903.54,2.6695,764.339,65.625,False
1151,falling,385.0,314.0,60.0,,template,0.468,1.8286,1.0,34907.23,3.0032,764.42,65.625,False
1152,falling,385.0,315.0,60.0,,template,0.46,1.8286,1.0,45.67,3.3369,1.0,65.625,False
1153,falling,385.0,315.0,60.0,,template,0.4658,1.8286,1.0,0.0,3.6706,0.0,65.625,False
1154,falling,1057.0,187.0,60.0,,template,0.4724,1.8286,1.0,31238.61,4.0043,684.082,65.625,False
1155,falling,1057.0,197.0,60.0,,template,0.4736,1.8286,1.0,456.65,4.338,10.0,65.625,False
1156,falling,1059.0,192.0,60.0,,template,0.4834,1.8286,1.0,245.91,4.6717,5.385,65.625,False
1157,falling,1205.1,313.6,25.9,,hough,1.0,0.7887,0.4313,8680.17,5.0054,190.084,65.625,False
1158,falling,382.0,315.0,60.0,,template,0.4588,1.8286,1.0,37586.93,5.3391,823.101,65.625,False
1159,falling,1166.8,310.5,74.6,,hough,1.0,2.2736,1.2433,35838.49,5.6728,784.813,65.625,False
1160,falling,1057.0,256.0,60.0,,template,0.5128,1.8286,1.0,5597.7,6.0065,122.582,65.625,False
1161,falling,1057.0,256.0,60.0,,template,0.5265,1.8286,1.0,0.0,6.3402,0.0,65.625,False
1162,falling,1217.1,176.2,41.4,,hough,1.0,1.2624,0.6904,8168.81,6.6739,178.886,65.625,False
1163,falling,1220.5,216.3,45.1,,hough,1.0,1.3748,0.7519,1837.74,7.0076,40.244,65.625,False
1164,falling,385.0,315.0,60.0,,template,0.4559,1.8286,1.0,38418.42,7.3412,841.31,65.625,False
1165,falling,1217.0,260.1,39.8,,hough,1.0,1.2116,0.6626,38075.91,7.6749,833.809,65.625,False
1166,falling,385.0,314.0,60.0,,template,0.4832,1.8286,1.0,38072.93,8.0086,833.744,65.625,False
1167,falling,1151.3,343.4,71.2,,hough,1.0,2.1699,1.1867,35018.84,8.3423,766.864,65.625,False
1168,falling,385.0,316.0,60.0,,template,0.4706,1.8286,1.0,35015.46,8.676,766.79,65.625,False
1169,falling,1151.9,342.9,75.7,,hough,1.0,2.3076,1.262,35042.04,9.0097,767.372,65.625,False
1170,falling,390.0,315.0,60.0,,template,0.4649,1.8286,1.0,34815.49,9.3434,762.411,65.625,False
1171,falling,385.0,314.0,60.0,,template,0.4647,1.8286,1.0,232.85,9.6771,5.099,65.625,False
1172,falling,1057.0,196.0,60.0,,template,0.5015,1.8286,1.0,31156.39,10.0108,682.281,65.625,False
1173,falling,1057.0,203.0,60.0,,template,0.5195,1.8286,1.0,319.66,10.3445,7.0,65.625,False
1174,falling,1057.0,208.0,60.0,,template,0.4913,1.8286,1.0,228.33,10.6782,5.0,65.625,False
1175,falling,1057.0,209.0,60.0,,template,0.4614,1.8286,1.0,45.67,11.0119,1.0,65.625,False
1176,falling,1057.0,250.0,60.0,,template,0.4865,1.8286,1.0,1872.27,11.3456,41.0,65.625,False
1177,falling,1056.0,257.0,60.0,,template,0.5232,1.8286,1.0,322.9,11.6793,7.071,65.625,False
1178,falling,1060.0,260.0,60.0,,template,0.5293,1.8286,1.0,228.33,12.0129,5.0,65.625,False
1179,falling,1220.4,219.3,43.2,,hough,1.0,1.3161,0.7198,7556.79,12.3466,165.483,65.625,False
1180,falling,1058.0,255.0,60.0,,template,0.4762,1.8286,1.0,7593.07,12.6803,166.278,65.625,False
1181,falling,385.0,313.0,60.0,,template,0.4638,1.8286,1.0,30846.47,13.014,675.495,65.625,False
1182,spreading,,,,40,contact_width,1.0,,0.3333,,13.3477,,65.625,True
1183,spreading,,,,34,contact_width,1.0,,0.2833,,13.6814,,65.625,False
1184,spreading,,,,32,contact_width,1.0,,0.2667,,14.0151,,65.625,False
1185,spreading,,,,32,contact_width,1.0,,0.2667,,14.3488,,65.625,False
1186,spreading,,,,34,contact_width,1.0,,0.2833,,14.6825,,65.625,False
1187,spreading,,,,38,contact_width,1.0,,0.3167,,15.0162,,65.625,False
1188,spreading,,,,44,contact_width,1.0,,0.3667,,15.3499,,65.625,False
1189,spreading,,,,44,contact_width,1.0,,0.3667,,15.6836,,65.625,False
1190,spreading,,,,35,contact_width,1.0,,0.2917,,16.0173,,65.625,False
1191,spreading,,,,35,contact_width,1.0,,0.2917,,16.351,,65.625,False
1192,spreading,,,,35,contact_width,1.0,,0.2917,,16.6846,,65.625,False
1193,spreading,,,,35,contact_width,1.0,,0.2917,,17.0183,,65.625,False
1194,rebounding,385.0,315.0,60.0,,template,0.4792,1.8286,1.0,,17.352,,65.625,True
1195,rebounding,1209.4,291.7,51.0,,hough,1.0,1.5543,0.85,37661.27,17.6857,824.729,65.625,False
1196,rebounding,1171.5,365.5,52.0,,hough,1.0,1.5848,0.8667,3788.5,18.0194,82.963,65.625,False
1197,rebounding,1167.5,361.8,66.0,,hough,1.0,2.0114,1.1,248.82,18.3531,5.449,65.625,False
1198,rebounding,1161.5,328.8,70.0,,hough,1.0,2.1333,1.1667,1531.65,18.6868,33.541,65.625,False
1199,rebounding,1277.1,184.0,50.0,,hough,1.0,1.5238,0.8333,8461.03,19.0205,185.285,65.625,False
1200,rebounding,1270.3,140.0,42.0,,hough,1.0,1.28,0.7,2033.11,19.3542,44.522,65.625,False
1201,rebounding,1157.5,377.3,37.0,,hough,1.0,1.1276,0.6167,11998.27,19.6879,262.745,65.625,False
1202,rebounding,1206.8,325.6,48.0,,hough,1.0,1.4629,0.8,3262.21,20.0216,71.438,65.625,False
1203,rebounding,1159.9,380.8,51.0,,hough,1.0,1.5543,0.85,3307.69,20.3553,72.434,65.625,False
1204,rebounding,1165.0,346.8,59.0,,hough,1.0,1.7981,0.9833,1569.98,20.689,34.38,65.625,False
1205,rebounding,1220.9,260.3,75.0,,hough,1.0,2.2857,1.25,4703.07,21.0227,102.991,65.625,False
1206,rebounding,1182.1,357.0,58.0,,hough,1.0,1.7676,0.9667,4758.01,21.3564,104.194,65.625,False
1207,rebounding,1219.4,224.8,60.0,,hough,1.0,1.8286,1.0,6272.61,21.69,137.361,65.625,False
1208,rebounding,1221.6,216.6,65.0,,hough,1.0,1.981,1.0833,387.7,22.0237,8.49,65.625,False
1209,rebounding,1207.0,330.0,62.0,,hough,1.0,1.8895,1.0333,5221.15,22.3574,114.336,65.625,False
1210,rebounding,1169.6,354.3,50.0,,hough,1.0,1.5238,0.8333,2036.71,22.6911,44.601,65.625,False
1211,rebounding,1201.4,342.2,61.0,,hough,1.0,1.859,1.0167,1553.72,23.0248,34.024,65.625,False
1212,rebounding,1215.5,104.5,81.0,,hough,1.0,2.4686,1.35,10873.65,23.3585,238.118,65.625,False
1213,rebounding,385.0,316.0,60.0,,template,0.4591,1.8286,1.0,39135.28,23.6922,857.008,65.625,False
1214,rebounding,384.0,314.0,60.0,,template,0.4769,1.8286,1.0,102.11,24.0259,2.236,65.625,False
1215,rebounding,384.0,314.0,60.0,,template,0.4663,1.8286,1.0,0.0,24.3596,0.0,65.625,False
1216,rebounding,385.0,315.0,60.0,,template,0.4769,1.8286,1.0,64.58,24.6933,1.414,65.625,False
1217,rebounding,1057.0,260.0,60.0,,template,0.4632,1.8286,1.0,30789.5,25.027,674.247,65.625,False
1218,rebounding,383.0,315.0,60.0,,template,0.4616,1.8286,1.0,30880.52,25.3607,676.24,65.625,False
1219,rebounding,385.0,313.0,60.0,,template,0.4644,1.8286,1.0,129.16,25.6944,2.828,65.625,False
1220,rebounding,385.0,314.0,60.0,,template,0.4604,1.8286,1.0,45.67,26.0281,1.0,65.625,False
1221,rebounding,384.0,314.0,60.0,,template,0.4818,1.8286,1.0,45.67,26.3617,1.0,65.625,False
1222,rebounding,386.0,314.0,60.0,,template,0.4729,1.8286,1.0,91.33,26.6954,2.0,65.625,False
1223,rebounding,385.0,313.0,60.0,,template,0.4659,1.8286,1.0,64.58,27.0291,1.414,65.625,False
1224,rebounding,385.0,313.0,60.0,,template,0.4668,1.8286,1.0,0.0,27.3628,0.0,65.625,False
1225,rebounding,384.0,315.0,60.0,,template,0.4746,1.8286,1.0,102.11,27.6965,2.236,65.625,False
1226,rebounding,384.0,315.0,60.0,,template,0.4716,1.8286,1.0,0.0,28.0302,0.0,65.625,False
1227,rebounding,1058.0,259.0,60.0,,template,0.4826,1.8286,1.0,30884.27,28.3639,676.322,65.625,False
1228,rebounding,1057.0,255.0,60.0,,template,0.4676,1.8286,1.0,188.28,28.6976,4.123,65.625,False
1229,rebounding,384.0,315.0,60.0,,template,0.4798,1.8286,1.0,30854.45,29.0313,675.669,65.625,False
1230,rebounding,384.0,316.0,60.0,,template,0.4756,1.8286,1.0,45.67,29.365,1.0,65.625,False
1231,rebounding,384.0,316.0,60.0,,template,0.4614,1.8286,1.0,0.0,29.6987,0.0,65.625,False
1232,rebounding,1057.0,257.0,60.0,,template,0.4684,1.8286,1.0,30850.43,30.0324,675.581,65.625,False
1233,rebounding,1057.0,259.0,60.0,,template,0.4825,1.8286,1.0,91.33,30.3661,2.0,65.625,False
1234,rebounding,1057.0,254.0,60.0,,template,0.474,1.8286,1.0,228.33,30.6998,5.0,65.625,False
1235,rebounding,382.0,311.0,60.0,,template,0.4779,1.8286,1.0,30933.59,31.0334,677.402,65.625,False
1236,rebounding,385.0,313.0,60.0,,template,0.4689,1.8286,1.0,164.65,31.3671,3.606,65.625,False
1237,rebounding,1057.0,253.0,60.0,,template,0.4957,1.8286,1.0,30808.96,31.7008,674.673,65.625,False
1238,rebounding,1057.0,254.0,60.0,,template,0.4747,1.8286,1.0,45.67,32.0345,1.0,65.625,False
1239,rebounding,1057.0,255.0,60.0,,template,0.468,1.8286,1.0,45.67,32.3682,1.0,65.625,False
1240,rebounding,384.0,315.0,60.0,,template,0.4602,1.8286,1.0,30854.45,32.7019,675.669,65.625,False
1241,rebounding,385.0,315.0,60.0,,template,0.4524,1.8286,1.0,45.67,33.0356,1.0,65.625,False
1242,rebounding,385.0,313.0,60.0,,template,0.4639,1.8286,1.0,91.33,33.3693,2.0,65.625,False
1243,rebounding,385.0,315.0,60.0,,template,0.4683,1.8286,1.0,91.33,33.703,2.0,65.625,False
1244,rebounding,1057.0,257.0,60.0,,template,0.4706,1.8286,1.0,30800.98,34.0367,674.498,65.625,False
1245,rebounding,1057.0,254.0,60.0,,template,0.4763,1.8286,1.0,137.0,34.3704,3.0,65.625,False
1246,rebounding,385.0,315.0,60.0,,template,0.4769,1.8286,1.0,30813.06,34.7041,674.763,65.625,False
1247,rebounding,385.0,317.0,60.0,,template,0.4667,1.8286,1.0,91.33,35.0378,2.0,65.625,False
1248,rebounding,1057.0,261.0,60.0,,template,0.4806,1.8286,1.0,30793.26,35.3715,674.329,65.625,False
1249,rebounding,385.0,315.0,60.0,,template,0.4827,1.8286,1.0,30785.81,35.7052,674.166,65.625,False
1250,rebounding,385.0,315.0,60.0,,template,0.4783,1.8286,1.0,0.0,36.0388,0.0,65.625,False
1251,rebounding,385.0,315.0,60.0,,template,0.4729,1.8286,1.0,0.0,36.3725,0.0,65.625,False
1252,rebounding,385.0,314.0,60.0,,template,0.484,1.8286,1.0,45.67,36.7062,1.0,65.625,False
1253,rebounding,384.0,317.0,60.0,,template,0.4761,1.8286,1.0,144.41,37.0399,3.162,65.625,False
1254,rebounding,385.0,315.0,60.0,,template,0.4807,1.8286,1.0,102.11,37.3736,2.236,65.625,False
1255,rebounding,385.0,315.0,60.0,,template,0.4725,1.8286,1.0,0.0,37.7073,0.0,65.625,False
1256,rebounding,1057.0,254.0,60.0,,template,0.4699,1.8286,1.0,30813.06,38.041,674.763,65.625,False
1257,rebounding,385.0,313.0,60.0,,template,0.4717,1.8286,1.0,30804.94,38.3747,674.585,65.625,False
1258,rebounding,385.0,313.0,60.0,,template,0.4758,1.8286,1.0,0.0,38.7084,0.0,65.625,False
1259,rebounding,385.0,313.0,60.0,,template,0.4714,1.8286,1.0,0.0,39.0421,0.0,65.625,False
1260,rebounding,1057.0,266.0,60.0,,template,0.4717,1.8286,1.0,30761.85,39.3758,673.642,65.625,False
1261,rebounding,1057.0,255.0,60.0,,template,0.4696,1.8286,1.0,502.32,39.7095,11.0,65.625,False
1262,rebounding,1057.0,255.0,60.0,,template,0.475,1.8286,1.0,0.0,40.0432,0.0,65.625,False
1263,rebounding,385.0,315.0,60.0,,template,0.4688,1.8286,1.0,30808.96,40.3769,674.673,65.625,False
1264,rebounding,382.0,315.0,60.0,,template,0.469,1.8286,1.0,137.0,40.7105,3.0,65.625,False
1265,rebounding,1057.0,263.0,60.0,,template,0.4775,1.8286,1.0,30915.21,41.0442,677.0,65.625,False
1266,rebounding,385.0,313.0,60.0,,template,0.466,1.8286,1.0,30771.71,41.3779,673.858,65.625,False
1267,rebounding,1057.0,263.0,60.0,,template,0.4663,1.8286,1.0,30771.71,41.7116,673.858,65.625,False
1268,rebounding,1057.0,254.0,60.0,,template,0.4639,1.8286,1.0,410.99,42.0453,9.0,65.625,False
1269,rebounding,382.0,314.0,60.0,,template,0.4731,1.8286,1.0,30945.42,42.379,677.661,65.625,False
1270,rebounding,385.0,315.0,60.0,,template,0.4623,1.8286,1.0,144.41,42.7127,3.162,65.625,False
1271,rebounding,1057.0,266.0,60.0,,template,0.4622,1.8286,1.0,30768.36,43.0464,673.784,65.625,False
1272,rebounding,385.0,315.0,60.0,,template,0.4536,1.8286,1.0,30768.36,43.3801,673.784,65.625,False
1273,rebounding,1055.0,261.0,60.0,,template,0.4732,1.8286,1.0,30694.77,43.7138,672.173,65.625,False
1274,rebounding,384.0,316.0,60.0,,template,0.4626,1.8286,1.0,30743.98,44.0475,673.25,65.625,False
1275,rebounding,384.0,316.0,60.0,,template,0.4577,1.8286,1.0,0.0,44.3812,0.0,65.625,False
1276,rebounding,1057.0,260.0,60.0,,template,0.475,1.8286,1.0,30838.76,44.7149,675.326,65.625,False
1277,rebounding,1057.0,260.0,60.0,,template,0.4903,1.8286,1.0,0.0,45.0486,0.0,65.625,False
1278,rebounding,1057.0,258.0,60.0,,template,0.4908,1.8286,1.0,91.33,45.3822,2.0,65.625,False
1279,rebounding,385.0,315.0,60.0,,template,0.4816,1.8286,1.0,30797.08,45.7159,674.413,65.625,False
1280,rebounding,385.0,315.0,60.0,,template,0.4956,1.8286,1.0,0.0,46.0496,0.0,65.625,False
1281,rebounding,1058.0,258.0,60.0,,template,0.4877,1.8286,1.0,30842.58,46.3833,675.41,65.625,False
1282,rebounding,385.0,315.0,60.0,,template,0.484,1.8286,1.0,30842.58,46.717,675.41,65.625,False
1283,rebounding,385.0,315.0,60.0,,template,0.4736,1.8286,1.0,0.0,47.0507,0.0,65.625,False
1284,rebounding,384.0,315.0,60.0,,template,0.4778,1.8286,1.0,45.67,47.3844,1.0,65.625,False
1285,rebounding,385.0,315.0,60.0,,template,0.4793,1.8286,1.0,45.67,47.7181,1.0,65.625,False
1286,rebounding,1057.0,266.0,60.0,,template,0.4593,1.8286,1.0,30768.36,48.0518,673.784,65.625,False
1287,rebounding,384.0,313.0,60.0,,template,0.4814,1.8286,1.0,30807.41,48.3855,674.639,65.625,False
1288,rebounding,385.0,315.0,60.0,,template,0.4616,1.8286,1.0,102.11,48.7192,2.236,65.625,False
1289,rebounding,1057.0,266.0,60.0,,template,0.4783,1.8286,1.0,30768.36,49.0529,673.784,65.625,False
1290,rebounding,384.0,314.0,60.0,,template,0.4876,1.8286,1.0,30810.62,49.3866,674.71,65.625,False
1291,rebounding,385.0,315.0,60.0,,template,0.4724,1.8286,1.0,64.58,49.7203,1.414,65.625,False
1292,rebounding,384.0,315.0,60.0,,template,0.4659,1.8286,1.0,45.67,50.0539,1.0,65.625,False
1293,rebounding,1057.0,266.0,60.0,,template,0.4669,1.8286,1.0,30813.9,50.3876,674.781,65.625,False
1294,rebounding,385.0,314.0,60.0,,template,0.4708,1.8286,1.0,30765.07,50.7213,673.712,65.625,False
1295,rebounding,385.0,317.0,60.0,,template,0.4715,1.8286,1.0,137.0,51.055,3.0,65.625,False
1296,rebounding,383.0,316.0,60.0,,template,0.4802,1.8286,1.0,102.11,51.3887,2.236,65.625,False
1297,rebounding,384.0,315.0,60.0,,template,0.475,1.8286,1.0,64.58,51.7224,1.414,65.625,False
1298,rebounding,384.0,315.0,60.0,,template,0.478,1.8286,1.0,0.0,52.0561,0.0,65.625,False
1299,rebounding,384.0,314.0,60.0,,template,0.4705,1.8286,1.0,45.67,52.3898,1.0,65.625,False
1300,rebounding,1057.0,263.0,60.0,,template,0.4623,1.8286,1.0,30820.67,52.7235,674.93,65.625,False
1301,rebounding,385.0,314.0,60.0,,template,0.4826,1.8286,1.0,30775.14,53.0572,673.932,65.625,False
1302,rebounding,385.0,314.0,60.0,,template,0.4723,1.8286,1.0,0.0,53.3909,0.0,65.625,False
1303,rebounding,1060.0,258.0,60.0,,template,0.4733,1.8286,1.0,30929.78,53.7246,677.319,65.625,False
1304,rebounding,1057.0,251.0,60.0,,template,0.4623,1.8286,1.0,347.77,54.0583,7.616,65.625,False
1305,rebounding,1058.0,266.0,60.0,,template,0.4661,1.8286,1.0,686.5,54.392,15.033,65.625,False
1306,rebounding,1058.0,256.0,60.0,,template,0.4785,1.8286,1.0,456.65,54.7257,10.0,65.625,False
1307,rebounding,1057.0,257.0,60.0,,template,0.4586,1.8286,1.0,64.58,55.0593,1.414,65.625,False
1308,rebounding,1056.0,255.0,60.0,,template,0.4662,1.8286,1.0,102.11,55.393,2.236,65.625,False
1309,rebounding,384.0,315.0,60.0,,template,0.478,1.8286,1.0,30808.96,55.7267,674.673,65.625,False
1310,rebounding,1057.0,257.0,60.0,,template,0.4639,1.8286,1.0,30846.47,56.0604,675.495,65.625,False
1311,rebounding,1058.0,255.0,60.0,,template,0.4746,1.8286,1.0,102.11,56.3941,2.236,65.625,False
1312,rebounding,1057.0,267.0,60.0,,template,0.4864,1.8286,1.0,549.88,56.7278,12.042,65.625,False
1313,rebounding,1057.0,258.0,60.0,,template,0.4674,1.8286,1.0,410.99,57.0615,9.0,65.625,False
1314,rebounding,1057.0,259.0,60.0,,template,0.4713,1.8286,1.0,45.67,57.3952,1.0,65.625,False
1315,rebounding,1057.0,261.0,60.0,,template,0.4687,1.8286,1.0,91.33,57.7289,2.0,65.625,False
1316,rebounding,385.0,316.0,60.0,,template,0.4717,1.8286,1.0,30789.5,58.0626,674.247,65.625,False
1317,rebounding,385.0,316.0,60.0,,template,0.4791,1.8286,1.0,0.0,58.3963,0.0,65.625,False
1318,rebounding,385.0,313.0,60.0,,template,0.4736,1.8286,1.0,137.0,58.73,3.0,65.625,False
1319,rebounding,385.0,315.0,60.0,,template,0.4765,1.8286,1.0,91.33,59.0637,2.0,65.625,False
1320,rebounding,1055.0,256.0,60.0,,template,0.4728,1.8286,1.0,30713.96,59.3974,672.593,65.625,False
