frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
1058,falling,568.1,116.1,76.6,,hough,1.0,2.3346,1.002,,0.0,,65.625,True,,,,
1059,falling,568.2,139.0,76.5,,hough,1.0,2.332,1.0008,1045.74,0.3337,22.9,65.625,False,,,,
1060,falling,567.0,157.0,76.5,,template,0.681,2.33,1.0,823.79,0.6674,18.04,65.625,False,,,,
1061,falling,568.2,187.0,76.5,,hough,1.0,2.33,1.0,1371.05,1.0011,30.024,65.625,False,,,,
1062,falling,568.0,209.9,76.2,,hough,1.0,2.3213,0.9962,1045.77,1.3348,22.901,65.625,False,,,,
1063,falling,566.0,228.0,76.5,,template,0.678,2.33,1.0,831.57,1.6685,18.21,65.625,False,,,,
1064,falling,566.0,252.0,76.5,,template,0.6578,2.33,1.0,1095.96,2.0022,24.0,65.625,False,,,,
1065,falling,567.8,281.1,76.3,,hough,1.0,2.3253,0.9979,1331.39,2.3359,29.156,65.625,False,,,,
1066,falling,565.0,300.0,76.5,,template,0.6619,2.33,1.0,872.49,2.6695,19.106,65.625,False,,,,
1067,spreading,,,,106,contact_width,1.0,,0.6932,,3.0032,,65.625,True,618.0,,,
1068,spreading,,,,159,contact_width,1.0,,1.0398,,3.3369,,65.625,False,644.5,,,
1069,spreading,,,,203,contact_width,1.0,,1.3276,,3.6706,,65.625,False,666.5,,,
1070,spreading,,,,232,contact_width,1.0,,1.5172,,4.0043,,65.625,False,681.0,,,
1071,spreading,,,,253,contact_width,1.0,,1.6546,,4.338,,65.625,False,691.5,,,
1072,spreading,,,,265,contact_width,1.0,,1.7331,,4.6717,,65.625,False,697.5,,,
1073,spreading,,,,274,contact_width,1.0,,1.7919,,5.0054,,65.625,False,702.0,,,
1074,spreading,,,,279,contact_width,1.0,,1.8246,,5.3391,,65.625,False,704.5,,,
1075,spreading,,,,280,contact_width,1.0,,1.8312,,5.6728,,65.625,False,705.0,,,
1076,spreading,,,,277,contact_width,1.0,,1.8115,,6.0065,,65.625,False,703.5,,,
1077,rebounding,,,,,null,0.0,,,,6.3402,,65.625,True,,,,
1078,rebounding,1200.2,66.7,82.0,,hough,1.0,2.499,1.0725,,6.6739,,65.625,False,,-15.3,,
1079,rebounding,1200.2,66.7,82.0,,last_known,0.3,2.499,1.0725,0.0,7.0076,0.0,65.625,False,,-15.3,,
1080,rebounding,1200.2,66.7,82.0,,last_known,0.3,2.499,1.0725,0.0,7.3412,0.0,65.625,False,,-15.3,,
1081,rebounding,1200.2,66.7,82.0,,last_known,0.3,2.499,1.0725,0.0,7.6749,0.0,65.625,False,,-15.3,,
