frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
65,falling,751.4,225.1,44.3,,hough,1.0,1.3506,1.0058,,0.0,,65.625,True
66,falling,752.2,250.3,43.8,,hough,1.0,1.3351,0.9942,1151.34,0.3337,25.213,65.625,False
67,falling,754.0,273.0,44.1,,template,0.7294,1.3428,1.0,1039.85,0.6674,22.771,65.625,False
68,falling,755.0,300.0,44.1,,template,0.7223,1.3428,1.0,1233.8,1.0011,27.019,65.625,False
69,falling,756.0,325.0,44.1,,template,0.7208,1.3428,1.0,1142.54,1.3348,25.02,65.625,False
70,falling,758.0,349.0,44.1,,template,0.715,1.3428,1.0,1099.76,1.6685,24.083,65.625,False
71,spreading,,,,119,contact_width,1.0,,1.3504,,2.0022,,65.625,True
72,spreading,,,,159,contact_width,1.0,,1.8043,,2.3359,,65.625,False
73,spreading,,,,179,contact_width,1.0,,2.0312,,2.6695,,65.625,False
74,spreading,,,,188,contact_width,1.0,,2.1334,,3.0032,,65.625,False
75,spreading,,,,188,contact_width,1.0,,2.1334,,3.3369,,65.625,False
76,spreading,,,,179,contact_width,1.0,,2.0312,,3.6706,,65.625,False
77,spreading,,,,163,contact_width,1.0,,1.8497,,4.0043,,65.625,False
78,spreading,,,,142,contact_width,1.0,,1.6114,,4.338,,65.625,False
79,spreading,,,,129,contact_width,1.0,,1.4638,,4.6717,,65.625,False
80,spreading,,,,117,contact_width,1.0,,1.3277,,5.0054,,65.625,False
81,spreading,,,,105,contact_width,1.0,,1.1915,,5.3391,,65.625,False
82,spreading,,,,94,contact_width,1.0,,1.0667,,5.6728,,65.625,False
83,spreading,,,,85,contact_width,1.0,,0.9645,,6.0065,,65.625,False
84,rebounding,763.0,371.0,44.1,,template,0.6216,1.3428,1.0,,6.3402,,65.625,True
85,rebounding,1258.0,130.0,38.0,,hough,1.0,1.1581,0.8624,25140.9,6.6739,550.551,65.625,False
86,rebounding,1188.0,58.2,38.0,,hough,1.0,1.1581,0.8624,4579.1,7.0076,100.276,65.625,False
87,rebounding,1196.0,76.8,61.0,,hough,1.0,1.859,1.3844,924.6,7.3412,20.247,65.625,False
88,rebounding,1192.6,57.6,39.0,,hough,1.0,1.1886,0.8851,890.41,7.6749,19.499,65.625,False
89,rebounding,1183.4,36.7,42.0,,hough,1.0,1.28,0.9532,1042.77,8.0086,22.835,65.625,False
90,rebounding,769.0,335.0,44.1,,template,0.5313,1.3428,1.0,23316.46,8.3423,510.598,65.625,False
91,rebounding,770.0,335.0,44.1,,template,0.5252,1.3428,1.0,45.67,8.676,1.0,65.625,False
92,rebounding,770.0,308.0,44.1,,template,0.5036,1.3428,1.0,1232.96,9.0097,27.0,65.625,False
93,rebounding,762.0,201.0,44.1,,template,0.511,1.3428,1.0,4899.79,9.3434,107.299,65.625,False
94,rebounding,763.0,199.0,44.1,,template,0.5313,1.3428,1.0,102.11,9.6771,2.236,65.625,False
95,rebounding,763.0,200.0,44.1,,template,0.5661,1.3428,1.0,45.67,10.0108,1.0,65.625,False
96,rebounding,764.0,201.0,44.1,,template,0.6091,1.3428,1.0,64.58,10.3445,1.414,65.625,False
97,rebounding,771.0,282.0,44.1,,template,0.6989,1.3428,1.0,3712.65,10.6782,81.302,65.625,False
98,rebounding,769.0,271.0,44.1,,template,0.7072,1.3428,1.0,510.55,11.0119,11.18,65.625,False
99,rebounding,765.0,207.0,44.1,,template,0.6588,1.3428,1.0,2928.26,11.3456,64.125,65.625,False
100,rebounding,766.0,209.0,44.1,,template,0.6452,1.3428,1.0,102.11,11.6793,2.236,65.625,False
101,rebounding,768.0,211.0,44.1,,template,0.6475,1.3428,1.0,129.16,12.0129,2.828,65.625,False
102,rebounding,771.0,211.0,44.1,,template,0.7232,1.3428,1.0,137.0,12.3466,3.0,65.625,False
103,rebounding,766.0,206.0,44.1,,template,0.6987,1.3428,1.0,322.9,12.6803,7.071,65.625,False
104,rebounding,758.0,202.0,44.1,,template,0.644,1.3428,1.0,408.44,13.014,8.944,65.625,False
