frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
3,falling,1206.0,115.2,37.5,,hough,1.0,1.1424,0.9826,,0.0,,65.625,True,,,,
4,falling,384.0,82.0,38.1,,template,0.3428,1.1626,1.0,37567.25,0.3337,822.67,65.625,False,,,,
5,falling,381.0,83.0,38.1,,template,0.3516,1.1626,1.0,144.41,0.6674,3.162,65.625,False,,,,
6,falling,1209.3,239.0,36.5,,hough,1.0,1.1115,0.9561,38489.32,1.0011,842.862,65.625,False,,,,
7,falling,535.0,81.0,38.1,,template,0.4542,1.1626,1.0,31625.93,1.3348,692.564,65.625,False,,,,
8,falling,551.0,94.0,38.1,,template,0.4577,1.1626,1.0,941.41,1.6685,20.616,65.625,False,,,,
9,falling,537.0,123.0,38.1,,template,0.4702,1.1626,1.0,1470.53,2.0022,32.202,65.625,False,,,,
10,falling,538.0,143.0,38.1,,template,0.4583,1.1626,1.0,914.44,2.3359,20.025,65.625,False,,,,
11,falling,536.0,172.0,38.1,,template,0.4539,1.1626,1.0,1327.43,2.6695,29.069,65.625,False,,,,
12,falling,536.0,195.0,38.1,,template,0.4667,1.1626,1.0,1050.3,3.0032,23.0,65.625,False,,,,
13,falling,839.0,81.0,38.1,,template,0.4787,1.1626,1.0,14783.41,3.3369,323.736,65.625,False,,,,
14,falling,840.0,86.0,38.1,,template,0.8131,1.1626,1.0,232.85,3.6706,5.099,65.625,False,,,,
15,falling,1209.5,170.0,31.7,,hough,1.0,0.9663,0.8311,17303.74,4.0043,378.928,65.625,False,,,,
16,falling,1202.1,320.5,38.1,,hough,1.0,1.1626,1.0,6880.89,4.338,150.682,65.625,False,,,,
17,falling,843.0,160.0,38.1,,template,0.7981,1.1626,1.0,17961.68,4.6717,393.336,65.625,False,,,,
18,falling,845.0,185.0,38.1,,template,0.8207,1.1626,1.0,1145.27,5.0054,25.08,65.625,False,,,,
19,falling,1202.3,328.0,40.6,,hough,1.0,1.2383,1.0652,17574.34,5.3391,384.854,65.625,False,,,,
