frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
614,falling,727.4,295.6,325.0,,hough,1.0,9.9052,6.8484,,0.0,,65.625,True
615,falling,371.0,377.0,47.5,,template,0.4226,1.4464,1.0,16694.1,0.3337,365.578,65.625,False
616,falling,370.0,377.0,47.5,,template,0.4228,1.4464,1.0,45.67,0.6674,1.0,65.625,False
617,falling,371.0,377.0,47.5,,template,0.424,1.4464,1.0,45.67,1.0011,1.0,65.625,False
618,falling,370.0,377.0,47.5,,template,0.4251,1.4464,1.0,45.67,1.3348,1.0,65.625,False
619,falling,371.0,377.0,47.5,,template,0.4264,1.4464,1.0,45.67,1.6685,1.0,65.625,False
620,falling,371.0,377.0,47.5,,template,0.4261,1.4464,1.0,0.0,2.0022,0.0,65.625,False
621,falling,371.0,377.0,47.5,,template,0.4267,1.4464,1.0,0.0,2.3359,0.0,65.625,False
622,falling,371.0,377.0,47.5,,template,0.4256,1.4464,1.0,0.0,2.6695,0.0,65.625,False
623,falling,369.0,377.0,47.5,,template,0.4243,1.4464,1.0,91.33,3.0032,2.0,65.625,False
624,falling,369.0,377.0,47.5,,template,0.4232,1.4464,1.0,0.0,3.3369,0.0,65.625,False
625,falling,369.0,377.0,47.5,,template,0.4237,1.4464,1.0,0.0,3.6706,0.0,65.625,False
626,falling,371.0,378.0,47.5,,template,0.424,1.4464,1.0,102.11,4.0043,2.236,65.625,False
627,falling,370.0,377.0,47.5,,template,0.4256,1.4464,1.0,64.58,4.338,1.414,65.625,False
628,falling,371.0,377.0,47.5,,template,0.4244,1.4464,1.0,45.67,4.6717,1.0,65.625,False
629,falling,371.0,377.0,47.5,,template,0.4232,1.4464,1.0,0.0,5.0054,0.0,65.625,False
630,falling,370.0,377.0,47.5,,template,0.4213,1.4464,1.0,45.67,5.3391,1.0,65.625,False
631,falling,370.0,378.0,47.5,,template,0.4226,1.4464,1.0,45.67,5.6728,1.0,65.625,False
632,falling,372.0,378.0,47.5,,template,0.4207,1.4464,1.0,91.33,6.0065,2.0,65.625,False
633,falling,392.0,99.0,47.5,,template,0.4453,1.4464,1.0,12773.23,6.3402,279.716,65.625,False
634,falling,390.0,99.0,47.5,,template,0.6991,1.4464,1.0,91.33,6.6739,2.0,65.625,False
635,falling,390.0,123.0,47.5,,template,0.7367,1.4464,1.0,1095.96,7.0076,24.0,65.625,False
636,falling,389.0,141.0,47.5,,template,0.719,1.4464,1.0,823.24,7.3412,18.028,65.625,False
637,falling,574.0,100.0,47.5,,template,0.7132,1.4464,1.0,8653.01,7.6749,189.489,65.625,False
638,falling,574.0,123.0,47.5,,template,0.7452,1.4464,1.0,1050.3,8.0086,23.0,65.625,False
639,falling,572.8,147.7,47.2,,hough,1.0,1.4377,0.994,1129.26,8.3423,24.729,65.625,False
640,falling,572.8,171.1,47.5,,hough,1.0,1.4464,1.0,1068.56,8.676,23.4,65.625,False
641,falling,574.0,194.0,47.5,,template,0.758,1.4464,1.0,1047.16,9.0097,22.931,65.625,False
642,falling,574.0,217.0,47.5,,template,0.7433,1.4464,1.0,1050.3,9.3434,23.0,65.625,False
643,falling,574.0,242.0,47.5,,template,0.7637,1.4464,1.0,1141.63,9.6771,25.0,65.625,False
644,falling,574.1,266.1,44.8,,hough,1.0,1.364,0.9431,1100.54,10.0108,24.1,65.625,False
645,falling,572.6,290.5,47.5,,hough,1.0,1.4477,1.0009,1116.33,10.3445,24.446,65.625,False
646,falling,573.0,314.0,47.5,,template,0.7509,1.4464,1.0,1073.28,10.6782,23.503,65.625,False
647,spreading,,,,204,contact_width,1.0,,2.1492,,11.0119,,65.625,True
648,spreading,,,,219,contact_width,1.0,,2.3073,,11.3456,,65.625,False
649,spreading,,,,263,contact_width,1.0,,2.7708,,11.6793,,65.625,False
650,spreading,,,,304,contact_width,1.0,,3.2028,,12.0129,,65.625,False
651,spreading,,,,282,contact_width,1.0,,2.971,,12.3466,,65.625,False
652,spreading,,,,206,contact_width,1.0,,2.1703,,12.6803,,65.625,False
653,spreading,,,,211,contact_width,1.0,,2.223,,13.014,,65.625,False
654,spreading,,,,205,contact_width,1.0,,2.1598,,13.3477,,65.625,False
655,spreading,,,,195,contact_width,1.0,,2.0544,,13.6814,,65.625,False
656,spreading,,,,183,contact_width,1.0,,1.928,,14.0151,,65.625,False
657,spreading,,,,170,contact_width,1.0,,1.791,,14.3488,,65.625,False
658,spreading,,,,158,contact_width,1.0,,1.6646,,14.6825,,65.625,False
659,spreading,,,,145,contact_width,1.0,,1.5277,,15.0162,,65.625,False
660,spreading,,,,130,contact_width,1.0,,1.3696,,15.3499,,65.625,False
