frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
1103,falling,1213.1,221.3,30.4,,hough,1.0,0.9269,0.5069,,0.0,,65.625,True
1104,falling,384.0,314.0,60.0,,template,0.4188,1.8286,1.0,38096.78,0.3337,834.266,65.625,False
1105,falling,1203.3,322.5,40.5,,hough,1.0,1.233,0.6743,37415.36,0.6674,819.344,65.625,False
1106,falling,383.0,314.0,60.0,,template,0.4126,1.8286,1.0,37461.02,1.0011,820.344,65.625,False
1107,falling,384.0,314.0,60.0,,template,0.4407,1.8286,1.0,45.67,1.3348,1.0,65.625,False
1108,falling,384.0,315.0,60.0,,template,0.426,1.8286,1.0,45.67,1.6685,1.0,65.625,False
1109,falling,384.0,315.0,60.0,,template,0.4313,1.8286,1.0,0.0,2.0022,0.0,65.625,False
1110,falling,1197.4,83.7,28.3,,hough,1.0,0.8639,0.4725,38616.49,2.3359,845.647,65.625,False
1111,falling,384.0,314.0,60.0,,template,0.434,1.8286,1.0,38604.03,2.6695,845.374,65.625,False
1112,falling,1212.1,294.0,46.9,,hough,1.0,1.4285,0.7812,37826.22,3.0032,828.341,65.625,False
1113,falling,384.0,316.0,60.0,,template,0.4318,1.8286,1.0,37828.54,3.3369,828.392,65.625,False
1114,falling,384.0,316.0,60.0,,template,0.428,1.8286,1.0,0.0,3.6706,0.0,65.625,False
1115,falling,384.0,314.0,60.0,,template,0.4217,1.8286,1.0,91.33,4.0043,2.0,65.625,False
1116,falling,384.0,315.0,60.0,,template,0.4238,1.8286,1.0,45.67,4.338,1.0,65.625,False
1117,falling,384.0,314.0,60.0,,template,0.427,1.8286,1.0,45.67,4.6717,1.0,65.625,False
1118,falling,1214.0,230.6,35.4,,hough,1.0,1.0801,0.5907,38092.82,5.0054,834.18,65.625,False
1119,falling,1217.4,259.1,51.1,,hough,1.0,1.5567,0.8513,1310.68,5.3391,28.702,65.625,False
1120,falling,385.0,315.0,60.0,,template,0.4209,1.8286,1.0,38097.17,5.6728,834.275,65.625,False
1121,falling,1211.2,245.8,34.7,,hough,1.0,1.0562,0.5776,37860.54,6.0065,829.093,65.625,False
1122,falling,1212.4,219.9,37.4,,hough,1.0,1.1404,0.6237,1183.99,6.3402,25.928,65.625,False
1123,falling,384.0,315.0,60.0,,template,0.4274,1.8286,1.0,38077.35,6.6739,833.841,65.625,False
1124,falling,383.0,315.0,60.0,,template,0.4223,1.8286,1.0,45.67,7.0076,1.0,65.625,False
1125,falling,1202.6,303.6,30.0,,hough,1.0,0.9129,0.4993,37430.67,7.3412,819.679,65.625,False
1126,falling,384.0,314.0,60.0,,template,0.435,1.8286,1.0,37384.4,7.6749,818.666,65.625,False
1127,falling,384.0,314.0,60.0,,template,0.4356,1.8286,1.0,0.0,8.0086,0.0,65.625,False
1128,falling,382.0,315.0,60.0,,template,0.437,1.8286,1.0,102.11,8.3423,2.236,65.625,False
1129,falling,382.0,316.0,60.0,,template,0.4254,1.8286,1.0,45.67,8.676,1.0,65.625,False
1130,falling,382.0,317.0,60.0,,template,0.4394,1.8286,1.0,45.67,9.0097,1.0,65.625,False
1131,falling,382.0,315.0,60.0,,template,0.4409,1.8286,1.0,91.33,9.3434,2.0,65.625,False
1132,falling,382.0,315.0,60.0,,template,0.4368,1.8286,1.0,0.0,9.6771,0.0,65.625,False
1133,falling,382.0,315.0,60.0,,template,0.4194,1.8286,1.0,0.0,10.0108,0.0,65.625,False
1134,falling,634.0,125.0,60.0,,template,0.7771,1.8286,1.0,14411.92,10.3445,315.601,65.625,False
1135,falling,634.0,141.0,60.0,,template,0.8092,1.8286,1.0,730.64,10.6782,16.0,65.625,False
1136,falling,1128.3,336.4,84.4,,hough,1.0,2.5717,1.4064,24271.87,11.0119,531.52,65.625,False
1137,falling,1186.5,335.7,54.0,,hough,1.0,1.6461,0.9002,2657.9,11.3456,58.204,65.625,False
1138,falling,1191.3,342.3,34.1,,hough,1.0,1.0402,0.5689,372.67,11.6793,8.161,65.625,False
1139,falling,633.0,234.0,60.0,,template,0.7893,1.8286,1.0,25970.02,12.0129,568.707,65.625,False
1140,falling,1210.7,179.2,41.1,,hough,1.0,1.254,0.6858,26499.1,12.3466,580.293,65.625,False
1141,falling,633.0,281.0,60.0,,template,0.7609,1.8286,1.0,26787.13,12.6803,586.601,65.625,False
1142,falling,633.0,302.0,60.0,,template,0.7537,1.8286,1.0,958.97,13.014,21.0,65.625,False
1143,spreading,,,,66,contact_width,1.0,,0.55,,13.3477,,65.625,True
1144,spreading,,,,127,contact_width,1.0,,1.0583,,13.6814,,65.625,False
1145,spreading,,,,184,contact_width,1.0,,1.5333,,14.0151,,65.625,False
1146,spreading,,,,222,contact_width,1.0,,1.85,,14.3488,,65.625,False
1147,spreading,,,,247,contact_width,1.0,,2.0583,,14.6825,,65.625,False
1148,spreading,,,,264,contact_width,1.0,,2.2,,15.0162,,65.625,False
1149,spreading,,,,272,contact_width,1.0,,2.2667,,15.3499,,65.625,False
1150,spreading,,,,276,contact_width,1.0,,2.3,,15.6836,,65.625,False
1151,spreading,,,,273,contact_width,1.0,,2.275,,16.0173,,65.625,False
1152,spreading,,,,266,contact_width,1.0,,2.2167,,16.351,,65.625,False
1153,spreading,,,,254,contact_width,1.0,,2.1167,,16.6846,,65.625,False
1154,spreading,,,,237,contact_width,1.0,,1.975,,17.0183,,65.625,False
1155,spreading,,,,219,contact_width,1.0,,1.825,,17.352,,65.625,False
1156,rebounding,,,,,null,0.0,,,,17.6857,,65.625,True
1157,rebounding,1208.4,166.1,44.0,,hough,1.0,1.341,0.7333,,18.0194,,65.625,False
1158,rebounding,1204.4,295.7,61.0,,hough,1.0,1.859,1.0167,5921.0,18.3531,129.662,65.625,False
1159,rebounding,1207.6,123.8,64.0,,hough,1.0,1.9505,1.0667,7851.18,18.6868,171.93,65.625,False
1160,rebounding,1186.3,361.4,51.0,,hough,1.0,1.5543,0.85,10893.52,19.0205,238.553,65.625,False
1161,rebounding,652.8,276.3,82.0,,hough,1.0,2.499,1.3667,24670.28,19.3542,540.245,65.625,False
1162,rebounding,137.6,68.1,52.0,,hough,1.0,1.5848,0.8667,25375.05,19.6879,555.678,65.625,False
1163,rebounding,598.1,316.2,70.0,,hough,1.0,2.1333,1.1667,23886.51,20.0216,523.081,65.625,False
1164,rebounding,645.0,310.9,47.0,,hough,1.0,1.4324,0.7833,2155.32,20.3553,47.199,65.625,False
1165,rebounding,622.7,308.2,41.0,,hough,1.0,1.2495,0.6833,1025.77,20.689,22.463,65.625,False
1166,rebounding,594.0,154.0,39.0,,hough,1.0,1.1886,0.65,7162.47,21.0227,156.848,65.625,False
1167,rebounding,1198.8,302.0,52.0,,hough,1.0,1.5848,0.8667,28433.1,21.3564,622.645,65.625,False
1168,rebounding,1214.9,272.9,82.0,,hough,1.0,2.499,1.3667,1518.68,21.69,33.257,65.625,False
1169,rebounding,1200.8,277.5,58.0,,hough,1.0,1.7676,0.9667,677.28,22.0237,14.831,65.625,False
1170,rebounding,656.7,62.5,36.0,,hough,1.0,1.0971,0.6,26715.78,22.3574,585.038,65.625,False
1171,rebounding,656.7,42.9,37.0,,hough,1.0,1.1276,0.6167,895.03,22.6911,19.6,65.625,False
1172,rebounding,596.5,252.8,38.0,,hough,1.0,1.1581,0.6333,9971.51,23.0248,218.362,65.625,False
1173,rebounding,1190.5,67.4,61.0,,hough,1.0,1.859,1.0167,28415.57,23.3585,622.261,65.625,False
1174,rebounding,630.5,262.9,63.0,,hough,1.0,1.92,1.05,27085.95,23.6922,593.144,65.625,False
1175,rebounding,599.1,269.3,43.0,,hough,1.0,1.3105,0.7167,1463.36,24.0259,32.046,65.625,False
1176,rebounding,1194.3,76.0,48.0,,hough,1.0,1.4629,0.8,28577.25,24.3596,625.802,65.625,False
1177,rebounding,635.1,143.3,36.0,,hough,1.0,1.0971,0.6,25720.14,24.6933,563.235,65.625,False
1178,rebounding,633.1,148.1,42.0,,hough,1.0,1.28,0.7,237.46,25.027,5.2,65.625,False
1179,rebounding,620.0,306.0,60.0,,template,0.5351,1.8286,1.0,7235.28,25.3607,158.442,65.625,False
1180,rebounding,621.0,315.0,60.0,,template,0.5653,1.8286,1.0,413.51,25.6944,9.055,65.625,False
1181,rebounding,620.0,315.0,60.0,,template,0.6078,1.8286,1.0,45.67,26.0281,1.0,65.625,False
1182,rebounding,619.0,310.0,60.0,,template,0.6289,1.8286,1.0,232.85,26.3617,5.099,65.625,False
1183,rebounding,619.0,300.0,60.0,,template,0.6247,1.8286,1.0,456.65,26.6954,10.0,65.625,False
1184,rebounding,619.0,286.0,60.0,,template,0.6302,1.8286,1.0,639.31,27.0291,14.0,65.625,False
1185,rebounding,627.0,166.0,60.0,,template,0.6485,1.8286,1.0,5491.97,27.3628,120.266,65.625,False
1186,rebounding,627.0,170.0,60.0,,template,0.6752,1.8286,1.0,182.66,27.6965,4.0,65.625,False
1187,rebounding,627.0,172.0,60.0,,template,0.7006,1.8286,1.0,91.33,28.0302,2.0,65.625,False
1188,rebounding,626.0,174.0,60.0,,template,0.7276,1.8286,1.0,102.11,28.3639,2.236,65.625,False
1189,rebounding,626.0,176.0,60.0,,template,0.7183,1.8286,1.0,91.33,28.6976,2.0,65.625,False
1190,rebounding,626.0,179.0,60.0,,template,0.7103,1.8286,1.0,137.0,29.0313,3.0,65.625,False
1191,rebounding,625.0,185.0,60.0,,template,0.7221,1.8286,1.0,277.77,29.365,6.083,65.625,False
1192,rebounding,624.0,188.0,60.0,,template,0.7727,1.8286,1.0,144.41,29.6987,3.162,65.625,False
1193,rebounding,624.0,188.0,60.0,,template,0.7918,1.8286,1.0,0.0,30.0324,0.0,65.625,False
1194,rebounding,624.0,189.0,60.0,,template,0.7966,1.8286,1.0,45.67,30.3661,1.0,65.625,False
1195,rebounding,627.0,188.0,60.0,,template,0.7614,1.8286,1.0,144.41,30.6998,3.162,65.625,False
1196,rebounding,632.0,185.0,60.0,,template,0.6915,1.8286,1.0,266.27,31.0334,5.831,65.625,False
1197,rebounding,635.0,185.0,60.0,,template,0.6458,1.8286,1.0,137.0,31.3671,3.0,65.625,False
1198,rebounding,636.0,180.0,60.0,,template,0.6295,1.8286,1.0,232.85,31.7008,5.099,65.625,False
1199,rebounding,636.0,176.0,60.0,,template,0.6194,1.8286,1.0,182.66,32.0345,4.0,65.625,False
1200,rebounding,635.0,174.0,60.0,,template,0.6381,1.8286,1.0,102.11,32.3682,2.236,65.625,False
1201,rebounding,620.0,169.0,60.0,,template,0.7264,1.8286,1.0,722.03,32.7019,15.811,65.625,False
1202,rebounding,622.0,165.0,60.0,,template,0.7846,1.8286,1.0,204.22,33.0356,4.472,65.625,False
1203,rebounding,623.0,162.0,60.0,,template,0.7753,1.8286,1.0,144.41,33.3693,3.162,65.625,False
1204,rebounding,624.0,160.0,60.0,,template,0.7483,1.8286,1.0,102.11,33.703,2.236,65.625,False
1205,rebounding,624.0,154.0,60.0,,template,0.7108,1.8286,1.0,273.99,34.0367,6.0,65.625,False
1206,rebounding,624.0,171.0,60.0,,template,0.689,1.8286,1.0,776.31,34.3704,17.0,65.625,False
1207,rebounding,624.0,177.0,60.0,,template,0.6828,1.8286,1.0,273.99,34.7041,6.0,65.625,False
1208,rebounding,623.0,180.0,60.0,,template,0.6945,1.8286,1.0,144.41,35.0378,3.162,65.625,False
1209,rebounding,623.0,183.0,60.0,,template,0.6895,1.8286,1.0,137.0,35.3715,3.0,65.625,False
1210,rebounding,623.0,185.0,60.0,,template,0.6694,1.8286,1.0,91.33,35.7052,2.0,65.625,False
1211,rebounding,624.0,186.0,60.0,,template,0.6334,1.8286,1.0,64.58,36.0388,1.414,65.625,False
1212,rebounding,624.0,186.0,60.0,,template,0.6058,1.8286,1.0,0.0,36.3725,0.0,65.625,False
1213,rebounding,624.0,184.0,60.0,,template,0.5864,1.8286,1.0,91.33,36.7062,2.0,65.625,False
1214,rebounding,624.0,182.0,60.0,,template,0.5806,1.8286,1.0,91.33,37.0399,2.0,65.625,False
1215,rebounding,624.0,177.0,60.0,,template,0.5867,1.8286,1.0,228.33,37.3736,5.0,65.625,False
1216,rebounding,624.0,173.0,60.0,,template,0.601,1.8286,1.0,182.66,37.7073,4.0,65.625,False
1217,rebounding,624.0,167.0,60.0,,template,0.6276,1.8286,1.0,273.99,38.041,6.0,65.625,False
1218,rebounding,623.0,160.0,60.0,,template,0.6525,1.8286,1.0,322.9,38.3747,7.071,65.625,False
1219,rebounding,622.0,153.0,60.0,,template,0.6579,1.8286,1.0,322.9,38.7084,7.071,65.625,False
