frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
245,falling,1193.1,312.1,37.3,,hough,1.0,1.1375,0.5742,,0.0,,65.625,True
246,falling,380.0,312.0,65.0,,template,0.4406,1.981,1.0,37130.22,0.3337,813.1,65.625,False
247,falling,1192.0,96.4,30.8,,hough,1.0,0.9393,0.4741,38364.79,0.6674,840.135,65.625,False
248,falling,380.0,314.0,65.0,,template,0.4323,1.981,1.0,38388.33,1.0011,840.651,65.625,False
249,falling,1200.9,277.1,50.1,,hough,1.0,1.5259,0.7703,37524.26,1.3348,821.729,65.625,False
250,falling,380.0,312.0,65.0,,template,0.4415,1.981,1.0,37520.27,1.6685,821.642,65.625,False
251,falling,380.0,313.0,65.0,,template,0.4329,1.981,1.0,45.67,2.0022,1.0,65.625,False
252,falling,380.0,313.0,65.0,,template,0.432,1.981,1.0,0.0,2.3359,0.0,65.625,False
253,falling,380.0,313.0,65.0,,template,0.4456,1.981,1.0,0.0,2.6695,0.0,65.625,False
254,falling,380.0,313.0,65.0,,template,0.4424,1.981,1.0,0.0,3.0032,0.0,65.625,False
255,falling,1205.1,221.5,38.2,,hough,1.0,1.1655,0.5883,37909.17,3.3369,830.158,65.625,False
256,falling,380.0,313.0,65.0,,template,0.445,1.981,1.0,37909.17,3.6706,830.158,65.625,False
257,falling,380.0,313.0,65.0,,template,0.4451,1.981,1.0,0.0,4.0043,0.0,65.625,False
258,falling,380.0,313.0,65.0,,template,0.4456,1.981,1.0,0.0,4.338,0.0,65.625,False
259,falling,380.0,311.0,65.0,,template,0.4406,1.981,1.0,91.33,4.6717,2.0,65.625,False
260,falling,1202.6,209.5,32.8,,hough,1.0,0.9983,0.504,37848.91,5.0054,828.838,65.625,False
261,falling,1190.3,83.2,40.0,,hough,1.0,1.2202,0.616,5794.78,5.3391,126.898,65.625,False
262,falling,380.0,312.0,65.0,,template,0.445,1.981,1.0,38449.17,5.6728,841.983,65.625,False
263,falling,380.0,312.0,65.0,,template,0.4445,1.981,1.0,0.0,6.0065,0.0,65.625,False
264,falling,380.0,312.0,65.0,,template,0.4328,1.981,1.0,0.0,6.3402,0.0,65.625,False
265,falling,380.0,314.0,65.0,,template,0.4422,1.981,1.0,91.33,6.6739,2.0,65.625,False
266,falling,1202.5,280.9,47.8,,hough,1.0,1.4581,0.7361,37589.88,7.0076,823.166,65.625,False
267,falling,380.0,313.0,65.0,,template,0.4362,1.981,1.0,37588.07,7.3412,823.126,65.625,False
268,falling,380.0,314.0,65.0,,template,0.432,1.981,1.0,45.67,7.6749,1.0,65.625,False
269,falling,1206.9,237.7,51.0,,hough,1.0,1.5531,0.784,37920.81,8.0086,830.413,65.625,False
270,falling,1206.5,251.8,45.8,,hough,1.0,1.397,0.7052,644.14,8.3423,14.106,65.625,False
271,falling,380.0,314.0,65.0,,template,0.4371,1.981,1.0,37848.86,8.676,828.837,65.625,False
272,falling,1193.4,100.2,41.4,,hough,1.0,1.2609,0.6365,38405.61,9.0097,841.029,65.625,False
273,falling,1205.7,166.5,44.7,,hough,1.0,1.3614,0.6873,3079.25,9.3434,67.431,65.625,False
274,falling,380.0,314.0,65.0,,template,0.4356,1.981,1.0,38302.49,9.6771,838.771,65.625,False
275,falling,583.0,135.0,65.0,,template,0.6119,1.981,1.0,12359.12,10.0108,270.647,65.625,False
276,falling,582.0,142.0,65.0,,template,0.8674,1.981,1.0,322.9,10.3445,7.071,65.625,False
277,falling,1202.4,211.7,37.0,,hough,1.0,1.1264,0.5686,28508.81,10.6782,624.303,65.625,False
278,falling,582.0,188.0,65.0,,template,0.8705,1.981,1.0,28351.24,11.0119,620.853,65.625,False
279,falling,583.0,213.0,65.0,,template,0.8757,1.981,1.0,1142.54,11.3456,25.02,65.625,False
280,falling,1193.4,317.4,38.5,,hough,1.0,1.1721,0.5917,28278.68,11.6793,619.264,65.625,False
281,falling,584.0,259.0,65.0,,template,0.8686,1.981,1.0,27955.75,12.0129,612.192,65.625,False
282,falling,1205.2,231.8,43.9,,hough,1.0,1.3379,0.6754,28394.29,12.3466,621.795,65.625,False
283,falling,1195.8,309.0,47.9,,hough,1.0,1.4602,0.7371,3551.38,12.6803,77.77,65.625,False
284,spreading,,,,103,contact_width,1.0,,0.7923,,13.014,,65.625,True
285,spreading,,,,121,contact_width,1.0,,0.9308,,13.3477,,65.625,False
286,spreading,,,,166,contact_width,1.0,,1.2769,,13.6814,,65.625,False
287,spreading,,,,206,contact_width,1.0,,1.5846,,14.0151,,65.625,False
288,spreading,,,,231,contact_width,1.0,,1.7769,,14.3488,,65.625,False
289,spreading,,,,247,contact_width,1.0,,1.9,,14.6825,,65.625,False
