frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
166,falling,1193.3,333.9,47.9,,hough,1.0,1.4589,0.7979,,0.0,,65.625,True,,,,
167,falling,385.0,316.0,60.0,,template,0.4633,1.8286,1.0,36920.08,0.3337,808.498,65.625,False,,,,
168,falling,1265.4,258.0,67.1,,hough,1.0,2.0436,1.1176,40290.63,0.6674,882.308,65.625,False,,,,
169,falling,1275.2,226.0,66.0,,hough,1.0,2.0116,1.1001,1528.27,1.0011,33.467,65.625,False,,,,
170,falling,1163.5,354.6,54.1,,hough,1.0,1.6502,0.9025,7778.46,1.3348,170.337,65.625,False,,,,
171,falling,385.0,315.0,60.0,,template,0.4601,1.8286,1.0,35596.18,1.6685,779.507,65.625,False,,,,
172,falling,1204.1,213.4,43.1,,hough,1.0,1.3147,0.719,37690.86,2.0022,825.377,65.625,False,,,,
173,falling,1200.8,264.6,37.3,,hough,1.0,1.1374,0.622,2342.9,2.3359,51.306,65.625,False,,,,
174,falling,385.0,318.0,60.0,,template,0.4514,1.8286,1.0,37333.24,2.6695,817.546,65.625,False,,,,
175,falling,1166.9,344.9,55.5,,hough,1.0,1.6903,0.9244,35726.6,3.0032,782.363,65.625,False,,,,
176,falling,1201.0,166.8,36.5,,hough,1.0,1.1131,0.6087,8280.67,3.3369,181.335,65.625,False,,,,
177,falling,1257.5,252.0,66.0,,hough,1.0,2.0109,1.0997,4668.41,3.6706,102.232,65.625,False,,,,
178,falling,1196.7,123.2,30.3,,hough,1.0,0.9241,0.5054,6504.03,4.0043,142.429,65.625,False,,,,
179,falling,1202.7,171.2,40.8,,hough,1.0,1.2431,0.6798,2208.98,4.338,48.374,65.625,False,,,,
180,falling,385.0,317.0,60.0,,template,0.4419,1.8286,1.0,37929.21,4.6717,830.597,65.625,False,,,,
181,falling,1204.9,218.1,37.1,,hough,1.0,1.1312,0.6186,37712.15,5.0054,825.843,65.625,False,,,,
182,falling,385.0,315.0,60.0,,template,0.4471,1.8286,1.0,37701.32,5.3391,825.606,65.625,False,,,,
183,falling,1200.5,177.6,33.8,,hough,1.0,1.0299,0.5632,37764.69,5.6728,826.994,65.625,False,,,,
184,falling,1200.6,262.7,38.8,,hough,1.0,1.1832,0.647,3886.1,6.0065,85.1,65.625,False,,,,
