frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
612,falling,1187.3,72.0,41.6,,hough,1.0,1.2663,1.0256,,0.0,,65.625,True
613,falling,1270.3,280.0,80.4,,hough,1.0,2.45,1.9842,10226.62,0.3337,223.949,65.625,False
614,falling,1204.2,213.4,38.0,,hough,1.0,1.1569,0.9369,4284.92,0.6674,93.834,65.625,False
615,falling,1189.6,310.2,35.5,,hough,1.0,1.0832,0.8773,4470.37,1.0011,97.895,65.625,False
616,falling,388.0,330.0,40.5,,template,0.413,1.2347,1.0,36616.24,1.3348,801.844,65.625,False
617,falling,1198.5,265.0,42.1,,hough,1.0,1.2846,1.0404,37130.32,1.6685,813.102,65.625,False
618,falling,1203.3,276.1,50.7,,hough,1.0,1.5461,1.2522,552.24,2.0022,12.093,65.625,False
619,falling,392.0,333.0,40.5,,template,0.4125,1.2347,1.0,37139.03,2.3359,813.293,65.625,False
620,falling,1202.0,217.3,34.5,,hough,1.0,1.051,0.8512,37364.1,2.6695,818.222,65.625,False
621,falling,1203.3,262.7,46.2,,hough,1.0,1.4075,1.1399,2074.04,3.0032,45.419,65.625,False
622,falling,392.0,333.0,40.5,,template,0.4164,1.2347,1.0,37186.85,3.3369,814.34,65.625,False
623,falling,388.0,332.0,40.5,,template,0.424,1.2347,1.0,188.28,3.6706,4.123,65.625,False
624,falling,388.0,332.0,40.5,,template,0.4118,1.2347,1.0,0.0,4.0043,0.0,65.625,False
625,falling,1200.6,174.8,36.5,,hough,1.0,1.1129,0.9013,37795.37,4.338,827.666,65.625,False
626,falling,1200.6,240.5,34.0,,hough,1.0,1.0353,0.8385,3000.19,4.6717,65.7,65.625,False
627,falling,1193.7,93.7,39.1,,hough,1.0,1.1922,0.9655,6711.02,5.0054,146.962,65.625,False
628,falling,1205.7,227.0,43.6,,hough,1.0,1.3292,1.0765,6111.76,5.3391,133.839,65.625,False
629,falling,392.0,332.0,40.5,,template,0.425,1.2347,1.0,37465.71,5.6728,820.447,65.625,False
630,falling,1190.3,293.5,44.9,,hough,1.0,1.3671,1.1072,36496.75,6.0065,799.228,65.625,False
631,falling,388.0,334.0,40.5,,template,0.4122,1.2347,1.0,36683.69,6.3402,803.322,65.625,False
632,falling,1204.0,165.0,46.9,,hough,1.0,1.4285,1.1569,38053.43,6.6739,833.317,65.625,False
633,falling,1180.0,342.5,46.0,,hough,1.0,1.4024,1.1358,8179.3,7.0076,179.115,65.625,False
634,falling,388.0,332.0,40.5,,template,0.4133,1.2347,1.0,36169.87,7.3412,792.07,65.625,False
635,falling,388.0,334.0,40.5,,template,0.4242,1.2347,1.0,91.33,7.6749,2.0,65.625,False
636,falling,1197.0,186.0,28.0,,hough,1.0,0.8536,0.6913,37556.11,8.0086,822.426,65.625,False
637,falling,393.0,332.0,40.5,,template,0.4081,1.2347,1.0,37315.11,8.3423,817.149,65.625,False
638,falling,1189.2,326.0,48.0,,hough,1.0,1.4638,1.1855,36359.52,8.676,796.223,65.625,False
639,falling,1198.7,117.6,40.1,,hough,1.0,1.2224,0.99,9526.47,9.0097,208.616,65.625,False
640,falling,1204.5,165.3,49.0,,hough,1.0,1.4935,1.2096,2194.26,9.3434,48.051,65.625,False
641,falling,1271.4,236.0,70.1,,hough,1.0,2.1378,1.7314,4444.8,9.6771,97.335,65.625,False
642,falling,391.0,334.0,40.5,,template,0.4132,1.2347,1.0,40451.78,10.0108,885.838,65.625,False
643,falling,1204.9,182.3,39.6,,hough,1.0,1.206,0.9767,37806.83,10.3445,827.917,65.625,False
644,falling,1195.5,296.7,40.5,,hough,1.0,1.2347,1.0,5241.68,10.6782,114.786,65.625,False
645,falling,1190.9,88.4,41.4,,hough,1.0,1.2608,1.0211,9514.34,11.0119,208.351,65.625,False
646,falling,390.0,324.0,40.5,,template,0.4624,1.2347,1.0,38122.72,11.3456,834.834,65.625,False
647,falling,1188.5,329.1,43.9,,hough,1.0,1.3383,1.0839,36464.26,11.6793,798.516,65.625,False
648,falling,1200.1,165.0,40.0,,hough,1.0,1.2178,0.9863,7512.33,12.0129,164.509,65.625,False
649,falling,389.0,248.0,40.5,,template,0.4337,1.2347,1.0,37232.31,12.3466,815.336,65.625,False
650,falling,388.0,267.0,40.5,,template,0.4213,1.2347,1.0,868.84,12.6803,19.026,65.625,False
651,falling,389.0,296.0,40.5,,template,0.4024,1.2347,1.0,1325.07,13.014,29.017,65.625,False
652,spreading,,,,88,contact_width,1.0,,1.086,,13.3477,,65.625,True
653,spreading,,,,116,contact_width,1.0,,1.4316,,13.6814,,65.625,False
654,spreading,,,,173,contact_width,1.0,,2.135,,14.0151,,65.625,False
655,spreading,,,,208,contact_width,1.0,,2.567,,14.3488,,65.625,False
656,spreading,,,,229,contact_width,1.0,,2.8261,,14.6825,,65.625,False
657,spreading,,,,242,contact_width,1.0,,2.9865,,15.0162,,65.625,False
658,spreading,,,,246,contact_width,1.0,,3.0359,,15.3499,,65.625,False
659,spreading,,,,244,contact_width,1.0,,3.0112,,15.6836,,65.625,False
660,spreading,,,,237,contact_width,1.0,,2.9248,,16.0173,,65.625,False
661,spreading,,,,224,contact_width,1.0,,2.7644,,16.351,,65.625,False
662,rebounding,,,,,null,0.0,,,,16.6846,,65.625,True
663,rebounding,1181.1,57.8,38.0,,hough,1.0,1.1581,0.9379,,17.0183,,65.625,False
664,rebounding,1199.8,216.8,46.0,,hough,1.0,1.4019,1.1354,7310.78,17.352,160.096,65.625,False
665,rebounding,1199.8,216.8,46.0,,last_known,0.3,1.4019,1.1354,0.0,17.6857,0.0,65.625,False
666,rebounding,1199.8,216.8,46.0,,last_known,0.3,1.4019,1.1354,0.0,18.0194,0.0,65.625,False
667,rebounding,318.0,366.0,40.5,,template,0.4252,1.2347,1.0,40839.74,18.3531,894.333,65.625,False
668,rebounding,345.0,344.0,40.5,,template,0.4133,1.2347,1.0,1590.43,18.6868,34.828,65.625,False
669,rebounding,346.0,342.0,40.5,,template,0.4698,1.2347,1.0,102.11,19.0205,2.236,65.625,False
670,rebounding,344.0,341.0,40.5,,template,0.456,1.2347,1.0,102.11,19.3542,2.236,65.625,False
671,rebounding,347.0,168.0,40.5,,template,0.4279,1.2347,1.0,7901.24,19.6879,173.026,65.625,False
672,rebounding,346.0,144.0,40.5,,template,0.4634,1.2347,1.0,1096.91,20.0216,24.021,65.625,False
673,rebounding,346.0,122.0,40.5,,template,0.4839,1.2347,1.0,1004.63,20.3553,22.0,65.625,False
674,rebounding,348.0,89.0,40.5,,template,0.4661,1.2347,1.0,1509.71,20.689,33.061,65.625,False
675,rebounding,352.0,304.0,40.5,,template,0.3838,1.2347,1.0,9819.68,21.0227,215.037,65.625,False
676,rebounding,355.0,318.0,40.5,,template,0.4464,1.2347,1.0,653.82,21.3564,14.318,65.625,False
677,rebounding,356.0,317.0,40.5,,template,0.4976,1.2347,1.0,64.58,21.69,1.414,65.625,False
678,rebounding,356.0,316.0,40.5,,template,0.5204,1.2347,1.0,45.67,22.0237,1.0,65.625,False
679,rebounding,355.0,312.0,40.5,,template,0.5182,1.2347,1.0,188.28,22.3574,4.123,65.625,False
680,rebounding,353.0,310.0,40.5,,template,0.474,1.2347,1.0,129.16,22.6911,2.828,65.625,False
681,rebounding,344.0,128.0,40.5,,template,0.4409,1.2347,1.0,8321.19,23.0248,182.222,65.625,False
682,rebounding,344.0,123.0,40.5,,template,0.4353,1.2347,1.0,228.33,23.3585,5.0,65.625,False
683,rebounding,346.0,118.0,40.5,,template,0.4136,1.2347,1.0,245.91,23.6922,5.385,65.625,False
684,rebounding,348.0,177.0,40.5,,template,0.4854,1.2347,1.0,2695.78,24.0259,59.034,65.625,False
685,rebounding,356.0,177.0,40.5,,template,0.4536,1.2347,1.0,365.32,24.3596,8.0,65.625,False
686,rebounding,376.0,346.0,40.5,,template,0.4531,1.2347,1.0,7771.24,24.6933,170.179,65.625,False
687,rebounding,372.0,218.0,40.5,,template,0.4725,1.2347,1.0,5847.98,25.027,128.062,65.625,False
688,rebounding,372.0,218.0,40.5,,template,0.4463,1.2347,1.0,0.0,25.3607,0.0,65.625,False
689,rebounding,349.0,96.0,40.5,,template,0.4553,1.2347,1.0,5669.27,25.6944,124.149,65.625,False
690,rebounding,352.0,92.0,40.5,,template,0.4688,1.2347,1.0,228.33,26.0281,5.0,65.625,False
691,rebounding,350.0,92.0,40.5,,template,0.4784,1.2347,1.0,91.33,26.3617,2.0,65.625,False
692,rebounding,351.0,86.0,40.5,,template,0.4868,1.2347,1.0,277.77,26.6954,6.083,65.625,False
693,rebounding,351.0,86.0,40.5,,template,0.4523,1.2347,1.0,0.0,27.0291,0.0,65.625,False
694,rebounding,350.0,86.0,40.5,,template,0.4089,1.2347,1.0,45.67,27.3628,1.0,65.625,False
695,rebounding,350.0,86.0,40.5,,template,0.3801,1.2347,1.0,0.0,27.6965,0.0,65.625,False
696,rebounding,364.0,330.0,40.5,,template,0.4144,1.2347,1.0,11160.59,28.0302,244.401,65.625,False
697,rebounding,363.0,335.0,40.5,,template,0.4356,1.2347,1.0,232.85,28.3639,5.099,65.625,False
698,rebounding,362.0,339.0,40.5,,template,0.4475,1.2347,1.0,188.28,28.6976,4.123,65.625,False
699,rebounding,362.0,343.0,40.5,,template,0.4444,1.2347,1.0,182.66,29.0313,4.0,65.625,False
700,rebounding,363.0,346.0,40.5,,template,0.4364,1.2347,1.0,144.41,29.365,3.162,65.625,False
701,rebounding,363.0,347.0,40.5,,template,0.4322,1.2347,1.0,45.67,29.6987,1.0,65.625,False
702,rebounding,365.0,347.0,40.5,,template,0.4352,1.2347,1.0,91.33,30.0324,2.0,65.625,False
703,rebounding,368.0,351.0,40.5,,template,0.4413,1.2347,1.0,228.33,30.3661,5.0,65.625,False
704,rebounding,370.0,357.0,40.5,,template,0.4417,1.2347,1.0,288.81,30.6998,6.325,65.625,False
705,rebounding,369.0,363.0,40.5,,template,0.4414,1.2347,1.0,277.77,31.0334,6.083,65.625,False
706,rebounding,371.0,365.0,40.5,,template,0.4265,1.2347,1.0,129.16,31.3671,2.828,65.625,False
707,rebounding,371.0,365.0,40.5,,last_known,0.3,1.2347,1.0,0.0,31.7008,0.0,65.625,False
708,rebounding,371.0,365.0,40.5,,last_known,0.3,1.2347,1.0,0.0,32.0345,0.0,65.625,False
709,rebounding,371.0,365.0,40.5,,last_known,0.3,1.2347,1.0,0.0,32.3682,0.0,65.625,False
710,rebounding,368.0,368.0,40.5,,template,0.45,1.2347,1.0,193.74,32.7019,4.243,65.625,False
711,rebounding,368.0,366.0,40.5,,template,0.4405,1.2347,1.0,91.33,33.0356,2.0,65.625,False
712,rebounding,368.0,356.0,40.5,,template,0.4285,1.2347,1.0,456.65,33.3693,10.0,65.625,False
713,rebounding,364.0,349.0,40.5,,template,0.4309,1.2347,1.0,368.16,33.703,8.062,65.625,False
714,rebounding,363.0,346.0,40.5,,template,0.4321,1.2347,1.0,144.41,34.0367,3.162,65.625,False
715,rebounding,361.0,343.0,40.5,,template,0.4194,1.2347,1.0,164.65,34.3704,3.606,65.625,False
716,rebounding,362.0,341.0,40.5,,template,0.3744,1.2347,1.0,102.11,34.7041,2.236,65.625,False
717,rebounding,362.0,341.0,40.5,,last_known,0.3,1.2347,1.0,0.0,35.0378,0.0,65.625,False
718,rebounding,362.0,341.0,40.5,,last_known,0.3,1.2347,1.0,0.0,35.3715,0.0,65.625,False
719,rebounding,359.0,327.0,40.5,,template,0.3342,1.2347,1.0,653.82,35.7052,14.318,65.625,False
720,rebounding,359.0,327.0,40.5,,last_known,0.3,1.2347,1.0,0.0,36.0388,0.0,65.625,False
721,rebounding,359.0,327.0,40.5,,last_known,0.3,1.2347,1.0,0.0,36.3725,0.0,65.625,False
722,rebounding,359.0,327.0,40.5,,last_known,0.3,1.2347,1.0,0.0,36.7062,0.0,65.625,False
723,rebounding,359.0,327.0,40.5,,last_known,0.3,1.2347,1.0,0.0,37.0399,0.0,65.625,False
724,rebounding,363.0,342.0,40.5,,template,0.4003,1.2347,1.0,708.91,37.3736,15.524,65.625,False
725,rebounding,363.0,337.0,40.5,,template,0.3883,1.2347,1.0,228.33,37.7073,5.0,65.625,False
726,rebounding,363.0,332.0,40.5,,template,0.3739,1.2347,1.0,228.33,38.041,5.0,65.625,False
727,rebounding,363.0,333.0,40.5,,template,0.3651,1.2347,1.0,45.67,38.3747,1.0,65.625,False
728,rebounding,364.0,338.0,40.5,,template,0.3672,1.2347,1.0,232.85,38.7084,5.099,65.625,False
729,rebounding,364.0,342.0,40.5,,template,0.3806,1.2347,1.0,182.66,39.0421,4.0,65.625,False
730,rebounding,364.0,344.0,40.5,,template,0.4015,1.2347,1.0,91.33,39.3758,2.0,65.625,False
731,rebounding,363.0,345.0,40.5,,template,0.4247,1.2347,1.0,64.58,39.7095,1.414,65.625,False
732,rebounding,363.0,346.0,40.5,,template,0.4295,1.2347,1.0,45.67,40.0432,1.0,65.625,False
733,rebounding,364.0,348.0,40.5,,template,0.4409,1.2347,1.0,102.11,40.3769,2.236,65.625,False
734,rebounding,366.0,350.0,40.5,,template,0.441,1.2347,1.0,129.16,40.7105,2.828,65.625,False
735,rebounding,368.0,355.0,40.5,,template,0.4392,1.2347,1.0,245.91,41.0442,5.385,65.625,False
736,rebounding,368.0,364.0,40.5,,template,0.4392,1.2347,1.0,410.99,41.3779,9.0,65.625,False
737,rebounding,368.0,366.0,40.5,,template,0.4425,1.2347,1.0,91.33,41.7116,2.0,65.625,False
738,rebounding,368.0,367.0,40.5,,template,0.4374,1.2347,1.0,45.67,42.0453,1.0,65.625,False
739,rebounding,369.0,366.0,40.5,,template,0.4171,1.2347,1.0,64.58,42.379,1.414,65.625,False
740,rebounding,371.0,364.0,40.5,,template,0.3969,1.2347,1.0,129.16,42.7127,2.828,65.625,False
741,rebounding,372.0,361.0,40.5,,template,0.383,1.2347,1.0,144.41,43.0464,3.162,65.625,False
742,rebounding,370.0,354.0,40.5,,template,0.3744,1.2347,1.0,332.45,43.3801,7.28,65.625,False
743,rebounding,368.0,350.0,40.5,,template,0.3717,1.2347,1.0,204.22,43.7138,4.472,65.625,False
744,rebounding,368.0,349.0,40.5,,template,0.374,1.2347,1.0,45.67,44.0475,1.0,65.625,False
745,rebounding,368.0,348.0,40.5,,template,0.3826,1.2347,1.0,45.67,44.3812,1.0,65.625,False
746,rebounding,368.0,347.0,40.5,,template,0.4061,1.2347,1.0,45.67,44.7149,1.0,65.625,False
747,rebounding,367.0,346.0,40.5,,template,0.4296,1.2347,1.0,64.58,45.0486,1.414,65.625,False
748,rebounding,367.0,345.0,40.5,,template,0.4458,1.2347,1.0,45.67,45.3822,1.0,65.625,False
749,rebounding,367.0,343.0,40.5,,template,0.4542,1.2347,1.0,91.33,45.7159,2.0,65.625,False
750,rebounding,367.0,341.0,40.5,,template,0.4431,1.2347,1.0,91.33,46.0496,2.0,65.625,False
751,rebounding,367.0,338.0,40.5,,template,0.4284,1.2347,1.0,137.0,46.3833,3.0,65.625,False
752,rebounding,366.0,335.0,40.5,,template,0.4111,1.2347,1.0,144.41,46.717,3.162,65.625,False
753,rebounding,366.0,332.0,40.5,,template,0.4025,1.2347,1.0,137.0,47.0507,3.0,65.625,False
754,rebounding,368.0,333.0,40.5,,template,0.3947,1.2347,1.0,102.11,47.3844,2.236,65.625,False
755,rebounding,369.0,334.0,40.5,,template,0.3883,1.2347,1.0,64.58,47.7181,1.414,65.625,False
756,rebounding,370.0,337.0,40.5,,template,0.3846,1.2347,1.0,144.41,48.0518,3.162,65.625,False
757,rebounding,370.0,338.0,40.5,,template,0.3768,1.2347,1.0,45.67,48.3855,1.0,65.625,False
758,rebounding,370.0,341.0,40.5,,template,0.3736,1.2347,1.0,137.0,48.7192,3.0,65.625,False
759,rebounding,369.0,343.0,40.5,,template,0.3763,1.2347,1.0,102.11,49.0529,2.236,65.625,False
760,rebounding,187.0,113.0,40.5,,template,0.3962,1.2347,1.0,13393.48,49.3866,293.298,65.625,False
761,rebounding,181.0,120.0,40.5,,template,0.4477,1.2347,1.0,421.01,49.7203,9.22,65.625,False
762,rebounding,184.0,136.0,40.5,,template,0.4281,1.2347,1.0,743.37,50.0539,16.279,65.625,False
763,rebounding,184.0,178.0,40.5,,template,0.4094,1.2347,1.0,1917.93,50.3876,42.0,65.625,False
764,rebounding,180.0,184.0,40.5,,template,0.454,1.2347,1.0,329.3,50.7213,7.211,65.625,False
765,rebounding,183.0,202.0,40.5,,template,0.4299,1.2347,1.0,833.31,51.055,18.248,65.625,False
766,rebounding,182.0,246.0,40.5,,template,0.4152,1.2347,1.0,2009.78,51.3887,44.011,65.625,False
767,rebounding,180.0,252.0,40.5,,template,0.4551,1.2347,1.0,288.81,51.7224,6.325,65.625,False
768,rebounding,370.0,364.0,40.5,,template,0.4511,1.2347,1.0,10071.59,52.0561,220.554,65.625,False
769,rebounding,370.0,365.0,40.5,,template,0.4682,1.2347,1.0,45.67,52.3898,1.0,65.625,False
770,rebounding,371.0,365.0,40.5,,template,0.4771,1.2347,1.0,45.67,52.7235,1.0,65.625,False
771,rebounding,371.0,365.0,40.5,,template,0.4854,1.2347,1.0,0.0,53.0572,0.0,65.625,False
772,rebounding,371.0,365.0,40.5,,template,0.4827,1.2347,1.0,0.0,53.3909,0.0,65.625,False
773,rebounding,371.0,364.0,40.5,,template,0.4712,1.2347,1.0,45.67,53.7246,1.0,65.625,False
774,rebounding,370.0,363.0,40.5,,template,0.4492,1.2347,1.0,64.58,54.0583,1.414,65.625,False
775,rebounding,370.0,357.0,40.5,,template,0.4233,1.2347,1.0,273.99,54.392,6.0,65.625,False
776,rebounding,368.0,351.0,40.5,,template,0.415,1.2347,1.0,288.81,54.7257,6.325,65.625,False
777,rebounding,368.0,349.0,40.5,,template,0.4072,1.2347,1.0,91.33,55.0593,2.0,65.625,False
778,rebounding,366.0,347.0,40.5,,template,0.3931,1.2347,1.0,129.16,55.393,2.828,65.625,False
779,rebounding,364.0,343.0,40.5,,template,0.386,1.2347,1.0,204.22,55.7267,4.472,65.625,False
780,rebounding,364.0,342.0,40.5,,template,0.3757,1.2347,1.0,45.67,56.0604,1.0,65.625,False
