frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
655,falling,1204.5,110.7,40.2,,hough,1.0,1.2246,0.7892,,0.0,,65.625,True,,,,
656,falling,1216.8,222.1,55.4,,hough,1.0,1.6872,1.0873,5118.0,0.3337,112.077,65.625,False,,,,
657,falling,386.0,322.0,50.9,,template,0.4373,1.5517,1.0,38211.78,0.6674,836.785,65.625,False,,,,
658,falling,1214.7,141.7,62.7,,hough,1.0,1.9114,1.2318,38727.91,1.0011,848.087,65.625,False,,,,
659,falling,1201.6,311.9,46.2,,hough,1.0,1.4077,0.9072,7795.17,1.3348,170.703,65.625,False,,,,
660,falling,1213.6,281.0,57.7,,hough,1.0,1.76,1.1342,1513.72,1.6685,33.148,65.625,False,,,,
661,falling,1213.1,204.0,47.4,,hough,1.0,1.446,0.9319,3516.28,2.0022,77.002,65.625,False,,,,
662,falling,386.0,322.0,50.9,,template,0.43,1.5517,1.0,38151.98,2.3359,835.475,65.625,False,,,,
663,falling,386.0,321.0,50.9,,template,0.4333,1.5517,1.0,45.67,2.6695,1.0,65.625,False,,,,
664,falling,1214.2,161.5,60.6,,hough,1.0,1.8467,1.1901,38514.74,3.0032,843.419,65.625,False,,,,
665,falling,390.0,321.0,50.9,,template,0.4208,1.5517,1.0,38335.39,3.3369,839.491,65.625,False,,,,
666,falling,390.0,321.0,50.9,,template,0.4304,1.5517,1.0,0.0,3.6706,0.0,65.625,False,,,,
667,falling,386.0,320.0,50.9,,template,0.4249,1.5517,1.0,188.28,4.0043,4.123,65.625,False,,,,
668,falling,385.0,114.0,50.9,,template,0.4473,1.5517,1.0,9407.1,4.338,206.002,65.625,False,,,,
669,falling,1209.3,223.2,43.2,,hough,1.0,1.3152,0.8476,37970.54,4.6717,831.502,65.625,False,,,,
670,falling,390.0,321.0,50.9,,template,0.4332,1.5517,1.0,37678.96,5.0054,825.117,65.625,False,,,,
671,falling,1202.4,311.4,44.2,,hough,1.0,1.3476,0.8684,37100.85,5.3391,812.457,65.625,False,,,,
672,falling,1205.8,152.0,38.1,,hough,1.0,1.1597,0.7474,7280.66,5.6728,159.436,65.625,False,,,,
673,falling,386.0,320.0,50.9,,template,0.4318,1.5517,1.0,38214.17,6.0065,836.837,65.625,False,,,,
674,falling,386.0,321.0,50.9,,template,0.428,1.5517,1.0,45.67,6.3402,1.0,65.625,False,,,,
675,falling,389.0,321.0,50.9,,template,0.4466,1.5517,1.0,137.0,6.6739,3.0,65.625,False,,,,
676,falling,1213.4,174.5,61.1,,hough,1.0,1.8621,1.2,38236.03,7.0076,837.316,65.625,False,,,,
677,falling,383.0,323.0,50.9,,template,0.5623,1.5517,1.0,38521.8,7.3412,843.574,65.625,False,,,,
678,falling,1214.6,203.2,57.8,,hough,1.0,1.7605,1.1346,38367.05,7.6749,840.185,65.625,False,,,,
679,falling,570.0,322.0,50.9,,template,0.442,1.5517,1.0,29931.41,8.0086,655.456,65.625,False,,,,
680,falling,382.0,124.0,50.9,,template,0.4162,1.5517,1.0,12468.14,8.3423,273.035,65.625,False,,,,
681,falling,381.0,130.0,50.9,,template,0.4084,1.5517,1.0,277.77,8.676,6.083,65.625,False,,,,
682,falling,1212.2,229.1,53.4,,hough,1.0,1.6265,1.0482,38225.58,9.0097,837.087,65.625,False,,,,
683,falling,1209.3,248.4,49.5,,hough,1.0,1.5078,0.9717,891.23,9.3434,19.517,65.625,False,,,,
684,falling,378.0,203.0,50.9,,template,0.3811,1.5517,1.0,38017.9,9.6771,832.539,65.625,False,,,,
685,falling,1212.9,208.1,51.9,,hough,1.0,1.5803,1.0184,38126.43,10.0108,834.916,65.625,False,,,,
686,falling,378.0,255.0,50.9,,template,0.4283,1.5517,1.0,38185.83,10.3445,836.216,65.625,False,,,,
687,falling,382.0,262.0,50.9,,template,0.4308,1.5517,1.0,368.16,10.6782,8.062,65.625,False,,,,
