frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
637,falling,1201.2,321.0,44.9,,hough,1.0,1.3682,0.6907,,0.0,,65.625,True
638,falling,1212.5,207.1,51.6,,hough,1.0,1.5734,0.7942,5226.78,0.3337,114.459,65.625,False
639,falling,388.0,309.0,65.0,,template,0.4283,1.981,1.0,37937.26,0.6674,830.773,65.625,False
640,falling,1207.6,194.7,38.4,,hough,1.0,1.17,0.5906,37789.24,1.0011,827.532,65.625,False
641,falling,1191.9,327.2,31.0,,hough,1.0,0.9445,0.4768,6092.94,1.3348,133.427,65.625,False
642,falling,1207.9,143.3,36.9,,hough,1.0,1.1244,0.5676,8429.52,1.6685,184.595,65.625,False
643,falling,1202.2,123.9,28.4,,hough,1.0,0.867,0.4377,923.35,2.0022,20.22,65.625,False
644,falling,389.0,309.0,65.0,,template,0.4469,1.981,1.0,38084.63,2.3359,834.0,65.625,False
645,falling,1194.3,97.2,28.0,,hough,1.0,0.8537,0.4309,38024.65,2.6695,832.687,65.625,False
646,falling,1199.6,304.4,27.1,,hough,1.0,0.8263,0.4171,9464.89,3.0032,207.268,65.625,False
647,falling,1210.0,224.9,37.4,,hough,1.0,1.1413,0.5761,3661.3,3.3369,80.177,65.625,False
648,falling,387.0,311.0,65.0,,template,0.4329,1.981,1.0,37787.41,3.6706,827.492,65.625,False
649,falling,1210.2,224.3,39.5,,hough,1.0,1.2023,0.6069,37799.35,4.0043,827.753,65.625,False
650,falling,1205.1,151.2,32.2,,hough,1.0,0.9828,0.4961,3346.23,4.338,73.278,65.625,False
651,falling,1199.3,306.8,34.7,,hough,1.0,1.0576,0.5339,7110.41,4.6717,155.708,65.625,False
652,falling,1209.8,177.3,37.4,,hough,1.0,1.1412,0.5761,5933.03,5.0054,129.925,65.625,False
653,falling,1210.3,221.0,39.0,,hough,1.0,1.1889,0.6001,1995.69,5.3391,43.703,65.625,False
654,falling,1197.7,105.4,36.0,,hough,1.0,1.0963,0.5534,5310.14,5.6728,116.285,65.625,False
