frame,drop_id,cx,cy,area_px,percentage
42,1,759,81,10971,100.0
43,1,760,104,10843,98.83
44,1,761,127,10958,99.88
45,1,761,151,11010,100.36
46,1,762,174,10929,99.62
47,1,762,199,10975,100.04
48,1,762,223,10902,99.37
49,1,763,246,10913,99.47
50,1,763,270,10906,99.41
51,1,764,293,10940,99.72
52,1,764,318,11027,100.51
53,1,765,342,10996,100.23
54,1,766,364,10780,98.26
55,1,765,376,8889,81.02
56,1,764,384,6665,60.75
57,1,763,393,8030,73.19
58,1,762,396,8378,76.36
59,1,762,390,6661,60.71
60,1,762,393,9035,82.35
61,1,762,391,9553,87.08
62,1,761,390,9464,86.26
63,1,759,388,9621,87.69
64,1,759,404,15670,142.83
65,1,760,383,11787,107.44
66,1,765,373,13561,123.61
67,1,765,381,18854,171.85
68,1,764,345,14378,131.05
69,1,763,337,15766,143.71
70,1,765,326,15985,145.7
71,1,765,318,16431,149.77
72,1,764,311,16996,154.92
73,1,763,303,17548,159.95
74,1,762,297,18164,165.56
75,1,761,292,18439,168.07
76,1,760,286,18655,170.04
77,1,765,306,15896,144.89
77,2,731,130,2508,22.86
78,1,766,302,15309,139.54
78,2,730,118,2205,20.1
79,1,766,299,15546,141.7
79,2,728,107,1945,17.73
80,1,765,297,15688,143.0
80,2,730,87,621,5.66
81,1,763,292,15517,141.44
82,1,763,286,14781,134.73
83,1,763,278,13618,124.13
84,1,763,270,12857,117.19
85,1,764,264,12035,109.7
86,1,763,259,11421,104.1
87,1,762,253,11054,100.76
88,1,761,248,10480,95.52
89,1,759,242,10139,92.42
90,1,758,236,9809,89.41
91,1,756,229,9500,86.59
92,1,755,226,9273,84.52
93,1,756,222,9158,83.47
94,1,757,218,9098,82.93
95,1,757,213,9736,88.74
96,1,756,208,10533,96.01
97,1,755,205,11079,100.98
98,1,755,200,11772,107.3
99,1,754,194,12851,117.14
100,1,752,189,13462,122.71
101,1,751,186,13346,121.65
102,1,750,183,13083,119.25
103,1,750,178,13018,118.66
104,1,750,174,13079,119.21
105,1,749,169,12963,118.16
106,1,749,165,13157,119.93
107,1,749,161,13406,122.19
108,1,748,157,13282,121.06
109,1,747,155,12910,117.67
110,1,746,153,12454,113.52
111,1,744,151,11925,108.7
112,1,743,149,11458,104.44
113,1,742,146,11050,100.72
114,1,742,141,10109,92.14
115,1,742,136,9399,85.67
116,1,742,133,9299,84.76
117,1,742,131,9303,84.8
118,1,742,128,9104,82.98
119,1,741,125,9032,82.33
120,1,739,123,9473,86.35
121,1,737,122,10018,91.31
122,1,736,119,10686,97.4
123,1,736,117,11151,101.64
124,1,736,114,11622,105.93
125,1,736,110,12171,110.94
126,1,735,106,12753,116.24
127,1,735,104,13639,124.32
128,1,734,101,13978,127.41
129,1,733,98,13734,125.18
130,1,733,97,13354,121.72
131,1,732,96,13066,119.1
132,1,731,96,12914,117.71
133,1,729,95,12282,111.95
134,1,727,93,11530,105.1
135,1,727,91,10807,98.51
136,1,727,89,10233,93.27
137,1,727,88,9644,87.9
138,1,728,86,9352,85.24
139,1,728,85,9475,86.36
140,1,727,85,9705,88.46
141,1,725,83,9472,86.34
142,1,724,80,9228,84.11
143,1,722,79,9378,85.48
144,1,722,79,9974,90.91
145,1,721,79,10745,97.94
146,1,720,79,11480,104.64
147,1,719,77,12094,110.24
148,1,719,76,12455,113.53
149,1,718,75,12739,116.12
150,1,718,74,12841,117.04
151,1,718,74,12756,116.27
152,1,716,74,12669,115.48
153,1,715,73,12374,112.79
154,1,714,73,12149,110.74
155,1,713,72,11953,108.95
156,1,714,72,11762,107.21
157,1,714,72,11428,104.17
158,1,714,72,11181,101.91
159,1,713,74,11023,100.47
160,1,711,74,10677,97.32
161,1,711,74,10266,93.57
162,1,710,72,10048,91.59
163,1,709,72,9977,90.94
164,1,707,72,9867,89.94
165,1,707,73,9832,89.62
166,1,707,74,10126,92.3
167,1,706,76,10411,94.9
168,1,705,78,10886,99.23
169,1,704,78,11456,104.42
170,1,703,79,11928,108.72
171,1,703,80,12104,110.33
172,1,702,80,12160,110.84
173,1,700,81,12118,110.45
174,1,699,82,12009,109.46
175,1,699,83,11863,108.13
176,1,700,84,11725,106.87
177,1,700,85,11723,106.85
178,1,700,87,11934,108.78
179,1,699,89,12188,111.09
180,1,698,91,12074,110.05
181,1,696,94,11543,105.21
182,1,695,94,10981,100.09
183,1,694,94,10479,95.52
184,1,694,95,10324,94.1
185,1,693,97,10024,91.37
186,1,692,99,10098,92.04
187,1,692,103,10083,91.91
188,1,692,107,9957,90.76
189,1,691,110,9889,90.14
190,1,690,112,10264,93.56
191,1,689,114,10773,98.2
192,1,687,116,11373,103.66
193,1,686,118,11645,106.14
194,1,685,120,11699,106.64
195,1,685,122,11595,105.69
196,1,685,124,11620,105.92
197,1,685,128,11824,107.78
198,1,685,131,12078,110.09
199,1,684,134,12283,111.96
200,1,683,138,12291,112.03
201,1,682,141,12148,110.73
202,1,681,144,11874,108.23
203,1,680,147,11495,104.78
204,1,680,149,11085,101.04
205,1,679,152,10641,96.99
206,1,679,155,10192,92.9
207,1,679,159,9978,90.95
208,1,678,164,9909,90.32
209,1,677,169,9908,90.31
210,1,676,174,9817,89.48
211,1,675,177,9778,89.13
212,1,674,180,9998,91.13
213,1,673,183,10426,95.03
214,1,672,186,10746,97.95
215,1,671,190,11101,101.18
216,1,671,194,11434,104.22
217,1,671,199,11847,107.98
218,1,671,203,12113,110.41
219,1,669,208,12405,113.07
220,1,668,213,12536,114.26
221,1,667,217,12544,114.34
222,1,667,222,12322,112.31
223,1,666,226,11989,109.28
224,1,665,230,11626,105.97
225,1,665,235,11247,102.52
226,1,665,240,10794,98.39
227,1,664,245,10294,93.83
228,1,663,250,9941,90.61
229,1,663,257,9916,90.38
230,1,662,263,10009,91.23
231,1,661,268,9987,91.03
232,1,659,273,9794,89.27
233,1,659,277,9602,87.52
234,1,658,281,9851,89.79
235,1,658,287,10255,93.47
236,1,658,292,10759,98.07
237,1,657,298,11269,102.72
238,1,656,304,11679,106.45
239,1,655,310,12032,109.67
240,1,654,316,12320,112.3
241,1,653,322,12518,114.1
242,1,652,328,12476,113.72
243,1,652,334,12327,112.36
244,1,651,340,12044,109.78
245,1,651,346,11716,106.79
246,1,650,352,11402,103.93
247,1,650,358,10826,98.68
248,1,649,362,10050,91.61
249,1,649,365,9161,83.5
250,1,653,366,7700,70.19
251,1,657,367,6751,61.53
252,1,661,367,5890,53.69
253,1,663,368,5447,49.65
254,1,644,373,7474,68.13
255,1,669,372,4003,36.49
256,1,669,372,4146,37.79
257,1,665,373,4955,45.16
258,1,641,370,8124,74.05
259,1,641,367,8047,73.35
260,1,642,364,8474,77.24
261,1,642,358,9026,82.27
262,1,640,354,9613,87.62
263,1,639,350,10371,94.53
264,1,639,349,11464,104.49
265,1,639,348,12382,112.86
266,1,639,347,13207,120.38
267,1,639,346,13643,124.36
268,1,638,343,14042,127.99
269,1,637,339,13818,125.95
270,1,636,334,12837,117.01
271,1,636,330,11820,107.74
272,1,636,327,10839,98.8
273,1,636,325,10020,91.33
274,1,636,323,9659,88.04
275,1,636,321,9258,84.39
276,1,637,319,9045,82.44
277,1,636,318,9000,82.03
278,1,635,316,9072,82.69
279,1,634,314,8919,81.3
280,1,634,313,8786,80.08
281,1,634,310,8804,80.25
282,1,633,307,9158,83.47
