frame,drop_id,cx,cy,area_px,percentage
42,1,759,81,10929,100.0
43,1,760,104,10807,98.88
44,1,761,127,10937,100.07
45,1,761,151,10986,100.52
46,1,761,174,10913,99.85
47,1,762,199,10911,99.84
48,1,762,223,10862,99.39
49,1,763,246,10854,99.31
50,1,763,270,10871,99.47
51,1,764,293,10899,99.73
52,1,764,318,11014,100.78
53,1,765,343,11371,104.04
54,1,765,365,10938,100.08
55,1,764,371,7790,71.28
56,1,764,383,6555,59.98
57,1,762,393,7967,72.9
58,1,761,396,8269,75.66
59,1,761,390,6755,61.81
60,1,762,391,8373,76.61
61,1,761,391,9411,86.11
62,1,760,389,9173,83.93
63,1,758,387,9522,87.13
64,1,757,386,9566,87.53
65,1,760,379,11014,100.78
66,1,764,371,13126,120.1
67,1,765,380,18755,171.61
68,1,764,346,14576,133.37
69,1,763,336,15588,142.63
70,1,765,326,16049,146.85
71,1,765,318,16551,151.44
72,1,764,311,16952,155.11
73,1,763,303,17519,160.3
74,1,762,297,18221,166.72
75,1,761,292,18439,168.72
76,1,761,286,18706,171.16
77,1,765,306,15873,145.24
77,2,731,130,2488,22.77
78,1,766,302,15322,140.2
78,2,730,118,2191,20.05
79,1,766,299,15549,142.27
79,2,728,107,1950,17.84
80,1,764,298,16205,148.28
80,2,725,98,2536,23.2
81,1,763,292,15526,142.06
82,1,763,286,14822,135.62
83,1,763,278,13660,124.99
84,1,763,270,12881,117.86
85,1,764,264,12052,110.28
86,1,763,259,11441,104.68
87,1,762,253,11008,100.72
88,1,761,248,10434,95.47
89,1,760,243,10119,92.59
90,1,758,236,9809,89.75
91,1,756,229,9513,87.04
92,1,755,226,9187,84.06
93,1,756,222,9097,83.24
94,1,757,218,9087,83.15
95,1,757,213,9720,88.94
96,1,757,208,10522,96.28
97,1,755,205,11062,101.22
98,1,755,200,11778,107.77
99,1,754,194,12849,117.57
100,1,752,190,13467,123.22
101,1,751,186,13360,122.24
102,1,750,182,13082,119.7
103,1,750,178,13000,118.95
104,1,750,174,13100,119.86
105,1,749,169,12928,118.29
106,1,750,165,13135,120.18
107,1,749,161,13393,122.55
108,1,748,157,13242,121.16
109,1,747,155,12872,117.78
110,1,746,153,12424,113.68
111,1,744,151,11935,109.2
112,1,743,149,11476,105.01
113,1,742,146,10995,100.6
114,1,742,141,10115,92.55
115,1,742,136,9370,85.74
116,1,742,133,9290,85.0
117,1,742,131,9283,84.94
118,1,742,128,9112,83.37
119,1,741,125,8708,79.68
120,1,739,123,9436,86.34
121,1,737,122,10001,91.51
122,1,736,119,10646,97.41
123,1,736,117,11074,101.33
124,1,735,114,11613,106.26
125,1,736,110,12167,111.33
126,1,735,106,12756,116.72
127,1,734,104,13651,124.91
128,1,734,101,13934,127.5
129,1,733,98,13687,125.24
130,1,733,97,13339,122.05
131,1,732,96,13089,119.76
132,1,730,96,12918,118.2
133,1,729,95,12277,112.33
134,1,727,93,11517,105.38
135,1,727,91,10808,98.89
136,1,727,89,10210,93.42
137,1,727,88,9642,88.22
138,1,728,86,9333,85.4
139,1,728,85,9479,86.73
140,1,727,85,9695,88.71
141,1,725,83,9492,86.85
142,1,724,80,9190,84.09
143,1,723,79,9389,85.91
144,1,722,79,9988,91.39
145,1,721,79,10738,98.25
146,1,720,79,11475,105.0
147,1,719,77,12087,110.6
148,1,719,76,12434,113.77
149,1,718,75,12717,116.36
150,1,718,74,12804,117.16
151,1,717,74,12721,116.4
152,1,716,74,12646,115.71
153,1,715,73,12346,112.97
154,1,714,73,12113,110.83
155,1,713,72,11955,109.39
156,1,714,71,11753,107.54
157,1,714,71,11426,104.55
158,1,714,72,11194,102.42
159,1,713,74,11013,100.77
160,1,711,74,10713,98.02
161,1,711,74,10271,93.98
162,1,710,72,10044,91.9
163,1,709,72,9977,91.29
164,1,707,72,9862,90.24
165,1,707,73,9834,89.98
166,1,707,74,10107,92.48
167,1,706,76,10415,95.3
168,1,705,78,10887,99.62
169,1,704,78,11445,104.72
170,1,703,79,11916,109.03
171,1,703,80,12118,110.88
172,1,702,80,12149,111.16
173,1,700,81,12106,110.77
174,1,699,82,11989,109.7
175,1,699,83,11854,108.46
176,1,700,84,11689,106.95
177,1,700,85,11704,107.09
178,1,700,87,11951,109.35
179,1,699,89,12197,111.6
180,1,698,91,12086,110.59
181,1,696,94,11564,105.81
182,1,695,94,10957,100.26
183,1,694,94,10434,95.47
184,1,694,95,10334,94.56
185,1,693,97,10320,94.43
186,1,692,99,10131,92.7
187,1,692,103,10095,92.37
188,1,692,107,9961,91.14
189,1,691,110,9882,90.42
190,1,690,112,10278,94.04
191,1,689,114,10796,98.78
192,1,687,116,11368,104.02
193,1,686,118,11611,106.24
194,1,685,120,11688,106.94
195,1,685,122,11590,106.05
196,1,685,124,11626,106.38
197,1,685,128,11810,108.06
198,1,685,131,12073,110.47
199,1,684,134,12264,112.22
200,1,683,138,12289,112.44
201,1,682,141,12148,111.15
202,1,681,144,11850,108.43
203,1,680,147,11423,104.52
204,1,680,149,11066,101.25
205,1,679,152,10627,97.24
206,1,679,155,10182,93.16
207,1,679,159,9973,91.25
208,1,678,164,9899,90.58
209,1,677,169,9888,90.47
210,1,676,174,9813,89.79
211,1,675,177,9749,89.2
212,1,674,180,9974,91.26
213,1,673,183,10408,95.23
214,1,672,186,10725,98.13
215,1,671,190,11081,101.39
216,1,671,194,11429,104.57
217,1,671,199,11816,108.12
218,1,671,203,12084,110.57
219,1,669,208,12384,113.31
220,1,668,213,12534,114.69
221,1,667,217,12531,114.66
222,1,666,222,12289,112.44
223,1,666,226,11972,109.54
224,1,665,230,11634,106.45
225,1,665,235,11210,102.57
226,1,665,240,10784,98.67
227,1,664,245,10280,94.06
228,1,663,251,9919,90.76
229,1,663,257,9882,90.42
230,1,662,263,9974,91.26
231,1,661,268,9988,91.39
232,1,659,273,9801,89.68
233,1,659,277,9598,87.82
234,1,658,281,9829,89.94
235,1,658,287,10269,93.96
236,1,658,292,10754,98.4
237,1,657,298,11261,103.04
238,1,656,304,11715,107.19
239,1,655,310,12012,109.91
240,1,654,316,12330,112.82
241,1,653,322,12505,114.42
242,1,652,328,12455,113.96
243,1,651,334,12283,112.39
244,1,651,340,12032,110.09
245,1,651,346,11693,106.99
246,1,650,352,11362,103.96
247,1,650,358,10782,98.65
248,1,649,362,9996,91.46
249,1,649,365,9120,83.45
250,1,653,366,7635,69.86
251,1,658,366,6517,59.63
252,1,664,367,5406,49.46
253,1,665,368,5162,47.23
