frame,drop_id,cx,cy,area_px,percentage
253,1,741,78,9614,100.0
254,1,742,102,9531,99.14
255,1,742,124,9837,102.32
256,1,742,148,9985,103.86
257,1,742,171,9927,103.26
258,1,742,196,9935,103.34
259,1,742,221,10004,104.06
260,1,742,244,9987,103.88
261,1,742,268,10036,104.39
262,1,742,292,10148,105.55
263,1,742,317,10160,105.68
264,1,742,342,10215,106.25
265,1,742,365,10263,106.75
266,1,742,390,10584,110.09
267,1,742,415,10541,109.64
268,1,742,433,9791,101.84
269,1,742,463,13526,140.69
270,1,742,470,13633,141.8
271,1,741,473,13137,136.64
272,1,740,474,13789,143.43
273,1,741,475,14446,150.26
274,1,740,474,14670,152.59
275,1,740,474,14587,151.73
276,1,738,473,14079,146.44
277,1,738,471,13089,136.15
278,1,740,465,13676,142.25
279,1,740,456,14128,146.95
280,1,740,445,15321,159.36
281,1,740,433,16771,174.44
282,1,739,422,18081,188.07
283,1,739,411,19151,199.2
284,1,738,400,20054,208.59
285,1,738,392,19721,205.13
286,1,738,382,19515,202.99
287,1,739,371,20012,208.15
288,1,739,362,20259,210.72
289,1,738,352,21340,221.97
290,1,741,389,18285,190.19
290,2,723,131,3387,35.23
291,1,741,393,17559,182.64
291,2,720,102,1827,19.0
292,1,742,386,18682,194.32
292,2,719,81,2873,29.88
293,1,742,383,19132,199.0
293,2,718,60,2915,30.32
294,1,742,381,19215,199.86
294,2,717,39,2814,29.27
295,1,742,423,14887,154.85
295,2,738,224,3360,34.95
295,3,716,21,2186,22.74
296,1,743,423,15019,156.22
296,2,738,215,2890,30.06
296,3,712,7,690,7.18
297,1,742,423,14746,153.38
297,2,738,206,2456,25.55
298,1,742,422,14018,145.81
298,2,739,199,2233,23.23
299,1,742,421,13401,139.39
299,2,739,193,2211,23.0
300,1,742,420,12803,133.17
300,2,740,186,2535,26.37
301,1,743,417,12162,126.5
301,2,741,180,2625,27.3
302,1,743,416,11617,120.83
302,2,741,174,2734,28.44
303,1,742,400,9133,95.0
303,2,741,167,2636,27.42
304,1,742,401,9090,94.55
304,2,741,162,2479,25.79
305,1,742,402,8885,92.42
305,2,742,157,2174,22.61
306,1,743,403,8843,91.98
307,1,742,408,9221,95.91
308,1,741,409,9094,94.59
309,1,741,410,8980,93.41
310,1,740,411,8878,92.34
311,1,740,413,9279,96.52
312,1,740,417,9603,99.89
313,1,740,420,9923,103.21
314,1,740,422,10097,105.02
315,1,739,425,10089,104.94
316,1,740,428,9844,102.39
317,1,740,430,9374,97.5
318,1,739,432,9241,96.12
319,1,739,435,8726,90.76
320,1,740,437,8519,88.61
321,1,740,438,8305,86.38
322,1,740,440,8030,83.52
323,1,740,441,7830,81.44
324,1,740,441,7766,80.78
325,1,739,441,7929,82.47
326,1,739,440,8085,84.1
327,1,739,438,8034,83.57
328,1,740,436,8191,85.2
329,1,740,434,8305,86.38
330,1,740,433,8423,87.61
331,1,739,431,8800,91.53
332,1,739,430,9238,96.09
333,1,739,428,9586,99.71
334,1,739,426,9901,102.99
335,1,738,424,10188,105.97
336,1,738,422,10550,109.74
337,1,738,421,10655,110.83
338,1,739,419,10677,111.06
339,1,738,419,10647,110.74
340,1,739,420,10523,109.45
341,1,739,420,10238,106.49
342,1,739,421,10044,104.47
343,1,740,423,9916,103.14
344,1,740,424,9644,100.31
345,1,740,425,9420,97.98
346,1,741,425,8975,93.35
347,1,741,426,8916,92.74
348,1,740,428,8959,93.19
349,1,740,429,8910,92.68
350,1,740,431,9054,94.18
351,1,740,433,8940,92.99
352,1,740,435,8835,91.9
353,1,740,437,8858,92.14
354,1,741,438,8878,92.34
355,1,741,439,8706,90.56
356,1,741,440,8633,89.8
357,1,741,439,8599,89.44
358,1,741,438,8744,90.95
359,1,742,438,8824,91.78
360,1,742,437,8672,90.2
361,1,742,436,8677,90.25
362,1,742,435,8723,90.73
363,1,742,433,9015,93.77
364,1,743,432,9095,94.6
365,1,743,431,9029,93.92
366,1,743,429,9037,94.0
367,1,743,427,9037,94.0
368,1,743,427,9226,95.96
369,1,743,426,9468,98.48
370,1,742,425,9639,100.26
371,1,742,424,9837,102.32
372,1,742,425,10064,104.68
373,1,742,425,10117,105.23
374,1,741,426,10176,105.85
375,1,741,426,10195,106.04
376,1,741,428,9886,102.83
377,1,741,429,9603,99.89
378,1,740,431,9421,97.99
379,1,741,432,9045,94.08
380,1,741,434,8787,91.4
381,1,741,436,8549,88.92
382,1,740,438,8416,87.54
383,1,740,438,8227,85.57
384,1,740,440,8116,84.42
385,1,740,441,8066,83.9
386,1,739,440,7784,80.97
387,1,739,440,8039,83.62
388,1,739,440,8216,85.46
389,1,739,439,8238,85.69
390,1,738,437,8274,86.06
391,1,738,436,8426,87.64
392,1,738,435,8683,90.32
393,1,738,433,9117,94.83
394,1,738,432,9343,97.18
395,1,737,432,9940,103.39
396,1,737,434,10729,111.6
397,1,736,432,10563,109.87
398,1,737,440,12220,127.11
399,1,738,441,12545,130.49
400,1,738,442,12728,132.39
401,1,738,442,12751,132.63
402,1,738,443,12509,130.11
403,1,738,441,12134,126.21
404,1,739,439,11355,118.11
405,1,739,437,10399,108.17
406,1,739,441,10817,112.51
407,1,739,435,9563,99.47
408,1,739,436,9406,97.84
409,1,739,437,9083,94.48
410,1,739,438,8814,91.68
411,1,739,438,8702,90.51
412,1,740,439,8544,88.87
413,1,740,439,8537,88.8
414,1,740,439,8481,88.22
415,1,740,440,8478,88.18
416,1,740,439,8521,88.63
417,1,741,438,8531,88.74
418,1,741,437,8548,88.91
419,1,741,437,8629,89.75
420,1,741,435,8795,91.48
421,1,742,433,8943,93.02
422,1,742,432,8930,92.89
423,1,743,431,8914,92.72
424,1,743,430,8982,93.43
425,1,743,429,9020,93.82
426,1,743,429,9301,96.74
427,1,742,430,9682,100.71
428,1,741,432,10293,107.06
429,1,742,437,11280,117.33
430,1,742,437,11469,119.29
431,1,742,440,11969,124.5
432,1,741,437,11391,118.48
433,1,741,437,11079,115.24
434,1,741,437,10752,111.84
435,1,741,434,9863,102.59
436,1,742,433,9224,95.94
437,1,742,434,8901,92.58
438,1,741,436,8535,88.78
439,1,741,437,8364,87.0
440,1,741,437,8144,84.71
441,1,741,439,8157,84.85
442,1,741,439,7948,82.67
443,1,740,440,7884,82.01
444,1,740,439,7869,81.85
445,1,740,439,7980,83.0
446,1,740,438,8046,83.69
447,1,740,437,8177,85.05
448,1,739,436,8286,86.19
449,1,739,435,8539,88.82
450,1,738,433,8772,91.24
451,1,738,432,8943,93.02
452,1,738,431,9303,96.77
453,1,737,431,9792,101.85
454,1,738,436,10823,112.58
455,1,737,438,11441,119.0
456,1,737,439,11951,124.31
457,1,738,442,12607,131.13
458,1,738,442,12524,130.27
459,1,738,442,12171,126.6
460,1,738,442,11986,124.67
461,1,738,443,11887,123.64
462,1,738,441,10884,113.21
463,1,738,436,9637,100.24
464,1,738,433,8839,91.94
465,1,738,434,8828,91.82
466,1,738,436,8544,88.87
