frame,drop_id,cx,cy,area_px,percentage
937,1,797,83,12101,100.0
938,1,798,106,11942,98.69
939,1,798,129,12189,100.73
940,1,799,152,12111,100.08
941,1,799,176,11432,94.47
942,1,799,200,11956,98.8
943,1,799,224,11920,98.5
944,1,799,247,11880,98.17
945,1,799,271,11831,97.77
946,1,799,295,11906,98.39
947,1,799,319,12018,99.31
948,1,799,343,12073,99.77
949,1,799,368,12260,101.31
950,1,799,393,12713,105.06
951,1,799,414,12180,100.65
952,1,799,451,17284,142.83
953,1,799,461,17129,141.55
954,1,799,466,16612,137.28
955,1,799,469,15790,130.49
956,1,799,469,14493,119.77
957,1,798,470,13635,112.68
958,1,800,470,14270,117.92
959,1,799,470,14756,121.94
960,1,799,470,16052,132.65
961,1,799,471,16352,135.13
962,1,799,471,16628,137.41
963,1,799,471,15665,129.45
964,1,799,471,15331,126.69
965,1,799,471,15108,124.85
966,1,798,471,14842,122.65
967,1,798,471,14265,117.88
968,1,797,471,13792,113.97
969,1,797,471,13160,108.75
970,1,796,471,12763,105.47
971,1,794,471,12137,100.3
972,1,794,471,11757,97.16
973,1,792,470,11451,94.63
974,1,792,470,11149,92.13
975,1,791,470,10838,89.56
976,1,791,470,10643,87.95
977,1,790,470,10541,87.11
978,1,790,470,9994,82.59
979,1,791,470,9799,80.98
980,1,791,470,9575,79.13
981,1,792,470,9195,75.99
982,1,792,470,9110,75.28
983,1,792,471,8712,71.99
984,1,792,471,8333,68.86
985,1,793,471,8171,67.52
986,1,794,470,8141,67.28
987,1,797,469,9799,80.98
988,1,797,469,10144,83.83
989,1,797,469,10457,86.41
990,1,797,469,10513,86.88
991,1,798,469,10703,88.45
992,1,799,469,10606,87.65
993,1,800,469,10813,89.36
994,1,801,469,10863,89.77
995,1,802,469,11053,91.34
996,1,803,469,11342,93.73
997,1,803,469,11196,92.52
998,1,803,470,9862,81.5
999,1,805,470,10086,83.35
1000,1,804,470,9837,81.29
1001,1,805,470,9592,79.27
1002,1,805,470,9531,78.76
1003,1,804,470,9173,75.8
1004,1,804,471,9096,75.17
